sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.2,0.2,0.2,0.2,0.0,0.0,0.2,0.0,0.4,0.2
S0767,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.4,0.0,0.0
S0768,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.2,0.2,0.2
S0769,0.4,0.0,0.2,0.2,0.0,0.0,0.0,0.2,0.4,0.2
S0770,0.0,0.0,0.2,0.4,0.0,0.6,0.8,0.0,0.0,0.0
S0771,0.6,0.4,0.2,0.4,0.0,0.4,0.4,0.4,0.6,0.0
S0772,0.0,0.0,0.2,0.2,0.0,0.6,0.6,0.0,0.2,0.0
S0773,0.4,0.2,0.2,0.2,0.0,0.4,0.2,0.2,0.2,0.0
S0774,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.0
S0775,0.2,0.2,0.0,0.2,0.4,0.2,0.2,0.2,0.4,0.0
S0776,0.0,0.0,0.4,0.6,0.0,0.2,0.2,0.2,0.0,0.0
S0777,0.2,0.2,0.2,0.0,0.0,0.2,0.4,0.4,0.0,0.0
S0778,0.0,0.4,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.0
S0779,0.4,0.2,0.2,0.2,0.0,0.6,0.2,0.2,0.2,0.0
S0780,0.2,0.0,0.4,0.0,0.2,0.0,0.0,0.0,0.0,0.0
S0781,0.2,0.2,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0
S0782,0.2,0.0,0.0,0.4,0.0,0.0,0.2,0.2,0.4,0.2
S0783,0.0,0.0,0.0,0.0,0.6,0.0,0.2,0.0,0.2,0.0
S0784,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.4,0.0
S0785,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6,0.4,0.2
S0786,0.0,0.0,0.2,0.2,0.0,0.4,0.6,0.0,0.0,0.2
S0787,0.0,0.0,0.0,0.4,0.0,0.6,0.0,0.2,0.0,0.0
S0788,0.8,0.8,0.0,0.8,0.0,0.8,0.8,0.8,0.8,0.0
S0789,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.4,0.2,0.4
S0790,0.4,0.4,0.0,0.6,0.0,0.6,0.6,0.4,0.4,0.0
S0791,0.0,0.0,0.2,1.0,0.0,0.6,0.6,0.0,0.2,0.0
S0792,0.2,0.2,0.0,0.2,0.0,0.2,0.2,0.4,0.4,0.0
S0793,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.2,0.0
S0794,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.2,0.0,0.2
S0795,0.0,0.0,0.0,0.2,0.0,0.0,0.8,0.0,0.2,0.0
S0796,0.0,0.0,0.4,0.6,0.0,0.2,0.2,0.2,0.0,0.0
S0797,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
S0798,0.0,0.0,0.0,0.0,0.0,0.2,0.6,0.2,0.2,0.2
S0799,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0
S0800,0.2,0.2,0.2,0.0,0.0,0.2,0.4,0.4,0.0,0.0
S0801,0.0,0.0,0.0,0.4,0.0,0.6,0.6,0.0,0.2,0.0
S0802,0.0,0.2,0.0,0.2,0.0,0.0,0.4,0.2,0.0,0.0
S0803,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0
S0804,0.2,0.2,0.0,0.6,0.0,0.2,0.2,0.4,0.6,0.6
S0805,0.0,0.0,0.0,0.4,0.0,0.0,0.6,0.0,0.4,0.0
S0806,0.0,0.0,0.4,0.4,0.0,0.6,0.6,0.0,0.0,0.2
S0807,0.2,0.0,0.2,0.0,0.0,0.4,0.2,0.0,0.4,0.0
S0808,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0
S0809,0.0,0.0,0.2,0.2,0.2,0.0,0.2,0.2,0.0,0.0
S0810,0.4,0.6,0.2,0.6,0.0,0.4,0.4,0.4,0.8,0.0
S0811,0.0,0.0,0.4,0.0,0.0,0.2,0.4,0.0,0.0,0.0
S0812,0.0,0.4,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.0
S0813,0.0,0.0,0.4,0.2,0.0,0.2,0.6,0.2,0.0,0.0
S0814,0.4,0.2,0.2,0.2,0.0,0.4,0.2,0.2,0.2,0.0
S0815,0.2,0.0,0.0,0.8,0.0,0.4,0.2,0.0,0.2,0.0
S0816,0.0,0.0,0.2,0.0,0.0,0.2,0.4,0.0,0.2,0.0
S0817,0.0,0.0,0.0,0.4,0.0,0.2,0.0,0.0,0.2,0.0
S0818,0.2,0.2,0.0,0.8,0.0,0.2,0.2,0.4,0.4,0.4
S0819,0.0,0.0,0.4,0.2,0.0,0.2,0.6,0.2,0.0,0.0
S0820,0.4,0.2,0.0,0.2,0.0,0.2,0.4,0.2,0.2,0.0
S0821,0.0,0.0,0.0,0.4,0.0,0.6,0.6,0.0,0.2,0.0
S0822,0.0,0.0,0.2,0.2,0.0,0.0,0.6,0.0,0.2,0.0
S0823,0.0,0.0,0.2,0.0,0.2,0.2,0.0,0.0,0.4,0.2
S0824,0.0,0.0,0.2,0.2,0.0,0.4,0.4,0.0,0.0,0.0
S0825,0.0,0.0,0.2,0.2,0.0,0.6,0.6,0.0,0.2,0.0
S0826,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
S0827,0.0,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.2
S0828,0.0,0.2,0.2,0.2,0.0,0.0,0.4,0.0,0.0,0.0
S0829,0.2,0.2,0.0,0.4,0.2,0.4,0.2,0.2,0.2,0.0
S0830,0.0,0.0,0.4,0.0,0.0,0.0,0.4,0.0,0.2,0.0
S0831,0.2,0.2,0.0,0.8,0.0,0.2,0.2,0.4,0.4,0.4
S0832,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.2
S0833,0.8,0.8,0.0,1.0,0.0,0.8,0.8,0.8,1.0,0.2
S0834,0.0,0.0,0.2,0.0,0.0,0.4,0.2,0.0,0.4,0.2
S0835,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.0
S0836,0.0,0.0,0.2,0.2,0.0,0.0,0.4,0.0,0.0,0.0
S0837,0.0,0.2,0.0,0.4,0.0,0.2,0.0,0.0,0.8,0.0
S0838,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0
S0839,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.2,0.0,0.0
S0840,0.0,0.0,0.0,0.0,0.2,0.2,0.6,0.2,0.0,0.2
S0841,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.6,0.2
S0842,0.0,0.2,0.0,0.2,0.0,0.0,0.4,0.0,0.0,0.6
S0843,0.4,0.4,0.2,0.4,0.0,0.4,0.4,0.4,0.8,0.0
S0844,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.2,0.0,0.2
S0845,0.2,0.2,0.0,0.4,0.0,0.4,0.4,0.2,0.2,0.0
S0846,0.2,0.2,0.0,0.2,0.0,0.4,0.4,0.2,0.4,0.0
S0847,0.2,0.2,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.4
S0848,0.0,0.0,0.0,0.2,0.0,0.0,0.8,0.0,0.2,0.0
S0849,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.8,0.4,0.2
S0850,0.0,0.2,0.0,0.4,0.0,0.4,0.0,0.0,0.6,0.0
S0851,0.0,0.0,0.2,0.2,0.0,0.8,0.8,0.0,0.0,0.0
S0852,0.0,0.2,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.0
S0853,0.0,0.2,0.2,0.2,0.0,0.2,0.4,0.0,0.0,0.0
S0854,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.4
S0855,0.0,0.0,0.4,0.4,0.0,0.0,0.6,0.0,0.2,0.0
S0856,0.0,0.0,0.2,0.2,0.0,0.0,0.6,0.0,0.2,0.0
S0857,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.2,0.0,0.2
S0858,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.4,0.0,0.2
S0859,0.0,0.0,0.2,0.2,0.0,0.0,0.4,0.0,0.4,0.0
S0860,0.2,0.0,0.2,0.0,0.4,0.0,0.0,0.0,0.0,0.0
S0861,0.0,0.0,0.0,0.4,0.0,0.6,0.2,0.2,0.0,0.0
S0862,0.0,0.0,0.2,0.4,0.0,0.8,1.0,0.0,0.0,0.0
S0863,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.2
S0864,0.0,0.0,0.2,0.6,0.0,0.2,0.4,0.0,0.0,0.0
S0865,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.2,0.2,0.2
S0866,0.4,0.4,0.0,0.4,0.0,0.4,0.4,0.4,0.4,0.0
S0867,0.4,0.6,0.0,0.6,0.0,0.4,0.6,0.4,0.4,0.0
S0868,0.6,0.6,0.0,0.6,0.0,0.8,0.6,0.6,0.6,0.0
S0869,0.0,0.0,0.0,0.2,0.0,0.4,0.0,0.2,0.0,0.2
S0870,0.2,0.0,0.2,0.0,0.4,0.0,0.0,0.0,0.0,0.0
S0871,0.0,0.0,0.0,0.4,0.0,0.6,0.6,0.0,0.2,0.0
S0872,0.2,0.0,0.2,0.0,0.0,0.6,0.6,0.2,0.0,0.0
S0873,0.0,0.0,0.2,0.2,0.0,0.2,0.4,0.2,0.0,0.0
S0874,0.4,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0
S0875,0.4,0.4,0.2,0.4,0.0,0.4,0.4,0.4,0.8,0.0
