sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.01,0.0,0.02,0.0,0.0,0.01,0.02,0.42,0.0,0.0
S0767,0.24,0.13,0.01,0.09,0.0,0.18,0.28,0.47,0.1,0.01
S0768,0.27,0.24,0.0,0.15,0.0,0.06,0.23,0.3,0.15,0.01
S0769,0.06,0.07,0.24,0.18,0.01,0.6,0.16,0.02,0.56,0.03
S0770,0.03,0.01,0.02,0.13,0.0,0.95,0.85,0.01,0.04,0.0
S0771,0.33,0.14,0.01,0.23,0.0,0.33,0.19,0.28,0.11,0.01
S0772,0.03,0.0,0.31,0.19,0.0,0.28,0.69,0.01,0.02,0.0
S0773,0.08,0.07,0.11,0.34,0.0,0.36,0.12,0.11,0.05,0.01
S0774,0.36,0.07,0.04,0.03,0.0,0.07,0.14,0.31,0.03,0.0
S0775,0.13,0.0,0.08,0.14,0.0,0.12,0.73,0.01,0.03,0.0
S0776,0.15,0.07,0.71,0.25,0.0,0.23,0.22,0.1,0.06,0.01
S0777,0.01,0.03,0.5,0.06,0.0,0.01,0.15,0.14,0.01,0.03
S0778,0.46,0.34,0.06,0.52,0.0,0.42,0.23,0.37,0.28,0.0
S0779,0.13,0.11,0.27,0.31,0.03,0.23,0.28,0.11,0.4,0.11
S0780,0.06,0.0,0.07,0.12,0.0,0.97,0.51,0.0,0.04,0.0
S0781,0.06,0.05,0.09,0.04,0.0,0.05,0.23,0.06,0.08,0.0
S0782,0.28,0.16,0.09,0.14,0.01,0.09,0.43,0.26,0.18,0.33
S0783,0.21,0.04,0.01,0.14,0.0,0.21,0.71,0.02,0.15,0.04
S0784,0.32,0.07,0.01,0.08,0.0,0.08,0.06,0.17,0.04,0.03
S0785,0.21,0.15,0.01,0.04,0.0,0.07,0.08,0.23,0.36,0.2
S0786,0.0,0.0,0.18,0.58,0.0,0.79,0.86,0.0,0.0,0.0
S0787,0.05,0.0,0.42,0.31,0.0,0.39,0.86,0.02,0.01,0.0
S0788,0.86,0.87,0.01,0.9,0.0,0.84,0.89,0.84,0.8,0.02
S0789,0.21,0.06,0.06,0.08,0.01,0.05,0.37,0.44,0.04,0.0
S0790,0.04,0.02,0.01,0.05,0.0,0.06,0.92,0.01,0.04,0.0
S0791,0.04,0.01,0.34,0.48,0.0,0.46,0.83,0.06,0.01,0.0
S0792,0.01,0.06,0.59,0.04,0.0,0.14,0.16,0.01,0.03,0.0
S0793,0.22,0.31,0.12,0.19,0.24,0.21,0.27,0.14,0.25,0.18
S0794,0.0,0.05,0.0,0.43,0.0,0.0,0.06,0.26,0.0,0.0
S0795,0.08,0.04,0.0,0.02,0.0,0.1,0.79,0.05,0.01,0.0
S0796,0.03,0.0,0.37,0.12,0.0,0.18,0.71,0.02,0.04,0.0
S0797,0.35,0.04,0.12,0.16,0.0,0.08,0.02,0.03,0.74,0.12
S0798,0.05,0.14,0.01,0.02,0.83,0.07,0.11,0.01,0.08,0.0
S0799,0.01,0.15,0.51,0.24,0.0,0.1,0.23,0.15,0.0,0.04
S0800,0.0,0.01,0.04,0.41,0.0,0.83,0.28,0.0,0.07,0.0
S0801,0.07,0.02,0.4,0.67,0.0,0.28,0.86,0.01,0.07,0.0
S0802,0.0,0.05,0.0,0.18,0.0,0.0,0.07,0.44,0.0,0.0
S0803,0.03,0.02,0.26,0.1,0.0,0.06,0.66,0.0,0.02,0.0
S0804,0.09,0.05,0.17,0.44,0.0,0.11,0.09,0.04,0.28,0.0
S0805,0.1,0.16,0.02,0.16,0.0,0.22,0.55,0.09,0.18,0.1
S0806,0.03,0.03,0.23,0.28,0.0,0.46,0.33,0.01,0.05,0.0
S0807,0.04,0.01,0.72,0.07,0.0,0.05,0.64,0.02,0.07,0.0
S0808,0.08,0.06,0.03,0.09,0.0,0.08,0.0,0.05,0.87,0.07
S0809,0.04,0.16,0.09,0.2,0.02,0.06,0.19,0.04,0.13,0.05
S0810,0.0,0.12,0.0,0.11,0.58,0.02,0.04,0.0,0.02,0.0
S0811,0.06,0.04,0.05,0.29,0.0,0.87,0.61,0.02,0.07,0.0
S0812,0.07,0.83,0.05,0.07,0.12,0.06,0.06,0.02,0.07,0.0
S0813,0.05,0.27,0.02,0.12,0.31,0.04,0.07,0.0,0.05,0.03
S0814,0.21,0.03,0.3,0.08,0.02,0.16,0.1,0.12,0.37,0.0
S0815,0.03,0.0,0.44,0.54,0.0,0.38,0.9,0.03,0.03,0.0
S0816,0.08,0.08,0.02,0.1,0.0,0.02,0.05,0.03,0.03,0.0
S0817,0.01,0.0,0.02,0.01,0.0,0.02,0.2,0.1,0.04,0.0
S0818,0.31,0.12,0.05,0.82,0.0,0.14,0.15,0.11,0.65,0.21
S0819,0.04,0.02,0.33,0.55,0.0,0.23,0.66,0.04,0.13,0.0
S0820,0.01,0.0,0.12,0.0,0.0,0.0,0.84,0.0,0.03,0.0
S0821,0.01,0.0,0.65,0.71,0.0,0.12,0.88,0.0,0.09,0.0
S0822,0.16,0.03,0.02,0.04,0.0,0.07,0.72,0.03,0.06,0.05
S0823,0.11,0.04,0.13,0.07,0.01,0.08,0.03,0.05,0.95,0.01
S0824,0.01,0.01,0.18,0.23,0.0,0.51,0.45,0.0,0.0,0.0
S0825,0.02,0.0,0.47,0.13,0.0,0.19,0.61,0.03,0.03,0.0
S0826,0.05,0.18,0.02,0.03,0.68,0.04,0.13,0.02,0.08,0.01
S0827,0.0,0.0,0.11,0.31,0.0,0.69,0.23,0.0,0.02,0.0
S0828,0.0,0.01,0.47,0.52,0.0,0.07,0.14,0.01,0.13,0.0
S0829,0.0,0.0,0.05,0.01,0.04,0.07,0.08,0.02,0.81,0.0
S0830,0.02,0.0,0.16,0.17,0.0,0.56,0.9,0.01,0.0,0.0
S0831,0.34,0.06,0.03,0.12,0.0,0.19,0.38,0.3,0.17,0.02
S0832,0.06,0.16,0.0,0.03,0.84,0.06,0.12,0.01,0.08,0.0
S0833,0.1,0.14,0.1,0.06,0.05,0.7,0.0,0.02,0.37,0.02
S0834,0.23,0.17,0.14,0.15,0.1,0.28,0.31,0.15,0.7,0.31
S0835,0.05,0.03,0.04,0.01,0.0,0.03,0.02,0.46,0.09,0.0
S0836,0.02,0.04,0.18,0.09,0.0,0.05,0.04,0.02,0.89,0.0
S0837,0.02,0.12,0.64,0.33,0.01,0.13,0.21,0.03,0.62,0.0
S0838,0.09,0.09,0.0,0.01,0.0,0.0,0.67,0.04,0.02,0.0
S0839,0.0,0.01,0.03,0.09,0.0,0.12,0.1,0.43,0.01,0.03
S0840,0.08,0.07,0.03,0.09,0.0,0.11,0.73,0.01,0.02,0.02
S0841,0.07,0.02,0.0,0.03,0.0,0.01,0.09,0.04,0.15,0.01
S0842,0.11,0.05,0.01,0.22,0.0,0.05,0.04,0.28,0.46,0.26
S0843,0.09,0.03,0.0,0.0,0.0,0.03,0.15,0.24,0.01,0.0
S0844,0.01,0.04,0.0,0.14,0.0,0.0,0.19,0.46,0.01,0.0
S0845,0.61,0.48,0.01,0.57,0.0,0.49,0.88,0.45,0.47,0.0
S0846,0.01,0.01,0.01,0.01,0.0,0.01,0.05,0.04,0.02,0.0
S0847,0.07,0.25,0.11,0.37,0.0,0.02,0.4,0.02,0.11,0.05
S0848,0.02,0.01,0.02,0.08,0.0,0.06,0.77,0.02,0.0,0.01
S0849,0.13,0.09,0.04,0.19,0.0,0.08,0.39,0.09,0.39,0.14
S0850,0.19,0.15,0.21,0.05,0.09,0.25,0.17,0.09,0.38,0.02
