sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.0027898652,0.00072086067,0.007934844,0.0027776342,8.922020599343849e-06,0.0032971841,0.0074570077,0.05235944,0.0015884755,0.0013367662
S0767,0.004997858,0.0008187586,0.001804024,0.005993656,3.796116414109413e-05,0.002175172,0.013335741,0.04370082,0.005784109,0.001752934
S0768,0.97943234,0.010955945,0.00079217635,0.028486261,0.0004250854160365,0.008800139,0.94364494,0.9861369,0.011057967,0.0017629133
S0769,0.0021822003,0.0003372774,0.013193928,0.010505783,2.5052798357902103e-05,0.98395306,0.011526069,0.0013111032,0.97128785,0.0010087917
S0770,0.0037546128,0.00020509938,0.0043203393,0.9439501,0.0001804270230688,0.9951674,0.99176204,0.0008372546,0.001557944,0.0011952969
S0771,0.009078712,0.012796734,0.0026637728,0.011490165,0.0067507240561052,0.05656588,0.028876482,0.04079725,0.010708806,0.0012192165
S0772,0.006250896,0.00016417293,0.009851345,0.009838826,2.7743219222286e-06,0.010174421,0.99210125,0.0017167372,0.0016885776,0.00058923214
S0773,0.0019576373,0.006033188,0.011391769,0.08739841,3.4301157017494346e-05,0.07878592,0.010976823,0.00728696,0.00339571,0.011449821
S0774,0.94751894,0.00012869184,0.0010296077,0.0021075294,1.895324446304996e-05,0.0017992468,0.010308626,0.028171532,0.0011941998,0.0012516117
S0775,0.016143328,0.00018275077,0.008653827,0.011798889,5.287061569854454e-06,0.005099119,0.990144,0.003139035,0.006552863,0.00054341374
S0776,0.009531066,0.0008799616,0.9663283,0.010346856,1.8048253754796676e-05,0.01271022,0.0123787755,0.002092201,0.0033521133,0.0012759337
S0777,0.0037637309,0.0024797653,0.9342111,0.0047187163,4.348550040058972e-05,0.0022513599,0.010777738,0.018164597,0.0018070173,0.0022572426
S0778,0.9746207,0.99594325,0.0027043317,0.97766006,4.648760686272376e-06,0.9778437,0.9728325,0.97358614,0.9909059,0.0009269362
S0779,0.010099279,0.0017560249,0.008974658,0.013890016,2.1926720390671144e-05,0.008684574,0.008370109,0.0037437147,0.9832312,0.008203465
S0780,0.008946152,0.00024414784,0.016900416,0.005677758,0.0006950264168251,0.99790645,0.96542305,0.0011523262,0.010656754,0.0008043967
S0781,0.0029091656,0.00012781413,0.006535774,0.0023745028,1.8639020015210605e-05,0.0015042853,0.0038291516,0.0017015095,0.0057425993,0.0021837417
S0782,0.9307013,0.0006484638,0.0018772493,0.0065972926,0.0007328837437241,0.0013117833,0.03370092,0.010510909,0.0031187779,0.017788062
S0783,0.010158284,0.00010828525,0.0038355521,0.03502459,0.0001569045878184,0.9837811,0.02553055,0.003806591,0.95627314,0.0023530326
S0784,0.038121887,0.00028745885,0.0013883772,0.002247568,3.202232898826198e-05,0.001751165,0.005372079,0.960951,0.0028141032,0.0060105743
S0785,0.95147264,0.0036551442,0.0018267671,0.90642756,7.878826570007948e-06,0.008188139,0.894496,0.9552908,0.9439686,0.8084507
