sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.0015937514,0.00078341196,0.0013037483,0.0012123032,0.0009312539,0.0023460859,0.0050566792,0.3512247,0.00216467,0.0005291606
S0767,0.021761402,0.025477601,0.00016935423,0.0042584776,0.0005677782,0.0024276935,0.024791358,0.63806766,0.004896936,7.775995e-05
S0768,0.6235428,0.23285596,0.00017952677,0.00074317015,0.0011061354,0.0021482327,0.47700804,0.98385954,0.03516072,8.74778e-05
S0769,0.0008728406,0.000929497,0.0058472403,0.016400909,0.0005677782,0.9755897,0.012907727,0.000355094,0.9755105,0.0011224551
S0770,0.00057607505,0.00020938378,0.00086087105,0.46720648,0.0013478127,0.99897194,0.9900332,0.00029039223,0.0011387325,0.00015757549
S0771,0.055728905,0.049182888,0.00051101745,0.07462595,0.0022911942,0.43643704,0.09365608,0.21393201,0.043058407,0.0004638764
S0772,0.0019608866,0.00049182033,0.0029842444,0.019989952,0.0005677782,0.011068046,0.9880397,0.00077658787,0.0001716375,0.00015756662
S0773,0.0009373075,0.010200669,0.0028812329,0.53076667,0.001411992,0.86141825,0.017255055,0.004105275,0.012702312,0.0010352496
S0774,0.110362425,0.00019351221,0.00010832357,0.0002989652,0.0005677782,0.0005771726,0.009970896,0.22036943,0.00044290084,0.00010627006
S0775,0.019563599,0.00019487426,0.00029218095,0.0020854978,0.0005677782,0.004609607,0.93196815,0.0034744677,0.0031347866,0.00012733944
S0776,0.0030462632,0.00281649,0.92664564,0.009521388,0.0005677782,0.0050189183,0.0044456543,0.0007984043,0.0024516038,8.8433786e-05
S0777,0.007152569,0.0040986794,0.8948579,0.004183684,0.002492181,0.0018743167,0.0048094695,0.056121722,0.0013529325,0.0010568419
S0778,0.9377957,0.719983,0.00026627624,0.85935223,0.0005677782,0.93256915,0.89740795,0.9312524,0.8632848,0.00022067242
S0779,0.009689296,0.0029578493,0.053688906,0.04151979,0.0011311894,0.005909489,0.008334655,0.0018497532,0.43115705,0.08084145
S0780,0.0010454222,0.0009651658,0.0042560375,0.0018234781,0.0006912121,0.9997596,0.7661973,0.00018010354,0.0023779778,0.00012973223
S0781,0.00045096638,0.00058153487,0.0029524893,0.00014506793,0.0005677782,0.0003564945,0.03744882,0.00090894947,0.0020636024,0.00028887126
S0782,0.06502931,0.0007158093,0.00013563107,0.0005068871,0.0011230198,0.0035617729,0.042577177,0.011627862,0.0021837512,0.019082453
S0783,0.015569742,0.00012184498,0.0010213495,0.005642647,0.0005677782,0.89917684,0.9507737,0.00070854696,0.006280018,0.00038671537
S0784,0.34469965,0.001604203,0.00039476,0.0007668209,0.0005677782,0.0011201468,0.0011418848,0.31226397,0.0010884679,0.0002962733
S0785,0.18304461,0.021237785,0.00054012507,0.012396977,0.0005677782,0.0071002087,0.022739507,0.12042398,0.4716384,0.66523814
S0786,0.00010284603,0.00018123568,0.0038624534,0.95356905,0.0005677782,0.9953212,0.9987607,0.00065515254,5.9731476e-05,0.00014761591
S0787,0.0048091454,0.00013241607,0.28845668,0.37653628,0.0005677782,0.651204,0.9940738,0.004468745,0.00026823056,0.0002952824
S0788,0.9958568,0.9956548,0.0004434211,0.9974567,0.0013912248,0.9966446,0.99784446,0.9861481,0.99656326,0.006951184
S0789,0.001806332,0.0005652086,0.00011254318,0.0008436518,0.0005677782,0.0055703605,0.22466677,0.1370631,0.0012276062,0.00014481349
S0790,0.00038929906,0.00074171793,0.00012408294,0.0010226015,0.0005677782,0.0012713107,0.9966266,0.00012898337,0.00014755737,0.00012911666
S0791,6.978687e-05,0.00011884915,0.23846126,0.7178965,0.0005677782,0.6584884,0.9978891,0.00034878377,0.00028906635,0.00017058318
S0792,0.0036419358,0.00089169573,0.902751,0.003648801,0.0005677782,0.00903682,0.0017498753,0.0006681405,0.0016372663,0.00025926105
S0793,0.0040197475,0.2386468,0.00041237508,0.0033851487,0.0027640592,0.0022401933,0.00019476615,0.0007154755,0.0013183182,0.0008650536
S0794,0.003960171,0.00572648,0.0003993469,0.88515157,0.0026043209,0.0013383075,0.013075584,0.050873525,0.0014702345,0.0015461147
S0795,0.0016160889,9.640604e-05,0.00019298983,0.0023066588,0.0005677782,0.007121503,0.9804484,0.0001872485,0.00028172394,0.0011154854
S0796,9.6111035e-05,0.00028957165,0.53064525,9.482081e-05,0.0005677782,0.0012426819,0.9643637,5.8383062e-05,0.0006653408,0.00013054031
S0797,0.035981163,0.0012364661,0.16911122,0.0009819976,0.0005677782,0.0024009314,0.0016851767,0.0009098467,0.992773,0.005958111
S0798,0.0008320572,0.007063294,0.00014537729,0.00089901075,0.9804951,0.00034586596,0.0013742527,0.0024824822,0.0015755384,0.00031566163
S0799,0.0017662174,0.013546216,0.010885003,0.8272376,0.00300214,0.026119247,0.0063641435,0.049753796,0.0033198865,0.0019686776
