sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.0009834807,0.00059943297,0.00083939434,0.0026643658,0.0009312539,0.0014324022,0.007236771,0.68429023,0.0013480097,0.0019447217
S0767,0.034952607,0.011278355,0.00014007016,0.022653744,0.0005677782,0.008169869,0.054194707,0.11184462,0.0042322483,0.0005967251
S0768,0.4061236,0.020330928,0.0010215149,0.0069544334,0.0011061354,0.0010471591,0.7053692,0.59972364,0.0086005805,0.0009538193
S0769,0.00034268346,0.00075503427,0.0039119874,0.09797219,0.0005677782,0.9238592,0.0014566885,0.0005479528,0.99043477,0.00053385133
S0770,0.00047611044,0.00034041976,0.0007385707,0.52571344,0.0013478127,0.9992254,0.9843932,0.00010277201,0.00032684248,0.00021485536
S0771,0.019864775,0.0014977525,0.0032496946,0.0040983367,0.0022911942,0.23555478,0.0011079303,0.019528668,0.011276574,0.00017630415
S0772,0.0041797366,0.00131235,0.023034228,0.0045348206,0.0005677782,0.0015024836,0.659497,0.002256739,0.0018423981,0.00016604798
S0773,0.0004745988,0.017194573,0.0080116,0.0017546637,0.001411992,0.040918935,0.067570426,0.004781274,0.0023975302,0.0031698158
S0774,0.055086307,0.00033034856,0.00063087506,0.005023271,0.0005677782,0.0012866496,0.0015289774,0.09761329,0.0022406795,0.000623429
S0775,0.011045496,0.0005361683,0.005380468,0.004755096,0.0005677782,0.004245383,0.6665987,0.0014188996,0.0015785109,0.00015464108
S0776,0.0030732916,0.009174979,0.8321358,0.11293247,0.0005677782,0.004111411,0.014219084,0.0062461053,0.011234318,0.00033138474
S0777,0.022831175,0.0023249714,0.8510415,0.0105753625,0.002492181,0.008734907,0.019897534,0.016541691,0.0014437264,0.0071816575
S0778,0.26892683,0.53462106,0.000584624,0.8464813,0.0005677782,0.5528642,0.18309449,0.8680575,0.14584072,0.00020501159
S0779,0.0022119505,0.0024742691,0.01741034,0.0208467,0.0011311894,0.010959355,0.09870417,0.0010843348,0.024539981,0.012327011
S0780,0.00047032782,0.0006911179,0.005415209,0.0050141984,0.0006912121,0.99979526,0.2991769,9.443713e-05,0.00042905894,0.00022881539
S0781,0.0014470456,0.0020100244,0.000895059,0.0002838571,0.0005677782,0.00071155134,0.012839484,0.0006278486,0.0046862243,0.00017132763
S0782,0.09643989,0.00071462133,3.4834222e-05,0.00038801008,0.0011230198,0.00025111638,0.040562335,0.01601878,0.0015768876,0.0019606368
S0783,0.018922023,0.0010620803,0.00012575567,0.02059898,0.0005677782,0.9743201,0.9119982,0.0014749581,0.026123738,0.0007638428
S0784,0.0534449,0.001441028,0.0006128478,0.0007161044,0.0005677782,0.0057270555,0.0023709994,0.19508694,0.00064783404,0.00057717314
S0785,0.06178156,0.0010605302,0.0036746487,0.0066405307,0.0005677782,0.019720012,0.34116182,0.06699625,0.106311955,0.2949746
S0786,3.125683e-05,9.795144e-05,0.010579864,0.8143301,0.0005677782,0.9955213,0.99908316,0.00028073188,5.1857576e-05,0.00013997148
S0787,0.004814219,0.00017026435,0.15287603,0.4326626,0.0005677782,0.29571033,0.99679035,0.0040939543,0.0003347624,0.00024555039
S0788,0.9954123,0.99590296,0.00051640027,0.9966035,0.0013912248,0.98767984,0.96493405,0.9949905,0.99762815,0.0051856525
S0789,0.0007112954,0.0005554137,0.00037626375,0.0013054332,0.0005677782,0.0014649858,0.22737356,0.031294275,0.0050945613,0.00050025026
S0790,0.00042832395,0.004066376,0.00019963032,0.002741557,0.0005677782,0.0028185009,0.9975343,0.00046651778,0.0011160945,0.0003021634
S0791,0.00015436529,0.00020431571,0.5700564,0.6777545,0.0005677782,0.68432766,0.9981415,0.0011659286,0.00015609217,0.00020734189
S0792,0.012146627,0.0018865535,0.09504437,0.0106028095,0.0005677782,0.0010515252,0.0006045826,0.003391522,0.0025688477,0.000547781
S0793,0.0017451007,0.34296846,8.711925e-05,0.000935348,0.0027640592,0.0007932347,0.0014679597,0.0013115936,0.00071503647,0.0005164743
S0794,0.0007122827,0.005531507,0.00018968449,0.46301743,0.0026043209,0.00033170969,0.009627731,0.10132116,0.000884648,0.0019958643
S0795,0.005586864,0.0003183144,0.0011718705,0.00040844362,0.0005677782,0.0006647773,0.9935349,0.00054179877,0.0005849459,0.00089312094
S0796,6.819741e-05,0.0003136045,0.9767099,0.00046580326,0.0005677782,0.00039041307,0.42539218,0.00033675626,0.0010844712,0.0010566366
S0797,0.017835861,0.00069759885,0.018454183,0.0028818783,0.0005677782,0.0006526193,0.0017428816,0.0032025883,0.91261387,0.006431566
S0798,0.0009837426,0.0075332494,5.5874854e-05,0.00073210517,0.9804951,6.5515414e-05,0.0016901795,0.0004488786,0.0020546927,0.00021529994
S0799,0.00275593,0.002943179,0.5725782,0.50424486,0.00300214,0.0060208985,0.022795836,0.24175619,0.016512837,0.005611143
S0800,0.00084368273,0.00013459213,0.00019225151,0.31565627,0.0005677782,0.9968465,0.007661135,0.000108497334,0.0003244445,0.0001221661
S0801,0.0061428067,0.0018687156,0.36442712,0.6724853,0.0005677782,0.03567947,0.99954116,0.0023854475,0.0014742848,0.00015904561
S0802,0.00048316785,0.0015682173,0.00021994478,0.08682106,0.0026043209,0.0011454326,0.0031769779,0.6729059,0.0007240687,0.005731135
S0803,0.0004436035,0.00014817082,0.010028391,0.0002924142,0.0005677782,0.00037016207,0.9923692,0.0002227984,0.00045578796,0.00017500912
S0804,0.00031993754,0.00048578798,0.019619409,0.07172862,0.0005677782,0.00049503124,0.0002305652,0.00097014103,0.09470536,0.0004863108
S0805,0.0028017142,0.0013139897,2.3945673e-05,0.016316287,0.0005677782,0.9873925,0.53934896,0.0034324802,0.023930535,0.513307
