sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.0011252707,0.0020190908,0.0007959988,0.0014786771,0.000719317,0.001135993,0.0024128465,0.76732904,0.0005894043,0.0009809858
S0767,0.015342467,0.027578542,8.535757e-05,0.0012487563,0.000719317,0.0014225615,0.0023266487,0.026883809,0.012325955,8.667205e-05
S0768,0.20868762,0.019046882,8.3839994e-05,0.0015209864,0.0012815465,0.00088086515,0.40354997,0.9929102,0.06923645,0.0001534099
S0769,0.00061910244,0.0005502438,0.008944284,0.010647407,0.000719317,0.9981243,0.0039644954,0.0020547672,0.09219436,0.0006925447
S0770,0.005160201,0.00015976469,0.0012653291,0.24774781,0.00091482676,0.9984909,0.9906578,0.00014330441,0.0019369196,0.00015504578
S0771,0.013789177,0.0020587563,0.0008949059,0.015407558,0.000719317,0.009620123,0.020959398,0.054737326,0.011758694,0.00015050138
S0772,0.001929416,0.00015693343,0.0038968967,0.0027786226,0.000719317,0.033399682,0.9680205,0.0007928481,0.0007968207,0.00035917052
S0773,0.00046252535,0.021694323,0.005415803,0.45672083,0.000719317,0.65862805,0.0109529635,0.0034726786,0.0073229,0.00151305
S0774,0.24401982,0.00011467173,0.0012840048,0.0002673783,0.000719317,0.0006408188,0.023965081,0.15309708,0.0027035847,0.00031333134
S0775,0.04303995,0.00043896955,0.0023438325,0.0046411366,0.000719317,0.001629637,0.9777598,0.0010679145,0.0007682351,0.00010752967
S0776,0.0033557587,0.00052667485,0.9213342,0.020722283,0.0013790427,0.0031278774,0.0072411573,0.004671264,0.0007807866,0.00013837569
S0777,0.002803893,0.0027264992,0.90624577,0.007906626,0.000719317,0.0022113044,0.010938632,0.01747974,0.001693596,0.0023131708
S0778,0.95834506,0.9366646,0.0016899937,0.8586233,0.000719317,0.942362,0.563895,0.9515923,0.60312444,0.00012552027
S0779,0.069847696,0.005424239,0.12330645,0.06929764,0.0019392578,0.18490689,0.0011343819,0.0024542417,0.013896092,0.035626505
S0780,0.004898818,0.0016008691,0.003113059,0.0014638535,0.0019392578,0.999752,0.5373607,0.00019431356,0.00069960416,0.00020503583
S0781,0.00029632586,0.0013551719,0.00029819235,8.550209e-05,0.000719317,0.00015979227,0.003551682,0.0014068205,0.0007879505,0.00032903536
S0782,0.030542022,0.0022175226,0.00081078016,0.00034218968,0.031774182,0.0047324933,0.06594138,0.028100895,0.0031128963,0.007576693
S0783,0.005841974,7.579569e-05,0.0005555652,0.07852539,0.00088102627,0.84120303,0.09537635,8.682309e-05,0.0044312696,0.000296952
S0784,0.19410159,0.0034569893,0.00016973025,0.0004845476,0.000719317,0.00078108505,0.002244044,0.05571975,0.00050104555,0.00076571066
S0785,0.039211866,0.00137076,0.0005840915,0.021804001,0.00088102627,0.0034009088,0.0013248503,0.10125537,0.07192206,0.77560127
S0786,8.419974e-05,0.00013957339,0.014126073,0.9726715,0.000719317,0.99464405,0.998814,0.0002632057,6.781835e-05,0.00012238215
S0787,0.007845727,0.000316913,0.3052161,0.41960123,0.000719317,0.25227085,0.9939956,0.0028115246,0.00015088274,0.00024184032
S0788,0.9940777,0.99418795,0.00030603498,0.99822074,0.0011577681,0.9985897,0.99887127,0.9943587,0.9972851,0.008160748
