sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.0030599006,0.0021750252,0.00256973,0.0010668779,0.000684746,0.0021070042,0.34202725,0.12777463,0.00081950484,0.000825558
S0767,0.08414747,0.0039515262,0.0018464547,0.037174296,0.0014406067,0.021672215,0.1415585,0.019966006,0.0008672584,0.010998384
S0768,0.012032238,0.8721646,0.0023561812,0.012575212,0.0008348627,0.0034174381,0.5109452,0.56015664,0.0035252068,0.0035209903
S0769,0.00082065124,0.002665268,0.0010013722,0.09316866,0.0004724224,0.1842898,0.00049711845,0.006949272,0.76340204,0.00012812285
S0770,0.0004146251,0.00036065571,0.0021588493,0.5485849,0.00043550372,0.9995018,0.9986952,0.00076129136,0.00039898447,0.00035593656
S0771,0.13100539,0.00035059932,0.0019749573,0.0019213841,0.0030665377,0.6637129,0.01102765,0.0040494944,0.013102483,0.0007936074
S0772,0.017626554,0.0008687852,0.0021756422,0.033961106,0.00062778074,0.116716124,0.1917974,0.10669794,0.057470277,0.000825953
S0773,0.0012263663,0.01277947,0.0018062149,0.0007064039,0.001740856,0.009568175,0.39017078,0.019269098,0.0007703446,0.00075417204
S0774,0.045041636,0.31036082,0.0022411763,0.012453143,0.0012641551,0.0040041767,0.0058932723,0.025000734,0.0032872453,0.011364596
S0775,0.03483008,0.0019815066,0.007073236,0.019506631,0.00051917374,0.00066178857,0.46338844,0.0004855368,0.002930306,0.00057497824
S0776,0.0024564457,0.010270813,0.1885772,0.0271241,0.00030094787,0.013183607,0.58063924,0.011768932,0.033335187,0.0025943865
S0777,0.04171518,0.0011330395,0.06449933,0.0014239969,0.0013591679,0.00042642222,0.0032555074,0.024175445,0.00013309484,0.0052174716
S0778,0.0051995227,0.063599676,0.004234858,0.016564133,0.00045664707,0.6659878,0.48493123,0.26105544,0.1398499,0.001999254
S0779,0.0013542855,0.00025546536,0.0011757632,0.0034166668,0.00020078772,0.005586488,0.16546798,0.00090549485,0.00036253425,0.009397153
S0780,0.0022220123,0.0014982319,0.006466746,0.27107385,0.0016040893,0.9987357,0.038069572,0.00039555843,0.0027162535,0.0038529765
S0781,0.022699058,0.02692605,0.0041580047,0.0024904583,0.0035296902,0.0070394557,0.005010263,0.0011519481,0.011779907,0.00019961529
S0782,0.0013922016,0.023743289,0.000100309626,0.0003461785,0.0037768092,0.0001642578,0.7472807,0.003982234,0.0019066447,0.00074770156
S0783,0.0034718895,0.0056790123,0.001460676,0.09762896,0.00054198835,0.97828305,0.3522997,0.0019665556,0.07029156,0.033278137
S0784,0.001255222,0.0193686,0.0009983125,0.00018247584,0.004157324,0.007736687,0.0027635018,0.15427499,0.0034263835,0.00039249932
S0785,0.004913419,0.00055333896,0.11759028,0.23023458,0.0013300058,0.3091027,0.1938272,0.004423617,0.00057183596,0.1462025
S0786,0.0006783401,0.00013741542,0.013711752,0.3101471,0.0011916766,0.988655,0.9991385,0.00027910635,0.000168356,0.00013370223
S0787,0.002889992,0.0010752277,0.28608984,0.3933296,0.0005503301,0.24583125,0.99800295,0.0013103936,0.00040472604,0.00027878984
S0788,0.87347996,0.47191638,0.0076852944,0.997077,0.00020760203,0.530538,0.90641797,0.7847828,0.8573232,0.002389843
S0789,0.0015435133,0.0020120926,0.005024837,0.036449127,0.0002607646,0.01832826,0.028915204,0.09688528,0.019812379,0.004263847
S0790,0.0068624746,0.11664697,0.000478109,0.0016959177,0.00025584904,0.010202393,0.99385494,0.006282676,0.008146556,0.0007584763
S0791,0.0010109749,0.0017002433,0.015450477,0.79284835,0.001008711,0.21124035,0.9949692,0.0017054813,0.0005622716,0.00035758645
S0792,0.009147122,0.0013435187,0.4646268,0.0700432,0.002001799,0.0045695137,0.023697993,0.0024454948,0.0026301176,0.002190093
S0793,0.00046929714,0.03437343,6.984459e-05,0.0009324885,0.00083420903,0.00053823896,0.80273837,0.008334963,0.00075705413,0.0010490398
S0794,0.00020068914,0.0028847475,4.1586984e-05,0.44736302,0.0009025356,0.00035131013,0.01309847,0.12654017,0.00042841953,0.0032162135
S0795,0.0033564204,0.0008830429,0.0005339908,0.0003084051,0.0061122486,0.00076181244,0.6585337,0.0046844785,0.0065878993,0.005018725
S0796,0.000703383,0.0021018363,0.020059545,0.0022193834,0.00040485687,0.0011418082,0.005653852,0.024017842,0.011883105,0.015589793
S0797,0.023008853,0.00087141583,0.0034042168,0.013685776,0.00025761657,0.0022707311,0.0014497553,0.015197546,0.6681648,0.0023810964
S0798,0.0056043942,0.01957562,6.4494714e-05,0.00026832725,0.8880368,0.00048710458,0.0019284666,0.000448165,0.01311882,0.000489912
S0799,0.00646056,0.0018387878,0.025070038,0.007233908,0.00023293588,0.0015355526,0.18348433,0.018174903,0.08994466,0.0049404786
S0800,0.008219025,0.0008201993,6.1296e-05,0.26971686,0.00035163682,0.99992657,0.0047507742,0.0010900337,0.0016361154,0.00012958968
S0801,0.0027713543,0.00014978099,0.7022065,0.2847061,0.0002151364,0.012657564,0.99813336,0.00065048446,0.00097332074,0.00023844939
S0802,0.0009607212,0.00052669016,1.8048893e-05,0.10585395,0.0006544193,0.00059327687,0.030854521,0.54509586,0.00042021333,0.020971695
S0803,0.00082482357,0.00035806862,0.0013707672,0.0004002559,0.0003890989,0.0011673288,0.9880117,0.000587108,8.64116e-05,0.00019657343
S0804,0.0055709844,0.0016679871,0.017741192,0.010357848,0.00016657461,0.008835947,0.00074348075,0.01155633,0.47128874,0.0023011807
S0805,0.07514133,0.00036249484,6.418132e-05,0.21812664,0.0017821157,0.85655177,0.010730287,0.078981414,0.015899787,0.030252757
S0806,0.013759961,0.007443636,0.4948584,0.124667965,0.001121279,0.19776684,0.87448233,0.0013692061,0.00039975028,0.0009096763
S0807,0.0016222873,0.0010160204,0.7507806,0.0005117084,0.00102402,0.00072059315,0.47459397,0.0035923647,0.0039887056,0.0048397155
S0808,0.0027410944,0.021644283,0.0029230719,0.008939048,0.0031733857,0.008060978,0.0011891004,0.0019278409,0.9940795,0.01457631
S0809,0.18707265,0.034779698,0.0062972587,0.0054169404,0.0006340028,0.0028195423,0.7484137,0.012251531,0.018877765,9.505339e-05
S0810,0.0011940269,0.0074276873,0.0009313391,0.0014064861,0.99220616,0.0006090652,0.001146248,0.00011859839,0.007292622,0.00065926486
S0811,0.008793444,0.000832493,0.0005230346,0.08884664,0.001095524,0.9972898,0.8810695,0.00028975584,0.00144893,0.0004023055
S0812,0.0029798879,0.090042524,0.0012701119,0.00019435654,0.00090618315,0.0130385365,0.028508697,0.0030953342,0.00032834284,0.00451976
S0813,0.004528965,0.0052994816,0.000165691,0.0004336621,0.24316289,0.0011345007,0.00019143807,0.008170178,0.004161262,0.0049638087
S0814,0.0017575676,0.00015714321,0.22440757,0.005154513,0.00061043724,0.0021440715,0.0013988981,0.00066143577,0.8980177,0.0019922128
S0815,0.0008758465,0.0009996912,0.5436953,0.6509248,0.0010888142,0.08622516,0.9978816,0.0006504274,0.001762268,0.00012385337
S0816,0.0051548867,0.47322667,0.0055056545,0.0053707287,0.0011003735,0.00084833574,0.0035177942,0.009810437,0.011903592,0.00031324383
S0817,0.0006202692,0.0019465069,0.0016082083,0.00014745313,0.00045108076,0.0010012706,0.0017982408,0.0044519436,0.0011380331,0.0010835914
S0818,0.07223666,0.08983464,0.022055883,0.036585927,0.00022946799,0.006401977,0.11701298,0.18451795,0.99924767,0.03850781
S0819,0.00029624478,0.00037624512,0.8722169,0.9465138,0.000251624,0.7313891,0.9973707,0.00025118823,0.0020168063,0.0001447003
S0820,0.0017423019,0.00041798124,0.00066650123,0.0002878933,0.00045953164,0.00041341124,0.9997149,0.00032337452,0.00017205812,0.0017350536
S0821,0.0025128722,0.00019640576,0.56548667,0.36995688,0.000286127,0.15206355,0.90206206,0.00015070199,0.009401978,0.0016244451
S0822,0.036941852,0.0005646882,0.0001959955,0.00023825032,0.008914703,0.018637577,0.35109314,0.0047972677,0.0020170577,0.0047075055
S0823,0.0028820469,0.0027642392,0.010461753,0.010816014,0.0004069605,0.0022386473,0.0016734703,0.09060881,0.99258184,0.011667974
S0824,0.0012663032,0.0010623555,0.0012702782,0.47108242,0.00048230166,0.99813926,0.6269931,0.00070674904,0.0006399204,0.00043413235
S0825,0.0013133748,0.0014905772,0.058523677,0.0013543867,0.000751918,0.00014970459,0.68820643,0.0036884502,0.71509147,0.0030728288
S0826,0.0011665163,0.031058935,1.9346075e-05,0.00015429966,0.80864125,0.00024150044,0.0012549501,0.0002342238,0.017921364,0.000111428024
S0827,0.0024908965,0.00036823243,0.16563235,0.019876482,0.0002188501,0.98992443,0.8652148,0.0002310773,0.0006188629,0.00032252198
S0828,0.0016830564,0.0006391954,0.06612097,0.90663415,0.0001583536,0.04443549,0.050967347,0.0006009807,0.006166125,0.0014918695
