sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.0028326523,0.0018995788,0.0031556482,0.0020968963,0.0009450539,0.0059093013,0.0038784128,0.121212006,0.0031621829,0.0021178175
S0767,0.012292013,0.0076527875,0.0017540006,0.020730041,0.00056293653,0.007063126,0.02034382,0.19044408,0.024576014,0.0011088448
S0768,0.87872607,0.062079653,0.0010970962,0.012390411,0.0018688659,0.0047133807,0.25841454,0.37881875,0.012919154,0.0010397756
S0769,0.002360139,0.0033515955,0.026353654,0.013317414,0.0006818599,0.9766525,0.013433315,0.0033808,0.9378692,0.002724213
S0770,0.012205649,0.0018331854,0.0027731496,0.23342289,0.0011992109,0.99706393,0.96331406,0.0010705772,0.0031145525,0.00070588774
S0771,0.043752156,0.20911925,0.0031698837,0.32713842,0.002171373,0.43942964,0.5828948,0.14794302,0.06883155,0.0011330638
S0772,0.012469843,0.002261951,0.0060169417,0.014417494,0.0006818599,0.02370569,0.94666547,0.0032874546,0.0023044047,0.0006829678
S0773,0.0032455116,0.027148873,0.0039688284,0.26051518,0.0018627173,0.5293118,0.052097853,0.009426747,0.0063139186,0.001659507
S0774,0.31279367,0.00238497,0.0022574402,0.001192421,0.00056293653,0.003114761,0.056903474,0.15123397,0.0030283218,0.0007792265
S0775,0.0366426,0.0023954965,0.01341355,0.016957514,0.00056293653,0.008956305,0.91012466,0.0030974625,0.005927053,0.0008768907
S0776,0.01693358,0.011710292,0.7114061,0.050685983,0.00056293653,0.015641145,0.027233556,0.0053786384,0.0056154523,0.0008641602
S0777,0.002734746,0.0025814788,0.7950876,0.010729761,0.0022479873,0.0035315608,0.011315525,0.07016357,0.0037436273,0.0024832983
S0778,0.8519636,0.857548,0.0028222853,0.91549957,0.00089807366,0.3846386,0.5403363,0.83775395,0.9409994,0.0009746161
S0779,0.009333034,0.025947908,0.09847895,0.14950801,0.0019063526,0.020814309,0.07966268,0.004491842,0.12676395,0.041580193
S0780,0.002863235,0.0023775287,0.012789068,0.007164417,0.0005962933,0.99740136,0.6682632,0.0013410336,0.0038133583,0.0008243399
S0781,0.0028343012,0.0023349037,0.029784076,0.0015493296,0.0006818599,0.0023097566,0.1309424,0.002616435,0.0028279435,0.0009049485
S0782,0.013533073,0.003527608,0.0022567175,0.0030465226,0.001077245,0.005960128,0.22705832,0.034706946,0.006305879,0.06363681
S0783,0.3173922,0.0039724507,0.0019881355,0.032807846,0.00064257986,0.6222402,0.865431,0.0029641222,0.12593679,0.00082152203
S0784,0.41626453,0.0040331557,0.0027377803,0.0017329569,0.00056293653,0.003020299,0.010905382,0.1339084,0.0016143458,0.0027164177
S0785,0.037439536,0.01593911,0.001288979,0.0047274,0.00056293653,0.014538367,0.025088314,0.020691112,0.18183553,0.23654012
S0786,0.0018145717,0.0023336946,0.005827626,0.8372379,0.0006818599,0.9928911,0.98993915,0.0015137042,0.00092497194,0.00072904356
S0787,0.008844353,0.0014052906,0.5576203,0.3142924,0.00056293653,0.25597203,0.9825216,0.00467218,0.0024322812,0.0007339463
S0788,0.9904626,0.9863987,0.0024521905,0.993238,0.0017720347,0.97081304,0.98925894,0.99608624,0.9742362,0.002037497
S0789,0.016382497,0.0022632342,0.0019144991,0.003508643,0.00059980963,0.0041632084,0.68901324,0.4857387,0.003491211,0.0012410022
S0790,0.0012335518,0.006160721,0.0014053629,0.009274167,0.00056293653,0.014674936,0.98899454,0.0022788176,0.0012583984,0.000755779
S0791,0.0016228844,0.0018528767,0.10047819,0.8546847,0.0007736915,0.7924301,0.99205875,0.0048959414,0.001138018,0.00069021544
S0792,0.0068464037,0.002923329,0.93949455,0.0082939165,0.00059980963,0.0077633597,0.01694858,0.0063863113,0.0028069334,0.00088775327
S0793,0.008962491,0.09790342,0.007935378,0.010957097,0.005057932,0.02025321,0.0025589094,0.0045579635,0.012587669,0.0026254898
