sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.0035522897,0.013144737,0.0036710894,0.005784125,0.0037014843,0.014208794,0.010156706,0.017342413,0.9600249,0.0024727513
S0767,0.0094026225,0.95560277,0.004218357,0.05974893,0.020805815,0.02049806,0.018698746,0.024222128,0.015963428,0.0041905534
S0768,0.046166446,0.0041141626,0.040251102,0.0037537194,0.0009041103,0.96843296,0.019569242,0.009751789,0.0174057,0.00087243074
S0769,0.009881333,0.89954233,0.007805051,0.83019984,0.0018132904,0.0030825052,0.027388236,0.001789511,0.8432268,0.0007868756
S0770,0.0030836686,0.0031930339,0.03208636,0.96536916,0.0005594613,0.99098665,0.99062973,0.0026051856,0.0038096935,0.00096448197
S0771,0.008954807,0.01696836,0.0022891283,0.021357274,0.98039037,0.0019259105,0.0046634953,0.0058375197,0.005786432,0.00092200184
S0772,0.0021406095,0.0035571049,0.76392066,0.01767921,0.0019658548,0.03481506,0.85257435,0.018235756,0.010602274,0.0011839117
S0773,0.003122712,0.012126468,0.0039662034,0.9403672,0.0016761882,0.94218546,0.011286764,0.029149864,0.0052134222,0.0009231595
S0774,0.0031447413,0.020757968,0.003459747,0.94219446,0.0040259603,0.0035214801,0.0625414,0.02518442,0.0046355384,0.007973053
S0775,0.002648865,0.0077327574,0.0027006085,0.0823012,0.0010744967,0.992818,0.022876294,0.013222406,0.0049725026,0.0013706158
S0776,0.005022389,0.004924342,0.01019129,0.93883455,0.0016088471,0.013758829,0.011870462,0.0060153026,0.98028976,0.0041428586
S0777,0.009760423,0.0047281133,0.0017595917,0.0056115235,0.0013348458,0.0035273198,0.96306455,0.0053428374,0.004500067,0.0038219374
S0778,0.0014434871,0.0013966317,0.9801998,0.9225625,0.0008741274,0.008214497,0.9538462,0.001681983,0.0018719095,0.00086668105
S0779,0.0028719776,0.0036368507,0.0054296437,0.005253932,0.0005594613,0.99114275,0.007940638,0.0033539918,0.008052053,0.9816026
S0780,0.002367081,0.004069885,0.97110265,0.95458734,0.0005594613,0.029138763,0.982789,0.0020339768,0.007989299,0.00081467564
S0781,0.0022867369,0.0018208876,0.026277618,0.9880121,0.00083449367,0.0081044175,0.020737715,0.0036520737,0.0063584233,0.0011912602
S0782,0.9877764,0.9840126,0.007103955,0.9858781,0.0005594613,0.9819308,0.9578413,0.9818131,0.98485017,0.029647984
S0783,0.04143109,0.0026491662,0.007133364,0.00820078,0.00070624205,0.016636955,0.020146254,0.0045232046,0.0034036895,0.0017341337
S0784,0.04849391,0.0045700297,0.0020564115,0.00220153,0.0005594613,0.0054361057,0.9766277,0.007830935,0.0016013118,0.0007826788
S0785,0.01230654,0.0114340605,0.0030346452,0.9751532,0.0018137497,0.015127189,0.0076664514,0.0126477415,0.97906494,0.9498514
S0786,0.004245105,0.02130882,0.002504017,0.002913149,0.9937928,0.0014983923,0.0013179547,0.0022264048,0.004586467,0.001506721
S0787,0.915951,0.0063770413,0.0046066,0.004519198,0.0010744967,0.0012728942,0.01711287,0.03587897,0.017450176,0.013557078
S0788,0.007896286,0.0028141432,0.85636157,0.0080314595,0.0011727186,0.0018138447,0.010669505,0.020138623,0.0055263233,0.001715663
S0789,0.0026748104,0.0025838506,0.95023876,0.9815025,0.00059224915,0.0773422,0.9836037,0.0034024394,0.0020556473,0.0010751407
S0790,0.009319984,0.0020397168,0.0018014637,0.0011551215,0.0005594613,0.86407983,0.09047653,0.0015813081,0.0045500775,0.0012884376
S0791,0.003964139,0.9364024,0.0012722482,0.0057298196,0.002048013,0.0039234236,0.012660448,0.0036674074,0.0036257883,0.014698398
S0792,0.98728824,0.9952048,0.0026307467,0.98642284,0.0006283931,0.9816128,0.9914631,0.9889654,0.99117285,0.003576173
S0793,0.023362925,0.0053652143,0.0022295127,0.0037506376,0.0007609969,0.011337124,0.048778277,0.0021807307,0.011503442,0.0018870179
S0794,0.9433878,0.004257471,0.0032867985,0.0071355053,0.0033680159,0.007965212,0.015065375,0.016556617,0.013815802,0.009903752
