sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.0017076723,0.010610075,0.0037691505,0.004754674,0.00082073256,0.004557985,0.0042520324,0.012103795,0.0045833285,0.006831253
S0767,0.033764202,0.015161163,0.00317631,0.011844835,0.00049431785,0.020211685,0.08358219,0.0874359,0.047070134,0.0015476178
S0768,0.98154056,0.026138674,0.009209827,0.020034466,0.010430212,0.015108098,0.8678022,0.96851146,0.10238566,0.0012291501
S0769,0.0008744672,0.0027862513,0.04686833,0.03372242,0.00064207846,0.9844409,0.02879478,0.0021613655,0.9526408,0.004041932
S0770,0.0018407817,0.0019909486,0.0063321404,0.8670868,0.0006425318,0.9961926,0.9739247,0.0022326356,0.0035958947,0.00084895804
S0771,0.011812363,0.04655482,0.012129457,0.05431242,0.00082280056,0.012465328,0.043732353,0.01810985,0.0081094485,0.0022101738
S0772,0.0057039005,0.0021119143,0.01299079,0.011740079,0.0005379328,0.016792951,0.9084277,0.0029709802,0.0012410193,0.0007131739
S0773,0.0038808142,0.0033235222,0.022249907,0.3024811,0.00096285634,0.169814,0.03249194,0.002623278,0.0016683365,0.0008621521
S0774,0.83216643,0.007493284,0.006559953,0.012890066,0.0005379328,0.0043252856,0.013217752,0.025366755,0.012430071,0.0010495231
S0775,0.039460182,0.0010555192,0.02275379,0.0075441413,0.0005228048,0.014395996,0.91800624,0.0015118539,0.014873022,0.0009982184
S0776,0.018219534,0.0032288837,0.9479927,0.022714464,0.0009912706,0.022373635,0.030020306,0.012867763,0.004195563,0.0012878015
S0777,0.034537982,0.008728448,0.89454603,0.05289425,0.00082280056,0.009031957,0.026959391,0.007236726,0.009519693,0.007393535
S0778,0.98073125,0.94979334,0.014954382,0.90283203,0.0030245606,0.95534813,0.9265791,0.9711577,0.9652501,0.0013711393
S0779,0.0073852777,0.009024508,0.028435105,0.019875353,0.0016872045,0.0045880717,0.010669541,0.0038657042,0.9486653,0.008826598
S0780,0.0062682037,0.00239551,0.031057438,0.031440403,0.00068545475,0.9980205,0.9257553,0.0011423979,0.019176694,0.0011106445
S0781,0.013363896,0.0013325487,0.0009333196,0.0051921825,0.000739911,0.0009915025,0.010900635,0.0051857927,0.0014615149,0.0008565762
S0782,0.97054803,0.0014844234,0.0017203743,0.0076189167,0.0019054599,0.006994635,0.17744017,0.022986386,0.0020523758,0.0034977896
S0783,0.013451629,0.001568015,0.006216551,0.010469976,0.0006947,0.89575726,0.06323314,0.0026078904,0.87313604,0.0016566607
S0784,0.1150856,0.0062356805,0.002300838,0.013843583,0.0008378736,0.008893053,0.018041378,0.8798352,0.0023671011,0.0023979465
S0785,0.6910288,0.0010119785,0.010781943,0.5650015,0.0006421385,0.0038165802,0.8687911,0.7697999,0.89347947,0.83134216
S0786,0.000720185,0.001621736,0.012621383,0.90684426,0.0004943746,0.98480415,0.99113303,0.0010294351,0.001403199,0.0007607362
S0787,0.001340464,0.0011221932,0.9439042,0.09388218,0.0005823075,0.083746515,0.9716114,0.0029685618,0.004279649,0.0006318207
S0788,0.9852328,0.9851745,0.0013636688,0.98961323,0.0008711801,0.97823685,0.9709259,0.99462837,0.9700998,0.0026711088
S0789,0.005031762,0.009226533,0.0011417854,0.027090201,0.00047417692,0.013646466,0.057028968,0.956468,0.022022989,0.0010396378
S0790,0.0077056205,0.00581192,0.0033922393,0.0073899836,0.00065669446,0.0053953193,0.97671276,0.0014587666,0.0043521463,0.000953356
S0791,0.0016370144,0.0009909874,0.057503913,0.93755263,0.00095283333,0.87471694,0.96737176,0.0022018712,0.003422447,0.00053885113
S0792,0.013038457,0.0010004758,0.9411116,0.029874563,0.00055831147,0.03125769,0.028341847,0.0017774487,0.0036715707,0.00096367265
S0793,0.0032762554,0.094965376,0.0019492991,0.009732165,0.017403547,0.0019234702,0.003557181,0.006164109,0.004174165,0.00074079004
S0794,0.0040389155,0.006534069,0.0013908473,0.9712153,0.0011431898,0.002207666,0.025172533,0.025214111,0.0039549884,0.004124043
S0795,0.004683278,0.0031824126,0.0027814459,0.005909287,0.00078101654,0.007757229,0.9558431,0.005994048,0.0021517773,0.0027561958
S0796,0.0035445965,0.0009340326,0.11523664,0.007068512,0.00045901595,0.0032029722,0.9354027,0.001150745,0.020246195,0.0007069289
S0797,0.017249873,0.0013180809,0.0074437596,0.029625272,0.0005130561,0.0034944124,0.026428984,0.0025331334,0.97301763,0.029765457
S0798,0.0029566754,0.014277933,0.0009667492,0.007930293,0.98053014,0.002703132,0.0037425712,0.0014472151,0.0028423246,0.0054940376
S0799,0.020406634,0.020727076,0.07945698,0.015906675,0.0010725703,0.009480061,0.027936233,0.009209253,0.0041677537,0.0019197701
S0800,0.0035191486,0.001986421,0.008756701,0.89547753,0.00045901595,0.9726064,0.081766516,0.0025398147,0.019852553,0.0009424058
S0801,0.0014399503,0.0014984666,0.9302526,0.94941753,0.00044225997,0.013679058,0.9850065,0.0015511262,0.001424933,0.00052139023
S0802,0.0030857655,0.0034556591,0.0022311935,0.11883928,0.0011431898,0.0019410455,0.012230152,0.81735075,0.003948187,0.006375192
S0803,0.0044661216,0.0013895564,0.8842671,0.006270761,0.0005423705,0.0026817482,0.9703343,0.0013024458,0.0054991962,0.0010641002
S0804,0.0021585247,0.004552192,0.005178025,0.05446396,0.00055007945,0.0016979785,0.0027762281,0.021622635,0.9018363,0.0008126705
S0805,0.0067024473,0.0015086742,0.0024727725,0.017021637,0.00078101654,0.97866356,0.1329652,0.024109995,0.053921543,0.004050358
S0806,0.0011028254,0.0033976617,0.9417225,0.08431372,0.0007022524,0.024970312,0.893787,0.006724754,0.0023155184,0.0011958088
S0807,0.011241858,0.0012351613,0.9763984,0.005218893,0.0014542179,0.005552223,0.94941485,0.0022482076,0.01610793,0.0007620397
S0808,0.0037664745,0.0024960723,0.025233122,0.004462506,0.0015506145,0.005787428,0.003010272,0.00339491,0.9891182,0.0029283187
S0809,0.0066132904,0.005536002,0.0051944316,0.019797962,0.0006533331,0.012319002,0.027209068,0.001992373,0.026426347,0.0011287003
S0810,0.0062281475,0.0064290925,0.00078753615,0.022391003,0.986635,0.0018008009,0.005290402,0.002058147,0.0018754865,0.0017256843
S0811,0.002880752,0.003885748,0.0050091078,0.053834755,0.00064207846,0.9980866,0.934599,0.0029206837,0.009813269,0.0041108057
S0812,0.0037845548,0.99307775,0.0013258082,0.005300326,0.005281191,0.004757613,0.0065445984,0.005694678,0.004867847,0.0054872055
S0813,0.001714968,0.006793792,0.00076462456,0.0066713355,0.9881571,0.0022928254,0.003946192,0.0008881247,0.0032856255,0.002617351
S0814,0.04853208,0.0016567728,0.9812645,0.012802132,0.002118536,0.0054788715,0.00483955,0.0062666056,0.022148421,0.0008918453
S0815,0.003819865,0.0014872921,0.033394534,0.09343126,0.00044225997,0.93213755,0.9566748,0.003964412,0.007222985,0.000514923
S0816,0.028771773,0.0027303852,0.044997353,0.003690906,0.0015524228,0.0039591887,0.057680156,0.0050890995,0.001708544,0.0009913613
S0817,0.0070409523,0.0020564417,0.0009899159,0.0063660857,0.000739911,0.0010002332,0.00862831,0.0028709413,0.0017830728,0.0009231987
S0818,0.021621445,0.007875034,0.0025627108,0.96403825,0.00055007945,0.009461631,0.006382793,0.0132634435,0.97438693,0.007183575
S0819,0.0016357509,0.0009214376,0.9742235,0.97766626,0.00045897305,0.011621732,0.93078774,0.0010632039,0.0032651923,0.00062368665
S0820,0.0019948217,0.0017814431,0.012209904,0.009225963,0.00056437205,0.0038381403,0.99042237,0.0013124188,0.0015240714,0.0012320024
S0821,0.0013972371,0.00089367165,0.98752195,0.92119247,0.00045901595,0.013767885,0.978555,0.00084316474,0.005953662,0.00067909627
S0822,0.022962267,0.0009572461,0.0022459552,0.006672647,0.0010537273,0.0038490747,0.94900167,0.0068811476,0.0043255324,0.0028428421
S0823,0.0044197314,0.0011376543,0.014497344,0.009764294,0.0026441263,0.004607763,0.004510058,0.0032977608,0.9944587,0.0007075014
S0824,0.0034921565,0.0010483364,0.006143831,0.89821196,0.00055831147,0.98163646,0.11213553,0.0014996507,0.0015856004,0.0010840085
S0825,0.0054263053,0.0048918985,0.9647411,0.04945393,0.00045901595,0.019500991,0.9186136,0.001420353,0.0045123473,0.0007831824
S0826,0.0015550066,0.0053714802,0.0007828078,0.012674333,0.9564885,0.004493915,0.0076707117,0.00089662784,0.0014505921,0.0011584437
S0827,0.0032242432,0.0007644989,0.92568517,0.05129758,0.0005130561,0.0855937,0.10298002,0.0009344536,0.005210008,0.00090405304
S0828,0.0013264074,0.0009035045,0.9513099,0.068198785,0.000513104,0.0074226935,0.012067984,0.0023878817,0.006123367,0.0007623172
S0829,0.0032561263,0.001247921,0.0057236,0.010652475,0.0024173593,0.005087678,0.004162938,0.002563748,0.9739489,0.0005528039
