sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.0021231158,0.004970358,0.0032533496,0.0043326826,0.00086280133,0.0031965647,0.0065139835,0.799322,0.003397844,0.0017779624
S0767,0.024597093,0.0072653154,0.0009204574,0.01565973,0.00086280133,0.005499535,0.004604941,0.1219364,0.022870837,0.00072695635
S0768,0.43435955,0.07256253,0.0008530973,0.0064068018,0.001689453,0.0034317411,0.13514435,0.93923885,0.030835414,0.0006342131
S0769,0.004024928,0.003047254,0.005161217,0.010978645,0.00086280133,0.9934562,0.011854344,0.006675065,0.065841034,0.0024227167
S0770,0.0044133137,0.0011551033,0.0036098338,0.19576292,0.0010700822,0.99643046,0.9760617,0.0009755893,0.0044521783,0.0010120152
S0771,0.06105492,0.0068473076,0.0058953622,0.058444817,0.00086280133,0.03727331,0.020423139,0.0429207,0.021515625,0.0008824878
S0772,0.008621313,0.0011369074,0.008507743,0.014823757,0.00086280133,0.20832579,0.9739854,0.0061752307,0.0039733266,0.0010541872
S0773,0.0023741077,0.02445941,0.00963646,0.3332036,0.00086280133,0.22727938,0.022348715,0.008067878,0.01334417,0.0017779624
S0774,0.17239444,0.0009714035,0.0057305777,0.0025581196,0.00086280133,0.0061873402,0.016398532,0.19254969,0.0023066807,0.0009858819
S0775,0.030870361,0.0015112732,0.007899257,0.04246838,0.00086280133,0.003492543,0.96079314,0.0076661687,0.0041001784,0.0004628146
S0776,0.01372964,0.0048684636,0.76645005,0.044242725,0.0015417859,0.008495708,0.03836377,0.008044934,0.0053661787,0.0010204653
S0777,0.0038927123,0.0051032575,0.8738418,0.0063854526,0.00086280133,0.0062259287,0.021032048,0.050426103,0.005736879,0.004267055
S0778,0.8552557,0.9602309,0.012139551,0.86745805,0.00086280133,0.94667435,0.59328884,0.93449914,0.5840749,0.00067343534
S0779,0.04145529,0.01820894,0.061317693,0.045300446,0.00207705,0.4362208,0.007273399,0.008085641,0.081767514,0.051017966
S0780,0.012403127,0.0054318407,0.004818301,0.0058132317,0.00207705,0.99787974,0.66817945,0.0018102911,0.0059743207,0.0005598574
S0781,0.0014200616,0.0021062815,0.0027088597,0.0024633761,0.00086280133,0.000820688,0.003247161,0.004915126,0.0026022545,0.0009922165
S0782,0.05149253,0.0065847854,0.010277993,0.003829914,0.027158976,0.014563076,0.17416853,0.057740923,0.0101379305,0.009263027
S0783,0.016504824,0.00088649296,0.0021634446,0.13645703,0.0011089732,0.60955954,0.36492878,0.0015558567,0.005952979,0.0010427013
S0784,0.27734298,0.0040815985,0.0015553996,0.003098333,0.00086280133,0.0034428663,0.011600506,0.105436414,0.0026234514,0.0027982646
S0785,0.07448318,0.0020128512,0.0031249346,0.011472603,0.00091590785,0.0052666645,0.0072298236,0.046072815,0.14712875,0.87296563
S0786,0.0010657253,0.0010997222,0.018840443,0.8972157,0.00086280133,0.988384,0.98305285,0.0007461929,0.0008177243,0.0006849203
S0787,0.029094912,0.001818614,0.31932074,0.23745272,0.00086280133,0.16811422,0.9841382,0.004289481,0.0020803427,0.00107018
