sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.001499892,0.0023681046,0.0038461448,0.0025198609,0.00063436513,0.0018911617,0.0072453097,0.06470449,0.003530539,0.0012584062
S0767,0.023007657,0.0038714374,0.0010176179,0.0046655214,0.00063436513,0.0032810674,0.011697871,0.032788243,0.0061805854,0.0005721173
S0768,0.9684852,0.031628907,0.0012272443,0.021179186,0.0013998043,0.0047288025,0.9310225,0.9778335,0.016736658,0.00086991175
S0769,0.0019741885,0.0011029132,0.008039505,0.010297428,0.0007171807,0.9944457,0.005793137,0.0013245298,0.9335491,0.0009316293
S0770,0.0014747812,0.001583241,0.009604716,0.9270465,0.0007660898,0.99600875,0.9924108,0.0009130704,0.0015135955,0.0008876421
S0771,0.023850188,0.004020616,0.0027236987,0.015395287,0.00063436513,0.018114608,0.018512921,0.023959804,0.007627026,0.00055265694
S0772,0.005237798,0.00092322595,0.0055001243,0.005341067,0.00063436513,0.006314643,0.98581195,0.001535065,0.0023483033,0.0007090542
S0773,0.0017620214,0.015810613,0.0056837993,0.07235037,0.00063436513,0.09112684,0.012534163,0.00695074,0.0076892483,0.0014761932
S0774,0.95482135,0.0012738797,0.0039434754,0.0014339656,0.00063436513,0.0036334153,0.013243905,0.034385048,0.0030706106,0.0005469058
S0775,0.017185412,0.0012398232,0.0055822567,0.019674206,0.00063436513,0.0015599852,0.9879693,0.003588808,0.0061626164,0.00039851668
S0776,0.0059561147,0.0032720927,0.9592338,0.01166908,0.00091861974,0.008290108,0.018966205,0.0041118404,0.005119732,0.00085577177
S0777,0.0018177157,0.0041187233,0.9664708,0.0026628294,0.0006866961,0.0026099451,0.011446307,0.013934951,0.0035983883,0.001751
S0778,0.9801748,0.97379994,0.0031507083,0.9849799,0.00063436513,0.9797785,0.975738,0.98712224,0.9808699,0.00055265694
S0779,0.010596503,0.008453793,0.011884935,0.01780981,0.0016389787,0.01342919,0.008555794,0.0053222934,0.9676973,0.020843975
S0780,0.021713255,0.0042606313,0.01626261,0.003995573,0.0016389787,0.9986603,0.95911723,0.0012400983,0.0054982393,0.00053358526
S0781,0.0018656844,0.0014890076,0.003764868,0.0017766308,0.00063436513,0.00077507115,0.003133534,0.0027411112,0.003178012,0.00066942733
S0782,0.95052606,0.0049603735,0.002488365,0.010125125,0.011750231,0.008994622,0.03227909,0.010151865,0.0053783148,0.0027481762
S0783,0.006508936,0.0011147307,0.002815965,0.0150316255,0.00063436513,0.98676664,0.023287298,0.0032063413,0.9280843,0.0012576125
S0784,0.047961958,0.0026320997,0.0018439629,0.0021661813,0.00063436513,0.003533085,0.005442828,0.9580676,0.002088521,0.0013851679
S0785,0.9452711,0.0042303503,0.0019962196,0.90006226,0.00063436513,0.008572187,0.8831564,0.90788364,0.93340886,0.983052
S0786,0.0008384379,0.0007187565,0.0059281066,0.987313,0.00063436513,0.99603313,0.9923592,0.0008967693,0.000746424,0.00051185983
