sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.0037886724,0.003999708,0.00557021,0.0027424751,0.0009104897,0.0046993042,0.0044405814,0.5020983,0.0030208547,0.0016660705
S0767,0.090303496,0.02952033,0.0019031435,0.009118573,0.0009104897,0.0042918744,0.025314681,0.24178119,0.015779672,0.00065224874
S0768,0.75547755,0.09380241,0.0008791621,0.014194488,0.0010804979,0.021839255,0.0840205,0.8289497,0.013903824,0.0008030078
S0769,0.0057069515,0.0039937953,0.0064384597,0.0074105407,0.0009104897,0.99303776,0.017753063,0.0043118293,0.202248,0.003517657
S0770,0.006212628,0.006249477,0.0059756576,0.43840405,0.0009104897,0.99601126,0.9146735,0.0013880666,0.0019129161,0.0008278196
S0771,0.007729034,0.003004113,0.0038198791,0.009762916,0.0009104897,0.0047445083,0.015191032,0.0100180665,0.01048391,0.00080360455
S0772,0.017327199,0.0024230995,0.009580498,0.0650158,0.0009104897,0.12966236,0.9659305,0.0058940686,0.002501404,0.0012482211
S0773,0.0021748638,0.027805174,0.013162563,0.37495685,0.0009104897,0.067653164,0.022398153,0.025501631,0.0041282126,0.0016325574
S0774,0.1534785,0.0014463237,0.0022009497,0.0050488263,0.0009104897,0.011369922,0.039806303,0.13511546,0.0017273345,0.0012469247
S0775,0.035449587,0.0040639704,0.0024247172,0.07256786,0.0009104897,0.0053962125,0.95165247,0.007015671,0.00774837,0.0007865297
S0776,0.0073630544,0.0032326782,0.625506,0.078240275,0.0013560221,0.013085039,0.019450886,0.0083785,0.0066891303,0.0015418828
S0777,0.0057276827,0.004009377,0.8979188,0.0084765665,0.0009104897,0.0045098015,0.01220558,0.04161567,0.005962137,0.0015283828
S0778,0.663674,0.9272867,0.003067188,0.92802405,0.0009104897,0.891368,0.20633088,0.61432904,0.46115556,0.00081860146
S0779,0.022872265,0.016236532,0.07369851,0.05720134,0.0076821935,0.60163873,0.006012287,0.0023445864,0.30097568,0.13583836
S0780,0.006962071,0.0036295129,0.006078651,0.0053561553,0.0017681447,0.9969902,0.5717279,0.0012508741,0.016779691,0.0007307321
S0781,0.008694847,0.0036749453,0.0026673297,0.003327693,0.0009104897,0.0020114072,0.0033482667,0.008032918,0.005984867,0.0007754117
S0782,0.153891,0.009262651,0.0027120253,0.007743796,0.013700092,0.027696744,0.19030114,0.04146793,0.009163005,0.013903732
S0783,0.035249062,0.0030959419,0.0052249837,0.19963786,0.001450282,0.40652725,0.11966136,0.010703226,0.05569438,0.0024381252
S0784,0.20768714,0.004260085,0.0022480686,0.0037911877,0.0009104897,0.0032657494,0.024618814,0.08591558,0.0031391676,0.0018967593
S0785,0.23256096,0.0044728452,0.0020583614,0.023352597,0.0011722328,0.0019438548,0.0033120257,0.009158313,0.13267075,0.65837914
S0786,0.0020907877,0.0012486278,0.0117943045,0.85715234,0.0009104897,0.98860556,0.98612297,0.0016946977,0.0010089956,0.0007055014
S0787,0.021049183,0.00205849,0.15711391,0.5107172,0.002240737,0.28233,0.99130416,0.007184728,0.0017110653,0.0011518241
S0788,0.9637618,0.87951094,0.0012366864,0.8685924,0.0009104897,0.56594896,0.97785896,0.9645425,0.91806525,0.024490206
S0789,0.008553954,0.029648362,0.0021467193,0.014474676,0.001450282,0.061020315,0.2383924,0.49760965,0.012795915,0.0051221154
S0790,0.0019320577,0.003157851,0.0024342858,0.011527737,0.0009104897,0.003036013,0.9959252,0.002357511,0.0023217814,0.00065852545
S0791,0.0018601376,0.0028716445,0.5529612,0.5760757,0.0050325883,0.109875135,0.99502325,0.0028279393,0.0013709964,0.002222859
S0792,0.007625045,0.008978973,0.51917315,0.020491607,0.0009669639,0.0023582142,0.042063653,0.0022353344,0.0038236335,0.0004757434
S0793,0.01766513,0.08929586,0.008379415,0.046269517,0.84986275,0.019547224,0.03871967,0.0071343333,0.013227022,0.032923065
S0794,0.0075974124,0.003364204,0.002201734,0.8740538,0.001450282,0.002025953,0.010538171,0.25396407,0.0047087613,0.002547989
S0795,0.022854742,0.0013147802,0.0016945112,0.002189421,0.001450282,0.007946451,0.9707154,0.0051665227,0.0016227321,0.004411441
S0796,0.002169542,0.0011883882,0.33521536,0.004902048,0.0009104897,0.17765087,0.9504667,0.0015146869,0.006736998,0.0008715442
S0797,0.04576529,0.0048566456,0.017618315,0.015833825,0.0009104897,0.0050087585,0.012920693,0.0051432964,0.98394436,0.0014108664
S0798,0.005889642,0.075272486,0.0018081479,0.009289149,0.9060878,0.010760065,0.008607174,0.006127124,0.0028083336,0.0018750322
