sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.0028734242,0.0019747063,0.0046315333,0.00403835,0.0010198273,0.0028894024,0.00909086,0.64541507,0.0043237745,0.0011983458
S0767,0.03768195,0.042263035,0.001388251,0.02937189,0.0006896684,0.00899254,0.023700701,0.19107494,0.01523767,0.0006544399
S0768,0.18712722,0.25429994,0.0014020295,0.003022501,0.0015818051,0.0021949834,0.17151035,0.8295098,0.028865954,0.00092728203
S0769,0.0030454916,0.0015407667,0.011536358,0.034698673,0.0007392291,0.9695239,0.016576301,0.0035207355,0.97847706,0.0019565662
S0770,0.0051250784,0.0010892698,0.0024622234,0.2861748,0.001506998,0.99343383,0.967649,0.0012678752,0.0047555836,0.0006244176
S0771,0.034101076,0.03088589,0.0057567684,0.018099891,0.0022044017,0.5703015,0.11146319,0.20519118,0.011037327,0.0016687195
S0772,0.01660874,0.002044956,0.014500902,0.021556614,0.0006896684,0.05515392,0.9693704,0.0058515915,0.0018718374,0.00067062397
S0773,0.0026755764,0.01565444,0.009811967,0.57433504,0.0013956266,0.7056408,0.035450738,0.01002073,0.007239255,0.0016581251
S0774,0.1341231,0.0013408138,0.0020973475,0.0016342782,0.0006896684,0.0025221608,0.020312678,0.089641616,0.0029949525,0.0005007295
S0775,0.04915753,0.0018924662,0.017027685,0.00874171,0.0006896684,0.021896934,0.891859,0.0043592746,0.011708444,0.0006006526
S0776,0.010515275,0.0052142087,0.91759634,0.06422076,0.00072964095,0.032796394,0.014244538,0.0038479522,0.006515816,0.0004488794
S0777,0.013912593,0.06204336,0.81069756,0.009767402,0.0023366138,0.0034897197,0.014342752,0.055439156,0.006178676,0.0028509966
S0778,0.89539164,0.87847596,0.003877562,0.7844732,0.0007780004,0.89053696,0.6237876,0.6935451,0.6422133,0.0015595247
S0779,0.025438784,0.02177558,0.062186908,0.07423524,0.0010265278,0.019579167,0.017508343,0.014166931,0.40077987,0.09255719
S0780,0.010418579,0.0022370378,0.01835512,0.00973291,0.00073623384,0.99778,0.69144726,0.001346238,0.004236954,0.00068976334
S0781,0.0033185158,0.008385067,0.010823134,0.0016709316,0.0006896684,0.0020163716,0.1338591,0.004389874,0.003877127,0.0009054427
S0782,0.028998343,0.012025301,0.002503787,0.0027845069,0.0011333207,0.0045542885,0.06734751,0.020505527,0.008154671,0.041481644
S0783,0.008717345,0.002545731,0.0072667943,0.034937114,0.0006896684,0.9131525,0.85089326,0.0039586565,0.0071694106,0.001490043
S0784,0.611124,0.005051668,0.0023373745,0.0022376773,0.00072964095,0.0028795376,0.004399215,0.33917758,0.0043060314,0.0022533133
S0785,0.111409575,0.14891508,0.0033964396,0.07122168,0.0006896684,0.04548457,0.028939264,0.16973557,0.29461074,0.32602462
S0786,0.00155866,0.0008657293,0.03922952,0.7838306,0.0006896684,0.9823893,0.9944899,0.0015595722,0.0010501196,0.0006664355
S0787,0.011914068,0.0017434002,0.26861167,0.33191115,0.0006896684,0.79888105,0.96780664,0.014561038,0.001583471,0.00068221934
S0788,0.9825205,0.9810209,0.0019385435,0.9897194,0.0017326897,0.9840477,0.98955905,0.9662651,0.9855666,0.013597247
S0789,0.005901424,0.0024692384,0.002984588,0.006853514,0.0006896684,0.016423086,0.34233913,0.12974015,0.0044391905,0.0006745726
S0790,0.0025518953,0.0019287659,0.0020693059,0.009191847,0.0006896684,0.011777754,0.9916694,0.0020412295,0.0017121042,0.00065166835
S0791,0.0008242206,0.0009364621,0.100704,0.7146481,0.0007499155,0.5438447,0.98657817,0.0030505587,0.0011975687,0.00065574475
S0792,0.019125298,0.0019420645,0.86364275,0.014133631,0.0006896684,0.014167616,0.010873114,0.0075510927,0.005620151,0.0006878213
S0793,0.0050181537,0.028928457,0.0050278674,0.00481302,0.0034296233,0.0077393716,0.004752042,0.003406667,0.12256296,0.0017548793
S0794,0.0045905528,0.015367644,0.0021260413,0.8536649,0.0029088128,0.0045973975,0.020742679,0.07880944,0.0056094006,0.0029357527
S0795,0.00892819,0.0016026335,0.0013483815,0.004962735,0.0006896684,0.013436014,0.96355516,0.0030531585,0.0014163064,0.0016403978
S0796,0.0009008698,0.0017596454,0.62083435,0.0023728013,0.0006896684,0.006090085,0.7719813,0.0009676822,0.0025326984,0.00069769885
S0797,0.09774574,0.0021636311,0.030862186,0.0041426932,0.0007392291,0.0078832675,0.004724601,0.0023911109,0.9767923,0.018678682
S0798,0.0030648645,0.030011702,0.0008944111,0.007833547,0.9815569,0.002087257,0.0073906276,0.004588627,0.002530679,0.004338197
S0799,0.0041253064,0.0070221247,0.062335633,0.702299,0.0030352671,0.013591889,0.022541337,0.057006,0.007857532,0.0026878805
S0800,0.0023340643,0.000636503,0.0027910038,0.26045996,0.0006896684,0.7830844,0.028562391,0.0010813067,0.002378281,0.0008755933
S0801,0.005900523,0.002915901,0.51220125,0.9432533,0.0006896684,0.09715548,0.99277014,0.015809292,0.0048964177,0.0006006526
S0802,0.0025114908,0.0060994467,0.001599385,0.0327105,0.0029088128,0.0032078035,0.011959204,0.8058402,0.005267064,0.0029357527
S0803,0.0020683194,0.0063808463,0.47385994,0.009328586,0.0006896684,0.012389262,0.96497524,0.0015478132,0.0045427918,0.0006802535
S0804,0.005038513,0.0015467767,0.085005075,0.32503033,0.0006896684,0.0019337273,0.0023999424,0.014356193,0.11948088,0.00067591754
S0805,0.0064336327,0.026103301,0.00078509905,0.10043914,0.0006896684,0.94377166,0.40827152,0.0039841672,0.11205946,0.77842265
S0806,0.0013318425,0.0026340368,0.5659632,0.58811694,0.0006896684,0.9435721,0.082538635,0.0020352178,0.0040260903,0.00062637863
S0807,0.001106565,0.0006349001,0.97787786,0.0050293254,0.0006896684,0.00547541,0.89858115,0.0009539766,0.021963418,0.00062223733
S0808,0.0068198484,0.0061241854,0.013548262,0.0059404555,0.0031927212,0.0045124865,0.0061111567,0.0042662225,0.9800811,0.0070737917
S0809,0.0032618386,0.005337648,0.0077022957,0.015819795,0.0016409538,0.023783162,0.054883394,0.008539416,0.02141778,0.0014864554
S0810,0.0011986307,0.0066142147,0.0032579466,0.0063650147,0.9691176,0.0041117957,0.0039519053,0.0016529638,0.0034749084,0.0016030845
