sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.0027321854,0.001505714,0.0055933907,0.002863442,0.0009152736,0.003183753,0.004449841,0.058374982,0.0038254159,0.0010814263
S0767,0.009435002,0.005839861,0.0018599223,0.0046142545,0.00047105626,0.0030840088,0.013933391,0.037192788,0.005846883,0.0005022158
S0768,0.9636528,0.030329121,0.00093496835,0.02052963,0.0010624516,0.003883779,0.9306867,0.9867071,0.014443888,0.00064019463
S0769,0.0036600917,0.0007202661,0.009731705,0.013765671,0.00047105626,0.98144895,0.008259297,0.0011969808,0.98633295,0.0013963791
S0770,0.0022185019,0.001126992,0.0045271763,0.91659415,0.0012123061,0.9951165,0.9811607,0.0007429623,0.0029822956,0.0006706735
S0771,0.027331034,0.020812063,0.0022481135,0.045951813,0.0012675462,0.04827229,0.032130934,0.038950484,0.0134982765,0.00054549496
S0772,0.005045328,0.0015663884,0.005178902,0.012642609,0.00047105626,0.009550902,0.98617816,0.0022742231,0.0011683139,0.0007660245
S0773,0.001929191,0.009344252,0.014555393,0.07721836,0.0010712831,0.086074434,0.018948102,0.005960653,0.003407765,0.0009902169
S0774,0.9511574,0.0013552209,0.0015626998,0.0023279607,0.00047105626,0.0017260078,0.02106429,0.027249198,0.0023393433,0.000801655
S0775,0.014167031,0.0014587388,0.005307307,0.0063713146,0.00047105626,0.007158168,0.98608565,0.0037804313,0.00538842,0.0005177662
S0776,0.0091375755,0.0023321917,0.9563228,0.020910779,0.00052717305,0.0151027925,0.006613275,0.003296567,0.0077499873,0.00048764673
S0777,0.002382872,0.024946459,0.94042015,0.0063601313,0.0013936714,0.0024305335,0.0058386764,0.016930819,0.0054977336,0.002492755
S0778,0.9788576,0.97286195,0.0019916156,0.97996247,0.0006265497,0.9659117,0.9820955,0.973461,0.9754007,0.00044437294
S0779,0.0070566284,0.0043518962,0.015575595,0.034121282,0.0007890317,0.0102566965,0.0032196047,0.004808091,0.9683971,0.013160241
S0780,0.005839576,0.0015076258,0.023631537,0.007335545,0.0005913033,0.99876153,0.9635331,0.0010335058,0.003965872,0.0005531945
S0781,0.004562771,0.005365372,0.0046875766,0.0020878273,0.00047105626,0.0015514201,0.019972656,0.0010406327,0.00385699,0.00076808356
S0782,0.95126706,0.0050165947,0.0018761917,0.0059676273,0.0009152736,0.0013276329,0.032617386,0.011245738,0.0020468477,0.04713843
S0783,0.005342952,0.0017073936,0.004840586,0.010926882,0.00047105626,0.9723245,0.04738964,0.0027089706,0.9266735,0.0010720576
S0784,0.035503343,0.0023665766,0.0016072378,0.0016934887,0.00055436126,0.0016177123,0.004283904,0.9554458,0.003470359,0.0019865127
S0785,0.9565384,0.009043296,0.0017336427,0.89110446,0.00047105626,0.0074821957,0.9148788,0.96410584,0.9569993,0.95642275
S0786,0.0010352061,0.00057546754,0.0026058645,0.9654219,0.00047105626,0.9924234,0.98626673,0.0011262203,0.0008022457,0.00059259497
S0787,0.009418661,0.0009334601,0.9614249,0.031177524,0.00047105626,0.05070295,0.99409795,0.0025907403,0.00080745015,0.00070308073
S0788,0.9900675,0.9919497,0.0015745905,0.9889281,0.0007752008,0.99285793,0.9942595,0.9900877,0.9902768,0.0063584168
S0789,0.0072426586,0.0027804093,0.0023568135,0.0028881896,0.00047105626,0.0038323072,0.027915016,0.95778054,0.0053121373,0.00049977173
S0790,0.0022010899,0.0013538207,0.003677983,0.0028469285,0.00047105626,0.00590817,0.99157035,0.0016648165,0.0016803289,0.0005177662
S0791,0.0010274359,0.00090694934,0.032397624,0.95881706,0.00051367586,0.9423684,0.99563354,0.0023194687,0.00071676663,0.00056702807
S0792,0.010374333,0.0020480265,0.971084,0.009114408,0.00047105626,0.009083672,0.007852909,0.0033661695,0.005531627,0.0007885976
S0793,0.0043393937,0.022510033,0.0028670358,0.0070153284,0.0021794008,0.0034731964,0.0024305845,0.0019351414,0.01096605,0.0010634343
S0794,0.0026839147,0.010504118,0.0011342209,0.9678143,0.0014948337,0.002973029,0.010706256,0.011925952,0.0025922884,0.0028122063
S0795,0.0024882024,0.0008713706,0.0013601532,0.002521953,0.00047105626,0.0027454435,0.9912377,0.0028525344,0.0025798143,0.0015992336
S0796,0.00096635736,0.0010972547,0.039091285,0.0030196272,0.00047105626,0.0070066913,0.97185194,0.0011092082,0.0022875355,0.0007602427
S0797,0.006788655,0.0010506426,0.01069669,0.008754689,0.00047105626,0.0034708176,0.0039601275,0.0012988948,0.99258375,0.0027056243
S0798,0.001865489,0.01394521,0.0005377108,0.0034526603,0.9896539,0.0020122249,0.0018522465,0.0023503532,0.0018917746,0.002908463
S0799,0.0033005972,0.0055108783,0.04410047,0.020577976,0.0045881476,0.0034989351,0.0098633105,0.017734788,0.007880613,0.0028109725
S0800,0.0020576203,0.00059528335,0.005047162,0.9558269,0.00047105626,0.9839765,0.010279764,0.00097434135,0.0035970823,0.00090656965
S0801,0.004590934,0.0024562587,0.9686979,0.99362344,0.00047105626,0.019678595,0.9929813,0.002594638,0.0014064065,0.00045447878
S0802,0.0011564229,0.0044725924,0.0011130038,0.047221716,0.0014948337,0.0024320995,0.009330195,0.9295235,0.0044382233,0.0028122063
S0803,0.0049099443,0.0023894964,0.9538269,0.00608251,0.0005529507,0.007525115,0.9959663,0.0009868861,0.0023439461,0.0005867492
S0804,0.003168674,0.0013847814,0.010085072,0.03225551,0.00047105626,0.0020441748,0.0028833859,0.008679792,0.9457124,0.0008723056
S0805,0.0026152595,0.0043456387,0.0023720046,0.016189484,0.00047105626,0.9809348,0.020836541,0.0029080152,0.012805032,0.05398834
S0806,0.0005100318,0.001427884,0.9701108,0.032543007,0.00047105626,0.018562177,0.9439174,0.0012197549,0.0025535575,0.0005472706
S0807,0.0013141562,0.000579269,0.9913027,0.005904074,0.00047105626,0.0011559145,0.97344583,0.00081711716,0.0069988626,0.00080753095
S0808,0.00531345,0.003360109,0.00728599,0.004841806,0.0018814612,0.0032808196,0.002077653,0.0027292038,0.99101794,0.0032155092
S0809,0.0030192654,0.0050085066,0.011288409,0.0054769134,0.0012304977,0.0097686015,0.02139729,0.006635201,0.0053251265,0.00088524923
S0810,0.0007729031,0.0028040386,0.00083162007,0.0048734634,0.99200296,0.0036993448,0.0063694348,0.0010207818,0.0016775946,0.001829663
S0811,0.0054068463,0.0020619163,0.0045038667,0.04250413,0.00063803804,0.9987243,0.9694709,0.0053247875,0.0034677482,0.0018660936
S0812,0.0038662588,0.9923639,0.0017551698,0.015337196,0.0056818943,0.0030607837,0.0047262087,0.0048460625,0.003622231,0.0017018733
S0813,0.0007482893,0.004242663,0.0018897105,0.0029487803,0.98410714,0.0024704342,0.0036059446,0.0014562669,0.0017042704,0.0012777384
S0814,0.053165384,0.021938799,0.9696591,0.0061702435,0.0023191972,0.005365828,0.008969541,0.0053614904,0.038353097,0.0010442656
S0815,0.0031429392,0.0010269607,0.03763851,0.04807598,0.00047105626,0.9366784,0.9964982,0.0023209013,0.0013244351,0.0007753485
