sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.0021724747,0.001857349,0.008523967,0.0027274562,0.0005152839,0.0022382694,0.00283786,0.041329544,0.0014013788,0.002417296
S0767,0.007435119,0.003900519,0.0019466386,0.004730555,0.0005152839,0.005781466,0.01495401,0.034837916,0.010661942,0.00073796423
S0768,0.98175424,0.035660412,0.00085244316,0.019089827,0.0011758568,0.005169271,0.9315538,0.97824574,0.013383061,0.0012434715
S0769,0.0018359404,0.001332765,0.011875084,0.004294341,0.0005152839,0.98619753,0.015507921,0.0012221286,0.98329586,0.001375513
S0770,0.0027170922,0.004922863,0.0062828693,0.9418832,0.00066949305,0.9956411,0.97905296,0.0009906003,0.0015404095,0.0005643785
S0771,0.02101298,0.0047330055,0.0018879718,0.008561993,0.0012864916,0.027928317,0.012565842,0.03167935,0.011450037,0.0006520371
S0772,0.007161229,0.003847194,0.012974507,0.009586322,0.0005152839,0.0040240735,0.9838838,0.0047957157,0.0018863325,0.0020092574
S0773,0.0020416481,0.01456049,0.0108049195,0.03509886,0.0012864916,0.029824385,0.011289634,0.010773397,0.0042558154,0.00087600545
S0774,0.9585379,0.0013752806,0.001396854,0.0027776978,0.0005152839,0.0012876188,0.017748648,0.01872521,0.00097437424,0.0008171732
S0775,0.014744227,0.0031478119,0.002551881,0.024597446,0.0005152839,0.0047884816,0.99009424,0.004425583,0.00800794,0.0013739511
S0776,0.006165841,0.0027257951,0.9670994,0.0069378987,0.0005152839,0.0069307573,0.0048704464,0.003058727,0.0027744265,0.0012076079
S0777,0.0049331286,0.0016078777,0.9526161,0.0041411435,0.0015294906,0.0044819377,0.0041801017,0.009826705,0.0016980424,0.001722914
S0778,0.9723761,0.9832056,0.002248153,0.9723079,0.0005152839,0.9804864,0.96459264,0.9746786,0.9862533,0.000809046
S0779,0.009209784,0.003136392,0.010542896,0.02349895,0.0035390225,0.011246973,0.0037395605,0.0009948887,0.98988974,0.010289622
S0780,0.009989827,0.0011982414,0.010116454,0.0069948006,0.0005152839,0.9978397,0.96704304,0.001135477,0.008567893,0.00063399883
S0781,0.0031511455,0.0011223236,0.0033465724,0.0011562285,0.0005152839,0.0019477282,0.0036676861,0.003230382,0.005030719,0.0013725607
S0782,0.92782915,0.002422438,0.002378118,0.002137479,0.0011388265,0.018728536,0.02186855,0.008714452,0.00234523,0.007895913
S0783,0.020449929,0.0018247014,0.003088005,0.02045808,0.0005152839,0.9665257,0.023239015,0.005286261,0.96565217,0.0026556235
S0784,0.041485325,0.0023079936,0.0019460808,0.0017249944,0.0005152839,0.002399042,0.006821354,0.9705747,0.0016452075,0.0023772358
S0785,0.960553,0.006017213,0.0010999166,0.92608136,0.0005152839,0.0057807043,0.9356363,0.93446094,0.9383001,0.963017
S0786,0.0009718469,0.0013624247,0.006800941,0.98533535,0.0005152839,0.99307173,0.9915652,0.0013267536,0.0009318295,0.0007181208
S0787,0.0047827745,0.0032215577,0.9377955,0.037331626,0.0015322436,0.03110938,0.9951219,0.0035861558,0.0015044938,0.0014607114
S0788,0.99340504,0.9862146,0.00136757,0.97070473,0.0005152839,0.96966726,0.9899997,0.9910556,0.9878664,0.0063068266
S0789,0.013218076,0.006350219,0.0017214278,0.0043023676,0.0005152839,0.0040242933,0.026046446,0.9647697,0.0033551224,0.008847334
S0790,0.0014781372,0.002033881,0.0018609556,0.002610027,0.0005152839,0.009466884,0.993679,0.001971536,0.0016921881,0.00073652324
S0791,0.0015555375,0.003662372,0.04181656,0.97269934,0.0042508817,0.94913155,0.99063057,0.0017139128,0.0012929314,0.0011384566
S0792,0.007721328,0.00955795,0.97232246,0.011437182,0.0005152839,0.005385354,0.0122369295,0.0035611228,0.002943813,0.0005165401
S0793,0.005913241,0.015961885,0.0021204785,0.008087749,0.0032712657,0.0040337956,0.007295129,0.0056724707,0.0068075154,0.00440196
S0794,0.0054089674,0.004157535,0.0015301798,0.9762996,0.0008553466,0.0012479133,0.0042747264,0.018117981,0.0028209786,0.002170589
S0795,0.0027150577,0.0007713491,0.0009449251,0.0024508503,0.0005152839,0.0032629208,0.99600804,0.0049214736,0.0018993584,0.0021270663
S0796,0.0007809109,0.0009616888,0.024412883,0.005139582,0.0005152839,0.006463447,0.98173887,0.0016521605,0.0050591296,0.0015802551
S0797,0.005490428,0.0032049015,0.016064541,0.005018711,0.00055342447,0.0010806739,0.005905591,0.0029999458,0.99102074,0.0017618394
S0798,0.0023749662,0.011897077,0.0010956393,0.003302201,0.9923252,0.008743438,0.0021791107,0.0025639385,0.0022382897,0.0007158987
