sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.0020301929,0.0046720225,0.0046415906,0.0038993666,0.0025178157,0.0050319936,0.0133460965,0.10524362,0.005099388,0.0036878055
S0767,0.0071668485,0.006127205,0.0043336786,0.014837886,0.0007253288,0.004378841,0.026891911,0.06444555,0.004138936,0.0014755966
S0768,0.59104156,0.08904167,0.0023527136,0.0014193234,0.0013910824,0.0034629349,0.23635484,0.3321602,0.0048284135,0.00087687775
S0769,0.0021184848,0.003469904,0.026215747,0.008694238,0.0008543704,0.97091234,0.0068455245,0.0041541224,0.94313407,0.0043864953
S0770,0.0027099045,0.0016997367,0.002940863,0.39374077,0.0014232906,0.98685557,0.7019294,0.0024919002,0.0019378222,0.0009554652
S0771,0.1364355,0.13548625,0.021561382,0.4912218,0.00078507693,0.7230864,0.08905132,0.5741045,0.012412499,0.0021994682
S0772,0.0049545593,0.0020663156,0.018757278,0.009976353,0.0007253288,0.007916829,0.81519926,0.011797128,0.0045474865,0.00064034195
S0773,0.0057850713,0.099608876,0.018861298,0.0797664,0.0031179774,0.2551329,0.016087666,0.005940106,0.0055814125,0.004447797
S0774,0.14309694,0.003582096,0.0026170313,0.004425316,0.0007253288,0.0035482123,0.022814056,0.67066187,0.0041974755,0.0010350588
S0775,0.07734468,0.0026397717,0.003517179,0.008749357,0.0007253288,0.0033668892,0.9879738,0.0064639705,0.0018486916,0.0007587778
S0776,0.01675053,0.003274053,0.28464064,0.0133864805,0.0007253288,0.02698058,0.020854294,0.03128645,0.0031034285,0.0013706851
S0777,0.0061989594,0.0032610265,0.7630095,0.004569789,0.0034517106,0.0038886245,0.02381755,0.05200327,0.0031897225,0.0021856045
S0778,0.68837607,0.87356865,0.002638746,0.8941218,0.0007253288,0.92056066,0.8529024,0.6031195,0.9182863,0.0021073571
S0779,0.027624577,0.028384319,0.16808076,0.10497615,0.001057218,0.013225148,0.013158271,0.0202709,0.31555772,0.04385672
S0780,0.007108433,0.0048025204,0.00918722,0.013472857,0.0008543704,0.9962919,0.7394962,0.0046635023,0.02949502,0.0011433118
S0781,0.0027435538,0.0014402481,0.0036151921,0.0031491749,0.0008543704,0.0012463115,0.4751049,0.008385384,0.0048849816,0.0006837134
S0782,0.052553006,0.0044013266,0.0012924524,0.0048651244,0.006627192,0.005994898,0.05680479,0.0358714,0.00700989,0.022631451
S0783,0.007270469,0.0013069379,0.0027048383,0.05391814,0.0008346535,0.86336595,0.66329235,0.0022069635,0.0477405,0.002720764
S0784,0.055078454,0.004754464,0.0017335502,0.0021151246,0.0007253288,0.0049988157,0.008682702,0.06906826,0.001955519,0.0020700968
S0785,0.04836039,0.0060007595,0.0025024263,0.0069730016,0.00077332376,0.007596291,0.008640289,0.056047533,0.18017696,0.6167446
S0786,0.0013484926,0.002047473,0.007831901,0.52190864,0.0007253288,0.9306623,0.9972349,0.0015659849,0.000781158,0.00061611127
S0787,0.016787246,0.00093844725,0.43290302,0.093776,0.0007253288,0.25630346,0.9865485,0.0028722712,0.0022635187,0.0018617174
S0788,0.99231964,0.97745436,0.0029132653,0.99400556,0.001389088,0.96749175,0.980376,0.98609006,0.97379977,0.0064764866
