sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.004945268,0.0040487465,0.011619394,0.0041063707,0.0006418833,0.004851272,0.0060419184,0.65606886,0.004323415,0.0015044494
S0767,0.0151101295,0.003789223,0.008040251,0.0076445537,0.0006418833,0.0026857902,0.0067267823,0.055996798,0.0053823106,0.0027066502
S0768,0.5979228,0.4997923,0.0016894379,0.33332568,0.002143073,0.0043953964,0.19313788,0.7093047,0.28961858,0.001406442
S0769,0.0033859836,0.005664631,0.020392492,0.04384156,0.0006785674,0.9836109,0.051782437,0.009005645,0.020354126,0.0013628794
S0770,0.0027680774,0.0039473693,0.005251951,0.18035139,0.0007186948,0.9972,0.9766371,0.0016641516,0.006082715,0.0011547843
S0771,0.0049848044,0.0010923024,0.007874378,0.019479822,0.0006418833,0.0024223826,0.0073447903,0.021963429,0.005105933,0.0013679614
S0772,0.006023733,0.00069339265,0.015739415,0.012199418,0.0009856941,0.077901565,0.9717229,0.0020914068,0.0033396832,0.0013371488
S0773,0.05017266,0.21022888,0.07911441,0.19105205,0.0006418833,0.09340119,0.21427143,0.09170611,0.10714474,0.0142051205
S0774,0.13233702,0.0019161919,0.011283078,0.0058700866,0.0006418833,0.0029748105,0.13146922,0.091280006,0.017695192,0.0015922202
S0775,0.0077948654,0.005447182,0.05854473,0.06400114,0.0007764102,0.0021981995,0.92852813,0.004075571,0.0066309064,0.0007765212
S0776,0.052815642,0.00227709,0.6101137,0.045286067,0.0007764102,0.0056128725,0.03095738,0.030021254,0.003340126,0.0011633226
S0777,0.025132038,0.012431217,0.79027045,0.013721977,0.0006418833,0.015175431,0.019322367,0.06829758,0.011020314,0.002818955
S0778,0.57931346,0.6859759,0.009495741,0.9159083,0.0006418833,0.8206355,0.6363481,0.8681465,0.52310944,0.001129103
S0779,0.044141777,0.006124534,0.27287734,0.005188876,0.0017929358,0.11546701,0.030003212,0.004059912,0.12713924,0.008805884
S0780,0.050664227,0.012074358,0.0041133678,0.01587324,0.00073721533,0.99747306,0.68794495,0.0033463482,0.005441182,0.0007811097
S0781,0.007191626,0.004368907,0.0062679956,0.007759174,0.0006418833,0.0025799815,0.0047552134,0.14007175,0.008354506,0.0042071575
S0782,0.043733127,0.0062763323,0.009232511,0.0047113923,0.03840438,0.1307114,0.10347524,0.1319179,0.028986072,0.024921093
S0783,0.029340837,0.0018860426,0.00432282,0.16201401,0.0006418833,0.633966,0.5065062,0.002757301,0.035359208,0.009627876
S0784,0.076178305,0.0026006992,0.009320451,0.005709631,0.0006418833,0.0021350007,0.005054585,0.12229703,0.006072806,0.004635611
S0785,0.010968532,0.0017955364,0.011241402,0.00992675,0.0006418833,0.02471297,0.008481638,0.020961942,0.01214137,0.09018165
S0786,0.0011093651,0.0010906471,0.0242975,0.64983284,0.0006785674,0.98144376,0.98157966,0.0010294807,0.0013379864,0.00087487773
S0787,0.0036454846,0.002979249,0.785715,0.3368296,0.0008498382,0.10689616,0.9965274,0.0020235945,0.0020391808,0.0013554405
S0788,0.911897,0.9586099,0.0080006365,0.7771538,0.0006418833,0.78224397,0.8137605,0.77851504,0.93872964,0.00410838
S0789,0.05848604,0.52883714,0.0066868556,0.43607187,0.0006418833,0.15144736,0.08085979,0.3442891,0.5246224,0.0008672646
S0790,0.0071614627,0.0046515567,0.0128984405,0.0067295074,0.0008498382,0.0030099228,0.99308866,0.0022490078,0.0049133096,0.0008673634
