sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.026162421,0.014173419,0.08706126,0.0049324287,0.0006418833,0.035354737,0.005329338,0.6812347,0.0058515556,0.0013032884
S0767,0.017429667,0.005185953,0.010880352,0.009957522,0.0006418833,0.010399551,0.0042826757,0.10630804,0.009692595,0.0029325013
S0768,0.4858394,0.5235661,0.0018983,0.37640134,0.002143073,0.009513297,0.2899196,0.74366784,0.56267565,0.0020526093
S0769,0.0052678916,0.0024862105,0.01403159,0.043744735,0.0006785674,0.9940386,0.040015154,0.010365163,0.011843044,0.0008066772
S0770,0.0034324913,0.0018992932,0.008854818,0.28721434,0.0007186948,0.9967732,0.96994746,0.0017748853,0.0016283728,0.00092123693
S0771,0.021698674,0.0015752474,0.08319549,0.01723621,0.0006418833,0.0072529754,0.009783784,0.023272809,0.0034597174,0.002031952
S0772,0.0029288116,0.0011823575,0.009300685,0.010085644,0.0009856941,0.102308914,0.98231184,0.0014066296,0.011579474,0.00094136485
S0773,0.044050004,0.17710859,0.043505475,0.19116022,0.0006418833,0.07059904,0.21395476,0.07160218,0.14009157,0.012394952
S0774,0.09698091,0.0015721404,0.0059562535,0.0061375247,0.0006418833,0.003932261,0.06875611,0.038423464,0.014282452,0.0018881767
S0775,0.0021552162,0.008584248,0.053258702,0.05791646,0.0007764102,0.0038646464,0.9393049,0.0027059254,0.011460993,0.00066470384
S0776,0.07459973,0.0013748412,0.67161274,0.06975325,0.0007764102,0.007076093,0.057296034,0.03416318,0.0014378855,0.0012068196
S0777,0.03920563,0.016527494,0.9473291,0.02275493,0.0006418833,0.05275584,0.019371876,0.20382003,0.009295168,0.0013032884
S0778,0.9492499,0.6875742,0.003943333,0.9108105,0.0006418833,0.5637146,0.7854459,0.87321335,0.34540096,0.0014871598
S0779,0.15951973,0.009560605,0.28855878,0.004417936,0.0017929358,0.40564904,0.04943832,0.0028930823,0.4801149,0.013638689
S0780,0.015100807,0.003719607,0.0046460363,0.01744268,0.00073721533,0.99224687,0.6048522,0.010203848,0.0064283647,0.0007160484
S0781,0.020404087,0.0055385595,0.014954059,0.0069567817,0.0006418833,0.010137305,0.0037590065,0.13155437,0.0053342646,0.004941827
S0782,0.09048981,0.0065198117,0.0023155757,0.004409312,0.03840438,0.27460015,0.13401005,0.059328202,0.0025700966,0.04470122
S0783,0.14208372,0.0011768024,0.009214828,0.21619456,0.0006418833,0.64686173,0.3042542,0.002251724,0.06120001,0.010143971
S0784,0.016549172,0.004121854,0.005399023,0.004533077,0.0006418833,0.006090079,0.005953628,0.14229307,0.0137642585,0.0042163148
S0785,0.008925785,0.0022721684,0.024149243,0.012343103,0.0006418833,0.012240987,0.0066366657,0.01737976,0.016817186,0.09614903
S0786,0.0022519105,0.0019004163,0.009748028,0.72466326,0.0006785674,0.98903406,0.9833725,0.001594524,0.0016243252,0.0005310268
