sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.007984361,0.0023723387,0.010310873,0.011611648,0.00046636857,0.0065842425,0.024699423,0.19177932,0.006147029,0.0013367662
S0767,0.013356524,0.0035760235,0.011312628,0.011313764,0.00046636857,0.0023794207,0.01039128,0.06673982,0.0054161265,0.001752934
S0768,0.9445696,0.064566664,0.0013818884,0.090579845,0.0015234896,0.0050445814,0.8477053,0.9381518,0.08012664,0.0017629133
S0769,0.0025879068,0.0022000577,0.017830642,0.012034897,0.00046636857,0.9923827,0.008072794,0.0035458966,0.8922697,0.0010087917
S0770,0.0044167447,0.0020355918,0.01230664,0.9447037,0.00046636857,0.99772674,0.9817293,0.0012028792,0.0014261968,0.0011952969
S0771,0.0063729184,0.0013864263,0.008600065,0.012707038,0.00046636857,0.0033526055,0.008104403,0.03908219,0.0030730697,0.0012192165
S0772,0.0033235096,0.0007896545,0.003515333,0.006937699,0.0006206675,0.0053109885,0.99154377,0.0008146011,0.005522386,0.00058923214
S0773,0.03725703,0.20581174,0.052641492,0.16592894,0.00046636857,0.09480405,0.15926705,0.07285778,0.08890177,0.011449821
S0774,0.9441338,0.0015903376,0.0030312124,0.0026420585,0.00046636857,0.0042681596,0.024987957,0.016652074,0.0068353303,0.0012516117
S0775,0.0037569946,0.0037364427,0.034646746,0.021198846,0.00048899895,0.0014329057,0.9716044,0.0020512608,0.013822177,0.00054341374
S0776,0.0037661507,0.002097458,0.9498314,0.02679024,0.00046636857,0.0077187936,0.012535485,0.004119956,0.00305214,0.0012759337
S0777,0.02278103,0.009255959,0.90620714,0.022092264,0.00046636857,0.014931654,0.059359092,0.04784766,0.009227401,0.0022572426
S0778,0.96862006,0.9656159,0.0049479576,0.96942276,0.00046636857,0.9832025,0.9501713,0.9686337,0.9757318,0.0009269362
S0779,0.009128885,0.0023316958,0.006342434,0.018883286,0.0017898926,0.015175866,0.0154994065,0.006611994,0.9540714,0.008203465
S0780,0.016177451,0.008403643,0.0048707654,0.0069253272,0.00046636857,0.99675876,0.94388545,0.002094223,0.006691846,0.0008043967
S0781,0.009134671,0.0036042195,0.0128645655,0.014324516,0.00046636857,0.001834989,0.010142722,0.061663255,0.0077446057,0.0021837417
