sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.007984361,0.0023723387,0.008579878,0.011611648,0.00045776626,0.0065842425,0.021172455,0.20628445,0.005996307,0.0013367662
S0767,0.013356524,0.0035760235,0.00938026,0.011313764,0.00045776626,0.0023794207,0.010220977,0.08130199,0.0063876337,0.001752934
S0768,0.9445696,0.064566664,0.001430951,0.090579845,0.0013878107,0.0050445814,0.864068,0.95582426,0.10425794,0.0017629133
S0769,0.0025879068,0.0022000577,0.013055269,0.012034897,0.00045776626,0.9923827,0.014458843,0.0024361392,0.90070647,0.0010087917
S0770,0.0044167447,0.0020355918,0.011230282,0.9447037,0.00048298488,0.99772674,0.9877244,0.0019253881,0.0014867384,0.0011952969
S0771,0.0063729184,0.0013864263,0.006771104,0.012707038,0.00045776626,0.0033526055,0.009891295,0.029701354,0.0031122349,0.0012192165
S0772,0.0033235096,0.0007896545,0.006010813,0.006937699,0.00045776626,0.0053109885,0.9921727,0.0009839573,0.0062101465,0.00058923214
S0773,0.03725703,0.20581174,0.050375313,0.16592894,0.00045776626,0.09480405,0.15366888,0.078477785,0.083002426,0.011449821
S0774,0.9441338,0.0015903376,0.0032807868,0.0026420585,0.00045776626,0.0042681596,0.021603446,0.014386608,0.0054150685,0.0012516117
S0775,0.0037569946,0.0037364427,0.024103288,0.021198846,0.00045776626,0.0014329057,0.9707497,0.0018684034,0.0073818592,0.00054341374
S0776,0.0037661507,0.002097458,0.9379015,0.02679024,0.00045776626,0.0077187936,0.0130852545,0.0090852985,0.0032581743,0.0012759337
S0777,0.02278103,0.009255959,0.9464355,0.022092264,0.00045776626,0.014931654,0.048060216,0.037830494,0.008155886,0.0022572426
S0778,0.96862006,0.9656159,0.0034831446,0.96942276,0.00045776626,0.9832025,0.95356405,0.96442163,0.9699402,0.0009269362
S0779,0.009128885,0.0023316958,0.0061620325,0.018883286,0.0015143248,0.015175866,0.02247508,0.004959357,0.9575984,0.008203465
S0780,0.016177451,0.008403643,0.003574977,0.0069253272,0.00048298488,0.99675876,0.9404532,0.002526881,0.0046588057,0.0008043967
S0781,0.009134671,0.0036042195,0.014668286,0.014324516,0.00045776626,0.001834989,0.010162532,0.06326831,0.0072240382,0.0021837417
S0782,0.84581774,0.0051032165,0.0036971539,0.00794405,0.016556796,0.027641023,0.06074385,0.029011622,0.013631699,0.017788062
S0783,0.011056711,0.001831831,0.007129647,0.034253746,0.00045776626,0.9496227,0.031794094,0.001738117,0.8921142,0.0023530326
S0784,0.048599202,0.003417539,0.0027832359,0.009153979,0.00045776626,0.002124015,0.024620272,0.82082444,0.007957959,0.0060105743
S0785,0.6749512,0.0027125916,0.0059599276,0.7034592,0.00045776626,0.0070515918,0.7564386,0.7185335,0.68193406,0.8084507
S0786,0.0009536099,0.00086893555,0.03155753,0.9841611,0.00045776626,0.98618144,0.99593425,0.00094477844,0.0013642567,0.0007536146
S0787,0.003934241,0.0025626118,0.9327892,0.05789141,0.00045776626,0.03800445,0.993889,0.0012140798,0.0014645695,0.0017450823
S0788,0.9797677,0.96234673,0.0055592754,0.9534934,0.00045776626,0.9807386,0.95290625,0.9798146,0.97511363,0.0037125351
S0789,0.00965955,0.027305199,0.005199757,0.09095577,0.00045776626,0.041451614,0.019526418,0.9245544,0.097983636,0.0011535716
S0790,0.004391688,0.0031627228,0.004687837,0.006447904,0.00045776626,0.0023731252,0.9948632,0.0017108755,0.004235471,0.00063949276
S0791,0.002918639,0.0024521914,0.020947747,0.9561326,0.0013878107,0.9305036,0.98542655,0.0022197764,0.0018406205,0.0017122347
