sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S1558,0.081545345,0.16815749,0.07308334,0.17155957,0.021977399,0.1548799,0.21724415,0.17251843,0.12901631,0.03925351
S1559,0.081545345,0.16815749,0.07308334,0.17155957,0.021977399,0.1548799,0.21724415,0.17251843,0.12901631,0.03925351
S1560,0.081545345,0.16815749,0.07308334,0.17155957,0.021977399,0.1548799,0.21724415,0.17251843,0.12901631,0.03925351
S1561,0.081545345,0.16815749,0.07308334,0.17155957,0.021977399,0.1548799,0.21724415,0.17251843,0.12901631,0.03925351
S1562,0.081545345,0.16815749,0.07308334,0.17155957,0.021977399,0.1548799,0.21724415,0.17251843,0.12901631,0.03925351
S1563,0.081545345,0.16815749,0.07308334,0.17155957,0.021977399,0.1548799,0.21724415,0.17251843,0.12901631,0.03925351
S1564,0.081545345,0.16815749,0.07308334,0.17155957,0.021977399,0.1548799,0.21724415,0.17251843,0.12901631,0.03925351
S1565,0.081545345,0.16815749,0.07308334,0.17155957,0.021977399,0.1548799,0.21724415,0.17251843,0.12901631,0.03925351
S1566,0.081545345,0.16815749,0.07308334,0.17155957,0.021977399,0.1548799,0.21724415,0.17251843,0.12901631,0.03925351
S1567,0.081545345,0.16815749,0.07308334,0.17155957,0.021977399,0.1548799,0.21724415,0.17251843,0.12901631,0.03925351
S1568,0.081545345,0.16815749,0.07308334,0.17155957,0.021977399,0.1548799,0.21724415,0.17251843,0.12901631,0.03925351
S1569,0.081545345,0.16815749,0.07308334,0.17155957,0.021977399,0.1548799,0.21724415,0.17251843,0.12901631,0.03925351
