sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.02244948,0.03324573,0.0045645447,0.013697606,0.0026395933,0.013020582,0.18297611,0.22896707,0.006092135,0.0006974722
S0767,0.031774014,0.02306896,0.004212755,0.028006481,0.0021302183,0.03732694,0.08407692,0.063817605,0.007891017,0.000826545
S0768,0.06890389,0.093137294,0.0044958927,0.09853599,0.0047809887,0.026341468,0.17754011,0.41304076,0.04357869,0.0030707903
S0769,0.03760188,0.0040703695,0.21420605,0.10947313,0.005114503,0.033486415,0.026072651,0.039590776,0.9172169,0.0012549434
S0770,0.0077199657,0.003941215,0.05045852,0.49662188,0.0014250665,0.8788864,0.8574797,0.0026553378,0.011555409,0.0010043432
S0771,0.008594643,0.028660236,0.01852283,0.027789129,0.007277318,0.033533193,0.077377595,0.071056984,0.040577546,0.0010272674
S0772,0.003046621,0.0029015488,0.51936966,0.8664394,0.00082397554,0.2789149,0.85243976,0.00076319417,0.0044368645,0.00070164795
S0773,0.004643741,0.008163852,0.008202626,0.024794795,0.0013068558,0.036398377,0.13563178,0.042418323,0.16521494,0.0017066329
S0774,0.025645012,0.07280245,0.004404368,0.016882917,0.008867934,0.02503217,0.12399904,0.054584067,0.028726105,0.003762719
S0775,0.15270904,0.018580455,0.007436456,0.010582345,0.0041417787,0.06327607,0.70386755,0.024066659,0.005969741,0.0013446183
S0776,0.040679313,0.015246759,0.6049676,0.60154355,0.007966301,0.14324161,0.014295164,0.024994591,0.01711928,0.012043545
S0777,0.01234079,0.056965176,0.00925965,0.026882531,0.007123499,0.025583366,0.07560292,0.042714387,0.006545702,0.002066341
S0778,0.01466732,0.06309986,0.0041419086,0.056572866,0.0018580015,0.04976203,0.09639035,0.05948099,0.02631581,0.0018301524
S0779,0.07217753,0.0039828145,0.010923017,0.11738292,0.018569449,0.030070137,0.08750593,0.03377476,0.12778008,0.0029937653
S0780,0.17430943,0.006106417,0.009300711,0.06423717,0.0014796335,0.9367426,0.27250603,0.011555142,0.01606133,0.00087107514
S0781,0.013629114,0.028331233,0.0059181703,0.024214115,0.0014731186,0.011877037,0.0074937837,0.05656985,0.07075109,0.0010986562
S0782,0.004610537,0.0054121595,0.24272682,0.009909987,0.27468395,0.012980005,0.35849163,0.0692085,0.07891529,0.030897118
S0783,0.044653796,0.005232005,0.0071476293,0.049194515,0.0032120508,0.036614183,0.08745425,0.060381517,0.74793,0.01536012
S0784,0.07287284,0.009037264,0.009879837,0.01885859,0.011506088,0.006546933,0.024341999,0.08032016,0.01776713,0.004498008
S0785,0.13360208,0.03374013,0.024901016,0.041008674,0.0013825168,0.03510731,0.09424116,0.06944475,0.034446348,0.7514905
S0786,0.004518928,0.0061085536,0.30902958,0.74377203,0.00084664277,0.51284015,0.9787571,0.0034700788,0.0041672434,0.0006656388
S0787,0.009979994,0.025177075,0.21491767,0.021747785,0.0027005894,0.28991008,0.9390992,0.012183116,0.0155176865,0.0007343961
S0788,0.07139966,0.0685279,0.012592589,0.112113975,0.0048655765,0.18728434,0.6740959,0.14266746,0.22954892,0.0059272107
S0789,0.0044047153,0.02684891,0.027333366,0.011602408,0.0022580063,0.007847783,0.012569658,0.012233257,0.0084987255,0.0015755189
S0790,0.0044524823,0.0036107274,0.0062597026,0.0027457008,0.0022174434,0.010794879,0.9734023,0.006781287,0.013906047,0.0014050202
S0791,0.01530006,0.010089597,0.65668297,0.1355438,0.0015870513,0.58929104,0.5294957,0.01057681,0.01835137,0.0006485766
S0792,0.049117792,0.018176757,0.071710035,0.009924211,0.002286094,0.05014012,0.09819466,0.010658874,0.011011291,0.0025742438
S0793,0.003467796,0.011030011,0.19777684,0.026594415,0.09756386,0.004805849,0.019002492,0.01682143,0.029784748,0.015250184
S0794,0.0028289373,0.016551904,0.0010180692,0.14197795,0.004709597,0.0043276376,0.1035389,0.06884932,0.003106559,0.004299768
S0795,0.007944523,0.052486397,0.0099983085,0.010822047,0.0027949866,0.037198592,0.38240758,0.02941183,0.032947466,0.000811717
S0796,0.01433941,0.0028779006,0.028354298,0.047439694,0.001069681,0.19035627,0.41144508,0.0047724494,0.012907939,0.0025568206
S0797,0.024981773,0.06774124,0.030200358,0.021406958,0.00087250135,0.10950048,0.029819466,0.33043247,0.9385438,0.024159404
S0798,0.018945497,0.394357,0.00109984,0.007851695,0.058758143,0.015520281,0.076617554,0.025176683,0.011803534,0.004394604
S0799,0.005779008,0.0138455955,0.01156416,0.077619806,0.0018731394,0.008560896,0.09266857,0.10731428,0.008152813,0.0007965406
S0800,0.021078154,0.004493081,0.27356374,0.15030299,0.0023619293,0.26724526,0.61077476,0.0016883413,0.014574125,0.0006485766
S0801,0.014464667,0.010467792,0.017352201,0.44351453,0.00095381704,0.17481871,0.82140785,0.014865905,0.010408776,0.0010021334
S0802,0.0024958113,0.027354456,0.0035917112,0.11570159,0.0030087698,0.016567592,0.09553008,0.33082452,0.007492865,0.017138844
S0803,0.016021628,0.022443056,0.052965377,0.004118956,0.0015076539,0.0043254932,0.38104776,0.009992765,0.0074016824,0.0012498159
S0804,0.03064876,0.024499567,0.010863123,0.24011913,0.0019263093,0.03251943,0.025148954,0.18147394,0.039336827,0.0017104539
S0805,0.011996099,0.22661036,0.23848216,0.13312776,0.0046526296,0.036663353,0.090032086,0.0068892823,0.13213758,0.001978853
S0806,0.0050309123,0.009963804,0.6637953,0.63280684,0.0009839827,0.3088343,0.46797922,0.0038702881,0.004141409,0.00091384794
S0807,0.043119594,0.011233676,0.5312692,0.15964286,0.0013115241,0.09150074,0.8840799,0.013812561,0.19261806,0.00172229
S0808,0.005358493,0.0061262236,0.006633046,0.00929822,0.0010392948,0.007976754,0.31048056,0.02558626,0.34372428,0.0009582082
S0809,0.0065602674,0.011688895,0.0035559812,0.016431939,0.0038659244,0.017042449,0.04708424,0.006052856,0.15642343,0.006000552
S0810,0.014125401,0.06547453,0.009182781,0.019117575,0.09877068,0.005607834,0.006439686,0.015160544,0.008794251,0.0023510342
S0811,0.047547247,0.0042314124,0.006417006,0.010992182,0.004642399,0.5625008,0.9051917,0.021078223,0.013700549,0.0007098909
S0812,0.010410721,0.60330987,0.030417368,0.016271804,0.016161248,0.022897802,0.01992276,0.0063657328,0.009367175,0.0015211434
S0813,0.027689155,0.054797854,0.004604359,0.014467332,0.005829143,0.006021461,0.30469847,0.01707275,0.0116826715,0.002065645
S0814,0.07072471,0.02142861,0.50336784,0.10624796,0.0014071609,0.27442306,0.033798527,0.04602161,0.014142478,0.006067403
S0815,0.01667305,0.0027033829,0.01605525,0.15111662,0.013105702,0.89059424,0.38457245,0.019287849,0.003406408,0.0012615853
S0816,0.019346628,0.012424055,0.009108841,0.008230433,0.0028148564,0.011448585,0.13244827,0.031120932,0.012523532,0.0013426015
S0817,0.06484088,0.065440096,0.004779575,0.017016921,0.0017268896,0.013260268,0.12043467,0.03083468,0.076185286,0.0032825381
S0818,0.025355246,0.003895757,0.0062738047,0.109025195,0.001321807,0.05005416,0.009181063,0.03814669,0.76757807,0.68756217
S0819,0.0031045338,0.003573338,0.26385164,0.89830285,0.0012567886,0.784893,0.8708928,0.005087521,0.010990384,0.0016543751
S0820,0.016720995,0.009718559,0.049169097,0.012577806,0.0014702302,0.03867447,0.039984148,0.021647045,0.018367894,0.001401864
S0821,0.0036514562,0.002149298,0.1015959,0.4249778,0.001058641,0.6724004,0.15944567,0.0015735519,0.008348448,0.0007991776
S0822,0.0026744949,0.010058093,0.011937154,0.005743198,0.006110178,0.0036092196,0.62034595,0.017522637,0.19699854,0.005747118
S0823,0.016011754,0.0046690833,0.008956326,0.016285075,0.0008534664,0.0635094,0.0224488,0.009781497,0.89939666,0.00734259
S0824,0.028129423,0.013473117,0.022722203,0.19279547,0.0019155364,0.036993656,0.5744415,0.016168157,0.016433164,0.000814485
S0825,0.0050204783,0.004715383,0.45785886,0.38212234,0.0008188522,0.104364164,0.8486752,0.00069466385,0.020729614,0.0017930613
S0826,0.0044245557,0.42356288,0.006882333,0.027136035,0.081920624,0.012006089,0.27532524,0.0131633375,0.023797702,0.0067758774
S0827,0.00551936,0.005964305,0.029321589,0.2335909,0.0009684814,0.96100557,0.73631126,0.00076694624,0.027121404,0.0011622062
S0828,0.0059100934,0.008165577,0.8808201,0.3467051,0.0009232501,0.19021489,0.13969314,0.00921683,0.0068194442,0.0012491638
S0829,0.04970979,0.04902406,0.011689731,0.038102746,0.002030471,0.124541655,0.015212241,0.025914136,0.42086405,0.0014853885
S0830,0.011669828,0.0030041288,0.0050428533,0.09122977,0.0023916126,0.13543613,0.97584003,0.004146222,0.005440898,0.0040072985
S0831,0.019200308,0.022479113,0.017654797,0.024915427,0.0024953424,0.04446325,0.035606034,0.3040824,0.31717095,0.0007735261
S0832,0.06577275,0.754491,0.0011377145,0.11800974,0.009486537,0.042529758,0.4147061,0.024646772,0.03465705,0.007459418
S0833,0.008719796,0.023886295,0.0019801285,0.017903196,0.0014447,0.017267585,0.03405611,0.07759184,0.05185603,0.0016577234
S0834,0.002145889,0.0031521746,0.30799824,0.0724901,0.012119832,0.054137956,0.012759464,0.006635318,0.9112824,0.0035909587
S0835,0.02665086,0.014750551,0.003663909,0.037141662,0.0030350566,0.11052848,0.078198664,0.015651839,0.020212615,0.0031920583
S0836,0.006289604,0.00586565,0.03012119,0.11404917,0.007533047,0.111598246,0.14678693,0.023286218,0.06997057,0.008989145
S0837,0.004978595,0.003952793,0.082479395,0.041186582,0.0049087633,0.03466904,0.02908317,0.022932287,0.9129764,0.0042511644
S0838,0.0030325123,0.008424139,0.006423935,0.004671377,0.004865556,0.013510066,0.4660169,0.009128764,0.018406231,0.0017757508
S0839,0.06224108,0.013590221,0.016923074,0.032427,0.0023116693,0.04470206,0.03328544,0.04977364,0.010159846,0.0020832086
S0840,0.07482193,0.030998211,0.012694923,0.036609102,0.0029362775,0.030189719,0.18782365,0.046289142,0.053659663,0.001143045
S0841,0.0515796,0.0029632698,0.007844659,0.014259249,0.0020935764,0.022061955,0.01845941,0.06166459,0.067194656,0.0012043036
S0842,0.018183623,0.0028353783,0.01695769,0.07370797,0.0016486163,0.014382633,0.02553968,0.17341545,0.8235757,0.080410324
S0843,0.031611636,0.017718365,0.010233318,0.016117401,0.005301867,0.012894525,0.54007584,0.20155822,0.016109532,0.003545595
S0844,0.0016584165,0.020977164,0.0018351384,0.14974344,0.0025571368,0.07868465,0.068874665,0.12596467,0.009568451,0.012515839
S0845,0.056389097,0.6461104,0.007949963,0.1214484,0.0029187736,0.04288389,0.24656434,0.03576543,0.06467098,0.002319942
S0846,0.0076027205,0.016766086,0.0074715265,0.0028379813,0.0025948551,0.0042257467,0.037267543,0.0073890123,0.0064431736,0.0030132441
S0847,0.023073174,0.10457842,0.060376372,0.8735009,0.009344843,0.030683136,0.020454857,0.006175354,0.101539254,0.032404553
S0848,0.012023846,0.03829011,0.026165819,0.093699805,0.0023974436,0.079127386,0.76218987,0.043127276,0.011124761,0.0020087776
S0849,0.013102489,0.00404796,0.02744075,0.024032287,0.002759682,0.013730273,0.0060647293,0.1552394,0.17809013,0.013199708
S0850,0.04389962,0.011279584,0.0075398944,0.010600768,0.21674487,0.015255784,0.032375053,0.00553099,0.09046784,0.012683173
S0851,0.0475235,0.011225364,0.007095726,0.019741151,0.0073008356,0.13037136,0.41967708,0.05815221,0.013375596,0.002545329
S0852,0.0020549274,0.0067099463,0.06050078,0.2133814,0.0014881754,0.6961562,0.5564818,0.00672282,0.025275515,0.0017646309
S0853,0.06057143,0.014720831,0.024410727,0.2876137,0.0031608292,0.50495946,0.34452665,0.023837343,0.26023036,0.040827833
S0854,0.12564938,0.17204092,0.043321144,0.056033384,0.0009612115,0.018081171,0.16364168,0.15127411,0.8925354,0.002115337
S0855,0.01681252,0.0051618535,0.023877012,0.14890204,0.0031557924,0.84558874,0.794889,0.009364393,0.0018705361,0.0007280785
S0856,0.072289385,0.018825738,0.11105805,0.019684896,0.0024670076,0.043166216,0.14513023,0.043493897,0.15758052,0.001227339
S0857,0.0034880966,0.045739554,0.0069918633,0.15799224,0.008779607,0.06040551,0.14461058,0.18789612,0.01753249,0.011908563
S0858,0.014617188,0.020551195,0.002263104,0.32891232,0.0050417124,0.009980804,0.060297005,0.12086165,0.0066630016,0.03325148
S0859,0.029670285,0.019915907,0.012912314,0.015897281,0.009628949,0.027265793,0.17250383,0.030928474,0.027480444,0.0015879052
S0860,0.016900036,0.04179916,0.016437981,0.070995204,0.0027942904,0.037686177,0.02695919,0.016738832,0.00951995,0.0012227993
S0861,0.007900401,0.004723029,0.6811112,0.5240216,0.0012137798,0.40148118,0.43481642,0.0074084364,0.0074845226,0.0008247567
S0862,0.016523402,0.019443534,0.16310395,0.0955141,0.0023423946,0.1953986,0.017694678,0.016004633,0.18543534,0.011772521
S0863,0.0052923625,0.04728432,0.003006286,0.0431114,0.010464034,0.006245046,0.7045193,0.04728941,0.013929513,0.010894206
S0864,0.050840206,0.062523656,0.009332703,0.33860493,0.000843655,0.08752032,0.08523435,0.18752684,0.38076028,0.5972873
S0865,0.0076721306,0.0038396758,0.2755304,0.4795687,0.0013440172,0.86583394,0.27350447,0.0063955043,0.011239085,0.0006456363
S0866,0.012280804,0.020677231,0.016415376,0.035002004,0.0021973827,0.073296756,0.8058925,0.006850808,0.04258239,0.00093060645
S0867,0.049786348,0.042947024,0.010555737,0.0040074126,0.003633134,0.008781304,0.22226244,0.04356371,0.0069651837,0.0037371896
S0868,0.008714906,0.0125996,0.031121882,0.023475237,0.0022585478,0.15775247,0.028300187,0.049886685,0.02529456,0.0017423474
S0869,0.013382211,0.005895583,0.003282415,0.009263212,0.001398059,0.7906142,0.01976226,0.029927775,0.007926197,0.96458024
S0870,0.017072663,0.14785309,0.021211203,0.0072010453,0.011234334,0.015661841,0.007733577,0.0045349044,0.010126091,0.0018189783
S0871,0.26920062,0.038867943,0.12949784,0.34688511,0.0021091087,0.8791184,0.12723026,0.0034500493,0.0048762434,0.00064179674
S0872,0.008440553,0.013558615,0.03546967,0.008654563,0.00809726,0.016581362,0.42110223,0.022006167,0.01123195,0.0010111752
S0873,0.028805476,0.09470811,0.01364551,0.18255441,0.001827648,0.009732004,0.5597849,0.15528068,0.69987625,0.025715249
S0874,0.8978881,0.92198443,0.019424085,0.99037766,0.0009617873,0.87146264,0.5640013,0.89171946,0.96558136,0.0021914523
S0875,0.04570905,0.1967629,0.025623472,0.041601967,0.007266444,0.06285499,0.09187567,0.018705184,0.015796084,0.0016638356
S0876,0.0032126384,0.023837976,0.0044620866,0.0709743,0.00879773,0.02153125,0.08745747,0.14399889,0.010229514,0.20421313
S0877,0.0061780377,0.0060660723,0.0023429585,0.007554259,0.007767537,0.012132542,0.43888324,0.0065282243,0.0032447067,0.0010116709
S0878,0.009187459,0.011389794,0.11432656,0.25299302,0.0036779516,0.35099745,0.44144124,0.0041203527,0.018077118,0.00064762693
S0879,0.033846702,0.109522834,0.00971988,0.012547454,0.00256393,0.017159628,0.017198635,0.048503585,0.030443102,0.0010999003
S0880,0.0029733893,0.031127965,0.0071602524,0.0111585045,0.0029539329,0.002442347,0.17206812,0.21385081,0.007425448,0.013426929
S0881,0.028476115,0.003724935,0.0021805253,0.008200935,0.0026549601,0.5847296,0.3964826,0.0074911206,0.038494844,0.0010533811
S0882,0.06711751,0.2629588,0.032108176,0.16843645,0.005056514,0.036725093,0.47669208,0.047702156,0.118065596,0.0024851654
S0883,0.003047173,0.051368702,0.0013287106,0.007422447,0.017326461,0.0089719575,0.08720764,0.010051225,0.02975361,0.0019263935
S0884,0.43330035,0.003591633,0.0043784333,0.009061295,0.009625463,0.045713685,0.21503323,0.017392477,0.0059519857,0.0019054482
S0885,0.015768968,0.011240988,0.0073884414,0.020323912,0.0031985648,0.006326203,0.19043443,0.12141935,0.010048711,0.0015767863
S0886,0.021343553,0.009271035,0.20632921,0.00726394,0.002757667,0.29026705,0.13270658,0.0048436187,0.06804892,0.0006954097
S0887,0.018609853,0.029000722,0.10634691,0.038052455,0.022075612,0.07824662,0.17750354,0.013487619,0.020566544,0.0023821532
S0888,0.005804513,0.03681302,0.0017779192,0.15566286,0.0045639058,0.004204651,0.1127937,0.03526442,0.0064280904,0.093815945
S0889,0.0061340155,0.004605203,0.16616759,0.59390384,0.0010615421,0.40054443,0.10446062,0.01122185,0.48072076,0.0048238398
S0890,0.043372538,0.06211222,0.038143814,0.32671267,0.0014024181,0.1107461,0.15681253,0.15141313,0.32183343,0.5193448
S0891,0.0037179906,0.018979613,0.0040918803,0.0076166205,0.003972981,0.020697474,0.17452833,0.024572048,0.016750796,0.0021698808
S0892,0.017489718,0.029107396,0.0017126405,0.03114408,0.0077079395,0.031871498,0.04469231,0.12649825,0.01151655,0.0022301334
S0893,0.0033728115,0.2812758,0.0017621574,0.025604323,0.005377917,0.010000179,0.1045039,0.049952142,0.018738037,0.09285011
S0894,0.018350959,0.0031049869,0.016618494,0.25185516,0.005666218,0.79492956,0.3019962,0.019720903,0.007942325,0.0016166414
S0895,0.0030670715,0.012409208,0.0065069576,0.8360461,0.0026120215,0.6359471,0.11373732,0.057985574,0.005646959,0.002439037
S0896,0.021546716,0.02266104,0.023979953,0.06773307,0.0030162814,0.10150674,0.15924834,0.013094888,0.054598596,0.0036515896
S0897,0.020190917,0.016056644,0.04922914,0.11378075,0.0011440804,0.03380559,0.27083686,0.013651409,0.0068552373,0.0042233374
S0898,0.55173784,0.8899108,0.0028483206,0.8825378,0.000888247,0.8186654,0.8557525,0.94283694,0.9793962,0.0015359598
S0899,0.04213951,0.02688669,0.011801614,0.050628014,0.0032727805,0.039325964,0.1955974,0.023075962,0.032012954,0.0012850227
S0900,0.13194476,0.015191032,0.055569947,0.7085671,0.00096786575,0.058530048,0.07291405,0.0018238827,0.7218666,0.0015229029
S0901,0.00880424,0.5058922,0.027009904,0.011567049,0.010704746,0.061777387,0.08048419,0.011444285,0.022082526,0.0011323905
S0902,0.012304483,0.017885229,0.008080427,0.021464987,0.0011714742,0.08353427,0.12977305,0.029381566,0.11732629,0.0011189231
S0903,0.013709624,0.005911394,0.6041485,0.27248773,0.0015748139,0.15710977,0.016351698,0.020247523,0.08151521,0.016621104
S0904,0.021513391,0.035310198,0.15987973,0.09025262,0.0047029587,0.5465263,0.4560977,0.1239781,0.032421354,0.0066191824
S0905,0.009553775,0.008527873,0.022960361,0.030519968,0.009520975,0.017109118,0.022891015,0.044393457,0.0135605605,0.004437351
S0906,0.07874442,0.025545882,0.11512548,0.01639641,0.0015918125,0.008436483,0.2910832,0.4762476,0.106053986,0.0010122457
S0907,0.031596765,0.025036216,0.013684097,0.027589422,0.0040718024,0.2534732,0.13786826,0.082665786,0.016025402,0.00095018663
S0908,0.0028482054,0.08993746,0.0043155546,0.06229469,0.00984947,0.019315464,0.16453016,0.015667457,0.028094377,0.0014347101
S0909,0.0053978227,0.03902825,0.006475596,0.00470343,0.010082517,0.0064286054,0.035009623,0.009230753,0.017219683,0.0029807137
S0910,0.0052382005,0.0031126004,0.006617113,0.02694404,0.0016153683,0.0076141595,0.10069801,0.011994957,0.3041819,0.023161389
S0911,0.058564097,0.21322827,0.057775896,0.027917514,0.004158757,0.03396129,0.05759487,0.023550142,0.09169167,0.0012949858
S0912,0.022043671,0.10580251,0.010329532,0.010560624,0.009820022,0.017768843,0.2215757,0.024884662,0.07027341,0.0013388742
S0913,0.02658187,0.013584322,0.18227494,0.06916964,0.00095213734,0.015120223,0.35958853,0.049412783,0.16174519,0.008592795
S0914,0.055775985,0.026408907,0.048202273,0.019120678,0.0017634949,0.13478076,0.91413116,0.0019058654,0.009319504,0.0013509948
S0915,0.0094779115,0.05312225,0.00256402,0.0597382,0.010138692,0.13422282,0.24747133,0.021602238,0.026990449,0.0013387926
S0916,0.0023437333,0.044736467,0.004549397,0.015102552,0.0052526537,0.0036323057,0.06909981,0.0031246229,0.023031969,0.0059144767
S0917,0.022807375,0.00600618,0.0025983404,0.0159267,0.0027980357,0.03802992,0.18217003,0.2831558,0.06444035,0.002307305
S0918,0.0101806605,0.018180927,0.006127757,0.6874541,0.0050797933,0.63345957,0.06432378,0.050254893,0.013277598,0.0011413074
S0919,0.021058977,0.03477033,0.0371877,0.036679793,0.006906019,0.00980226,0.09207467,0.017143568,0.021570528,0.001520927
S0920,0.059143085,0.088122696,0.01751695,0.28116202,0.0008036003,0.23734957,0.029066708,0.43801534,0.9411465,0.017061599
S0921,0.2571208,0.20310272,0.011407702,0.08570007,0.0011569099,0.075861655,0.49735993,0.11633593,0.3048928,0.014175765
S0922,0.009143052,0.24446414,0.00174824,0.27462935,0.04277576,0.0033373556,0.13763359,0.071888246,0.0025926768,0.014478104
S0923,0.10375845,0.013801821,0.040515214,0.12782846,0.00828885,0.08818253,0.024661507,0.028121354,0.746442,0.001950242
S0924,0.008169842,0.017895676,0.015456491,0.075900055,0.0028399008,0.43879238,0.0804212,0.082290165,0.07832125,0.0042503546
S0925,0.017615773,0.05123948,0.006370787,0.015116204,0.008459266,0.013092578,0.95114964,0.011038811,0.0085929325,0.0016716468
S0926,0.010902636,0.0028224264,0.007928083,0.014387772,0.0015027412,0.0130416,0.5197833,0.02440167,0.09191679,0.0028707024
S0927,0.029781284,0.01227201,0.007081724,0.034271758,0.0028930523,0.13435002,0.31442627,0.068880506,0.06327424,0.01311619
S0928,0.13709196,0.09244111,0.08444441,0.10905902,0.0028642318,0.3004444,0.48741096,0.023746677,0.03427132,0.002767522
S0929,0.015835779,0.045911826,0.017026784,0.024704669,0.016041448,0.011705487,0.014224331,0.019159786,0.22902821,0.0017675986
S0930,0.010080789,0.16933477,0.040425476,0.20295031,0.0022800008,0.050785597,0.20265071,0.007599732,0.16837838,0.0021793894
S0931,0.0055478015,0.07215381,0.0025973297,0.06424732,0.0046929126,0.25120077,0.12340207,0.5567759,0.0062037525,0.0064460225
S0932,0.0050443634,0.006729383,0.042119738,0.023082457,0.0011621547,0.05417962,0.007964891,0.010038588,0.7875266,0.002330619
S0933,0.051535845,0.005718655,0.008614616,0.014430508,0.0010903032,0.026099527,0.08794675,0.01130486,0.13442743,0.0068630725
S0934,0.024694366,0.017331967,0.031050242,0.01900888,0.0034642743,0.038928285,0.044599067,0.021905053,0.003928835,0.00090517994
S0935,0.0027299554,0.0024052649,0.03902788,0.45061734,0.00091361813,0.7049061,0.9614165,0.0018972515,0.023539744,0.0016410641
S0936,0.03253677,0.0075684288,0.8263454,0.6488449,0.00083480263,0.015209275,0.3037289,0.008304523,0.006350393,0.0008928405
S0937,0.08959149,0.14688554,0.024316339,0.11147792,0.015417884,0.07741474,0.27543864,0.014111954,0.072761275,0.04564617
S0938,0.0047325743,0.0028746745,0.049108975,0.007958112,0.0047061583,0.005138585,0.038218092,0.010589387,0.003968387,0.002506244
S0939,0.0025700673,0.0032925883,0.326762,0.054866105,0.0087889815,0.08618664,0.016585289,0.006635318,0.85620075,0.0044418024
S0940,0.8610541,0.0074795433,0.0035350649,0.006637295,0.002836163,0.016300697,0.12078529,0.014929158,0.004856187,0.014927236
S0941,0.8297836,0.8381268,0.016708588,0.833438,0.0019403138,0.82018197,0.81021655,0.6623947,0.97638047,0.044788707
