sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.028537137,0.016006166,0.020362774,0.012442802,0.0024844077,0.008150372,0.05777217,0.47151244,0.0099297175,0.0008951532
S0767,0.038223043,0.0224216,0.041706096,0.024205847,0.0014991208,0.026365105,0.030947588,0.035465937,0.018432857,0.001419785
S0768,0.100570925,0.16170666,0.045087397,0.05569111,0.0031210291,0.05765838,0.3809811,0.7064263,0.04961749,0.0018997698
S0769,0.074968375,0.004962827,0.2181064,0.103901386,0.015024491,0.045393385,0.052965194,0.010125254,0.8985261,0.012299326
S0770,0.005983979,0.0021905506,0.2393567,0.4430307,0.0013674384,0.8506368,0.9091716,0.007376488,0.005590129,0.0012906584
S0771,0.007042019,0.06730818,0.020024119,0.028477717,0.008317516,0.04217491,0.11577321,0.16274825,0.022634963,0.0074284533
S0772,0.0038971212,0.0046316744,0.71730673,0.7482953,0.0009741877,0.1996708,0.8981326,0.03183661,0.0066039837,0.00070109253
S0773,0.0052770497,0.022337498,0.04164906,0.032830484,0.0034764954,0.010415487,0.3945476,0.063139565,0.20294449,0.010466385
S0774,0.028405808,0.11691738,0.02585618,0.014662387,0.0019353706,0.04306557,0.08232461,0.38526687,0.010221233,0.0019377808
S0775,0.3137615,0.0104779815,0.01058195,0.008660235,0.005161099,0.04037267,0.8781629,0.034569103,0.008848104,0.0013384593
S0776,0.044067405,0.024479693,0.9099323,0.6108822,0.009292362,0.09614325,0.009797509,0.35660186,0.014075619,0.0066775065
S0777,0.014810859,0.042929802,0.049729593,0.05528147,0.008797705,0.003398406,0.06774271,0.20868306,0.030520849,0.0060327505
S0778,0.047535222,0.15854873,0.032297697,0.054137584,0.0035494838,0.08874632,0.075251825,0.29188737,0.08748615,0.0011172657
S0779,0.06888092,0.0065034195,0.010003101,0.072926626,0.0055282316,0.08203735,0.15374322,0.026449857,0.37073547,0.020929946
S0780,0.2415435,0.011634907,0.0059306277,0.13618585,0.0045314445,0.8707449,0.16431664,0.009505527,0.008965383,0.0017027955
S0781,0.0158553,0.015388574,0.0771601,0.036069747,0.002073489,0.036772996,0.007997806,0.0692534,0.02369946,0.0017211852
S0782,0.005732635,0.010749067,0.37483856,0.0156083545,0.16342162,0.012259814,0.20424119,0.013528706,0.4072468,0.046989873
S0783,0.065607764,0.002933381,0.01030562,0.06648528,0.002982409,0.02208077,0.066170335,0.023417568,0.39461243,0.08807436
S0784,0.06258002,0.0033304272,0.010254674,0.013166118,0.007917427,0.0075432886,0.008905844,0.2687258,0.024762249,0.0030291236
S0785,0.05050964,0.14064933,0.028342497,0.04635102,0.0021106256,0.09892104,0.22997625,0.3007275,0.03999037,0.9486259
S0786,0.005847293,0.004383348,0.4875873,0.79504263,0.0010934164,0.2809855,0.9806873,0.033400662,0.008702392,0.00088303065
S0787,0.014831224,0.021343593,0.121468686,0.015611154,0.0080474075,0.1795649,0.95940363,0.107714646,0.008181481,0.003082436
S0788,0.068897106,0.19155331,0.0070906556,0.056334946,0.0036657196,0.10593705,0.9233675,0.4073749,0.34516612,0.0034357114
S0789,0.0041373204,0.040814754,0.015608633,0.014943351,0.0014936663,0.02964612,0.02375152,0.05876376,0.01832157,0.00094652636
S0790,0.004613109,0.0029920905,0.013713494,0.0027049156,0.0035292376,0.009720912,0.97551847,0.0060890345,0.006305171,0.0010916345
S0791,0.018014757,0.012470026,0.3955028,0.18999287,0.0013309771,0.73824054,0.5796876,0.041343283,0.013205928,0.0010358316
S0792,0.029359233,0.034571163,0.17042716,0.013731706,0.008062076,0.1668232,0.119134404,0.014852441,0.0068542673,0.0021414766
S0793,0.0046870206,0.004749438,0.197302,0.028789673,0.025075767,0.021778418,0.028064733,0.015492181,0.039841376,0.021721395
S0794,0.0049956883,0.01494147,0.0015764214,0.2587461,0.0021694389,0.012851735,0.02933001,0.43367487,0.007696758,0.002422871
S0795,0.01220105,0.1436926,0.027572213,0.014853584,0.01316887,0.1308453,0.26957262,0.047728818,0.02582023,0.0048449547
S0796,0.040737018,0.008747162,0.11431946,0.044800222,0.0024614295,0.06213229,0.52821225,0.052766584,0.015760148,0.003286383
S0797,0.036572754,0.07267508,0.12925555,0.04392016,0.0011915569,0.070470855,0.02255791,0.03964912,0.962845,0.0136991255
S0798,0.012381033,0.17385665,0.0050157784,0.011395824,0.07283763,0.030299269,0.053851563,0.06606054,0.004890007,0.001738808
S0799,0.013049052,0.035409037,0.0038560964,0.13205467,0.0043619536,0.015440571,0.1957605,0.24309315,0.045367952,0.002213477
S0800,0.0153604,0.008040205,0.058850806,0.15734826,0.0010527396,0.7212137,0.34348857,0.014301871,0.009175746,0.0010344544
S0801,0.02449825,0.0044400357,0.018856833,0.44562364,0.0008754656,0.6193739,0.47218716,0.19925801,0.01468747,0.00091258076
S0802,0.0014735297,0.026964158,0.0074564503,0.13693526,0.0070286216,0.03233873,0.04647875,0.81343406,0.0042897575,0.002377193
S0803,0.026913378,0.0070514684,0.021020811,0.0040740636,0.0014936826,0.057606373,0.5754491,0.011605077,0.0138547,0.0024922618
S0804,0.047789447,0.02407214,0.0041890494,0.20539205,0.0022286177,0.032632895,0.015454583,0.10655722,0.16592632,0.0056445734
S0805,0.020600982,0.30034995,0.10635142,0.049668863,0.03939242,0.24281102,0.15193741,0.01314684,0.11993248,0.01328916
S0806,0.0057848627,0.005966355,0.6704719,0.7192766,0.0010256222,0.634112,0.20845895,0.022154996,0.008081986,0.0018102783
S0807,0.03444783,0.012479219,0.31299335,0.2263834,0.0013382483,0.04064637,0.88061684,0.1987201,0.37104696,0.0037985966
S0808,0.0048403973,0.005731787,0.008130698,0.016437588,0.0026193822,0.024644535,0.3965492,0.010067156,0.4026547,0.0008706229
S0809,0.0080189705,0.009225387,0.0075165937,0.010107815,0.0023873341,0.03895707,0.12336783,0.024623724,0.060789134,0.008189672
S0810,0.012110405,0.079399966,0.008679928,0.026107175,0.601094,0.006783786,0.012840137,0.0033358715,0.011199138,0.0073585114
S0811,0.033123806,0.007244503,0.007041559,0.010208856,0.0040694904,0.21375448,0.81019044,0.0039333254,0.0066266702,0.0014328047
S0812,0.01638355,0.7068067,0.17416827,0.021662477,0.04032654,0.03250521,0.038980234,0.011116937,0.0165097,0.0013019305
S0813,0.015425892,0.0814898,0.002565335,0.019247936,0.052583832,0.035549883,0.29189536,0.11047977,0.1860477,0.005174327
S0814,0.14416367,0.03093349,0.17220251,0.1812841,0.0007834585,0.12500916,0.016624846,0.13599035,0.036780007,0.010657779
S0815,0.03577567,0.0029489878,0.02806595,0.12692946,0.0056284764,0.4607267,0.49456665,0.17122105,0.006320486,0.0049423054
