sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.022246674,0.008257478,0.006763146,0.018092195,0.00479577,0.010855163,0.040278494,0.059406146,0.009496252,0.0011802078
S0767,0.008432021,0.007585855,0.0035157888,0.012381562,0.002367161,0.020457195,0.043251023,0.05478536,0.018686842,0.001398637
S0768,0.948049,0.022996603,0.0020743585,0.036443442,0.003693139,0.012260651,0.91645074,0.92794603,0.04062476,0.0014611474
S0769,0.00787655,0.004383664,0.035694696,0.04601394,0.0064119454,0.91723174,0.014592278,0.014433485,0.99140316,0.0010602898
S0770,0.0031083599,0.000997294,0.016381944,0.8984943,0.0014195092,0.9744986,0.95873815,0.0029819484,0.0036989087,0.0006572235
S0771,0.009450737,0.0050075776,0.0049996297,0.011754334,0.0049875868,0.03082884,0.029688844,0.057190504,0.04313074,0.004420346
S0772,0.0026498553,0.0010596173,0.047685273,0.110060446,0.0009644746,0.068173535,0.97884595,0.0013842066,0.0035929317,0.00066273945
S0773,0.011325799,0.012280416,0.009726197,0.02148468,0.0012670936,0.028684365,0.037680913,0.011124116,0.03430426,0.0029981248
S0774,0.924425,0.048338033,0.0059630494,0.009025348,0.0094075175,0.016145123,0.05385324,0.04336029,0.015800934,0.001362873
S0775,0.04733952,0.011949991,0.011259691,0.009006812,0.0012885095,0.026911797,0.94292545,0.007965902,0.01628493,0.0006690947
S0776,0.0076564164,0.00462515,0.9567636,0.11035428,0.003961348,0.024046121,0.009702281,0.010486295,0.009513908,0.0030801205
S0777,0.02538521,0.033860996,0.8971161,0.03194391,0.005556595,0.023101335,0.062194604,0.010970845,0.03158115,0.0033239091
S0778,0.8461996,0.888084,0.0045876405,0.83164006,0.0018069794,0.82116604,0.7671039,0.87677723,0.82177126,0.0010823219
S0779,0.031699955,0.0078349365,0.035691902,0.018431172,0.0039437655,0.02211163,0.025129106,0.0152577385,0.86242634,0.0015264018
S0780,0.030380882,0.009499813,0.008347852,0.052966394,0.0015558249,0.9855881,0.9167704,0.009073626,0.007837643,0.00055763073
S0781,0.014187958,0.010783209,0.005376045,0.014503253,0.0016875635,0.016881224,0.018034913,0.028804943,0.0175466,0.0021286083
S0782,0.7623917,0.0052804947,0.016002785,0.011546524,0.015982173,0.008849283,0.11628556,0.018419519,0.03330233,0.006705149
S0783,0.0047071325,0.0036421798,0.001602259,0.025801241,0.0023166763,0.8870271,0.050591186,0.02188439,0.9465065,0.010144786
S0784,0.020806229,0.0021523363,0.0047529303,0.008869741,0.0030268577,0.004855357,0.010163477,0.9018225,0.019319525,0.0031659098
S0785,0.8804123,0.025784563,0.0060508135,0.90934443,0.0060728034,0.011301594,0.8535451,0.891946,0.8594584,0.96932393
S0786,0.0032021152,0.001125801,0.06023371,0.90555197,0.00063751166,0.9142142,0.9948873,0.001325783,0.002776793,0.00062329357
S0787,0.006387925,0.03454921,0.8766693,0.021504158,0.0023096018,0.12574649,0.960392,0.0040821936,0.010769195,0.00094254187
S0788,0.9332099,0.91868746,0.0069483314,0.941239,0.0046183956,0.9383546,0.94918525,0.9149264,0.940337,0.003619642
S0789,0.0029627443,0.013195561,0.022692917,0.018797435,0.0009845158,0.011567769,0.010411748,0.8573334,0.0063211513,0.00064251275
S0790,0.0060621807,0.006067116,0.004847063,0.0019120432,0.0015797167,0.0041446136,0.9856419,0.0043100445,0.009195328,0.0009727585
S0791,0.015118654,0.012815138,0.06794027,0.9002693,0.001494453,0.9170186,0.951987,0.0048256326,0.008731147,0.0005426304
S0792,0.019735524,0.027854634,0.8935158,0.0054076333,0.0036529293,0.014810421,0.10010424,0.00916278,0.007033259,0.0012794317
S0793,0.0069952845,0.010659684,0.021466218,0.013122945,0.018938093,0.0044870274,0.017100338,0.010037939,0.032758746,0.006240233
S0794,0.0035658248,0.014658248,0.0012075014,0.91811544,0.0022801114,0.0035581647,0.028798712,0.015942065,0.0056782104,0.0028275857
S0795,0.010012568,0.024113014,0.0118292235,0.016295085,0.0023355538,0.011557409,0.9073519,0.005355112,0.020824475,0.0007183737
S0796,0.0078057596,0.0050457353,0.016893787,0.01518161,0.0020672213,0.021305544,0.91497403,0.003152287,0.022959549,0.0013734121
S0797,0.012181996,0.020925237,0.042442657,0.03206201,0.0008920187,0.040418897,0.010066396,0.05601892,0.97166395,0.0069363513
S0798,0.012363978,0.040741816,0.0019508055,0.011761116,0.8493163,0.0081290025,0.037156336,0.04585779,0.012502721,0.0022391514
S0799,0.005179794,0.0071377694,0.0053980323,0.045309834,0.002273003,0.0135285845,0.038153164,0.023043681,0.0073749693,0.001281336
S0800,0.0042765657,0.0031006061,0.048063632,0.93026006,0.0013158037,0.91114545,0.09167686,0.0017254608,0.015444507,0.0005250273
S0801,0.0072106584,0.0041595986,0.86822677,0.86394864,0.0016129899,0.08393032,0.9740931,0.004574813,0.0058621,0.000592101
S0802,0.002621299,0.014469651,0.002579401,0.054705568,0.0039304737,0.003210712,0.023075167,0.895503,0.004401663,0.0068647107
S0803,0.011428948,0.0059848954,0.8519973,0.015563303,0.0011200353,0.008535393,0.8912637,0.005533115,0.011141286,0.00071506307
S0804,0.029994551,0.01944963,0.0066679865,0.042870253,0.0017251543,0.018137105,0.011107306,0.060131427,0.8710451,0.0020249197
S0805,0.01833517,0.026711714,0.029074164,0.029937444,0.0054418296,0.90985507,0.03502527,0.006847519,0.064629994,0.0014280097
S0806,0.0032497223,0.0060614822,0.92733467,0.17407118,0.000754589,0.0443102,0.909431,0.0063897376,0.005261586,0.0006668774
S0807,0.011685066,0.0048293965,0.92549074,0.030981055,0.0010101127,0.009834327,0.9625371,0.0037892484,0.035708077,0.0012101497
S0808,0.0020603244,0.0062840786,0.014060037,0.027241005,0.0010643465,0.01999651,0.057908278,0.019360494,0.9160149,0.0005861343
S0809,0.0037789734,0.0072309594,0.0020635026,0.0075652064,0.0072943866,0.020187257,0.025372313,0.0063309046,0.034940932,0.0024350504
S0810,0.004720376,0.018519508,0.007241181,0.009616098,0.93163705,0.0046179025,0.01201696,0.009148652,0.007306858,0.002817603
S0811,0.010488888,0.0076095234,0.006707004,0.023359166,0.0025755137,0.96226734,0.95676583,0.0039694523,0.011386755,0.00060710334
S0812,0.0072605335,0.97706157,0.024695214,0.017413342,0.0058603217,0.008702737,0.028803542,0.011179723,0.020266607,0.00070629956
S0813,0.009338326,0.018336888,0.0018568919,0.012785077,0.92204595,0.007460354,0.04762333,0.012369014,0.011393219,0.0013379914
S0814,0.028150072,0.0048972727,0.9288875,0.025923127,0.0010017739,0.07039029,0.020688193,0.023094116,0.023185842,0.0036887624
