sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.022246674,0.017053716,0.010276573,0.017294746,0.0041639777,0.010855163,0.03797561,0.056993544,0.018445142,0.0011802078
S0767,0.008432021,0.009085188,0.0025118745,0.018544829,0.0021353432,0.020457195,0.033938285,0.058000278,0.014925078,0.001398637
S0768,0.948049,0.020620372,0.0016570985,0.029918078,0.004558437,0.012260651,0.9122096,0.94643146,0.03739708,0.0014611474
S0769,0.00787655,0.0022603376,0.050436776,0.036250897,0.006267265,0.91723174,0.025036825,0.012732211,0.9938805,0.0010602898
S0770,0.0031083599,0.0017746615,0.014838026,0.91129756,0.0011389713,0.9744986,0.9694635,0.0017854084,0.0036427286,0.0006572235
S0771,0.009450737,0.007663307,0.004109578,0.015054368,0.0048107295,0.03082884,0.0244639,0.03550762,0.02074837,0.004420346
S0772,0.0026498553,0.0010421214,0.04609376,0.09951986,0.0007478091,0.068173535,0.97958755,0.0014628745,0.003673619,0.00066273945
S0773,0.011325799,0.01034485,0.012337164,0.044105094,0.0012261139,0.028684365,0.024065085,0.005481759,0.019348795,0.0029981248
S0774,0.924425,0.042642646,0.003619128,0.009928831,0.007838422,0.016145123,0.026986003,0.044091865,0.011343822,0.001362873
S0775,0.04733952,0.009385689,0.010926207,0.009071148,0.0011809265,0.026911797,0.94847363,0.013749109,0.02208635,0.0006690947
S0776,0.0076564164,0.0072743176,0.9474001,0.06326847,0.003046889,0.024046121,0.01203962,0.0065601147,0.009995034,0.0030801205
S0777,0.02538521,0.034456477,0.86453456,0.03550473,0.0048510255,0.023101335,0.051351503,0.013980312,0.013806008,0.0033239091
S0778,0.8461996,0.91920733,0.007245505,0.8516889,0.0016564857,0.82116604,0.8404673,0.87326854,0.8319611,0.0010823219
S0779,0.031699955,0.009590085,0.028703634,0.015531249,0.0029020868,0.02211163,0.026342453,0.017149257,0.8355489,0.0015264018
S0780,0.030380882,0.0044434746,0.009134403,0.05520115,0.001692765,0.9855881,0.9163183,0.009831109,0.006666733,0.00055763073
S0781,0.014187958,0.009198699,0.00750733,0.023220463,0.001825977,0.016881224,0.018163797,0.025788588,0.019074166,0.0021286083
S0782,0.7623917,0.0061165863,0.019057129,0.010727433,0.015389652,0.008849283,0.09270446,0.0230502,0.030007899,0.006705149
S0783,0.0047071325,0.002286787,0.0023408807,0.024611393,0.0018453968,0.8870271,0.034537714,0.020532578,0.95341486,0.010144786
S0784,0.020806229,0.0027400374,0.006102584,0.009382387,0.003726057,0.004855357,0.01053008,0.91394186,0.019828888,0.0031659098
S0785,0.8804123,0.034421586,0.0073067336,0.8822481,0.005678563,0.011301594,0.86147964,0.91083914,0.884649,0.96932393
