sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.11953412,0.12856697,0.12217287,0.22285818,0.03921604,0.23730537,0.32084835,0.13675496,0.19619864,0.0470461
S0767,0.11953412,0.12856697,0.12217287,0.22285818,0.03921604,0.23730537,0.32084835,0.13675496,0.19619864,0.0470461
S0768,0.11953412,0.12856697,0.12217287,0.22285818,0.03921604,0.23730537,0.32084835,0.13675496,0.19619864,0.0470461
S0769,0.11953412,0.12856697,0.12217287,0.22285818,0.03921604,0.23730537,0.32084835,0.13675496,0.19619864,0.0470461
S0770,0.11953412,0.12856697,0.12217287,0.22285818,0.03921604,0.23730537,0.32084835,0.13675496,0.19619864,0.0470461
S0771,0.11953412,0.12856697,0.12217287,0.22285818,0.03921604,0.23730537,0.32084835,0.13675496,0.19619864,0.0470461
S0772,0.11953412,0.12856697,0.12217287,0.22285818,0.03921604,0.23730537,0.32084835,0.13675496,0.19619864,0.0470461
S0773,0.11953412,0.12856697,0.12217287,0.22285818,0.03921604,0.23730537,0.32084835,0.13675496,0.19619864,0.0470461
S0774,0.11953412,0.12856697,0.12217287,0.22285818,0.03921604,0.23730537,0.32084835,0.13675496,0.19619864,0.0470461
S0775,0.11953412,0.12856697,0.12217287,0.22285818,0.03921604,0.23730537,0.32084835,0.13675496,0.19619864,0.0470461
S0776,0.11953412,0.12856697,0.12217287,0.22285818,0.03921604,0.23730537,0.32084835,0.13675496,0.19619864,0.0470461
S0777,0.11953412,0.12856697,0.12217287,0.22285818,0.03921604,0.23730537,0.32084835,0.13675496,0.19619864,0.0470461
S0778,0.11953412,0.12856697,0.12217287,0.22285818,0.03921604,0.23730537,0.32084835,0.13675496,0.19619864,0.0470461
S0779,0.11953412,0.12856697,0.12217287,0.22285818,0.03921604,0.23730537,0.32084835,0.13675496,0.19619864,0.0470461
S0780,0.11953412,0.12856697,0.12217287,0.22285818,0.03921604,0.23730537,0.32084835,0.13675496,0.19619864,0.0470461
S0781,0.11953412,0.12856697,0.12217287,0.22285818,0.03921604,0.23730537,0.32084835,0.13675496,0.19619864,0.0470461
S0782,0.11953412,0.12856697,0.12217287,0.22285818,0.03921604,0.23730537,0.32084835,0.13675496,0.19619864,0.0470461
S0783,0.11953412,0.12856697,0.12217287,0.22285818,0.03921604,0.23730537,0.32084835,0.13675496,0.19619864,0.0470461
S0784,0.11953412,0.12856697,0.12217287,0.22285818,0.03921604,0.23730537,0.32084835,0.13675496,0.19619864,0.0470461
S0785,0.11953412,0.12856697,0.12217287,0.22285818,0.03921604,0.23730537,0.32084835,0.13675496,0.19619864,0.0470461
S0786,0.11953412,0.12856697,0.12217287,0.22285818,0.03921604,0.23730537,0.32084835,0.13675496,0.19619864,0.0470461
S0787,0.11953412,0.12856697,0.12217287,0.22285818,0.03921604,0.23730537,0.32084835,0.13675496,0.19619864,0.0470461
S0788,0.11953412,0.12856697,0.12217287,0.22285818,0.03921604,0.23730537,0.32084835,0.13675496,0.19619864,0.0470461
S0789,0.11953412,0.12856697,0.12217287,0.22285818,0.03921604,0.23730537,0.32084835,0.13675496,0.19619864,0.0470461
S0790,0.11953412,0.12856697,0.12217287,0.22285818,0.03921604,0.23730537,0.32084835,0.13675496,0.19619864,0.0470461
S0791,0.11953412,0.12856697,0.12217287,0.22285818,0.03921604,0.23730537,0.32084835,0.13675496,0.19619864,0.0470461
S0792,0.11953412,0.12856697,0.12217287,0.22285818,0.03921604,0.23730537,0.32084835,0.13675496,0.19619864,0.0470461
S0793,0.11953412,0.12856697,0.12217287,0.22285818,0.03921604,0.23730537,0.32084835,0.13675496,0.19619864,0.0470461
S0794,0.11953412,0.12856697,0.12217287,0.22285818,0.03921604,0.23730537,0.32084835,0.13675496,0.19619864,0.0470461
S0795,0.11953412,0.12856697,0.12217287,0.22285818,0.03921604,0.23730537,0.32084835,0.13675496,0.19619864,0.0470461
S0796,0.11953412,0.12856697,0.12217287,0.22285818,0.03921604,0.23730537,0.32084835,0.13675496,0.19619864,0.0470461
S0797,0.11953412,0.12856697,0.12217287,0.22285818,0.03921604,0.23730537,0.32084835,0.13675496,0.19619864,0.0470461
S0798,0.11953412,0.12856697,0.12217287,0.22285818,0.03921604,0.23730537,0.32084835,0.13675496,0.19619864,0.0470461
S0799,0.11953412,0.12856697,0.12217287,0.22285818,0.03921604,0.23730537,0.32084835,0.13675496,0.19619864,0.0470461
S0800,0.11953412,0.12856697,0.12217287,0.22285818,0.03921604,0.23730537,0.32084835,0.13675496,0.19619864,0.0470461
S0801,0.11953412,0.12856697,0.12217287,0.22285818,0.03921604,0.23730537,0.32084835,0.13675496,0.19619864,0.0470461
S0802,0.11953412,0.12856697,0.12217287,0.22285818,0.03921604,0.23730537,0.32084835,0.13675496,0.19619864,0.0470461
S0803,0.11953412,0.12856697,0.12217287,0.22285818,0.03921604,0.23730537,0.32084835,0.13675496,0.19619864,0.0470461
S0804,0.11953412,0.12856697,0.12217287,0.22285818,0.03921604,0.23730537,0.32084835,0.13675496,0.19619864,0.0470461
S0805,0.11953412,0.12856697,0.12217287,0.22285818,0.03921604,0.23730537,0.32084835,0.13675496,0.19619864,0.0470461
