sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.058388464,0.11399798,0.10014553,0.201182,0.06526002,0.21302949,0.19666547,0.12895082,0.13615918,0.009052295
S0767,0.07987074,0.16227077,0.06823157,0.16020143,0.020445162,0.15055239,0.20831215,0.16177109,0.12685187,0.03681569
S0768,0.058388464,0.11399798,0.10014553,0.201182,0.06526002,0.21302949,0.19666547,0.12895082,0.13615918,0.009052295
S0769,0.15786311,0.3475408,0.069240056,0.27214125,0.020210085,0.20842484,0.107747145,0.18313205,0.11425595,0.035442088
S0770,0.36646354,0.38598865,0.0644106,0.32548076,0.0040238253,0.56545496,0.743097,0.5631827,0.37251008,0.063118204
S0771,0.07987074,0.16227077,0.06823157,0.16020143,0.020445162,0.15055239,0.20831215,0.16177109,0.12685187,0.03681569
S0772,0.18934521,0.16722757,0.23974937,0.5243723,0.0040238253,0.34783924,0.7281965,0.20633331,0.18252067,0.021560432
S0773,0.058388464,0.11399798,0.10014553,0.201182,0.06526002,0.21302949,0.19666547,0.12895082,0.13615918,0.009052295
S0774,0.05608245,0.044355027,0.15184313,0.4872096,0.0040238253,0.33341855,0.36794803,0.43032327,0.6548517,0.024583435
S0775,0.07434598,0.07457432,0.08165208,0.15362096,0.013622111,0.39961463,0.31601045,0.075340234,0.27434006,0.007966136
S0776,0.07226295,0.056061596,0.056872133,0.55428576,0.05935737,0.15249674,0.1119911,0.08425629,0.34285262,0.009052295
S0777,0.058388464,0.11399798,0.10014553,0.201182,0.06526002,0.21302949,0.19666547,0.12895082,0.13615918,0.009052295
S0778,0.07987074,0.16227077,0.06823157,0.16020143,0.020445162,0.15055239,0.20831215,0.16177109,0.12685187,0.03681569
S0779,0.092138864,0.09133071,0.06950403,0.16817583,0.09213188,0.059731863,0.21304825,0.22261201,0.19825746,0.007966136
S0780,0.44519305,0.21219099,0.021314608,0.118079744,0.03301402,0.37205103,0.396817,0.054526858,0.092292845,0.041217014
S0781,0.07987074,0.16227077,0.06823157,0.16020143,0.020445162,0.15055239,0.20831215,0.16177109,0.12685187,0.03681569
S0782,0.08311257,0.03634777,0.093792714,0.047694575,0.030114844,0.08376201,0.20696741,0.1017869,0.18702519,0.009052295
S0783,0.12969129,0.19117545,0.089889035,0.385414,0.0040238253,0.32933846,0.37625134,0.08706346,0.62935543,0.021560432
