sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.0066144555,0.0053306906,0.011239054,0.20265733,0.00452664,0.016019516,0.15826128,0.15800773,0.016877662,0.014810324
S0767,0.05876085,0.030421413,0.0025200539,0.007532091,0.00074911653,0.015188649,0.31314677,0.09708882,0.020600155,0.011505996
S0768,0.29412097,0.04216141,0.005078326,0.34929323,0.0047226977,0.036108132,0.94417757,0.61094147,0.090478055,0.024331566
S0769,0.014042314,0.028069858,0.0026423365,0.3653599,0.044101767,0.055298798,0.12175422,0.0038240494,0.017907338,0.0016112386
S0770,0.031424098,0.00405563,0.0051698713,0.2012019,0.003202567,0.09216414,0.034209397,0.032978002,0.046017352,0.002037026
S0771,0.27850464,0.013568141,0.007077236,0.47720602,0.00452664,0.0053194845,0.46760374,0.6979089,0.04306612,0.02936078
S0772,0.014362355,0.00535339,0.015680177,0.04353769,0.0016943652,0.036307104,0.81897175,0.011445402,0.055028986,0.03738715
S0773,0.008451727,0.0032748606,0.0034714853,0.048880443,0.00452664,0.0035638143,0.06038377,0.13465083,0.15235652,0.1074806
S0774,0.016336074,0.01507277,0.006045221,0.015174078,0.0022948505,0.002896942,0.18648323,0.68671465,0.0111622615,0.025600517
S0775,0.0415801,0.0321943,0.14446992,0.19045715,0.001529597,0.11477878,0.8726142,0.04318746,0.042603932,0.0017073601
S0776,0.02028868,0.0027789394,0.051020414,0.20017509,0.0017493422,0.12736812,0.0450093,0.2297448,0.019109257,0.02187013
S0777,0.020978002,0.010224412,0.008330093,0.2023323,0.00452664,0.17054982,0.26720828,0.015630107,0.011927576,0.03251396
S0778,0.024139958,0.029130574,0.030729534,0.48640844,0.0016192064,0.0687359,0.26984107,0.13530841,0.025022974,0.11479102
S0779,0.0066751633,0.008771212,0.048975967,0.32821113,0.0069697336,0.028705569,0.018136995,0.017606955,0.1650303,0.0014836243
S0780,0.026743144,0.0066551166,0.03719066,0.069325104,0.004166911,0.032602903,0.48768356,0.020965714,0.0867268,0.0064137257
S0781,0.015085382,0.053517606,0.00467515,0.020317571,0.015274958,0.021282122,0.5480413,0.096971996,0.0043800757,0.0144320475
S0782,0.021608159,0.012008838,0.006729472,0.008350218,0.017606534,0.018139629,0.12771179,0.070433795,0.025810514,0.024037305
S0783,0.051356845,0.029895743,0.008526145,0.02467346,0.004319673,0.061946657,0.47905135,0.008446606,0.20638363,0.028229188
S0784,0.023582555,0.004040149,0.0065651634,0.028057728,0.0013515835,0.0041173487,0.020748537,0.17634228,0.00574508,0.13739553
S0785,0.06806697,0.1046724,0.046875793,0.03359384,0.012217842,0.06121038,0.08914242,0.07797493,0.037420828,0.017433023
S0786,0.004311563,0.006481068,0.006015428,0.6177831,0.00191722,0.083266824,0.69001263,0.0065974896,0.0322376,0.017828587
S0787,0.008081841,0.0062885163,0.24472414,0.2760992,0.001529597,0.19046989,0.9803079,0.08662192,0.047690745,0.001253027
S0788,0.732471,0.71019274,0.007713441,0.9182333,0.0017389139,0.47080883,0.68764013,0.543359,0.16653349,0.0041761994
S0789,0.029854795,0.03554313,0.0075882575,0.020170474,0.0006690635,0.024995092,0.83454436,0.06457306,0.012694553,0.21802174
S0790,0.011670988,0.048968747,0.06485319,0.11818521,0.0017909185,0.043034248,0.9756343,0.06193966,0.08451227,0.0554587
S0791,0.008198213,0.0064761946,0.12207115,0.9807227,0.0018349645,0.19592011,0.98920095,0.10275763,0.27834088,0.0028688114
S0792,0.0037222921,0.0059861923,0.65781677,0.014388495,0.0019439221,0.017268337,0.26788136,0.026909737,0.12525508,0.0019444802
S0793,0.015081564,0.24861765,0.015783768,0.009771396,0.08810203,0.025233287,0.05407312,0.007891873,0.03324561,0.006614287
S0794,0.0059171463,0.008374947,0.008770226,0.23187631,0.0024113548,0.035488684,0.033266764,0.24268183,0.033118267,0.006398089
S0795,0.02821496,0.015451746,0.005209168,0.00905657,0.20504428,0.017144049,0.1904123,0.014340716,0.008569152,0.06274988
S0796,0.011159646,0.00912531,0.035824202,0.00571128,0.0047281403,0.15046206,0.19522786,0.008142924,0.088651896,0.0043115527
S0797,0.012740827,0.041284624,0.003403093,0.06047094,0.0018660752,0.033879187,0.015647542,0.32724854,0.79304045,0.0102796815
S0798,0.004418729,0.0101794405,0.0058836504,0.014524887,0.5607656,0.022705216,0.037720565,0.052878954,0.020095488,0.14332093
S0799,0.03881035,0.012352145,0.04186546,0.17813231,0.00452664,0.04970838,0.16821446,0.007843441,0.019788636,0.029357959
S0800,0.010160958,0.0073538874,0.026542634,0.14243615,0.00336107,0.05960792,0.4260361,0.02919871,0.09451514,0.001009471
S0801,0.0018227693,0.006575092,0.06373302,0.8449843,0.0021146436,0.019674882,0.6750753,0.02737251,0.25313964,0.0048373668
S0802,0.0054541505,0.008374947,0.008770226,0.16534674,0.0024113548,0.050667863,0.016270842,0.3477714,0.20466381,0.0065951147
S0803,0.0021064447,0.028345583,0.008537765,0.01916213,0.014363016,0.017662367,0.81578225,0.0111800395,0.011539381,0.0015108926
S0804,0.008243572,0.0046274005,0.029209167,0.114561036,0.0014040292,0.0040067257,0.0084162755,0.008884476,0.44966295,0.006073117
S0805,0.008733983,0.017900202,0.0030837199,0.042825587,0.022468518,0.019203328,0.55778766,0.0065488536,0.026253862,0.003811634
S0806,0.01515258,0.017361447,0.017014792,0.2412271,0.002044629,0.037336655,0.79735404,0.079326704,0.012161127,0.0015284126
