sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.009999937,0.0048145964,0.015735248,0.09573539,0.0030960008,0.040335536,0.16136776,0.08577855,0.11069801,0.0087454915
S0767,0.06642629,0.011273884,0.0025442129,0.0078661535,0.00055633835,0.04045909,0.058596093,0.03337363,0.041495033,0.007832558
S0768,0.6155801,0.062427826,0.030189719,0.41497535,0.004670701,0.06583451,0.95941174,0.6357653,0.028090725,0.0045109894
S0769,0.011454517,0.0151480045,0.026720317,0.13009073,0.0391626,0.08750321,0.25486228,0.0032197272,0.044785023,0.0013162005
S0770,0.047291987,0.0077967495,0.03268979,0.30303538,0.0038469012,0.07815251,0.058966007,0.01877674,0.047233067,0.0013984059
S0771,0.2524645,0.021625565,0.01057393,0.084913045,0.0030960008,0.0034596007,0.74408764,0.7298666,0.08979854,0.0040756306
S0772,0.024820616,0.0074325437,0.046818722,0.12243886,0.0023285188,0.09019548,0.84075695,0.0036387206,0.06053881,0.0070855776
S0773,0.008381333,0.0036720417,0.00656101,0.18657805,0.0030960008,0.0069957483,0.044868212,0.09156653,0.75877047,0.040074304
S0774,0.11138248,0.0076118354,0.009435933,0.025091315,0.004654869,0.0029319127,0.77213925,0.48951825,0.017791653,0.033389688
S0775,0.11752551,0.02666595,0.19582954,0.10837231,0.001302782,0.04559473,0.8449696,0.018915484,0.023881888,0.009594221
S0776,0.045769755,0.007995986,0.7262156,0.08085086,0.0012644521,0.049878944,0.16305438,0.10219213,0.020259636,0.007212758
S0777,0.025782214,0.00286674,0.019928003,0.17587173,0.0030960008,0.09745564,0.33024597,0.0060372953,0.06985569,0.011421418
S0778,0.19284064,0.032088086,0.07444079,0.80341464,0.0011239568,0.14394608,0.86124325,0.06450442,0.026685467,0.023089027
S0779,0.013451705,0.017026808,0.015271265,0.2088906,0.0033500078,0.018729193,0.0150622325,0.033623707,0.5669688,0.0012201512
S0780,0.026342332,0.013644913,0.21679208,0.10194907,0.0031206508,0.028092535,0.49682572,0.008924444,0.10957273,0.17300643
S0781,0.031848688,0.031331114,0.028930547,0.015940143,0.010089443,0.013923163,0.21990058,0.012760881,0.006541691,0.009249883
S0782,0.10245379,0.012582413,0.010981171,0.0060879407,0.043543737,0.01085111,0.16892599,0.030899005,0.1032667,0.036576875
S0783,0.018848278,0.022019789,0.023783565,0.107234046,0.00395493,0.14337878,0.2807231,0.007841805,0.070725456,0.015388567
S0784,0.12630801,0.00493502,0.0027106921,0.0034828829,0.001125558,0.0055525675,0.010471447,0.6316443,0.008207515,0.029673811
S0785,0.24201852,0.041446984,0.054057855,0.14401433,0.0033158106,0.009337029,0.30646056,0.12873611,0.17359854,0.36761996
S0786,0.0066590076,0.020600824,0.042415585,0.5288764,0.0026445715,0.046591017,0.4878224,0.0036030072,0.106453165,0.0050976994
S0787,0.022705616,0.016575929,0.55180234,0.1635512,0.0012746722,0.06493178,0.9260775,0.08108714,0.028522938,0.0013328214
S0788,0.8711697,0.6298747,0.015215626,0.90516347,0.0012746722,0.3316337,0.733247,0.76682806,0.43267417,0.003790402
S0789,0.038673196,0.0062952004,0.008263689,0.026793445,0.0005364331,0.040700782,0.5423424,0.11823443,0.08449384,0.060961366
S0790,0.04997093,0.048935194,0.24800123,0.18610983,0.001387148,0.07280381,0.94947654,0.046594903,0.056576606,0.01548209
S0791,0.018381268,0.045858677,0.08439782,0.85477585,0.0024457262,0.24868363,0.85062927,0.055049736,0.0325701,0.0017864447
S0792,0.009305637,0.00979212,0.5719796,0.017544165,0.0014379409,0.021466939,0.182321,0.023991032,0.16962624,0.0041125417
S0793,0.021250436,0.113862395,0.015249775,0.0072539677,0.11548738,0.019748794,0.017586553,0.0032678393,0.016925137,0.008141792
S0794,0.0053966474,0.008577563,0.0057435194,0.58912224,0.0023422018,0.007531325,0.018475037,0.12794445,0.018178187,0.0026801978
S0795,0.014070849,0.009251285,0.008414629,0.006345292,0.18066208,0.009938417,0.48341838,0.0042387843,0.018628927,0.036857795
S0796,0.010380238,0.013244878,0.039183814,0.010127615,0.009147139,0.09796817,0.3161414,0.008930305,0.17819943,0.022248179
S0797,0.022958152,0.043666255,0.004930807,0.20444717,0.0010605403,0.033858366,0.01160465,0.28481784,0.563184,0.003452396
