sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.023171283,0.023251312,0.04260646,0.029722998,0.0056146136,0.029594323,0.039127536,0.3124743,0.018708212,0.013848213
S0767,0.0787805,0.06666738,0.016096355,0.10029332,0.0037917602,0.03550615,0.15621857,0.51937145,0.04078296,0.008149154
S0768,0.119184904,0.20956804,0.016096355,0.04059993,0.0057069105,0.023463985,0.42075375,0.71297085,0.018307399,0.008149154
S0769,0.03575967,0.017843908,0.07340423,0.05977025,0.0037917602,0.9289894,0.058447573,0.028234703,0.7722477,0.011564051
S0770,0.02390039,0.017843908,0.034249283,0.56755245,0.009004951,0.96502787,0.6609704,0.021781217,0.035440035,0.007197521
S0771,0.109201916,0.03972105,0.0193305,0.17208825,0.008346182,0.48923317,0.21994078,0.1424267,0.0556546,0.008149154
S0772,0.082876496,0.027797079,0.06538917,0.083478995,0.0037917602,0.16220061,0.78108585,0.07715023,0.02581576,0.008149154
S0773,0.017466027,0.03972105,0.031800848,0.14751334,0.005898314,0.20218836,0.08874195,0.05119645,0.039100915,0.019660007
S0774,0.105550006,0.018057646,0.016096355,0.04059993,0.0037917602,0.047366776,0.18850581,0.22139512,0.018307399,0.008149154
S0775,0.21631026,0.027797079,0.054968245,0.065338686,0.0037917602,0.051515967,0.83357143,0.07051212,0.05754992,0.008149154
S0776,0.022384703,0.030695332,0.56476796,0.3268142,0.0037917602,0.065860786,0.043461226,0.04134244,0.034626864,0.008149154
S0777,0.023171283,0.025077712,0.51696604,0.029722998,0.008420101,0.02414463,0.053493857,0.10448712,0.016838945,0.013848213
S0778,0.4200206,0.37487856,0.0193305,0.5130747,0.0037917602,0.5873165,0.48726523,0.5018957,0.2381205,0.008149154
S0779,0.10799583,0.06301931,0.16950181,0.12990187,0.0037917602,0.088425085,0.054649107,0.053138368,0.4741226,0.15362404
S0780,0.06015522,0.03172057,0.04991587,0.058844008,0.0037917602,0.9812587,0.5173717,0.021781217,0.03477036,0.007197521
S0781,0.05024191,0.017166352,0.03953217,0.02646264,0.0037917602,0.021453377,0.26094326,0.043116573,0.02724539,0.011597307
S0782,0.17899656,0.023202274,0.015590788,0.038708154,0.0056146136,0.025240479,0.32330275,0.13805531,0.0323,0.02107116
S0783,0.09111963,0.018057646,0.0272493,0.2160842,0.0037917602,0.6585669,0.81254727,0.02765377,0.031528946,0.013085403
S0784,0.1523857,0.023309536,0.0193305,0.028866187,0.0037917602,0.023463985,0.028930822,0.14865415,0.017020592,0.013848213
S0785,0.43677095,0.2136436,0.0272493,0.14978224,0.0037917602,0.027737997,0.07393554,0.38304287,0.45998356,0.52548635
S0786,0.025546916,0.017843908,0.0944547,0.5668159,0.0037917602,0.9587503,0.76069844,0.021781217,0.016882552,0.011597307
