sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S1558,0.25158748,0.0046734596,0.0056443647,0.0062984587,0.00077268766,0.0026122078,0.07770887,0.02963677,0.01906074,0.07025232
S1559,0.31356695,0.18287495,0.018745312,0.008637218,0.00077268766,0.0064355256,0.024393953,0.01232202,0.17763962,0.42977047
S1560,0.11535388,0.11422613,0.027068855,0.022182608,0.00073175225,0.005674418,0.028658183,0.007959468,0.045491427,0.0060603707
S1561,0.01910751,0.06517839,0.066640496,0.024525939,0.0031477606,0.004473926,0.019889584,0.04635548,0.09750466,0.015361806
S1562,0.0045607095,0.86707133,0.2860848,0.119455054,0.0020154899,0.005246205,0.059202928,0.028111894,0.094787724,0.04358508
S1563,0.00423088,0.66761065,0.27609676,0.08843079,0.0008162584,0.0041513876,0.04927516,0.040176198,0.088486604,0.022245985
S1564,0.4559135,0.007240694,0.0043468745,0.009186539,0.0027540512,0.0029822828,0.022347793,0.04397956,0.01648094,0.05168282
S1565,0.06191854,0.022283016,0.036831167,0.022549413,0.00077268766,0.0072976877,0.048508383,0.006137711,0.026533019,0.0035427492
S1566,0.23415117,0.18331558,0.017509524,0.009415663,0.00082142884,0.0033138806,0.027441612,0.018689182,0.031520437,0.009622727
S1567,0.05973975,0.65572125,0.014308783,0.023139847,0.00077268766,0.0040454273,0.021349048,0.009239422,0.036525443,0.5396179
S1568,0.004964501,0.76481944,0.093256,0.015476248,0.0008704594,0.003752573,0.073037654,0.028687036,0.03703022,0.047118872
S1569,0.32524708,0.022456957,0.036202624,0.017006198,0.00077268766,0.008449269,0.018182937,0.011934826,0.08684877,0.0020411965
