sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.0026429421,0.0018364604,0.0038124109,0.002475392,0.0020938634,0.0037612035,0.0029529638,0.48234585,0.0027480887,0.0016087506
S0767,0.05956716,0.065117486,0.0016202636,0.06325104,0.0006378143,0.0026753421,0.023228576,0.20853548,0.0028600907,0.0009851641
S0768,0.22268778,0.16909413,0.0058339923,0.0030187718,0.0006378143,0.0071629314,0.39616498,0.91673046,0.10636981,0.0008898603
S0769,0.0065749483,0.0008674803,0.2383972,0.07000412,0.00093350495,0.9562117,0.02218922,0.0026174856,0.9293378,0.002275535
S0770,0.0034210256,0.0012551126,0.004721384,0.55285984,0.0036452801,0.990599,0.9552701,0.0011452798,0.002283004,0.000587375
S0771,0.23036209,0.09699462,0.0055854553,0.053226493,0.0057243435,0.7022131,0.07541553,0.20003642,0.0796589,0.0011561756
S0772,0.0180242,0.0026476434,0.027114568,0.022944989,0.0006378143,0.013888697,0.95955694,0.003351223,0.00089410774,0.0006467325
S0773,0.0062544574,0.021628894,0.061460003,0.5111734,0.0031401676,0.40183464,0.034563035,0.008218799,0.011273635,0.0011411569
S0774,0.23754884,0.0017062827,0.022270435,0.0018128961,0.0006378143,0.0037447906,0.010649074,0.08508863,0.00366654,0.0013519928
S0775,0.14114133,0.002303355,0.007779598,0.006976948,0.00088127394,0.03062828,0.95012295,0.0054105935,0.0035824433,0.0005173479
S0776,0.01472914,0.004856143,0.9585368,0.048654307,0.00083742104,0.08687943,0.012066239,0.0033930293,0.009729675,0.0010249882
S0777,0.0033411533,0.005274675,0.789696,0.006639644,0.0031932618,0.004757663,0.008230413,0.0773696,0.006064405,0.0025449283
S0778,0.7193626,0.83700305,0.0053716204,0.8650118,0.00074419874,0.9257159,0.82313013,0.7857552,0.78787273,0.0011487046
S0779,0.012513542,0.008484954,0.1629325,0.051995546,0.0024135653,0.006924796,0.010872918,0.012025369,0.06333662,0.120016485
S0780,0.0434105,0.0018798099,0.040250346,0.0059145666,0.0012468618,0.99719787,0.5465867,0.0012240974,0.008363428,0.00079050416
S0781,0.0059700264,0.002670837,0.009768878,0.0019477523,0.0006378143,0.0068488354,0.10468597,0.0025078014,0.005870145,0.0009699326
S0782,0.17877063,0.0029776036,0.0009536094,0.003185659,0.002556131,0.007173376,0.13509847,0.012696226,0.009385778,0.016876785
S0783,0.033559576,0.002422583,0.0022397863,0.025110908,0.00083742104,0.6765222,0.8946421,0.003689742,0.04781212,0.0023609474
S0784,0.55337554,0.0024921207,0.003605672,0.0017089912,0.0006378143,0.011245891,0.008032918,0.3429892,0.0019831264,0.0020633964
S0785,0.80533046,0.041551463,0.00436822,0.044651132,0.0006378143,0.0040795696,0.021063274,0.21697025,0.3969305,0.47543254
S0786,0.002574015,0.0012055103,0.039377067,0.80220944,0.00088127394,0.98330325,0.9807624,0.0016487145,0.0010615598,0.0005176197
S0787,0.0044129617,0.0023318923,0.45973304,0.27998903,0.0006378143,0.83717865,0.9524555,0.011100207,0.0016951937,0.00053645327
S0788,0.9947523,0.9850134,0.002196488,0.9887971,0.0006378143,0.9095098,0.9872685,0.9725219,0.9832171,0.0148751605
S0789,0.013032451,0.00478987,0.00565471,0.0041850805,0.0006378143,0.032527532,0.3921902,0.1788073,0.0035280455,0.0008049116
S0790,0.0023831837,0.01141008,0.0024420181,0.009916979,0.0006378143,0.027815428,0.99337375,0.0012125913,0.0018814103,0.0005278604
S0791,0.0021726172,0.0018261811,0.46084538,0.64985067,0.0006378143,0.35993323,0.9879182,0.0035618185,0.00094193866,0.0005067306
S0792,0.15868239,0.006623752,0.55358195,0.015948215,0.0006378143,0.12392388,0.009377425,0.006107465,0.0040744757,0.0005981047
