sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.0024414605,0.0011738994,0.007934844,0.0024476547,0.0008515323,0.0036216322,0.0064097373,0.05235944,0.002398694,0.0012498017
S0767,0.009165295,0.004922625,0.001804024,0.005228306,0.00048504578,0.0023971347,0.01119983,0.04370082,0.005524534,0.0005098143
S0768,0.97319204,0.033266142,0.00079217635,0.009643074,0.0011945257,0.00758918,0.9270794,0.9861369,0.014394407,0.0007673213
S0769,0.002433414,0.00087699183,0.013193928,0.014278899,0.00048504578,0.98351306,0.00926512,0.0013111032,0.9732848,0.0016054148
S0770,0.0018436735,0.00084236497,0.0043203393,0.9244639,0.0016304952,0.9940402,0.98527235,0.0008372546,0.0031883507,0.00063224806
S0771,0.038560305,0.018629376,0.0026637728,0.045991927,0.0012781535,0.059564915,0.036883574,0.04079725,0.021012938,0.0006401803
S0772,0.004092813,0.0013688566,0.009851345,0.015064433,0.00048504578,0.010435159,0.9849091,0.0017167372,0.0012362719,0.00073547574
S0773,0.002095455,0.01180558,0.011391769,0.0670328,0.0010712908,0.08578494,0.025892906,0.00728696,0.0045617814,0.001152044
S0774,0.95326674,0.0013141049,0.0010296077,0.0019203842,0.00048504578,0.0015772119,0.017758202,0.028171532,0.0033095477,0.0007278704
S0775,0.014244605,0.0017413872,0.008653827,0.0047064936,0.00048504578,0.0037158083,0.9820624,0.003139035,0.008806329,0.0004993044
S0776,0.007313765,0.005571634,0.9663283,0.00961925,0.00048504578,0.0086561795,0.005304949,0.002092201,0.004453419,0.00044031927
S0777,0.002867085,0.0042373235,0.9342111,0.004197663,0.0014886133,0.0021405811,0.0072635035,0.018164597,0.003727128,0.0033448902
S0778,0.9821555,0.9886396,0.0027043317,0.98582494,0.00054809876,0.9735155,0.98349077,0.97358614,0.9752058,0.0004778172
S0779,0.0038088593,0.0056580408,0.008974658,0.0315639,0.00083641306,0.00913771,0.003931497,0.0037437147,0.96173626,0.012494594
