sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.00089265505,0.00072086067,0.00108973,0.0004923006,0.00084494863,0.00095308444,0.002652189,0.021751108,0.0011489027,0.0007483681
S0767,0.0029875932,0.0008187586,0.00016946698,0.0009744796,0.0003563046,0.00057888654,0.004813536,0.012330635,0.0010259632,8.753863e-05
S0768,0.99196774,0.010955945,0.000119427634,0.004673637,0.0008708402,0.0010578366,0.9851723,0.9970094,0.0091998335,9.78997e-05
S0769,0.0007498079,0.0003372774,0.008155377,0.002660843,0.0003563046,0.9947843,0.0026094685,0.0003229666,0.99457586,0.00040439243
S0770,0.0003086163,0.00020509938,0.0010457798,0.9822948,0.0010895837,0.99941325,0.9980963,0.00020495843,0.0005068919,9.5556046e-05
S0771,0.019035272,0.012796734,0.00044054916,0.011436535,0.00097427727,0.017379867,0.015969003,0.014006483,0.008689263,0.000119434124
S0772,0.00046770216,0.00016417293,0.0037555264,0.0021163106,0.0003563046,0.001999376,0.9965745,0.00025896385,8.0969796e-05,0.00019535406
S0773,0.0006495434,0.006033188,0.00277248,0.031455237,0.00097427727,0.035720564,0.007040099,0.002013928,0.0024052558,0.00092551846
S0774,0.97930485,0.00012869184,9.1591675e-05,0.00018841514,0.0003563046,0.00052308117,0.0012321327,0.013485957,0.00044306932,0.0002658805
S0775,0.004033376,0.00018275077,0.0010542776,0.00043905538,0.0003563046,0.0015205845,0.99240667,0.0015388298,0.0024468843,7.813353e-05
S0776,0.001286847,0.0008799616,0.98910695,0.0020467425,0.0004309704,0.0036236783,0.0006683882,0.00021247873,0.002850633,7.621708e-05
S0777,0.00089265505,0.0024797653,0.9566887,0.0011554153,0.0012883008,0.0010191052,0.0014593133,0.010718424,0.0018112081,0.0012692683
S0778,0.9965599,0.99594325,0.00030699378,0.99568486,0.0004309704,0.9915835,0.998042,0.9967002,0.9887179,6.723943e-05
S0779,0.0013768538,0.0017560249,0.003606955,0.007900864,0.00066389726,0.0039818143,0.002721134,0.000735522,0.9894666,0.005187065
S0780,0.0016540972,0.00024414784,0.0071574464,0.0021824266,0.0004305569,0.9999372,0.9921274,0.00010825458,0.00086432893,0.00015084606
