sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.0022670524,0.0019887146,0.011328004,0.002856614,0.00084620074,0.0035423655,0.004222812,0.58673674,0.0021955057,0.0013622922
S0767,0.05084658,0.02236118,0.0016228063,0.03314893,0.00084620074,0.0029787517,0.005261184,0.2913094,0.0046856506,0.00074110815
S0768,0.6954423,0.2896129,0.0012453817,0.019639906,0.0025863822,0.005610986,0.19530043,0.9069502,0.37298965,0.0009902107
S0769,0.0042999373,0.0012301315,0.03600618,0.08689887,0.00084620074,0.9928392,0.010347315,0.005204181,0.099348076,0.0011696657
S0770,0.0021334419,0.0014423103,0.0028414582,0.6746531,0.0011322632,0.99729604,0.9630777,0.001551435,0.002159251,0.0008227375
S0771,0.056552563,0.008974137,0.0076680947,0.033901922,0.00084620074,0.19952495,0.037854478,0.15126835,0.040580876,0.0006171436
S0772,0.009074175,0.0017156939,0.010241538,0.010177619,0.00084620074,0.2863516,0.97021145,0.005736776,0.0016163614,0.0006663523
S0773,0.0054111686,0.02146275,0.008183844,0.55708146,0.00084620074,0.68113244,0.024175046,0.011885804,0.013621271,0.001275862
S0774,0.18062371,0.0019430371,0.0044802106,0.0021291077,0.00084620074,0.0016248851,0.024140384,0.23926814,0.005537278,0.001006157
S0775,0.026721856,0.0015332418,0.009253401,0.014088476,0.00084620074,0.003428455,0.95311445,0.004163436,0.0031572194,0.0005182262
S0776,0.04747264,0.0029545142,0.7675448,0.08155595,0.00093563984,0.01462146,0.039272502,0.0136806015,0.006146627,0.0005506491
S0777,0.002457868,0.004832897,0.8581797,0.009666965,0.00084620074,0.0035612192,0.053159013,0.020076362,0.0029835722,0.00206491
S0778,0.90272826,0.907067,0.0065527293,0.92182624,0.00084620074,0.6256602,0.49901387,0.82535,0.5428842,0.0005506491
S0779,0.024190765,0.007580329,0.11589008,0.020333745,0.0025123404,0.14258206,0.003596913,0.01592501,0.33234406,0.046426933
S0780,0.05063677,0.0015941384,0.019977272,0.008375569,0.0011553399,0.9976107,0.71157694,0.002674616,0.006850584,0.0005589587
S0781,0.0034195369,0.0025060903,0.0043528304,0.0028290986,0.00084620074,0.0017433546,0.0036344961,0.005825251,0.002940881,0.0008335448
S0782,0.039392617,0.012789236,0.014278873,0.0025254511,0.16588353,0.067198515,0.37069112,0.14964126,0.002324885,0.008868811
S0783,0.016282639,0.0014883816,0.0035232243,0.07253684,0.00084620074,0.8024777,0.15374127,0.0015822292,0.029796815,0.0026496388
S0784,0.38359004,0.0058280686,0.0042941794,0.001668207,0.00084620074,0.010256527,0.003341266,0.3312982,0.001530783,0.0024632027
S0785,0.013993807,0.008606482,0.0017726251,0.013276755,0.00084620074,0.0021791675,0.0089646885,0.06738863,0.19631954,0.89896834
S0786,0.0017457969,0.0010457783,0.007507745,0.93263036,0.00084620074,0.9606035,0.9882188,0.000939153,0.0010674649,0.0004980146
S0787,0.0076659,0.0012625284,0.36983174,0.14962006,0.00084620074,0.06458275,0.9920373,0.0039927317,0.0017045982,0.0010418514
S0788,0.9865877,0.98756367,0.0067960024,0.98822415,0.00084620074,0.9032726,0.966891,0.98981655,0.927248,0.02410438
S0789,0.007560314,0.008660759,0.004237052,0.01596907,0.00084620074,0.09533577,0.38776726,0.12895346,0.0038882259,0.00055940374
S0790,0.0021130252,0.011102447,0.004889989,0.007545655,0.00084620074,0.004793365,0.9980605,0.0010421969,0.0017009095,0.00051629194
