sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.002060649,0.0015308822,0.005239535,0.002605151,0.00056893367,0.0017755342,0.005212485,0.055717528,0.002050282,0.0018670621
S0767,0.010184616,0.0042684614,0.0009483028,0.004182085,0.0005351885,0.0031165548,0.0077030645,0.027374709,0.004734773,0.0006727627
S0768,0.9731591,0.048364177,0.00093853177,0.029526526,0.0013401896,0.0031006297,0.92866063,0.9860555,0.017723344,0.0007241778
S0769,0.0013238916,0.0009986131,0.0072044763,0.009710874,0.0005351885,0.99439055,0.009823852,0.0015105811,0.963297,0.00093356817
S0770,0.0025934747,0.0021007492,0.007413098,0.94902927,0.00063779217,0.9949249,0.9910815,0.0008677809,0.0012089729,0.0011276385
S0771,0.025663432,0.0042620236,0.005489545,0.023518091,0.00076466135,0.016713385,0.035815835,0.032413907,0.005985278,0.00071407977
S0772,0.00600819,0.0012033376,0.0098124435,0.0107305655,0.0005351885,0.0040131286,0.99062425,0.0017550279,0.0016277846,0.00066901435
S0773,0.0027666327,0.011463927,0.004034773,0.09584957,0.000713477,0.07925941,0.015115075,0.010855481,0.009852243,0.0022844416
S0774,0.95500976,0.001969999,0.0033438918,0.0016136596,0.0005351885,0.002251257,0.011851864,0.038940445,0.0029335022,0.0005966264
S0775,0.012250931,0.0015347674,0.004951821,0.013000082,0.0005351885,0.002463055,0.98848116,0.0029616288,0.008041506,0.0005150941
S0776,0.0076179113,0.003465618,0.9662159,0.011441335,0.0005351885,0.009180854,0.01327009,0.004156611,0.00876275,0.00083419314
S0777,0.002290066,0.0025462601,0.9568253,0.004865914,0.00087774923,0.002942137,0.009372845,0.012057329,0.0037205243,0.0024326143
S0778,0.98390627,0.9869899,0.0027681617,0.9874363,0.0005351885,0.9889693,0.9790723,0.9801344,0.98334646,0.0006464629
S0779,0.007218411,0.0032410242,0.01091167,0.021487083,0.0013970335,0.008785551,0.009164884,0.004242574,0.97776914,0.022200277
S0780,0.008806659,0.0012829351,0.00844843,0.005878354,0.0005351885,0.9986645,0.962289,0.001302333,0.0037699637,0.000735514
S0781,0.0020378267,0.0010308807,0.003003189,0.0020048907,0.0005351885,0.00073495274,0.0054471353,0.0022763915,0.0029177596,0.00070423784
S0782,0.94770306,0.008541891,0.0030335765,0.007987587,0.0070093726,0.012879143,0.021448407,0.015311752,0.0056154416,0.0056786276
S0783,0.0038629693,0.001034659,0.003598542,0.021066882,0.0005351885,0.9813703,0.027633851,0.002197665,0.92493355,0.0013476375
S0784,0.037911277,0.0035567957,0.0019659363,0.0018840356,0.0005351885,0.0022962103,0.0049319626,0.94116694,0.0021068046,0.0015847544
S0785,0.93798643,0.005645944,0.0024206121,0.9176353,0.0005351885,0.00790086,0.89189684,0.91523594,0.93742913,0.98626
S0786,0.0008792756,0.001185128,0.007679544,0.98758173,0.0005351885,0.9935137,0.9860721,0.00070687465,0.001030894,0.00054715195
S0787,0.005857817,0.0010792449,0.93361914,0.03466352,0.0005351885,0.017674806,0.99543285,0.0015501155,0.0013003554,0.0008773378
S0788,0.9915826,0.9886107,0.0028289573,0.99534094,0.0006220912,0.9890416,0.99284065,0.9915925,0.98752904,0.0063193934
S0789,0.009345091,0.0022869057,0.0032647839,0.009425923,0.0005351885,0.0052407505,0.02715032,0.95593524,0.0061655343,0.0004986785
S0790,0.002053129,0.0025082617,0.0028816483,0.0054445453,0.0005351885,0.0031777252,0.9955154,0.0010483499,0.0015482184,0.00043181443
S0791,0.0014892706,0.0015865421,0.024204098,0.9604476,0.0013401896,0.95463926,0.99507624,0.0034918247,0.0013553539,0.00089613255
S0792,0.009775753,0.0026652392,0.9654219,0.009834809,0.0005351885,0.007654957,0.0063500777,0.002597841,0.007346905,0.00065514725
S0793,0.0035156189,0.029293515,0.0026079933,0.003857765,0.120688446,0.0046869917,0.00659073,0.0022046599,0.008066652,0.009995274
S0794,0.0041688606,0.0076412843,0.0012806363,0.96875024,0.000741343,0.0012288949,0.010806474,0.018837346,0.0022332836,0.003086511
S0795,0.0019259986,0.0015897494,0.0014917473,0.0021979578,0.0005351885,0.002010876,0.99209034,0.0035264466,0.0025569082,0.0015651644
S0796,0.0013550118,0.00088408263,0.023581715,0.0019971204,0.0005351885,0.004731168,0.9788189,0.0012343833,0.0025607734,0.0009823121
S0797,0.011085979,0.0021627056,0.016246779,0.010228466,0.0005351885,0.0030483652,0.008240181,0.003983515,0.9843055,0.003246999
S0798,0.00568938,0.025521986,0.0018797707,0.0041188914,0.988531,0.0025472487,0.002821707,0.0029370775,0.0025782334,0.0010503823
S0799,0.0024918008,0.0041525234,0.027772186,0.018200643,0.00087774923,0.001543548,0.014762261,0.03372611,0.004262669,0.0050106146
S0800,0.0009166512,0.00050799426,0.0034751412,0.9493633,0.0005351885,0.9968855,0.009909617,0.00061973,0.0025026263,0.0005832221
S0801,0.0049127573,0.0013918304,0.96605563,0.9922626,0.00073137163,0.03521188,0.9952928,0.0026007858,0.001759281,0.0010168988
S0802,0.0015668479,0.0028124938,0.001500172,0.03626523,0.000741343,0.0013537735,0.005266842,0.90700275,0.0023680122,0.002449121
S0803,0.004707472,0.00049597636,0.9630885,0.0022952864,0.00073137163,0.0022068133,0.9913795,0.0011072446,0.0023602995,0.0010456548
S0804,0.0013187319,0.0014904261,0.006277578,0.019763522,0.0005351885,0.0028183036,0.0042049782,0.008263857,0.95153856,0.0005869172
S0805,0.0041602207,0.0020716528,0.0047922437,0.025518412,0.0005351885,0.9912321,0.032312367,0.002406019,0.021836968,0.020502767
S0806,0.00093931716,0.006106342,0.97105825,0.027281601,0.0005351885,0.029176049,0.96886015,0.0013599395,0.004106365,0.00050331495
S0807,0.0030508458,0.00050787785,0.9920934,0.0014516852,0.00073137163,0.0015807563,0.9824823,0.0010990965,0.011213922,0.0023664301
S0808,0.007369337,0.005858105,0.0060132383,0.005473893,0.00087584363,0.009014476,0.0043598316,0.0046569663,0.98692036,0.006096311
S0809,0.0008170078,0.009399026,0.006796466,0.0124244355,0.000741343,0.0035219102,0.023448732,0.0063214297,0.0131388875,0.0005926775
S0810,0.0010274965,0.0051856255,0.0010903234,0.0042770896,0.9897691,0.0008063891,0.0051532853,0.0017179723,0.0014121587,0.0014744778
S0811,0.003820834,0.001835037,0.004606394,0.026440995,0.00085010304,0.99779797,0.97468865,0.0016781482,0.002307831,0.0008382237
S0812,0.0027091855,0.99650455,0.0022867955,0.0044611865,0.0021813926,0.0011738709,0.012118577,0.0040090214,0.0027096379,0.0013573724
S0813,0.0015155417,0.0021720189,0.0010503468,0.0030942617,0.9881192,0.0012072783,0.0027799252,0.0010498366,0.0020789306,0.002303117
S0814,0.019367125,0.0026183347,0.98225063,0.0032513246,0.00063779217,0.0023720101,0.0061272774,0.004770629,0.036440905,0.0005004119
S0815,0.003256247,0.0009782112,0.035215575,0.03932317,0.0005351885,0.9489553,0.99666095,0.0017262035,0.0018485712,0.0009432435
S0816,0.0118495915,0.0057538296,0.0021165814,0.013912509,0.0005351885,0.0025046614,0.002226746,0.010760995,0.0037174465,0.00066078146
S0817,0.0019167409,0.0017645017,0.0011360937,0.0032839647,0.0005351885,0.0011452837,0.005624571,0.009289694,0.0015523082,0.0009447253
S0818,0.0051615057,0.0073427223,0.001339489,0.96175504,0.0005351885,0.016724218,0.0073607545,0.0061593167,0.9878198,0.00435306
S0819,0.007809582,0.0020807458,0.9634156,0.9938334,0.0005351885,0.023175271,0.9965012,0.0021902088,0.0018100637,0.0010788959
S0820,0.0023970408,0.0010948788,0.0093246605,0.0014871648,0.0005351885,0.0062977215,0.99510986,0.0012343897,0.0024027387,0.0010594582
S0821,0.0010584545,0.0004382114,0.9775713,0.97332025,0.0005351885,0.020138241,0.974356,0.0007600819,0.0058856476,0.00056541094
