sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S1558,0.06350723,0.0029692277,0.0058174436,0.0074997162,0.0006409086,0.0054731225,0.12334831,0.013511382,0.0048835836,0.03669688
S1559,0.057180308,0.04307952,0.0066190283,0.011989533,0.0014292513,0.14418785,0.045323137,0.088777505,0.19754277,0.15588303
S1560,0.044668946,0.005871453,0.014856843,0.007982725,0.001733338,0.019779347,0.12143669,0.01794787,0.02959212,0.111349165
S1561,0.0058893817,0.05821695,0.21155056,0.028064817,0.0006900201,0.0037240786,0.07924619,0.04420593,0.06508056,0.011447673
S1562,0.004747157,0.44512272,0.47049022,0.016614068,0.0006900201,0.0064185443,0.2297118,0.4200178,0.059814613,0.01966641
S1563,0.0046302653,0.4311414,0.13366169,0.01662263,0.0006409086,0.0069605745,0.13448998,0.058656555,0.040094778,0.015853066
S1564,0.33504534,0.012036087,0.014580969,0.02924772,0.022501301,0.0068600373,0.17003644,0.14582118,0.010014128,0.143561
S1565,0.0125507405,0.02672028,0.0076809353,0.033713635,0.0006409086,0.010302552,0.06100373,0.014951024,0.02585241,0.0049860156
S1566,0.43568087,0.03378047,0.017213527,0.01811767,0.0026299797,0.0974205,0.31990734,0.1556876,0.17732212,0.06088329
S1567,0.04330471,0.038866997,0.0036485686,0.011278631,0.0006409086,0.0075112283,0.027639305,0.0127222715,0.027218258,0.0430175
S1568,0.0053152367,0.5744395,0.16782989,0.0068066316,0.0006409086,0.007339049,0.060711823,0.049911167,0.023968318,0.01883438
S1569,0.0955087,0.014943189,0.012948648,0.0298763,0.0006409086,0.013806482,0.042300813,0.08689674,0.070930086,0.0029728424
