sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.0023354227,0.0042790677,0.0046758223,0.0038978355,0.00086220587,0.0034027628,0.004314309,0.46162727,0.0029803668,0.0018739073
S0767,0.015673157,0.055288434,0.0010353482,0.011192223,0.00086220587,0.008115952,0.005839717,0.14482118,0.018401522,0.0009479419
S0768,0.360105,0.10495299,0.0010669454,0.01324542,0.0018716992,0.0019567413,0.21955836,0.9636834,0.022215592,0.0008921232
S0769,0.004115734,0.0016600499,0.0070179068,0.018806636,0.00086220587,0.99508613,0.017547233,0.005088757,0.09283919,0.0011728326
S0770,0.0076783556,0.0016549322,0.0054599685,0.5001727,0.0013482312,0.9958967,0.9697815,0.0011375969,0.0035031373,0.00101031
S0771,0.039348904,0.0068407087,0.0056677526,0.03380271,0.00086220587,0.02545488,0.029460255,0.11114887,0.012305456,0.0006122242
S0772,0.0154044125,0.0010810976,0.012768256,0.015390042,0.00086220587,0.26751357,0.9787523,0.006181543,0.0027750598,0.00079384714
S0773,0.0023541355,0.026153956,0.005870877,0.6280437,0.00086220587,0.25592527,0.010525903,0.011235155,0.008934931,0.001880354
S0774,0.36145997,0.0011933772,0.004471391,0.0023633027,0.00086220587,0.0033524157,0.043043308,0.2558948,0.0036838467,0.0009806873
S0775,0.02519764,0.0015275032,0.007798259,0.023427967,0.00086220587,0.0051635406,0.9501868,0.0057433997,0.005350811,0.0005832982
S0776,0.010074034,0.004387976,0.8785212,0.02392977,0.0009533918,0.009784643,0.059790794,0.0057014613,0.0053270636,0.00074386055
S0777,0.0053020054,0.0055781794,0.9058847,0.010589607,0.0009317461,0.0039013026,0.031279586,0.029403642,0.008741697,0.004431547
S0778,0.8551483,0.95105916,0.005686611,0.93272614,0.00086220587,0.9342192,0.6819868,0.8002108,0.5675821,0.00055791915
S0779,0.04656217,0.011578094,0.045337304,0.053525105,0.0019127622,0.31639874,0.0033801766,0.008819158,0.059941236,0.035936
S0780,0.010713596,0.0023820843,0.004963093,0.0077508893,0.0009533918,0.9974433,0.6835849,0.00197361,0.004867565,0.0005174512
S0781,0.0016566552,0.0026148963,0.0050682584,0.0014204286,0.00086220587,0.0008131857,0.0037991523,0.0044210474,0.003225589,0.0011527516
S0782,0.040295362,0.010676892,0.026182353,0.0026276144,0.14970528,0.061836857,0.13995206,0.18117556,0.014353698,0.007175166
S0783,0.011480085,0.0009035609,0.0027287134,0.16545674,0.0010464834,0.5180233,0.2447942,0.0018514354,0.0047403877,0.0015882055
S0784,0.20075233,0.004436671,0.0017573234,0.001636099,0.00086220587,0.006943805,0.0088158585,0.05569454,0.0024156568,0.0018440755
S0785,0.04782733,0.003181032,0.003934445,0.01335856,0.00086220587,0.008659916,0.012232958,0.06336692,0.20495263,0.79139423
S0786,0.0008930201,0.0008231903,0.0085852295,0.8385709,0.00086220587,0.9812532,0.98567176,0.0007604674,0.0010756012,0.0006194887
S0787,0.01515433,0.0010505675,0.22650439,0.1532808,0.00086220587,0.23529594,0.9899686,0.005386718,0.0014307308,0.0011623667
S0788,0.9921631,0.96847034,0.0055436543,0.97550696,0.0011407345,0.96101725,0.99036753,0.9883102,0.9760109,0.011164393
S0789,0.005970239,0.0043249778,0.0033895932,0.008780486,0.0010464834,0.02941852,0.18328066,0.18358842,0.0074598705,0.0005694648
