sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.002060649,0.0022346622,0.006853894,0.002605151,0.00063774135,0.0017755342,0.006327246,0.04886741,0.0027837337,0.0018670621
S0767,0.010184616,0.007309629,0.0011319978,0.004182085,0.00063774135,0.0031165548,0.011260269,0.031649463,0.00699498,0.0006727627
S0768,0.9731591,0.036415394,0.00080592383,0.029526526,0.0014382778,0.0031006297,0.94225013,0.975784,0.019748677,0.0007241778
S0769,0.0013238916,0.00088136556,0.0070510902,0.009710874,0.0006796955,0.99439055,0.009326388,0.0014360928,0.95075303,0.00093356817
S0770,0.0025934747,0.0017817002,0.004673879,0.94902927,0.00083641306,0.9949249,0.9929597,0.0009793666,0.0016150568,0.0011276385
S0771,0.025663432,0.003398532,0.0033084261,0.023518091,0.00063774135,0.016713385,0.027840635,0.026995447,0.008896063,0.00071407977
S0772,0.00600819,0.0013254011,0.012881264,0.0107305655,0.00063774135,0.0040131286,0.98826283,0.0017775638,0.0014223143,0.00066901435
S0773,0.0027666327,0.010024028,0.00551969,0.09584957,0.00063774135,0.07925941,0.013692388,0.005643428,0.005751836,0.0022844416
S0774,0.95500976,0.0017442153,0.003308156,0.0016136596,0.00063774135,0.002251257,0.01465605,0.039488234,0.004084823,0.0005966264
S0775,0.012250931,0.0016026901,0.008163303,0.013000082,0.00063774135,0.002463055,0.98567945,0.0039402233,0.008934201,0.0005150941
S0776,0.0076179113,0.002905493,0.9747806,0.011441335,0.0007730909,0.009180854,0.009315076,0.0041834437,0.009793785,0.00083419314
S0777,0.002290066,0.0021846397,0.9515917,0.004865914,0.00069010135,0.002942137,0.008443319,0.016154192,0.004224575,0.0024326143
S0778,0.98390627,0.9815363,0.0020146575,0.9874363,0.00063774135,0.9889693,0.9854924,0.9850671,0.9847503,0.0006464629
S0779,0.007218411,0.0023474344,0.01289191,0.021487083,0.0016950252,0.008785551,0.0071461713,0.004225512,0.9805566,0.022200277
S0780,0.008806659,0.0013637559,0.009922731,0.005878354,0.0007730909,0.9986645,0.97245127,0.0011546237,0.00527496,0.000735514
S0781,0.0020378267,0.0009759659,0.0028816755,0.0020048907,0.00063774135,0.00073495274,0.0038258554,0.0021525011,0.0021835463,0.00070423784
S0782,0.94770306,0.0052539096,0.003481771,0.007987587,0.011863816,0.012879143,0.033490907,0.021618955,0.005265201,0.0056786276
S0783,0.0038629693,0.0010602833,0.00369346,0.021066882,0.00063774135,0.9813703,0.032410976,0.003127837,0.9111577,0.0013476375
S0784,0.037911277,0.0030895832,0.001881567,0.0018840356,0.00063774135,0.0022962103,0.0060471925,0.93605953,0.0026398092,0.0015847544
