sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S1558,0.05227017,0.0029137598,0.011202222,0.008534787,0.0006409086,0.0044744443,0.11733545,0.015513069,0.003507248,0.037728336
S1559,0.0894102,0.05815661,0.009738716,0.023243489,0.0014292513,0.12065262,0.105372004,0.060774438,0.16010961,0.16228175
S1560,0.027123041,0.0108868405,0.008055115,0.011745625,0.001733338,0.025772182,0.12368643,0.008677294,0.023851994,0.11170746
S1561,0.0075341337,0.07140845,0.17730539,0.026801245,0.0006900201,0.0044835294,0.07662061,0.027734334,0.06380889,0.0110959215
S1562,0.0042291693,0.43001443,0.47456744,0.027456217,0.0006900201,0.0040955604,0.18195549,0.3559479,0.060666513,0.02054761
S1563,0.0047767344,0.36133993,0.15354846,0.023708122,0.0006409086,0.004639423,0.11683003,0.036098707,0.03971852,0.015368055
S1564,0.44441074,0.012644895,0.019125447,0.027636465,0.022501301,0.008917657,0.16590731,0.117396526,0.012891181,0.1334525
S1565,0.012522293,0.039854337,0.012108727,0.023470176,0.0006409086,0.016256835,0.07229182,0.008490793,0.037158992,0.005369825
S1566,0.49688998,0.04269959,0.029158557,0.023745148,0.0026299797,0.14967598,0.29385746,0.12577926,0.09829007,0.058762196
S1567,0.04060226,0.060625818,0.003896943,0.011655653,0.0006409086,0.009380973,0.02318825,0.005974001,0.0126019735,0.04275785
S1568,0.0070811138,0.5825412,0.15572378,0.008289846,0.0006409086,0.0036541738,0.045750014,0.030263973,0.018178115,0.018259829
S1569,0.10312209,0.032986503,0.014088039,0.01852071,0.0006409086,0.02079004,0.053866435,0.03515679,0.10690789,0.003202182
