sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.0021481733,0.005435018,0.0050830315,0.0029841792,0.00086220587,0.0038115599,0.005684077,0.641977,0.0029958067,0.0019139451
S0767,0.025794987,0.053831935,0.0010789298,0.016723001,0.00086220587,0.006084318,0.0050847577,0.1693981,0.012406994,0.00089982274
S0768,0.31181327,0.11278529,0.0011457092,0.010151007,0.0018716992,0.0031334532,0.15686698,0.97235334,0.030145586,0.00083841744
S0769,0.0062094727,0.0027472144,0.007315396,0.015608399,0.00086220587,0.9935453,0.024971077,0.0070509673,0.13108896,0.001244774
S0770,0.0044155014,0.001381718,0.0043490813,0.69962585,0.0013482312,0.9959227,0.9756599,0.0011529262,0.0031766214,0.0009211409
S0771,0.048614133,0.004371795,0.0058181775,0.040549513,0.00086220587,0.022354702,0.033406418,0.09303746,0.030158505,0.0007510504
S0772,0.011143709,0.0012468208,0.011433058,0.012565274,0.00086220587,0.26777512,0.98254424,0.003350508,0.002905015,0.000908868
S0773,0.0019159967,0.035396628,0.0072576227,0.5146979,0.00086220587,0.35345045,0.018964814,0.011150426,0.009471929,0.0022324743
S0774,0.38137808,0.0013128989,0.0038696283,0.0020146593,0.00086220587,0.0029548837,0.031017974,0.17862009,0.0043994924,0.00089185894
S0775,0.04124804,0.0015702135,0.008318839,0.014997254,0.00086220587,0.005682883,0.95220554,0.006339168,0.008241354,0.00054203643
S0776,0.0070492816,0.0043914253,0.8755787,0.03390104,0.0009533918,0.010349151,0.061684977,0.0055353404,0.0042404192,0.0006996948
S0777,0.0054973895,0.0045520714,0.915736,0.008541996,0.0009317461,0.0041599716,0.028218543,0.019002022,0.0063625276,0.004206478
S0778,0.8864955,0.95160323,0.007232264,0.92185575,0.00086220587,0.9451514,0.6328126,0.68087983,0.5986551,0.00064774696
S0779,0.12417007,0.008973361,0.043166075,0.058301672,0.0019127622,0.3646697,0.00386651,0.018938757,0.061775144,0.04316735
S0780,0.036845487,0.0025295888,0.005935715,0.010178705,0.0009533918,0.9977163,0.69920635,0.0019770777,0.0054621105,0.000505867
S0781,0.0018568452,0.0031718249,0.005327503,0.0011056762,0.00086220587,0.0008296307,0.0035267265,0.0069586136,0.0028126235,0.0011506666
S0782,0.027612256,0.009805321,0.025622895,0.0033578787,0.14970528,0.062112365,0.09824898,0.12211769,0.016135657,0.0082744965
S0783,0.031244593,0.001204832,0.0027761105,0.20649129,0.0010464834,0.56955665,0.2530023,0.0017145518,0.0053743166,0.0017098791
S0784,0.29525545,0.0030566163,0.0018072083,0.001499675,0.00086220587,0.0060970075,0.008059048,0.10315917,0.0019504228,0.0022522449
S0785,0.039078157,0.0023995636,0.0037179217,0.0200502,0.00086220587,0.0057290457,0.007102529,0.03212273,0.20570853,0.8074031
S0786,0.0007860995,0.0010925735,0.009566011,0.85598004,0.00086220587,0.9817508,0.98160213,0.00083869393,0.0010977016,0.000622704
S0787,0.014518439,0.0013182153,0.22183938,0.19006075,0.00086220587,0.2370417,0.9899076,0.0028398712,0.0017320878,0.0011347721
S0788,0.9909328,0.97873825,0.005300464,0.9731458,0.0011407345,0.96474206,0.9887426,0.9910643,0.9677902,0.011104525
S0789,0.004603966,0.003806291,0.0035058833,0.010116554,0.0010464834,0.026453743,0.18249553,0.17534907,0.00767829,0.00054894626
S0790,0.0036882614,0.004474164,0.0017359739,0.023751132,0.00086220587,0.004798413,0.9981792,0.0013568818,0.002023947,0.0005371576
S0791,0.0013507431,0.0016429751,0.13622884,0.8009794,0.0018716992,0.25397334,0.9926674,0.0038516517,0.0014026097,0.0011347721
S0792,0.015164661,0.006774783,0.6630562,0.008425863,0.0010464834,0.0041728867,0.02134605,0.006913283,0.006600059,0.00052823516
S0793,0.007597552,0.04541657,0.0041280496,0.013728232,0.969203,0.010455648,0.019363567,0.006226247,0.046283375,0.040845484
S0794,0.004509846,0.009343797,0.0018822075,0.88732904,0.0017834862,0.0013926193,0.01474431,0.09674847,0.0034199418,0.0023066446
S0795,0.013096355,0.003841533,0.002177532,0.0040914877,0.0010464834,0.005175287,0.9384741,0.004542337,0.0016741435,0.002350267
S0796,0.0021294937,0.0009850623,0.5359964,0.0042349584,0.00086220587,0.03050328,0.815001,0.001554572,0.0011528103,0.0010179557
S0797,0.11727149,0.0059553185,0.015574455,0.03262703,0.00086220587,0.005432791,0.005407021,0.004457977,0.94028205,0.0029205754
S0798,0.0058488706,0.047732476,0.0022446595,0.007873916,0.7992285,0.014457145,0.008485074,0.0066118743,0.0053062877,0.001612401
S0799,0.0031126388,0.009394218,0.028328108,0.2580613,0.0009317461,0.002237128,0.06590778,0.12877023,0.0094096735,0.0032883564
S0800,0.0007068349,0.00068440253,0.0045134076,0.12276599,0.00086220587,0.9951755,0.070678815,0.0008113493,0.0066856937,0.00052822934
S0801,0.012377628,0.0031248098,0.12740341,0.96504843,0.00086220587,0.6836242,0.99242073,0.004764954,0.0041960487,0.0009548491
S0802,0.0021377942,0.007869444,0.002223228,0.03558391,0.0017834862,0.0013784006,0.012279722,0.6543924,0.004112405,0.0025042612
S0803,0.009610051,0.0010310959,0.21859977,0.0069057085,0.00086220587,0.0025461304,0.9777249,0.0018079525,0.0016767124,0.0011130993
S0804,0.004576077,0.0070015606,0.023247804,0.12442559,0.0010464834,0.008744364,0.019269263,0.011377644,0.09935174,0.0010199298
S0805,0.026237203,0.00349001,0.0022027777,0.35739687,0.00086220587,0.9583134,0.60996777,0.0045885243,0.49964276,0.57619995
S0806,0.0012202796,0.0053652856,0.29193887,0.7346884,0.00086220587,0.23089533,0.24202797,0.0025659245,0.008534876,0.0006313578
S0807,0.0020331405,0.0010239127,0.9614251,0.0048863515,0.0009533918,0.003130635,0.96635866,0.0016844718,0.004982388,0.0015628367
S0808,0.006730935,0.0067750723,0.021628335,0.007756421,0.001490742,0.020709047,0.005339532,0.006496617,0.99326867,0.017099818
S0809,0.0019022514,0.01151744,0.011734272,0.009336593,0.0017834862,0.0052050035,0.035695955,0.013734903,0.057964407,0.0010049653
S0810,0.0014578695,0.0066700024,0.0017409471,0.0060327044,0.9784329,0.0014061681,0.005055871,0.0029744315,0.0023108865,0.0028642796
S0811,0.0039604865,0.0018346362,0.006452317,0.08083166,0.0011407345,0.9970963,0.9086563,0.004097973,0.0043517,0.0011696261
S0812,0.003732144,0.9820228,0.002627948,0.015925609,0.0019003458,0.003172621,0.008034248,0.004792562,0.0064034546,0.002252039
S0813,0.0021199458,0.008566569,0.0026985158,0.0021040165,0.9784329,0.0017462099,0.0024462373,0.0023645565,0.0025807226,0.001447324
S0814,0.010901536,0.003442395,0.38313305,0.0066517754,0.0013482312,0.0039809784,0.006834136,0.008321357,0.14863753,0.00055819255
S0815,0.0076618497,0.0013816258,0.120957404,0.24775212,0.00086220587,0.47704765,0.9907037,0.002378204,0.002586328,0.0009824515
S0816,0.019789372,0.007106078,0.0017629183,0.0057516424,0.00086220587,0.0023319775,0.019168986,0.016445028,0.007226644,0.00089982274
S0817,0.0026030168,0.0041791294,0.0009840521,0.0013835186,0.00086220587,0.001106643,0.008118233,0.017732868,0.0021759504,0.0013014686
S0818,0.025068592,0.01322655,0.0014815883,0.54706883,0.00086220587,0.022058807,0.023314748,0.010645573,0.9712218,0.0065537905
S0819,0.008627179,0.0022653749,0.41644916,0.98694694,0.00086220587,0.15894192,0.98987234,0.0075563397,0.0040236553,0.0010630165
S0820,0.004775635,0.0010020373,0.0069483505,0.0016299497,0.00086220587,0.00567905,0.99406177,0.0014313168,0.0013147121,0.0015110868
S0821,0.0009362061,0.0010165573,0.9794348,0.7755764,0.00086220587,0.07250958,0.7018962,0.0007332192,0.004110152,0.00081152254
S0822,0.023582973,0.0010636445,0.008726753,0.0045556594,0.0019556633,0.020922633,0.92473644,0.0058187814,0.0022289793,0.0036124948
S0823,0.0016468819,0.0019393889,0.0047797523,0.00522716,0.001537674,0.0020423888,0.0047300435,0.0024092682,0.99623114,0.0006183438
S0824,0.0026902566,0.0009016795,0.0019334116,0.709932,0.00086220587,0.98094004,0.056407593,0.001266673,0.0011601765,0.0010228554
S0825,0.0015603951,0.0014789018,0.953379,0.0073433197,0.00086220587,0.0076145194,0.46628764,0.0015347719,0.0066672065,0.00088102923
S0826,0.0068688537,0.06594611,0.0012507442,0.0068459623,0.9515131,0.0023807567,0.013058795,0.0038669787,0.0052301935,0.0014258301
S0827,0.0012931734,0.0007745787,0.336701,0.047144953,0.00086220587,0.88907796,0.07465286,0.00089677225,0.0067911125,0.0005151883
S0828,0.0010286636,0.00089883775,0.88880223,0.14313796,0.00086220587,0.0032395937,0.007794858,0.00072679186,0.020472383,0.00053756527
S0829,0.002497722,0.0025904593,0.004746729,0.0073380107,0.0016362158,0.0035407953,0.010847031,0.0021059066,0.99002105,0.0006213167
S0830,0.0021349113,0.002819049,0.07432721,0.18685074,0.00086220587,0.3707084,0.98208743,0.0012056724,0.0012500916,0.0025061818
S0831,0.20478128,0.012593165,0.0073194345,0.06421737,0.00086220587,0.009315877,0.081119195,0.068752475,0.067160144,0.0006040222
S0832,0.014499444,0.025179267,0.0041966764,0.011370175,0.9765315,0.009022799,0.07031367,0.005797168,0.0076002246,0.0016760309
S0833,0.0069999895,0.013011456,0.02951313,0.0033316808,0.0016362158,0.8682178,0.0056255683,0.004450507,0.0068056392,0.0031377713
S0834,0.023035366,0.03243348,0.018375017,0.06618125,0.0010464834,0.27389795,0.0131716095,0.024245856,0.9739039,0.012921769
S0835,0.025510035,0.02776503,0.006009082,0.004823025,0.00086220587,0.004965851,0.005283246,0.86908954,0.005051335,0.0020028977
S0836,0.0034694208,0.0017222647,0.04753153,0.0045473375,0.00086220587,0.0020084279,0.005074309,0.0016392416,0.98466426,0.00072816905
S0837,0.002033336,0.00592884,0.78667754,0.07972093,0.00086220587,0.003995814,0.014709196,0.0073979143,0.820209,0.0034972827
S0838,0.0049244286,0.0027098209,0.0014537133,0.0020762496,0.00086220587,0.0020146184,0.9809732,0.0143853845,0.0026835229,0.0010781068
S0839,0.016797896,0.002972342,0.017421339,0.11554419,0.0009317461,0.0036297576,0.07177078,0.20468499,0.0047981627,0.003926434
S0840,0.01188147,0.045456592,0.003333005,0.0154484315,0.0010464834,0.004575063,0.8722341,0.035148647,0.006771088,0.0029453337
S0841,0.0024626988,0.0016782106,0.001371586,0.0055541713,0.00086220587,0.0019346736,0.0052291364,0.011029663,0.008387887,0.0011004941
S0842,0.02741472,0.08753456,0.003986206,0.041174024,0.0017414163,0.0025578567,0.04643551,0.025042001,0.25064403,0.8577301
S0843,0.02115991,0.0024268078,0.0024721867,0.0021999886,0.00086220587,0.0016123756,0.8757378,0.4558976,0.0042243763,0.0012291753
S0844,0.005235185,0.006767244,0.0030283807,0.020196138,0.0017834862,0.011946185,0.03223477,0.7571642,0.004685739,0.0029760243
S0845,0.98398995,0.9129066,0.0025520884,0.98297554,0.00086220587,0.89057565,0.9897886,0.9702085,0.9858306,0.006449728
S0846,0.007061779,0.0017979036,0.0009719997,0.002275875,0.00086220587,0.0015177997,0.005453724,0.028421251,0.0037969348,0.00089982274
S0847,0.005146772,0.1830486,0.0030701405,0.83580136,0.0011967112,0.005908447,0.044498373,0.016055778,0.010932429,0.0031430942
S0848,0.0042737075,0.0025665371,0.0014351214,0.0021363157,0.0010464834,0.0024057934,0.97792506,0.00286456,0.0011810755,0.0029892456
S0849,0.002896708,0.0051395553,0.0054239538,0.13393307,0.00086220587,0.00450844,0.36182606,0.012388388,0.38204858,0.0031765003
S0850,0.013990439,0.039169397,0.011599068,0.0029799615,0.0017834862,0.0037662277,0.11366971,0.0070406087,0.24391717,0.0031468184
S0851,0.3573131,0.1718593,0.008888419,0.02028604,0.0010015148,0.0017316879,0.16227828,0.8755172,0.023895713,0.0009075544
S0852,0.006050395,0.016386868,0.014645697,0.015560082,0.0013482312,0.97208846,0.033692226,0.0045009046,0.01203141,0.00058923266
S0853,0.0042437143,0.00794343,0.26957065,0.07340365,0.0009317461,0.1849643,0.08863082,0.031622462,0.0065017035,0.0014463045
S0854,0.0037412008,0.0036963264,0.005415058,0.03162463,0.0010464834,0.0109116435,0.024859702,0.015239516,0.29692572,0.00054894626
S0855,0.0008498062,0.00090334436,0.63218546,0.4308379,0.00086220587,0.15161756,0.950485,0.0016804809,0.0009161858,0.0010388409
S0856,0.002856553,0.0035136715,0.029209254,0.004643265,0.0010464834,0.001733957,0.012066147,0.0061253263,0.9480671,0.0015874109
S0857,0.0054928237,0.043906767,0.0020824159,0.8208224,0.0011407345,0.0015593949,0.051277302,0.060886253,0.006313084,0.0032020833
S0858,0.0042178924,0.035802063,0.0022876782,0.31253088,0.0011407345,0.0049537597,0.029996362,0.011292731,0.004725094,0.022624735
S0859,0.09613698,0.013923962,0.0020617475,0.01246372,0.0010464834,0.031990945,0.90932167,0.021656359,0.2449406,0.907937
S0860,0.112489544,0.004464712,0.016493743,0.06566098,0.0019127622,0.22512682,0.0027852592,0.004894009,0.3415424,0.11190409
S0861,0.002150761,0.0017197513,0.1490429,0.4653256,0.00086220587,0.49880826,0.9558415,0.0017394074,0.002152957,0.0005746865
S0862,0.0020969992,0.0014183694,0.7817165,0.18275325,0.00086220587,0.04736331,0.04921681,0.0014544104,0.016426815,0.0008851624
S0863,0.004573404,0.12753597,0.002398063,0.011784905,0.0010464834,0.0019808637,0.91983277,0.008418334,0.0020236378,0.0024539628
S0864,0.00256858,0.19996703,0.0020013188,0.008933141,0.0012155303,0.010350431,0.009760118,0.0027753673,0.13076763,0.97616416
S0865,0.0025170087,0.00082802784,0.0042332355,0.020032443,0.0013482312,0.9961971,0.089275464,0.0012496213,0.0060362597,0.0005603654
S0866,0.005249655,0.0044700624,0.12206529,0.03969072,0.0017834862,0.0015989549,0.04293371,0.014079041,0.06817902,0.0005345624
S0867,0.0017225852,0.0017183414,0.0015220839,0.0028363585,0.00086220587,0.0014836024,0.0060192095,0.019628739,0.0033057858,0.00089982274
S0868,0.016237149,0.09004282,0.0030419163,0.13694094,0.0011407345,0.52596575,0.182216,0.04899895,0.067276895,0.0027968572
S0869,0.0059525757,0.0021458452,0.0029269962,0.0154062575,0.00086220587,0.9614183,0.009856216,0.005167812,0.010221657,0.98324317
S0870,0.01523518,0.9896465,0.0043734224,0.0025378221,0.0019003458,0.00269343,0.0393039,0.0030459955,0.013012612,0.0034430348
S0871,0.0025238479,0.0009721016,0.0040146303,0.00814799,0.001490742,0.997733,0.67186236,0.0012316739,0.0027365177,0.000714026
