sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.0019870657,0.0022374357,0.004888114,0.0030544957,0.00063774135,0.00214359,0.007249001,0.03881942,0.0030983447,0.0018670621
S0767,0.015197439,0.0070910812,0.0013708619,0.0052081225,0.00063774135,0.0026905814,0.0134762665,0.033350624,0.0065583717,0.0006727627
S0768,0.9682717,0.032663994,0.0010801351,0.02815647,0.0014382778,0.0045071924,0.92111784,0.98113245,0.020199975,0.0007241778
S0769,0.002439335,0.001288534,0.011749804,0.009641403,0.0006796955,0.9945332,0.011457946,0.0014056105,0.95551896,0.00093356817
S0770,0.0023066292,0.0017357721,0.0062056896,0.93063146,0.00083641306,0.99466515,0.9926278,0.0009430566,0.0018169916,0.0011276385
S0771,0.017747285,0.004004557,0.003968717,0.014786219,0.00063774135,0.01823648,0.02719419,0.03229035,0.010359803,0.00071407977
S0772,0.004904798,0.0011844125,0.0137235,0.0105010355,0.00063774135,0.005450608,0.98771137,0.002031629,0.0015181234,0.00066901435
S0773,0.0021576735,0.013810145,0.004677689,0.08377032,0.00063774135,0.0713374,0.011495652,0.010866623,0.0073566027,0.0022844416
S0774,0.9498669,0.0015931809,0.0035556161,0.0015549606,0.00063774135,0.0022261676,0.010601229,0.030097775,0.0033478846,0.0005966264
S0775,0.017724166,0.0015549888,0.00534052,0.013554873,0.00063774135,0.0021952677,0.9867993,0.002888673,0.010661133,0.0005150941
S0776,0.008207647,0.003470707,0.9714813,0.013891831,0.0007730909,0.008343365,0.011845186,0.003898204,0.008302478,0.00083419314
S0777,0.0019705053,0.0031662108,0.9594723,0.00368817,0.00069010135,0.0034061312,0.011234868,0.014550525,0.0040562004,0.0024326143
S0778,0.9796254,0.981354,0.002296975,0.9864825,0.00063774135,0.98822623,0.9742744,0.9822649,0.9849931,0.0006464629
S0779,0.012007758,0.0029133097,0.008076025,0.024109758,0.0016950252,0.010562179,0.0064443434,0.005015726,0.97552425,0.022200277
S0780,0.016091086,0.0013551745,0.007514976,0.0060391957,0.0007730909,0.9984882,0.97036475,0.0011880781,0.0057469243,0.000735514
S0781,0.002217415,0.0011537914,0.002011437,0.0019619984,0.00063774135,0.0007150021,0.004320969,0.0025375988,0.0017551364,0.00070423784
S0782,0.9578582,0.0092643015,0.0029465915,0.00821407,0.011863816,0.013004378,0.022759486,0.019219324,0.004653038,0.0056786276
S0783,0.007989646,0.0011131199,0.0023777743,0.021017965,0.00063774135,0.9789675,0.030436184,0.0030199904,0.92301035,0.0013476375
S0784,0.037363555,0.002698254,0.0017175635,0.00243364,0.00063774135,0.0023795257,0.0041626412,0.9468811,0.0019261268,0.0015847544
S0785,0.9516491,0.0047563217,0.0022492143,0.9003801,0.00063774135,0.011116329,0.90663034,0.89243644,0.93720406,0.98626
S0786,0.00080994074,0.0010189931,0.0065273307,0.9810144,0.00063774135,0.99376786,0.9881463,0.0008904456,0.0011994988,0.00054715195
S0787,0.0050683953,0.0017245887,0.9140826,0.023134675,0.00063774135,0.01613266,0.9967981,0.0012043329,0.0019113254,0.0008773378
S0788,0.99032646,0.98816514,0.0028313487,0.9960234,0.00063774135,0.9922448,0.9930948,0.99490297,0.9858503,0.0063193934
S0789,0.006610055,0.0016091358,0.0021871056,0.00855808,0.00063774135,0.0042186556,0.030498493,0.95406586,0.0041960706,0.0004986785
S0790,0.002853443,0.0015833133,0.002661805,0.0063718134,0.00063774135,0.0031620539,0.99553275,0.0014381655,0.0018410578,0.00043181443
S0791,0.0013835812,0.0013797553,0.024384819,0.97543323,0.0014382778,0.9476532,0.9962114,0.0025579664,0.0013410571,0.00089613255
S0792,0.0075693745,0.0031105948,0.9694205,0.010039901,0.0006796955,0.004665601,0.0064023896,0.0033341423,0.010478194,0.00065514725
S0793,0.0039149164,0.03092034,0.0032189833,0.004287561,0.037829157,0.0031881083,0.0060772803,0.004842654,0.003712348,0.009995274
S0794,0.005087772,0.006145712,0.0017216457,0.97012615,0.0010658401,0.001160492,0.008706,0.017609982,0.0029420825,0.003086511
S0795,0.0026491396,0.0021741043,0.0013283284,0.0016479313,0.00063774135,0.0015707614,0.994449,0.0020554995,0.00414701,0.0015651644
S0796,0.0013128589,0.0010790423,0.035053797,0.0025356393,0.00063774135,0.005074225,0.97503793,0.001399331,0.001773502,0.0009823121
S0797,0.008118244,0.0044245264,0.01717518,0.009962897,0.00063774135,0.0048334613,0.007726682,0.0029672538,0.9836626,0.003246999
S0798,0.006794442,0.021794308,0.0020400204,0.0029409595,0.9836215,0.0042530824,0.0031136628,0.003041273,0.0027324907,0.0010503823
S0799,0.0025231037,0.005196581,0.020999644,0.013712424,0.00069010135,0.0017508641,0.009835162,0.051546916,0.0039116284,0.0050106146
S0800,0.0008820456,0.00042186552,0.0028919354,0.94762033,0.00063774135,0.99635845,0.008766744,0.00077411527,0.0035136547,0.0005832221
S0801,0.004268384,0.0021472026,0.96969146,0.995059,0.0008661724,0.03670463,0.9943738,0.0022435947,0.0016837278,0.0010168988
S0802,0.0012710327,0.0030592897,0.0017031959,0.044321932,0.0010658401,0.0013935958,0.0053353827,0.91362435,0.0033301376,0.002449121
S0803,0.0035109762,0.0004966891,0.9587385,0.0020542569,0.0006796955,0.0018228317,0.9910381,0.0010872626,0.0024248485,0.0010456548
S0804,0.0024079676,0.0013830943,0.004815645,0.019761886,0.00063774135,0.0042563146,0.0030366455,0.007052099,0.9554628,0.0005869172
S0805,0.003986594,0.0031985221,0.0031216952,0.0224611,0.00063774135,0.993166,0.02916545,0.0031202117,0.016130034,0.020502767
S0806,0.0008633318,0.005288418,0.9700836,0.027256766,0.00063774135,0.034803133,0.96012,0.0013306311,0.0025497102,0.00050331495
S0807,0.002948385,0.00049035816,0.99094135,0.0017095007,0.0007730909,0.001720883,0.98244584,0.0010873807,0.012075456,0.0023664301
S0808,0.0068565756,0.006463542,0.007854336,0.006706048,0.0010138844,0.008736188,0.0057208627,0.0037635488,0.9876889,0.006096311
S0809,0.0010084632,0.0073862313,0.004248448,0.009717131,0.0010658401,0.0028489083,0.019595783,0.0061910977,0.018544374,0.0005926775
S0810,0.001358251,0.0050941817,0.0009448504,0.0044793575,0.98607105,0.0010111241,0.0040839096,0.0013493302,0.0012245348,0.0014744778
S0811,0.00551689,0.0007742082,0.00429166,0.027681626,0.00063774135,0.99739814,0.98235935,0.0016358676,0.0025092748,0.0008382237
S0812,0.0025311136,0.99585694,0.0023977377,0.0032143372,0.001553733,0.0012781948,0.00997234,0.0028157267,0.0018045892,0.0013573724
S0813,0.0015801883,0.0023934406,0.0010861652,0.0036440247,0.98504895,0.0016658795,0.0028101183,0.0013493906,0.0016838145,0.002303117
S0814,0.023750883,0.0017951312,0.9777452,0.0023422253,0.00083641306,0.002539119,0.0058064642,0.0037298063,0.031514127,0.0005004119
