sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S1558,0.20073871,0.0048943087,0.0053316033,0.005188925,0.00077268766,0.0026942536,0.07564248,0.046193175,0.009440373,0.05721542
S1559,0.2515653,0.17084819,0.01742174,0.0060498933,0.00077268766,0.0068692374,0.023631752,0.020509737,0.15495183,0.3237938
S1560,0.10711439,0.10279359,0.030731332,0.023761775,0.00073175225,0.006776311,0.019948753,0.011180292,0.044001196,0.00518368
S1561,0.018227886,0.0670718,0.0778741,0.027552703,0.0031477606,0.0046694553,0.017332861,0.03920233,0.053618617,0.015294156
S1562,0.004303656,0.86795014,0.220723,0.12455222,0.0020154899,0.0065484378,0.045751642,0.027940273,0.08756831,0.056314435
S1563,0.0039187544,0.6562057,0.14012901,0.09999193,0.0008162584,0.003934938,0.040557276,0.04204537,0.0817038,0.022414697
S1564,0.389871,0.007198108,0.004372206,0.0069685485,0.0027540512,0.00274895,0.015372694,0.03719522,0.0064523406,0.056576382
S1565,0.06838375,0.020524759,0.02922118,0.03824543,0.00077268766,0.009132237,0.040162887,0.008012976,0.037660014,0.003854234
S1566,0.19846225,0.186592,0.01692359,0.007521569,0.00082142884,0.0032741136,0.026588824,0.022370402,0.017066853,0.008293076
S1567,0.057909347,0.62506133,0.009768302,0.021697298,0.00077268766,0.0039823838,0.016326584,0.008461494,0.03683763,0.53699714
S1568,0.005114013,0.7509697,0.058835305,0.017516384,0.0008704594,0.0035232794,0.062426794,0.03162943,0.03572134,0.04558607
S1569,0.29772934,0.020685265,0.02993703,0.017490054,0.00077268766,0.009411549,0.017502807,0.024401858,0.077337846,0.0019365242
