sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.0028347932,0.0026446837,0.0031106714,0.0034135606,0.00067172037,0.0022887092,0.0057974947,0.68915707,0.004734416,0.0013088002
S0767,0.06888565,0.01480827,0.0024198776,0.060245745,0.00063656457,0.0052521755,0.029303787,0.14405727,0.008351939,0.0010648333
S0768,0.5636853,0.21255329,0.0015433326,0.0062282803,0.0014916251,0.015707292,0.12800384,0.82136005,0.15192655,0.0011634324
S0769,0.005086973,0.0028708964,0.13798156,0.022664255,0.00063656457,0.93624526,0.011494319,0.002400179,0.9589399,0.0019225277
S0770,0.0023620124,0.0018944849,0.012267704,0.5417823,0.00068386825,0.99226755,0.9644734,0.00093066006,0.0023429496,0.00067113107
S0771,0.13886812,0.012127331,0.0028604455,0.09225105,0.003306617,0.5940676,0.29375193,0.31332892,0.052218445,0.0013080618
S0772,0.009443553,0.0019250007,0.016679041,0.0276005,0.00063656457,0.01842214,0.9591614,0.005046178,0.0010012687,0.00067146274
S0773,0.0073229834,0.016152047,0.029529463,0.6371761,0.002439783,0.042811427,0.015451116,0.010045301,0.0051061637,0.0015649832
S0774,0.087849595,0.00096165994,0.025310317,0.001743538,0.00063656457,0.0025144147,0.05731891,0.13686003,0.0081465645,0.0010684655
S0775,0.044507746,0.0023284436,0.0057083047,0.0060395594,0.00063656457,0.0046112966,0.9719588,0.0063352915,0.009079,0.0005898134
S0776,0.028352931,0.0035015296,0.943803,0.14706902,0.00063656457,0.042378712,0.028821422,0.005536929,0.004931188,0.0007643467
S0777,0.0025528956,0.0030812216,0.856438,0.010706876,0.0026112266,0.00484828,0.015338946,0.0671096,0.008403321,0.0024095913
S0778,0.71682715,0.8696357,0.0061881817,0.6703822,0.00063656457,0.7285059,0.8335918,0.75796086,0.7001513,0.0011075379
S0779,0.08076143,0.009145869,0.02159597,0.053459283,0.00068386825,0.018884104,0.066769056,0.017599516,0.04177139,0.08861332
S0780,0.11892333,0.0033243091,0.016234942,0.007886301,0.00063656457,0.9983317,0.7119493,0.0015636695,0.02783313,0.0006643131
S0781,0.005977383,0.0017043856,0.02073391,0.001584093,0.00063656457,0.0035919568,0.11198634,0.0028167511,0.010632292,0.0011372821
S0782,0.030634863,0.0011430951,0.0045534456,0.0028900346,0.0018237621,0.010759097,0.07643905,0.016436486,0.0055963164,0.01137825
S0783,0.1271857,0.001092189,0.006752229,0.03734354,0.0013449488,0.6545661,0.76754063,0.0033532078,0.14966388,0.0035951294
S0784,0.5349668,0.0032449453,0.0059486325,0.0026878882,0.00063656457,0.004572245,0.005843647,0.3228768,0.005466775,0.003311741
S0785,0.3581214,0.15897495,0.009483249,0.031056155,0.00063656457,0.019210702,0.023506245,0.21892054,0.13740495,0.5527125
S0786,0.0019891625,0.0025170196,0.018979155,0.81614965,0.00063656457,0.9555844,0.9946144,0.0018092954,0.0011000978,0.0005754437
S0787,0.02208493,0.001921729,0.21963327,0.09913787,0.00063656457,0.79662424,0.9851076,0.010232913,0.0010194135,0.00057703647
S0788,0.98720896,0.98396444,0.0019918934,0.9830467,0.00063656457,0.92595613,0.99263203,0.9808368,0.9779769,0.018601064
S0789,0.011086032,0.0025920542,0.0051627522,0.0032531947,0.001276062,0.00572096,0.25438106,0.124239124,0.0017526211,0.0008777488
S0790,0.0026524628,0.0041106343,0.0047760564,0.015159925,0.00063656457,0.0053838296,0.99201703,0.0011961038,0.0007946005,0.0006655323
S0791,0.0024755488,0.0011468416,0.1398529,0.8071627,0.0014916251,0.35871807,0.9644019,0.002402229,0.0014289158,0.0006049826
S0792,0.044446204,0.004581939,0.16341454,0.021512672,0.00063656457,0.00482771,0.017026082,0.004786751,0.0025578677,0.0005898134
S0793,0.004030092,0.024135869,0.00294139,0.004295603,0.0021201759,0.0025070463,0.0073731923,0.008029704,0.011497327,0.0014493976
