sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.001713912,0.0022927849,0.00470504,0.0025794315,0.00054376706,0.0027083263,0.0056491117,0.052247345,0.0022336023,0.0018049859
S0767,0.015175659,0.0036941657,0.0012554384,0.0065619424,0.0004825201,0.0027970101,0.023169227,0.036981586,0.01386696,0.00053247844
S0768,0.9826021,0.061862826,0.00077115727,0.012490699,0.0013083857,0.0080460375,0.92936176,0.98299766,0.033786695,0.00066955655
S0769,0.0021518203,0.0018040026,0.015604413,0.011814239,0.0004825201,0.9835445,0.013453452,0.00087592535,0.9834557,0.0014085727
S0770,0.0018638737,0.0010241049,0.008041973,0.90563136,0.0010654959,0.996249,0.98810625,0.00066733896,0.0010847409,0.0005096275
S0771,0.03709665,0.019499706,0.002365486,0.03564537,0.0018682905,0.0836768,0.029637113,0.05232681,0.02406504,0.00067916233
S0772,0.00498625,0.0018270374,0.007292991,0.013914537,0.0004825201,0.007676757,0.9805613,0.0022521387,0.0010335206,0.0006118332
S0773,0.0013952538,0.009367994,0.016347434,0.09429874,0.0018682905,0.05821581,0.019373067,0.0064403173,0.0049655708,0.0010625811
S0774,0.9617182,0.0012262417,0.0012053595,0.0029389018,0.0004825201,0.00096079765,0.017736755,0.027655724,0.0037418888,0.00089924334
S0775,0.017594662,0.0019454003,0.011037654,0.005886477,0.0004825201,0.0027320955,0.9845902,0.002987515,0.009723764,0.00045947428
S0776,0.0063629225,0.0029207338,0.9665159,0.009991265,0.0004825201,0.0063235895,0.0053461026,0.0019107215,0.004466834,0.00045983752
S0777,0.0024359098,0.0027372544,0.94903374,0.004625758,0.002301312,0.0025538977,0.008868727,0.020483546,0.002991405,0.0032922984
S0778,0.9766674,0.98814666,0.0029360906,0.9828719,0.0004825201,0.9767826,0.98454916,0.9683146,0.9634455,0.0005041898
S0779,0.0037691987,0.0037507406,0.013857802,0.028790927,0.00055135053,0.01030959,0.005382655,0.0025391865,0.97236484,0.008159181
S0780,0.008128826,0.0016107024,0.031001495,0.009421001,0.0004825201,0.9987637,0.95002794,0.0008305926,0.0077425432,0.0006616627
S0781,0.004072371,0.0009012755,0.005753017,0.00210134,0.0004825201,0.0011732745,0.012963411,0.0013546841,0.0061553395,0.000738381
S0782,0.93714577,0.0011392968,0.0022244735,0.0037827902,0.0016283683,0.006598777,0.025681205,0.015809665,0.0024032863,0.03256012
S0783,0.00835224,0.0010159038,0.0041550007,0.0078473305,0.0004825201,0.9833823,0.05256951,0.0044948985,0.95532525,0.0013027001
S0784,0.04430276,0.0021123125,0.0020157183,0.0019535888,0.0004825201,0.0019602329,0.006615186,0.9551617,0.0028601354,0.0025277077
S0785,0.9669485,0.009285951,0.0018853857,0.8784039,0.0004825201,0.0047051893,0.9314368,0.94093114,0.9642846,0.9504237
S0786,0.0007594708,0.0014486946,0.0041321525,0.96673,0.0004825201,0.9935055,0.98599815,0.0012193148,0.0007622888,0.0006352866
S0787,0.012230009,0.0025786685,0.9402743,0.016178992,0.0004825201,0.041234627,0.99408,0.004409975,0.0013326127,0.0007082131
