sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.002434609,0.0020509865,0.0063313725,0.0032233146,0.0020938634,0.0041394075,0.004726572,0.58316094,0.002108694,0.0014854614
S0767,0.052207306,0.087330565,0.002381221,0.05038673,0.0006378143,0.0042118286,0.01472317,0.12295091,0.00482501,0.0009842428
S0768,0.34276256,0.19845198,0.0073159635,0.0026262065,0.0006378143,0.00490089,0.35017872,0.9404159,0.11108686,0.0008882022
S0769,0.048773844,0.0020358185,0.32125914,0.05209666,0.00093350495,0.9434127,0.016068107,0.002048512,0.9548419,0.00225174
S0770,0.0018273307,0.001255692,0.005934939,0.52012473,0.0036452801,0.99046564,0.9460235,0.0013170933,0.0021096396,0.00055446645
S0771,0.24285646,0.023720078,0.008961343,0.072317004,0.0057243435,0.59905833,0.1473669,0.1372867,0.10196398,0.0011206745
S0772,0.020574354,0.003135605,0.024074595,0.017775495,0.0006378143,0.01515327,0.9562122,0.00537759,0.001053364,0.00060835655
S0773,0.008698481,0.044446576,0.024971152,0.52912235,0.0031401676,0.3629902,0.022695838,0.008099865,0.009875052,0.0012752721
S0774,0.19158055,0.001551053,0.018830737,0.0021388219,0.0006378143,0.0037978785,0.011734554,0.16358873,0.003576173,0.0015011379
S0775,0.14203995,0.0034176963,0.0056479443,0.004804565,0.00088127394,0.024640022,0.9431817,0.006269252,0.004332355,0.00051515835
S0776,0.017555645,0.004140461,0.94651145,0.08150765,0.00083742104,0.073969595,0.012787894,0.0032345224,0.0072799297,0.0010408588
S0777,0.0030333688,0.0060430095,0.84142566,0.006363842,0.0031932618,0.0043309224,0.013604886,0.042222936,0.0045867804,0.0025713902
S0778,0.800515,0.64881593,0.010111713,0.76645327,0.00074419874,0.8605774,0.746547,0.7981948,0.7871043,0.0010972354
S0779,0.02334988,0.005014294,0.1779824,0.024835965,0.0024135653,0.008057485,0.016536225,0.01001609,0.094338365,0.10250725
S0780,0.21545187,0.002450706,0.053680137,0.006725072,0.0012468618,0.9946385,0.6079264,0.0013201965,0.005896346,0.0007781435
S0781,0.0042612427,0.002421993,0.009625649,0.0029859035,0.0006378143,0.006356294,0.2578022,0.0033194667,0.0063008587,0.00095868175
S0782,0.05707023,0.0024926483,0.0010596602,0.0052451524,0.002556131,0.013103032,0.23789549,0.041613273,0.007493684,0.016589163
S0783,0.06406972,0.0014800203,0.003750361,0.025222452,0.00083742104,0.46225244,0.8859081,0.002866007,0.064507715,0.0028616046
S0784,0.5904325,0.0015979293,0.0047668563,0.00228834,0.0006378143,0.011686674,0.009018993,0.43332228,0.002131223,0.002168539
S0785,0.6182366,0.027576586,0.004277272,0.021500671,0.0006378143,0.0062326295,0.017647728,0.16038065,0.45502993,0.4607899
S0786,0.0014873275,0.0012719671,0.029683683,0.5912644,0.00088127394,0.9854789,0.987789,0.001798744,0.0010100891,0.0005243286
S0787,0.004490806,0.0025648652,0.31421113,0.35566175,0.0006378143,0.8986867,0.9669015,0.022581827,0.0015834174,0.0005356225
S0788,0.98999465,0.9760099,0.0024498994,0.9806028,0.0006378143,0.8986256,0.98770905,0.97938865,0.98514056,0.013951656
S0789,0.0057777283,0.0057299044,0.0054230457,0.007514496,0.0006378143,0.05061942,0.38941434,0.14125563,0.0022598268,0.00078264746
S0790,0.0014444765,0.01292557,0.0037462874,0.008174897,0.0006378143,0.027999831,0.99487203,0.0015076797,0.0022335814,0.00054141786
S0791,0.0017716408,0.0019335911,0.47825095,0.70216525,0.0006378143,0.37295908,0.98912907,0.001971645,0.0010421855,0.00051146455
S0792,0.16022173,0.007961354,0.5123131,0.01046548,0.0006378143,0.17441835,0.012428022,0.00997794,0.0026424269,0.00059266755
S0793,0.0076196883,0.5040406,0.0028343417,0.0031568455,0.01037282,0.0022539299,0.002793327,0.0025804352,0.004169811,0.0012827897
S0794,0.0034278037,0.017181998,0.0018874471,0.79911506,0.0006756258,0.002908539,0.02300664,0.08011995,0.0028553419,0.004354912
S0795,0.005170686,0.0017062608,0.005052567,0.0020714663,0.0006378143,0.0068301265,0.97508174,0.004848998,0.0023978176,0.0062628267
S0796,0.0010616735,0.0013353652,0.22115204,0.0066812327,0.00088127394,0.00499285,0.72604626,0.0008607259,0.0019137019,0.0007043368
S0797,0.010976026,0.003940824,0.06415601,0.006222401,0.0012468618,0.010294396,0.007715186,0.0030482088,0.97601783,0.016382895
S0798,0.01402243,0.014624607,0.003456574,0.0046101958,0.9722553,0.016055303,0.015441195,0.00547969,0.008106749,0.001209149
S0799,0.009846723,0.016675755,0.26974452,0.64929086,0.0044661174,0.0297121,0.022436786,0.09877333,0.025121791,0.0019029505
S0800,0.0014707042,0.0008549392,0.008164129,0.12909132,0.00088127394,0.51016855,0.030952672,0.00077506376,0.0033224216,0.00063133164
S0801,0.0053760908,0.0024249523,0.42650345,0.98676795,0.00088127394,0.15564102,0.9958295,0.019805506,0.004046828,0.00051146455
S0802,0.001967811,0.006835463,0.001890854,0.13764308,0.0006378143,0.002959277,0.012141164,0.6910962,0.0043762554,0.0034513103
S0803,0.0019598159,0.0029428673,0.23862723,0.0035894287,0.00088127394,0.0024260173,0.9677132,0.0013899521,0.002738365,0.0006939043
S0804,0.077475235,0.0030317514,0.025057634,0.4108479,0.00088127394,0.0030687384,0.0019471537,0.013598406,0.02770222,0.000908459
S0805,0.016666861,0.006591813,0.005797885,0.06358715,0.0006378143,0.88274,0.5085408,0.003085138,0.30861533,0.6380798
S0806,0.0021663834,0.0032611627,0.7773574,0.5630158,0.000851999,0.74695456,0.0936612,0.0018871651,0.0059060613,0.0006882148
S0807,0.0036501694,0.0010176847,0.9774916,0.0021331992,0.0012468618,0.0029101463,0.94770265,0.0009818733,0.011739499,0.0006826626
S0808,0.0050167353,0.008710726,0.0072371303,0.00628328,0.0011771186,0.013708046,0.0053767716,0.008580049,0.9946333,0.004199912
S0809,0.0035852427,0.018460024,0.012604844,0.015885595,0.00088127394,0.09411646,0.022016406,0.0036599108,0.004219411,0.0014215655
S0810,0.00444823,0.0064590084,0.003914446,0.028060291,0.95489526,0.0020777972,0.0026939833,0.0023493213,0.0055148494,0.0025632519
S0811,0.003974308,0.0029486457,0.0078046373,0.46154246,0.0012468618,0.9918675,0.9146286,0.0077440045,0.0061578928,0.0022835482
