sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.0022378454,0.0012807217,0.007934844,0.0020549744,0.0008515323,0.0022624517,0.009305787,0.060388472,0.005255841,0.0012906232
S0767,0.01410688,0.0038470055,0.001804024,0.0054417313,0.00048504578,0.0029599129,0.012861768,0.039911423,0.011235674,0.0005019215
S0768,0.97290593,0.022004003,0.00079217635,0.011473236,0.0011945257,0.005687077,0.94635254,0.9896612,0.014457062,0.00080561603
S0769,0.0036794876,0.0012196742,0.013193928,0.011404702,0.00048504578,0.984204,0.010470746,0.0016177247,0.9768817,0.0013071507
S0770,0.0017198764,0.001024525,0.0043203393,0.92918575,0.0016304952,0.9944676,0.98790437,0.00083267153,0.0023561844,0.0005342835
S0771,0.03600862,0.019992493,0.0026637728,0.049476933,0.0012781535,0.05764188,0.030218095,0.057292365,0.017474713,0.000575229
S0772,0.0033395835,0.0014366297,0.009851345,0.009810382,0.00048504578,0.010808126,0.9833719,0.0021898046,0.0013237201,0.00065914926
S0773,0.0023424637,0.014700395,0.011391769,0.072738975,0.0010712908,0.08168822,0.029906552,0.009154887,0.0039149984,0.0012842593
S0774,0.94592685,0.0014551316,0.0010296077,0.0021149998,0.00048504578,0.0015946127,0.014370802,0.023734344,0.0029053022,0.0007925965
S0775,0.013956019,0.0019768933,0.008653827,0.007963924,0.00048504578,0.004582796,0.9803303,0.0025369194,0.005925365,0.00044648215
S0776,0.010538783,0.0059385127,0.9663283,0.01169813,0.00048504578,0.008783815,0.008687165,0.0033432883,0.0046847076,0.00046800944
S0777,0.0024701403,0.004527065,0.9342111,0.003264883,0.0014886133,0.0022637642,0.008118479,0.015470333,0.00397031,0.00352801
S0778,0.9790137,0.98718613,0.0027043317,0.9810554,0.00054809876,0.9774425,0.9833123,0.9691432,0.97700226,0.00044309066
S0779,0.0073064286,0.0040428345,0.008974658,0.035191767,0.00083641306,0.010384785,0.0059854914,0.003975465,0.9634042,0.009971932
S0780,0.011043272,0.0017274882,0.016900416,0.009544449,0.00048504578,0.9986557,0.95954007,0.00094993005,0.003140796,0.0009001383
S0781,0.0012095142,0.0009895061,0.006535774,0.0013817778,0.00048504578,0.0014311777,0.024522744,0.0013956273,0.0029924475,0.00090116897
S0782,0.9406281,0.0016104041,0.0018772493,0.0033090885,0.0008515323,0.0021027685,0.041908156,0.017301822,0.0020623696,0.03285327
S0783,0.010497751,0.002099734,0.0038355521,0.0055175438,0.00048504578,0.9782056,0.045632295,0.0021534231,0.9431752,0.0010889475
S0784,0.0433621,0.0015443028,0.0013883772,0.002067189,0.00048504578,0.0015754431,0.0067185387,0.9658603,0.002010654,0.0016290987
S0785,0.95112956,0.011875543,0.0018267671,0.9016271,0.00048504578,0.010129848,0.9023716,0.9589145,0.9294151,0.9457958
S0786,0.0009915144,0.0009036448,0.004016093,0.9740878,0.00048504578,0.99541074,0.98947245,0.0011459253,0.00086958526,0.0006478822
S0787,0.008727194,0.0011960446,0.9660411,0.035546385,0.00048504578,0.05576757,0.99291795,0.003886946,0.0013554139,0.00065542426
S0788,0.98992074,0.9926543,0.0013927275,0.992957,0.00067418505,0.9907101,0.99295145,0.9945262,0.9930888,0.0069642533
S0789,0.011599641,0.0042260834,0.0012809328,0.005370673,0.00048504578,0.004197663,0.040319737,0.95033437,0.002465063,0.00055162574
S0790,0.0017150219,0.0023269276,0.0026635183,0.0030185392,0.00048504578,0.004708218,0.989258,0.0017269916,0.0021439162,0.0004738489
S0791,0.0014780128,0.00090218446,0.030694373,0.9719222,0.00057571114,0.9263218,0.9934854,0.0026695456,0.0007693428,0.000557921
S0792,0.016436817,0.004185977,0.964995,0.011391103,0.00048504578,0.016707264,0.00875107,0.0033257676,0.007572897,0.00057272695
S0793,0.0061684567,0.044234306,0.004078961,0.008931301,0.0019968457,0.0032141674,0.0032624125,0.0016063544,0.0050325426,0.0010531633
S0794,0.0025999004,0.0066258353,0.0011502836,0.9643102,0.0013144522,0.0027553926,0.013747667,0.0152696725,0.0023308562,0.0035323312
S0795,0.0014838397,0.0007656468,0.00085330056,0.0031019358,0.00048504578,0.0022641271,0.98984176,0.0022764197,0.0045525962,0.0019941279
S0796,0.00096389034,0.000988046,0.04767803,0.0023959728,0.00048504578,0.0043855296,0.96598077,0.0010096596,0.0014886984,0.0005984215
S0797,0.007388172,0.0014721019,0.025316207,0.005505837,0.00048504578,0.0019214355,0.005604055,0.0011716522,0.99137104,0.0029176637
S0798,0.00277941,0.011199396,0.0007002235,0.0047812224,0.9921489,0.0017041503,0.0018678558,0.0017741707,0.002025395,0.0020731073
S0799,0.004418389,0.0061497595,0.030373216,0.0128792515,0.0048821894,0.0064058453,0.014942003,0.03670801,0.008291132,0.0039092083
S0800,0.0013969037,0.00070993387,0.007116528,0.9508195,0.00048504578,0.9779128,0.010444455,0.00086346257,0.0060198084,0.00077780546
S0801,0.004671495,0.0023902887,0.9805212,0.99359,0.00048504578,0.027245112,0.9899748,0.0027056565,0.0022213748,0.00047521497
S0802,0.0012785224,0.0039225533,0.0011619427,0.050939333,0.0013144522,0.0016600633,0.007777934,0.9278553,0.0027265418,0.0037220905
S0803,0.0052480167,0.0008862025,0.9533681,0.0028065743,0.00048504578,0.005434379,0.99628675,0.0012127825,0.0031538294,0.0004928657
S0804,0.0038527788,0.0008594548,0.009555247,0.041036475,0.00048504578,0.002097074,0.0020706602,0.0051649497,0.96100014,0.0011431718
S0805,0.0033039246,0.0051829154,0.0018643129,0.016974071,0.00048504578,0.97138464,0.028478231,0.0017209615,0.013362777,0.036819007
S0806,0.000742809,0.0012794738,0.95648766,0.035170034,0.00048504578,0.018483201,0.9200893,0.0010701622,0.0054709115,0.0004988553
S0807,0.0036133614,0.0007023163,0.99255216,0.0047826245,0.00048504578,0.0018559367,0.9775604,0.0010777166,0.016152857,0.0006164094
S0808,0.005960187,0.002933024,0.0051555713,0.0033288288,0.0014442861,0.0049403827,0.0024679394,0.004607853,0.99202734,0.0027215716
S0809,0.0018007075,0.009067227,0.00708992,0.009282798,0.0013144522,0.008822828,0.014995895,0.00620927,0.017410079,0.00073923863
S0810,0.0010808937,0.0048346035,0.00081355346,0.010004101,0.990986,0.002545622,0.0056053647,0.0012839522,0.0014394767,0.003927195
S0811,0.0050486494,0.0032786732,0.0030094178,0.032644037,0.00067418505,0.998423,0.9597828,0.004880966,0.0022722853,0.001803647
S0812,0.0043425118,0.9923792,0.0021845386,0.0076037,0.003830971,0.0021490648,0.0055010663,0.0032481288,0.0026837129,0.0015699653
S0813,0.0009254202,0.006025943,0.00085900456,0.006575316,0.9865122,0.0029999302,0.0023779483,0.002362389,0.0014912516,0.0012596882
S0814,0.043925848,0.014690473,0.9686873,0.0043265237,0.0016304952,0.0051106955,0.008093573,0.006055312,0.036921322,0.00092163164
S0815,0.0038584815,0.001558559,0.032906856,0.054980323,0.00048504578,0.95047194,0.9916208,0.0028136428,0.001963238,0.0006238992
S0816,0.01705194,0.0060838624,0.000818573,0.012171661,0.00048504578,0.003227023,0.011514649,0.009377044,0.0031805087,0.00048681124
S0817,0.0030832377,0.0011705529,0.0011423287,0.0012658668,0.00048504578,0.0017069766,0.011241603,0.007803467,0.0017264575,0.0009906051
S0818,0.00719007,0.0065562124,0.001667837,0.96741796,0.00048504578,0.010118693,0.009244304,0.0060139885,0.9835655,0.024277758
S0819,0.0053241993,0.0030745424,0.9610643,0.9939804,0.00048504578,0.01819125,0.99480814,0.0028685413,0.0071664928,0.00048854866
S0820,0.0016796979,0.0012555496,0.0057025994,0.0021386712,0.00048504578,0.001924713,0.9904351,0.0009707332,0.0011778936,0.00049250334
S0821,0.0011756719,0.0006148099,0.981184,0.98007673,0.00048504578,0.01024163,0.9730785,0.0008092279,0.012547774,0.000506911
S0822,0.01014447,0.0019214903,0.0015894793,0.0017979437,0.00051598425,0.0035781614,0.9931244,0.0044256966,0.0013720047,0.0009659022
S0823,0.006077652,0.003607286,0.004179163,0.0044273334,0.0009458591,0.006337138,0.0058155027,0.0036272786,0.9955699,0.00070457446
S0824,0.0016849586,0.0008193604,0.0023205944,0.9448552,0.00048504578,0.9940299,0.020939214,0.002055298,0.0012875961,0.00094186276
S0825,0.0013389648,0.0013364053,0.9868356,0.0044089537,0.00048504578,0.0049636248,0.9567761,0.001839657,0.0018148135,0.0017220047
S0826,0.003907055,0.011560852,0.00062330574,0.003755956,0.9927349,0.0074128243,0.002068471,0.0011036189,0.0014365551,0.0012623047
S0827,0.0007324468,0.00060058275,0.9311388,0.03529615,0.0006765508,0.08399223,0.021965006,0.000849049,0.006430941,0.0006244572
S0828,0.0009969543,0.000554965,0.98000187,0.03592,0.00048504578,0.0031411198,0.0029934263,0.0007579771,0.008826064,0.0006300531
S0829,0.002531716,0.0020326048,0.0036653122,0.005147026,0.0016304952,0.0067100674,0.00798251,0.0017331947,0.9877473,0.00065057154
S0830,0.0013080941,0.0009025047,0.008433743,0.025521591,0.00048504578,0.96919894,0.9954419,0.0010650433,0.00088289817,0.00059449865
S0831,0.042649675,0.008918592,0.0049640727,0.013450179,0.00052850053,0.007955599,0.015150772,0.013811281,0.9355084,0.0005834428
S0832,0.0048221736,0.0047280774,0.0005724497,0.008582053,0.99269366,0.0016851391,0.0031721927,0.0018462209,0.0020956595,0.0013138991
S0833,0.011615594,0.008604404,0.007955505,0.0026916193,0.0013190617,0.97986984,0.0025761263,0.0022511242,0.014054426,0.0015623093
S0834,0.007020213,0.003637592,0.0033757298,0.012153123,0.00097571296,0.0043825777,0.01273685,0.004424335,0.99126387,0.002347584
S0835,0.006120742,0.014944917,0.007626319,0.0067397137,0.00054809876,0.0026265015,0.005836288,0.959401,0.004094075,0.002001698
S0836,0.0018967087,0.001078453,0.019323474,0.006962826,0.00048504578,0.002797377,0.002643332,0.0015939904,0.993291,0.00064811285
S0837,0.0021569652,0.0029812665,0.9712179,0.022773683,0.00048504578,0.0090375375,0.0068613826,0.0015888641,0.9934129,0.0013954273
S0838,0.007950174,0.0074725663,0.00055779424,0.0025322866,0.00048504578,0.004247099,0.9927786,0.012819754,0.0019897285,0.0006199004
S0839,0.0069694333,0.0046779243,0.007785007,0.004759187,0.0018331208,0.0063325786,0.013147378,0.9769419,0.006033622,0.00413397
S0840,0.002605111,0.0022070694,0.0031836396,0.00640872,0.00048504578,0.008775163,0.9924784,0.004835044,0.0032670875,0.000856888
S0841,0.0036135658,0.0019323492,0.0012530724,0.0020107564,0.00048504578,0.0015864605,0.006706966,0.0041400874,0.0062882453,0.0011415188
S0842,0.0066129994,0.005090961,0.0026537788,0.8982306,0.0017054457,0.006487999,0.012455055,0.012518798,0.06524991,0.92244554
S0843,0.0049861316,0.0041215387,0.0008126028,0.002114383,0.00048504578,0.0018808355,0.05642513,0.9351311,0.004845106,0.0011202546
S0844,0.0026190283,0.0066699074,0.0011620506,0.010829911,0.0013144522,0.0026059786,0.0107914265,0.05393841,0.0030994934,0.006088374
S0845,0.9911952,0.96960235,0.0007992812,0.99114275,0.0007066699,0.98781246,0.99604934,0.98241824,0.9664165,0.0057467744
S0846,0.004174799,0.002245578,0.0029430673,0.0023532105,0.00048504578,0.0010539236,0.0038012718,0.0040168827,0.0027362523,0.00052634836
S0847,0.002644374,0.9369629,0.0038267244,0.9578929,0.0012095199,0.0023246252,0.018200707,0.0037785838,0.008422358,0.0114366
S0848,0.0013913593,0.0012734387,0.0005983807,0.003390181,0.00048504578,0.00293599,0.9878356,0.0015270975,0.0020209632,0.0018715932
S0849,0.003984998,0.0060106628,0.00538562,0.021165134,0.00048504578,0.015992127,0.02255907,0.0054595387,0.9822751,0.011842351
S0850,0.0056787888,0.0024644108,0.0030478812,0.7776005,0.0023404744,0.01926429,0.06787575,0.0027460272,0.9471027,0.0011808859
S0851,0.96792835,0.8941327,0.015666157,0.89737505,0.0011945257,0.010241678,0.05142571,0.94983226,0.86752504,0.00085595896
S0852,0.0043364093,0.0030681693,0.0021424396,0.021558598,0.0016304952,0.97937655,0.009365176,0.0040331446,0.005700542,0.00083679723
S0853,0.0023126176,0.0051822835,0.058585215,0.013490779,0.0012182507,0.017685007,0.9139729,0.006353749,0.0019565634,0.0019437068
S0854,0.0053178747,0.0008151388,0.0026636322,0.004743563,0.00048504578,0.012535431,0.038999144,0.91123146,0.0510789,0.0005902585
S0855,0.0008189022,0.0011128867,0.039234642,0.9801947,0.00048504578,0.9640092,0.99210805,0.0009340873,0.0007558427,0.000531628
S0856,0.0021401066,0.0056210835,0.0055254037,0.009630936,0.00048504578,0.0027363813,0.0068606418,0.004167493,0.9814457,0.0011424005
S0857,0.0030739873,0.0063698906,0.0010964585,0.94346464,0.00071717903,0.003088175,0.050757803,0.011508301,0.0020824594,0.009871901
S0858,0.0025522958,0.0061373822,0.0016560511,0.0650851,0.00071717903,0.0030139447,0.047602687,0.0097184945,0.0019876095,0.8326945
S0859,0.00330979,0.005483938,0.00068694487,0.011655587,0.0007066699,0.007208723,0.98972124,0.005318435,0.010621759,0.025375256
S0860,0.00722465,0.004782005,0.006809192,0.008389933,0.00097571296,0.005188657,0.0046636327,0.004299302,0.9674723,0.008582487
S0861,0.00070635544,0.0007325117,0.98462486,0.028922418,0.00048504578,0.023953611,0.9829626,0.0007668644,0.0017445176,0.0006770832
S0862,0.0011291406,0.00060329237,0.033786822,0.93572354,0.00083641306,0.024428334,0.01211985,0.0014827704,0.00862596,0.00058325875
S0863,0.0014330462,0.006286398,0.0010903563,0.009045253,0.00048504578,0.0030133906,0.9684909,0.0056992965,0.003293269,0.00094339537
S0864,0.0017893243,0.94793546,0.00070434116,0.00979762,0.005584012,0.0065714237,0.01024484,0.0023479147,0.02336984,0.944207
S0865,0.001248572,0.0008423284,0.009026125,0.0144217685,0.0009458591,0.9968309,0.03385167,0.00091933913,0.0048605255,0.00068267464
S0866,0.0040896214,0.0012764126,0.016660532,0.021092819,0.0022652799,0.003996,0.9430373,0.0035219605,0.006263355,0.0008247544
S0867,0.0026948226,0.0013959416,0.0014496255,0.0028668465,0.00048504578,0.002664201,0.0032487772,0.0040015513,0.0021648358,0.0006461386
S0868,0.010722455,0.014798645,0.004083952,0.030108439,0.00067418505,0.06204557,0.029942231,0.019576434,0.024786402,0.0015617084
S0869,0.0034996602,0.0024543246,0.0037222144,0.0069370773,0.00048504578,0.9863301,0.0071077193,0.0055812905,0.0071814633,0.99173814
S0870,0.016506448,0.98662543,0.005110264,0.0061569856,0.0015498801,0.0024195795,0.005600577,0.0081683155,0.0036211796,0.002317104
S0871,0.0013772307,0.0009188767,0.0046000513,0.0043162,0.0016304952,0.99905974,0.97042847,0.0007139981,0.003180019,0.0006036162
S0872,0.0015412457,0.0010072244,0.001405077,0.0070020445,0.00048504578,0.0013246981,0.98180616,0.0034787299,0.0016866422,0.0005232056
S0873,0.0012089855,0.009979739,0.0030634895,0.007223966,0.0013777451,0.003014223,0.027150163,0.0014079657,0.9643088,0.001102827
S0874,0.9942767,0.99784636,0.0025694964,0.9941677,0.0007066699,0.996292,0.9969975,0.99190044,0.99523205,0.0054118
S0875,0.96420294,0.9827293,0.005877156,0.9709211,0.00051598425,0.9740751,0.9610767,0.9714958,0.96997887,0.00044309066
S0876,0.0016069112,0.0034571618,0.002131145,0.03519474,0.00071717903,0.002541046,0.010148296,0.0033134664,0.0020324595,0.9764717
S0877,0.0049662637,0.0011647985,0.0018939793,0.0017191562,0.0010712908,0.0026368343,0.98220086,0.013916938,0.0015274218,0.00061986584
S0878,0.0010710306,0.00051720097,0.006298763,0.9580539,0.00048504578,0.9878945,0.021956312,0.0018072228,0.0008611977,0.0006484205
S0879,0.03790033,0.028106598,0.010760852,0.011955014,0.00048504578,0.014611763,0.00846476,0.008847506,0.008844082,0.00049654284
S0880,0.0013554669,0.003945656,0.0023224542,0.008049825,0.0013144522,0.0016395709,0.9518975,0.017174415,0.0046011587,0.0037193012
S0881,0.0043586744,0.0030352168,0.009463512,0.03537529,0.00067418505,0.99879944,0.9676082,0.0028108493,0.0021169712,0.0013878504
S0882,0.010868545,0.004892516,0.003307821,0.016701266,0.0008832668,0.9726433,0.9569494,0.0031205942,0.0020607882,0.0019762123
S0883,0.002757153,0.019397663,0.00076126633,0.003837821,0.99269366,0.0021031287,0.0033058454,0.0021498227,0.002109748,0.0005412328
S0884,0.94960237,0.0014904211,0.01172092,0.0102867475,0.00048504578,0.0032483882,0.034654953,0.0012737875,0.005060056,0.0005349569
S0885,0.00074709795,0.020387197,0.0017159611,0.006073903,0.9865122,0.0027507124,0.0034294212,0.0027938506,0.0011963261,0.0014714873
S0886,0.002836159,0.0022497613,0.011079718,0.0022662512,0.0009458591,0.9863738,0.0037085211,0.003991848,0.0060827006,0.0008927423
S0887,0.012802,0.0015536553,0.00078592426,0.0019742684,0.00048504578,0.0020994602,0.971411,0.0064129573,0.0006518951,0.00062639505
S0888,0.0013414385,0.0029487256,0.0010965331,0.9364142,0.0013144522,0.0016600633,0.008947857,0.033372156,0.0029433207,0.004049812
S0889,0.023656849,0.0035942001,0.0034316645,0.009719178,0.0017296671,0.9938154,0.022067543,0.0015306146,0.0046074437,0.0007676526
S0890,0.0024967422,0.002548121,0.008602716,0.003802765,0.00048504578,0.004691066,0.005910828,0.0011567445,0.01964933,0.9902137
S0891,0.0030899919,0.0062229964,0.0061922157,0.0029934694,0.008237785,0.0019557693,0.004175188,0.98411036,0.0083954735,0.0022678776
S0892,0.0027362758,0.001434516,0.0071518165,0.94073653,0.0033518153,0.9168041,0.011969379,0.05856565,0.00228289,0.001002661
S0893,0.0030692227,0.9862927,0.0010769012,0.021189226,0.0056293067,0.0016412969,0.0070993253,0.012979639,0.007331765,0.0023120444
S0894,0.0023593386,0.0006555282,0.01992104,0.9179885,0.00048504578,0.96865964,0.9954744,0.0010703763,0.0016217127,0.0005115211
S0895,0.002826704,0.0028870816,0.0025962403,0.0029971076,0.00048504578,0.011286403,0.98378444,0.0039188084,0.0010243889,0.0008266639
S0896,0.00435866,0.039138008,0.004830497,0.011391087,0.00048504578,0.01753088,0.0044540702,0.0052211955,0.07665114,0.040913664
S0897,0.007075906,0.0017281643,0.008815733,0.0016442608,0.00088657625,0.0043803398,0.025163414,0.0030591718,0.02895052,0.00068014103
S0898,0.9963982,0.99634844,0.0013812936,0.9958955,0.00048504578,0.9908241,0.9966239,0.99394375,0.9952495,0.010564402
S0899,0.017287495,0.009268368,0.93939084,0.009405319,0.00048504578,0.0021150613,0.017813506,0.0075736204,0.00810039,0.00059553224
S0900,0.0008372695,0.0007756626,0.0032297727,0.9858797,0.00048504578,0.002825422,0.0064598504,0.0010607126,0.98318833,0.00063614664
S0901,0.0026284244,0.98731935,0.0023161464,0.005694713,0.003830971,0.0020706584,0.006881737,0.004283729,0.0025740026,0.0015699653
S0902,0.012118971,0.004284563,0.017012415,0.0059514497,0.00048504578,0.0033373544,0.98007524,0.0036816646,0.0025113453,0.0005417433
S0903,0.002191398,0.0037429107,0.97910005,0.0069142748,0.00048504578,0.007896063,0.014853745,0.0018613479,0.0019190812,0.00053694204
S0904,0.0058236746,0.016261281,0.0017837164,0.9384121,0.00048504578,0.9577983,0.028927313,0.0025654498,0.001701082,0.0007888896
S0905,0.0019035345,0.0020537328,0.0032487619,0.003073806,0.0009458591,0.0072957776,0.98676646,0.0031606292,0.0020237225,0.0010491858
S0906,0.02782441,0.0037415314,0.0021896982,0.001704054,0.00048504578,0.0025855126,0.013063861,0.0064478186,0.0041938475,0.00066005986
S0907,0.98623115,0.9604166,0.0026417007,0.9860551,0.00051598425,0.9736343,0.94519293,0.9839954,0.97509426,0.00044309066
S0908,0.022873944,0.0031746016,0.007217386,0.013191651,0.00048504578,0.053234834,0.016822185,0.005914183,0.0019721724,0.0005286502
S0909,0.002668887,0.005649203,0.0005758582,0.0072931196,0.9917006,0.0020881412,0.0029072396,0.0026154611,0.0019645465,0.0007564985
S0910,0.0026638934,0.002275404,0.0067126006,0.9729115,0.00048504578,0.007256661,0.0048875203,0.0032313233,0.99638605,0.004494888
S0911,0.001369326,0.0022273383,0.002935383,0.00931376,0.00071177346,0.0013297461,0.8409702,0.025588607,0.019526633,0.040384643
S0912,0.0018210098,0.0007079492,0.0009220585,0.0022777196,0.00048504578,0.001837277,0.9888375,0.001556803,0.003761734,0.00093286356
S0913,0.0024679115,0.0011291186,0.0018795549,0.0035481064,0.00048504578,0.005913241,0.010093026,0.0034101382,0.003550263,0.0005337895
S0914,0.0012192857,0.00062228536,0.027202636,0.007181684,0.00048504578,0.0023781203,0.9671833,0.0011837764,0.87268656,0.0005800467
S0915,0.005763144,0.9793865,0.0012810645,0.0072938716,0.0063352254,0.0021454338,0.0051532807,0.012318242,0.0065241773,0.007107995
S0916,0.97091144,0.014215301,0.0061708163,0.0027778563,0.043990757,0.007806399,0.009694706,0.007906932,0.0031330779,0.0021036353
S0917,0.00573475,0.0044716797,0.005095521,0.005963479,0.0026690543,0.0077680196,0.0042048786,0.96908534,0.0050840634,0.0070789554
S0918,0.002398761,0.0023405221,0.003473139,0.9713509,0.00051598425,0.98299336,0.016652744,0.003194979,0.0045028534,0.00047631972
S0919,0.007005898,0.008095142,0.93065965,0.9884493,0.0022652799,0.024839273,0.9912009,0.0039288946,0.004698477,0.00069042237
S0920,0.9796928,0.9401581,0.0015526675,0.917692,0.0009854658,0.008233949,0.009530287,0.96495324,0.9569744,0.0011219378
S0921,0.005872756,0.014500083,0.00092372345,0.020129837,0.0015058002,0.008756101,0.0057398337,0.0053016134,0.023090813,0.9558286
S0922,0.0024703743,0.9615459,0.0010752077,0.06309583,0.0065287347,0.0024949198,0.009632942,0.014229173,0.0021302223,0.0012773642
