sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.0025868977,0.002740216,0.008500534,0.0026248703,0.00084620074,0.0028338998,0.0048552165,0.46162727,0.0025559622,0.0014646294
S0767,0.035686433,0.03405185,0.001793506,0.039885733,0.00084620074,0.0026457466,0.0059819683,0.14482118,0.003354998,0.0008401461
S0768,0.5010196,0.16903079,0.0010340214,0.008493061,0.0025863822,0.005117413,0.13076316,0.9636834,0.26115656,0.001012492
S0769,0.01619244,0.002408678,0.015441115,0.067736074,0.00084620074,0.9937744,0.01297339,0.005088757,0.09138129,0.0012478004
S0770,0.0024511921,0.0014087497,0.0044159982,0.46513844,0.0011322632,0.9972812,0.955261,0.0011375969,0.0026720895,0.00072167447
S0771,0.019657949,0.0037462304,0.008064432,0.0272,0.00084620074,0.009609384,0.05123802,0.11114887,0.018071134,0.00063249486
S0772,0.02690236,0.0012558319,0.01977284,0.014025772,0.00084620074,0.28291026,0.962076,0.006181543,0.0018487182,0.00079009554
S0773,0.004399002,0.039682906,0.007435573,0.50605214,0.00084620074,0.7699227,0.024368875,0.011235155,0.010025745,0.0014545788
S0774,0.31158483,0.0010585503,0.009012027,0.0035869924,0.00084620074,0.0040993337,0.016643306,0.2558948,0.0030405845,0.00092137
S0775,0.041176774,0.0017027914,0.037883345,0.01604985,0.00084620074,0.0036667348,0.97093314,0.0057433997,0.0061314,0.00051622064
S0776,0.08707626,0.004142005,0.7456807,0.07902026,0.00093563984,0.015988398,0.06555273,0.0057014613,0.004155314,0.0005373063
S0777,0.0021763751,0.0053129233,0.6856038,0.0075963307,0.00084620074,0.0033403693,0.039997768,0.029403642,0.0058779386,0.00224322
S0778,0.92111254,0.95923424,0.0038340425,0.89986926,0.00084620074,0.76968503,0.58594304,0.8002108,0.5246681,0.00057329604
S0779,0.06649108,0.0055813617,0.109924294,0.01663067,0.0025123404,0.084870204,0.0038275514,0.008819158,0.42246997,0.053614944
S0780,0.10516069,0.0031856287,0.008538229,0.006876056,0.0011553399,0.998293,0.734984,0.00197361,0.0065237884,0.00051457906
S0781,0.0042027147,0.0027671787,0.012403886,0.0016972051,0.00084620074,0.0013586722,0.008145986,0.0044210474,0.0032609226,0.0009123007
