sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.0019870657,0.002090745,0.005239535,0.0030544957,0.00056893367,0.00214359,0.005938918,0.04973217,0.0015928122,0.0018670621
S0767,0.015197439,0.005047835,0.0009483028,0.0052081225,0.0005351885,0.0026905814,0.011696895,0.028484367,0.006188337,0.0006727627
S0768,0.9682717,0.04200256,0.00093853177,0.02815647,0.0013401896,0.0045071924,0.94096386,0.9827624,0.01736672,0.0007241778
S0769,0.002439335,0.0012617031,0.0072044763,0.009641403,0.0005351885,0.9945332,0.008008308,0.0015263167,0.95903474,0.00093356817
S0770,0.0023066292,0.0013555946,0.007413098,0.93063146,0.00063779217,0.99466515,0.9888235,0.0011190515,0.0013788503,0.0011276385
S0771,0.017747285,0.00255783,0.005489545,0.014786219,0.00076466135,0.01823648,0.024830418,0.034639657,0.0068608723,0.00071407977
S0772,0.004904798,0.0015492684,0.0098124435,0.0105010355,0.0005351885,0.005450608,0.98571557,0.0021238967,0.0012796657,0.00066901435
S0773,0.0021576735,0.011973586,0.004034773,0.08377032,0.000713477,0.0713374,0.013310374,0.0103740245,0.0068874946,0.0022844416
S0774,0.9498669,0.0021002246,0.0033438918,0.0015549606,0.0005351885,0.0022261676,0.009498616,0.027469423,0.0037463799,0.0005966264
S0775,0.017724166,0.001905535,0.004951821,0.013554873,0.0005351885,0.0021952677,0.9877314,0.0028837533,0.008511339,0.0005150941
S0776,0.008207647,0.0039115823,0.9662159,0.013891831,0.0005351885,0.008343365,0.01514206,0.0041547203,0.004185222,0.00083419314
S0777,0.0019705053,0.0038527423,0.9568253,0.00368817,0.00087774923,0.0034061312,0.0107018985,0.0118282875,0.0035424058,0.0024326143
S0778,0.9796254,0.98354304,0.0027681617,0.9864825,0.0005351885,0.98822623,0.9822466,0.979844,0.98091173,0.0006464629
S0779,0.012007758,0.0018779418,0.01091167,0.024109758,0.0013970335,0.010562179,0.012718234,0.004327607,0.9724726,0.022200277
S0780,0.016091086,0.0016459854,0.00844843,0.0060391957,0.0005351885,0.9984882,0.97011966,0.0010535367,0.0041754576,0.000735514
S0781,0.002217415,0.00094203063,0.003003189,0.0019619984,0.0005351885,0.0007150021,0.0048823073,0.0020311119,0.0031808564,0.00070423784
S0782,0.9578582,0.0056396513,0.0030335765,0.00821407,0.0070093726,0.013004378,0.02751102,0.02028078,0.0070598735,0.0056786276
S0783,0.007989646,0.0008096459,0.003598542,0.021017965,0.0005351885,0.9789675,0.02517155,0.0023986767,0.9111676,0.0013476375
S0784,0.037363555,0.0026618517,0.0019659363,0.00243364,0.0005351885,0.0023795257,0.0045383824,0.94800264,0.0018253007,0.0015847544
S0785,0.9516491,0.0062481,0.0024206121,0.9003801,0.0005351885,0.011116329,0.90729254,0.9168448,0.9458447,0.98626
S0786,0.00080994074,0.00081259344,0.007679544,0.9810144,0.0005351885,0.99376786,0.9889409,0.0008922754,0.0010108078,0.00054715195
S0787,0.0050683953,0.0015431613,0.93361914,0.023134675,0.0005351885,0.01613266,0.9953129,0.0014205985,0.0015587743,0.0008773378
S0788,0.99032646,0.9867778,0.0028289573,0.9960234,0.0006220912,0.9922448,0.9882498,0.9943467,0.9878471,0.0063193934
S0789,0.006610055,0.0020198605,0.0032647839,0.00855808,0.0005351885,0.0042186556,0.02599786,0.9531419,0.0037060624,0.0004986785
S0790,0.002853443,0.003489277,0.0028816483,0.0063718134,0.0005351885,0.0031620539,0.99601895,0.0011269909,0.0020515977,0.00043181443
S0791,0.0013835812,0.0016110237,0.024204098,0.97543323,0.0013401896,0.9476532,0.99551845,0.003842876,0.0010710959,0.00089613255
S0792,0.0075693745,0.0042318366,0.9654219,0.010039901,0.0005351885,0.004665601,0.0072464794,0.0035505313,0.0063977833,0.00065514725
S0793,0.0039149164,0.0260455,0.0026079933,0.004287561,0.120688446,0.0031881083,0.0070423195,0.0015384473,0.0055348706,0.009995274
S0794,0.005087772,0.008196395,0.0012806363,0.97012615,0.000741343,0.001160492,0.012477896,0.015648438,0.0025497952,0.003086511
S0795,0.0026491396,0.0015336645,0.0014917473,0.0016479313,0.0005351885,0.0015707614,0.9913338,0.003064183,0.004329362,0.0015651644
S0796,0.0013128589,0.00084110734,0.023581715,0.0025356393,0.0005351885,0.005074225,0.9777231,0.0011247285,0.0016734264,0.0009823121
S0797,0.008118244,0.002473176,0.016246779,0.009962897,0.0005351885,0.0048334613,0.00788197,0.0047011403,0.9861472,0.003246999
S0798,0.006794442,0.0284301,0.0018797707,0.0029409595,0.988531,0.0042530824,0.0029204714,0.004342246,0.0021455062,0.0010503823
