sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.0028822988,0.0021932037,0.022983354,0.0024365287,0.00087631104,0.0035087178,0.0058004227,0.7181326,0.0021962821,0.0010663464
S0767,0.011314959,0.011314235,0.0013834646,0.026389826,0.00087631104,0.0054012025,0.032727003,0.29970646,0.0052028634,0.0009848975
S0768,0.71537554,0.21029899,0.0008117654,0.01336066,0.0015124968,0.017996775,0.05124946,0.76560104,0.01880847,0.000785083
S0769,0.0127144335,0.0026680606,0.03909116,0.052970424,0.00087631104,0.9926254,0.018837623,0.004200261,0.6455924,0.0021524818
S0770,0.0042754123,0.0048302007,0.009898657,0.89185035,0.00087631104,0.9967013,0.9581142,0.0013942855,0.0018678362,0.000651578
S0771,0.05084865,0.0018790549,0.0040500485,0.012248092,0.00087631104,0.027478844,0.013728129,0.06352985,0.015719932,0.0009006149
S0772,0.039628718,0.007480538,0.027423562,0.10415322,0.00087631104,0.19998941,0.96202654,0.007869927,0.00217218,0.0009179316
S0773,0.005368755,0.04106707,0.017727645,0.07461782,0.00087631104,0.12649918,0.018946512,0.027751388,0.00540581,0.0015520725
S0774,0.0732742,0.0008385137,0.002065025,0.0024602916,0.00087631104,0.002454871,0.07878397,0.15069944,0.0029142308,0.0008894128
S0775,0.02911637,0.0058611664,0.0040831943,0.031275664,0.00087631104,0.004128369,0.9687997,0.0021365497,0.0113454005,0.00055298203
S0776,0.014017928,0.0021465528,0.7366617,0.078180015,0.00087631104,0.015341214,0.048357032,0.016065348,0.004307162,0.0006320185
S0777,0.004029857,0.0024475607,0.88874996,0.00700694,0.00087631104,0.0039924565,0.016184138,0.021237686,0.0027082104,0.001994538
S0778,0.5907719,0.73488873,0.0020263677,0.93125445,0.00087631104,0.5009058,0.118845746,0.38697404,0.46818212,0.00061845576
S0779,0.14277124,0.008444142,0.23468608,0.051459007,0.008205688,0.09772507,0.0030262247,0.0054498976,0.5030069,0.056347728
S0780,0.16648932,0.0029209144,0.0087304,0.007576524,0.00087631104,0.9974057,0.6026226,0.0018095366,0.011943838,0.00053422013
S0781,0.011637479,0.004682456,0.001887953,0.0029140508,0.00087631104,0.0021497398,0.007932074,0.016640311,0.009537487,0.0010075446
S0782,0.08847224,0.0093183685,0.0017248531,0.0089058345,0.08332464,0.056665357,0.17430158,0.103613116,0.013839138,0.006482045
S0783,0.13986446,0.001914971,0.0028557044,0.023080193,0.00087631104,0.6470937,0.106544554,0.0019397453,0.21256909,0.0031607014
S0784,0.37751994,0.0040335925,0.0020643394,0.0034660988,0.00087631104,0.0041452614,0.009858729,0.23130131,0.002913692,0.001463627
S0785,0.091769256,0.0053171916,0.0012037181,0.01874479,0.00087631104,0.0017529257,0.0097605055,0.02613413,0.12688453,0.7585158
S0786,0.0011444995,0.0014786299,0.013412232,0.8951269,0.00087631104,0.9749224,0.9806943,0.0010356989,0.0014534717,0.0005806717
S0787,0.005169425,0.0022083593,0.13689059,0.6925981,0.0034820968,0.28746182,0.9912178,0.0053720614,0.0016442819,0.0011852431
S0788,0.9873771,0.91949034,0.00223471,0.8513175,0.00087631104,0.14379682,0.91767853,0.9815253,0.90242094,0.015515397
S0789,0.0091903545,0.13040332,0.005070293,0.010662406,0.00087631104,0.058772873,0.24895658,0.5004457,0.016113946,0.0007288331
S0790,0.002262682,0.018681288,0.008627408,0.005009153,0.00087631104,0.0045777652,0.997931,0.0018236396,0.0013075673,0.0005727253
S0791,0.0011629111,0.0017266956,0.2125206,0.63409287,0.0093517285,0.20626554,0.99024725,0.0020380032,0.0011752689,0.0013201991
S0792,0.0073385215,0.009894649,0.361684,0.015905011,0.00087631104,0.004594926,0.014252568,0.0032226958,0.0034076904,0.0004880969
S0793,0.011645764,0.09516544,0.008286401,0.025764389,0.89009416,0.043093298,0.14362988,0.00235372,0.036906507,0.02597903
S0794,0.008390215,0.0032001082,0.0023272145,0.8449618,0.00087631104,0.0018377361,0.006603158,0.437543,0.005470873,0.0023145261
S0795,0.01980868,0.0011310967,0.002383838,0.002925683,0.00087631104,0.008472997,0.9738191,0.007069359,0.0031927228,0.0039592963
S0796,0.0021624402,0.0010683001,0.22998454,0.008995255,0.00087631104,0.05716616,0.92855895,0.0015202132,0.01147857,0.00083967985
S0797,0.036721405,0.0024664819,0.008995969,0.0350374,0.00087631104,0.0042105806,0.0047008926,0.008619625,0.9582655,0.0021866164
S0798,0.012988059,0.04375802,0.0020923326,0.008605937,0.9745147,0.0034216437,0.010191217,0.010546214,0.00285794,0.0014139654
S0799,0.0033794842,0.0042748544,0.041605607,0.20655182,0.00092972146,0.0042650197,0.019235222,0.03562989,0.010243447,0.0025634482
S0800,0.0010180421,0.0008929264,0.006231061,0.038461387,0.00087631104,0.987917,0.08321057,0.0011646083,0.0019054292,0.00049731205
S0801,0.006570817,0.002028832,0.026412826,0.65396833,0.00087631104,0.46055117,0.98937887,0.0029964577,0.0016817853,0.0009552631
S0802,0.0019731722,0.0031218256,0.0030020701,0.05123342,0.00097118516,0.0014646064,0.009596613,0.84372383,0.006762682,0.0039265445
S0803,0.0033288733,0.0009489707,0.114672385,0.0031586287,0.00087631104,0.004538869,0.9798331,0.0016712038,0.007004485,0.00091229985
S0804,0.009442037,0.0032962456,0.025755731,0.031875677,0.00087631104,0.0037137098,0.009877328,0.008375715,0.112385035,0.0006205406
S0805,0.027707268,0.001727906,0.021229848,0.077131204,0.00087631104,0.9200341,0.44568557,0.005587749,0.40307668,0.6501607
S0806,0.0017950399,0.003059089,0.6813151,0.33448055,0.00087631104,0.4276923,0.39173767,0.0025571962,0.00416666,0.0005388057
S0807,0.002636852,0.0022392438,0.64287555,0.0067536873,0.00087631104,0.0009826405,0.9647682,0.0011549895,0.0050268373,0.0016876253
S0808,0.005611651,0.007032466,0.01889329,0.003961702,0.0009371235,0.0078007123,0.007443805,0.0060265805,0.996557,0.009279163
S0809,0.0014038506,0.00687408,0.007608843,0.046286028,0.00097118516,0.0073467344,0.015328248,0.008310228,0.03857781,0.001810754
S0810,0.001952665,0.006024867,0.0018648267,0.010175924,0.97951084,0.0012195464,0.0029201324,0.0032563366,0.0018546432,0.00197236
S0811,0.0077512157,0.0020906567,0.009225531,0.18686719,0.00087631104,0.99789196,0.7669221,0.0070749074,0.0062216665,0.0011444248
S0812,0.004170009,0.97190183,0.0019407305,0.010954931,0.0026720262,0.004372679,0.008541427,0.008712439,0.0039164657,0.0009892371
S0813,0.002211682,0.006254582,0.0026245846,0.0028383932,0.97821224,0.005192845,0.0046461374,0.0025273724,0.005575305,0.0014096609
S0814,0.06342909,0.0023999333,0.3629272,0.007290796,0.00087631104,0.005638819,0.010747267,0.03160541,0.15241878,0.00048658435
S0815,0.0031624823,0.0027774177,0.110123254,0.393572,0.0034820968,0.4678851,0.9966859,0.0037664962,0.0017155813,0.0009274513
S0816,0.14714582,0.0021672898,0.0035066681,0.0025010186,0.00087631104,0.0014602586,0.012079205,0.027699536,0.011291054,0.00093055854
S0817,0.006494051,0.002427578,0.0013519208,0.005822838,0.00087631104,0.0027272187,0.015928987,0.026910681,0.0038597668,0.0010370106
S0818,0.010332584,0.04157584,0.0027551726,0.733601,0.00087631104,0.016267713,0.008504831,0.024050945,0.99540365,0.008929782
S0819,0.0075412435,0.0031199062,0.790534,0.9900894,0.00087631104,0.64367163,0.98572063,0.004171922,0.004204547,0.0009804766
S0820,0.0019731477,0.001667102,0.015959714,0.003011317,0.00087631104,0.005019583,0.99451375,0.00093721953,0.0026581706,0.0012474172
S0821,0.0013521274,0.001071936,0.97981524,0.70030457,0.00087631104,0.44459307,0.9308709,0.00078441366,0.007764234,0.00076146773
