sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.0017833929,0.0018116445,0.0029894926,0.0021134908,0.00066242495,0.002534659,0.0061170678,0.045882728,0.0015058862,0.0016398083
S0767,0.0073420308,0.004078357,0.0009949143,0.0068294182,0.00066242495,0.004513125,0.01106105,0.041091375,0.0077065425,0.0005488254
S0768,0.9823867,0.030712994,0.0008645526,0.025028326,0.0007589586,0.0059107356,0.96030015,0.97899306,0.017881067,0.00080414995
S0769,0.0017451696,0.0015109573,0.0059711644,0.008506544,0.00066242495,0.9933693,0.008399984,0.0010723405,0.98078394,0.00078966166
S0770,0.003372741,0.003250606,0.015108447,0.9440049,0.00075174356,0.9958348,0.98663783,0.0016696316,0.00092443626,0.001166354
S0771,0.013942292,0.00200088,0.0015079957,0.00822716,0.00066242495,0.0037564503,0.0106083825,0.009558166,0.01044144,0.00055994384
S0772,0.00682305,0.001412041,0.016822888,0.007117529,0.00066242495,0.0072579626,0.99011046,0.004198484,0.002240961,0.0012037444
S0773,0.0012700447,0.018184477,0.00835781,0.03865484,0.00066242495,0.049277272,0.009991293,0.012920022,0.0037661796,0.0022582856
S0774,0.95371866,0.0012477909,0.001731687,0.0027837101,0.00066242495,0.002302887,0.01746274,0.0291774,0.0012918856,0.00077640696
S0775,0.016795967,0.0015260675,0.0028566548,0.019087384,0.00066242495,0.0025345183,0.9909994,0.0027684236,0.007637044,0.0011521259
S0776,0.0061597927,0.0020062164,0.9711863,0.0068853875,0.00066242495,0.0055423635,0.0085600745,0.0017577693,0.0038947857,0.0011591259
S0777,0.004454935,0.0027494675,0.96721476,0.0023883658,0.0008486486,0.00241518,0.0052802544,0.0063534062,0.0015144056,0.0016817428
S0778,0.97754264,0.9840402,0.0017684863,0.99155176,0.00066242495,0.9866671,0.96967894,0.9752601,0.9840432,0.0006342554
S0779,0.0084904805,0.0037248589,0.0065655177,0.01867464,0.005016871,0.013506267,0.00331119,0.00103573,0.9753946,0.01797651
S0780,0.0083886245,0.0017027751,0.014033925,0.004951074,0.00066242495,0.9980217,0.9642854,0.0010956759,0.010990301,0.0005762225
S0781,0.0045255567,0.0015725265,0.0022920705,0.002257685,0.00066242495,0.0009939909,0.0026271672,0.00566801,0.0054473653,0.00073540147
S0782,0.94980806,0.0025048687,0.002337222,0.0037554798,0.00708599,0.014002401,0.023956945,0.020338932,0.0060558943,0.003363865
S0783,0.009675022,0.0011900977,0.0028898572,0.017477905,0.00066242495,0.9683192,0.020650005,0.004142648,0.9508748,0.0011960076
S0784,0.03704342,0.004403887,0.0014733248,0.001941037,0.00066242495,0.0023197709,0.007905545,0.95893806,0.0020192706,0.0013281836
S0785,0.9437242,0.0025940656,0.0015703046,0.9177536,0.00066242495,0.002418123,0.92782366,0.93042064,0.93336576,0.96966803
S0786,0.0012489966,0.0012344139,0.004166135,0.99406165,0.00066242495,0.9878395,0.98987764,0.0011437797,0.001004905,0.00056642067
S0787,0.004663104,0.0028551314,0.94716454,0.052692097,0.0014576355,0.023760106,0.99719244,0.0030488262,0.0010633644,0.00077940174
S0788,0.9903814,0.9848931,0.0010970702,0.98026603,0.00066242495,0.9792427,0.9863317,0.9942537,0.9902802,0.004658956
S0789,0.011485834,0.007013529,0.0033819987,0.008260816,0.00066242495,0.008601309,0.03259845,0.9666158,0.0049058786,0.0032565612
S0790,0.0022098888,0.0033583161,0.0015014317,0.0026922072,0.00066242495,0.004220922,0.99589694,0.0013093326,0.0024365971,0.0006039105
S0791,0.0012600542,0.0024803411,0.03477854,0.9664895,0.0025058398,0.93792355,0.9971373,0.0017883453,0.0010809555,0.00089980214
S0792,0.005938414,0.0024120938,0.9667231,0.007969614,0.00066242495,0.0027555302,0.011418807,0.0026636703,0.003961038,0.00047029043
S0793,0.0041932925,0.016862098,0.005111534,0.011319724,0.020973343,0.00845456,0.008062342,0.007851434,0.009440569,0.01657875
S0794,0.0055211843,0.0026550007,0.0014488264,0.9691337,0.0008794306,0.0009679529,0.0040364573,0.020019438,0.0018519027,0.0019291634
S0795,0.0027818377,0.00092545146,0.001100069,0.0013543668,0.00066242495,0.0019588433,0.9895968,0.0026396182,0.0013547344,0.0019853578
S0796,0.0015768441,0.0008642993,0.027086074,0.0022383693,0.00066242495,0.006847036,0.9881188,0.0016379124,0.0025453386,0.0016366177
S0797,0.009518524,0.0035069862,0.014425281,0.0057804105,0.00066242495,0.0021483123,0.005402394,0.003829221,0.9898239,0.00192332
S0798,0.0042347293,0.012485466,0.0015019787,0.002524351,0.9858117,0.0050049243,0.0029129218,0.0021720892,0.0023635444,0.0011988534
S0799,0.0029024761,0.0020075974,0.011534742,0.002994383,0.0008486486,0.0014170442,0.0060757855,0.015543029,0.00266638,0.003057366
S0800,0.0010267871,0.00065559294,0.0029303215,0.9496632,0.00066242495,0.99559826,0.018107643,0.0009652776,0.0013915224,0.00059511856
S0801,0.0051349443,0.0012936193,0.97819316,0.9864936,0.00076174276,0.030526038,0.99674267,0.0014145075,0.0009628999,0.0012497165
S0802,0.0013926392,0.0016942339,0.0012991361,0.021320852,0.00096511666,0.0010917702,0.0034400977,0.9553985,0.0030151545,0.0026648587
S0803,0.003163306,0.0007277521,0.9536739,0.002428002,0.00075174356,0.0025205526,0.99290717,0.0008932745,0.0048953816,0.0009889968
S0804,0.0021727765,0.0016852409,0.0059564398,0.019622235,0.00066242495,0.0021357902,0.003689376,0.00956847,0.9683967,0.0005440439
S0805,0.0052968855,0.0010432717,0.00631021,0.01716348,0.00066242495,0.9883222,0.020969952,0.0040469663,0.025563428,0.017786779
S0806,0.0016848695,0.0021953918,0.97214913,0.029229043,0.00066242495,0.029399566,0.95323443,0.002023971,0.0025457346,0.00056954107
S0807,0.0042299,0.0009298942,0.98867816,0.0026787694,0.00075174356,0.0010766586,0.9798579,0.0007027709,0.00463116,0.0022768322
S0808,0.008856831,0.0049267565,0.0042364104,0.0065051476,0.00075174356,0.005814464,0.008916869,0.0031356541,0.99506724,0.0028375024
S0809,0.0017993168,0.0039332192,0.003837666,0.017048378,0.00096511666,0.0030902459,0.014198032,0.0032231642,0.0062137796,0.0015589502
S0810,0.0009590481,0.00456513,0.0011337365,0.0038819443,0.98636174,0.0007311573,0.0046241465,0.0015932606,0.0010290238,0.0008039859
S0811,0.0057527632,0.0017835193,0.002724862,0.018917948,0.00066242495,0.99704427,0.97887623,0.0018980841,0.0028988363,0.0006392892
S0812,0.0030641146,0.9932634,0.0021408012,0.0030747412,0.0011585597,0.0021837605,0.01069455,0.0016456501,0.0013706759,0.0021992193
S0813,0.0014314763,0.0032204615,0.0017464625,0.00419433,0.98554844,0.0019197544,0.0020174128,0.002068166,0.0019292294,0.001393931
S0814,0.015147386,0.0022407242,0.980789,0.0056016897,0.0008794306,0.0026290957,0.008125447,0.0037427011,0.015153789,0.0005642411
S0815,0.0026483424,0.0034039258,0.024872728,0.031996623,0.0014576355,0.9630594,0.9974234,0.0017976554,0.0011518236,0.0007816964
S0816,0.01821761,0.0016347544,0.0073698116,0.0036400347,0.00066242495,0.0015202102,0.006993486,0.012524729,0.0067747133,0.00060975546
S0817,0.0045063472,0.0017887767,0.0010303888,0.0021794518,0.00066242495,0.0015418138,0.009971667,0.009105089,0.0044976603,0.00074684306
S0818,0.0054506734,0.00523829,0.0017039542,0.97444,0.00066242495,0.010802727,0.006234044,0.0062295403,0.990257,0.0016181099
S0819,0.0038332974,0.0011951927,0.9642486,0.99510455,0.00066242495,0.040774647,0.99372995,0.003992604,0.0016400955,0.0015160174
S0820,0.0024405874,0.0010261284,0.00939239,0.0020887952,0.00066242495,0.0017256399,0.997283,0.0010017491,0.0015150288,0.0010580024
S0821,0.0013509151,0.0006806951,0.9752862,0.9869125,0.00066242495,0.023451002,0.98567766,0.00095398567,0.0030776015,0.00091427774
S0822,0.0264611,0.0007728029,0.0017483075,0.0023432595,0.00066242495,0.0039935224,0.9792214,0.006439112,0.0019333196,0.003748475
S0823,0.001791668,0.0015179118,0.0033667167,0.004613201,0.00075174356,0.0029701781,0.0020085922,0.0019366312,0.99669373,0.0006680988
S0824,0.001500875,0.00083111424,0.0041279714,0.95142514,0.00066242495,0.995877,0.017096763,0.0022330394,0.0007727396,0.00072902685
S0825,0.0012039028,0.0010707505,0.9886712,0.0050253924,0.00066242495,0.0054517486,0.97582895,0.002051417,0.0044747735,0.0007453336
S0826,0.003705253,0.007750526,0.001287398,0.0038727208,0.9325611,0.0022964135,0.004323518,0.0019341903,0.0041111554,0.001356321
S0827,0.00094740733,0.00066195574,0.9455528,0.017788602,0.00066242495,0.092923135,0.01605232,0.0010717089,0.0026644634,0.00056652783
S0828,0.0007467175,0.0005604169,0.9844699,0.022187026,0.00066242495,0.0033132776,0.0061201383,0.00090626173,0.0030007516,0.00077382725
S0829,0.0035418286,0.0010035383,0.0029347467,0.008033492,0.0019346423,0.002486408,0.0043676584,0.0017466854,0.9934783,0.00059368834
