sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.0023417973,0.002699946,0.011403111,0.0024418149,0.00087894476,0.0032862222,0.0057165,0.40466613,0.0019646531,0.0011542954
S0767,0.02474401,0.021598242,0.0013919192,0.028962454,0.00087894476,0.0049172137,0.017286547,0.10506191,0.0039856303,0.00073520915
S0768,0.8703358,0.30861858,0.000995634,0.008813521,0.001552391,0.01188954,0.06888803,0.42130393,0.016037889,0.00089121674
S0769,0.04478545,0.001694429,0.055534918,0.02471751,0.00087894476,0.9870853,0.018763687,0.0017944385,0.62170386,0.0022652112
S0770,0.0027658644,0.003037815,0.004888613,0.54791445,0.00087894476,0.9964355,0.96558416,0.0018365872,0.0020213164,0.00068223395
S0771,0.0081961425,0.0023636287,0.004769737,0.013773085,0.00087894476,0.014910349,0.007546509,0.06970358,0.0075941524,0.0008818347
S0772,0.027532281,0.0032365893,0.013994287,0.04000611,0.00087894476,0.26856348,0.9723989,0.0050559477,0.0014569659,0.00056453265
S0773,0.0023328853,0.04931339,0.023409734,0.14174415,0.00087894476,0.06918374,0.018372161,0.025496729,0.0054004393,0.0016114395
S0774,0.018457435,0.0010955203,0.001734062,0.003042609,0.00087894476,0.0020758614,0.017902961,0.16544649,0.0019946168,0.0009994431
S0775,0.031342123,0.006432535,0.0034933232,0.035997726,0.00087894476,0.003911196,0.9625388,0.017984997,0.008525859,0.00055956957
S0776,0.033175748,0.0025711958,0.5951877,0.06739551,0.0011907729,0.019846722,0.06419853,0.012987282,0.005974624,0.00065865944
S0777,0.02454094,0.0036163125,0.94308954,0.0067001996,0.00087894476,0.003272029,0.012418966,0.043881666,0.0063365344,0.0019061537
S0778,0.7976993,0.51924074,0.0027282306,0.74247086,0.00087894476,0.272393,0.086814724,0.6338899,0.47870007,0.00065865944
S0779,0.11342472,0.002769535,0.17169835,0.052961893,0.0082154805,0.062227666,0.0044832295,0.002855821,0.46783412,0.09607095
S0780,0.0982734,0.00302208,0.009203516,0.018891275,0.0011907729,0.997442,0.8854642,0.0012894407,0.022248538,0.00059838925
S0781,0.0072062695,0.0055640964,0.0028327317,0.0022062664,0.00087894476,0.0020354446,0.007528592,0.014381984,0.006424267,0.0008770574
S0782,0.04333497,0.0049951957,0.002032627,0.002686269,0.07480556,0.03750404,0.1240691,0.059573755,0.007858554,0.0064499234
S0783,0.012529472,0.0029928274,0.0048233247,0.018038638,0.00087894476,0.7677398,0.14384171,0.0010218195,0.36651272,0.0018040653
S0784,0.19096863,0.0053805904,0.0029003585,0.0033655008,0.00087894476,0.0029863762,0.016335562,0.156262,0.004304028,0.0014238626
S0785,0.036370113,0.006488657,0.0016630271,0.013444935,0.00087894476,0.0015832101,0.0033693847,0.014921137,0.27756524,0.57084244
S0786,0.00090101874,0.0012361612,0.008860507,0.3948435,0.00087894476,0.97386926,0.9721327,0.0014275122,0.0017701219,0.00052523526
S0787,0.004705951,0.0027128032,0.20434478,0.45726734,0.0035999392,0.12779203,0.9902406,0.002894176,0.002013699,0.0008122095
S0788,0.9824455,0.9456517,0.0013714156,0.9087514,0.00087894476,0.19356604,0.8539508,0.98628265,0.9449802,0.011451737
S0789,0.007495887,0.020976903,0.0039068214,0.030713793,0.00087894476,0.044140328,0.2540081,0.71147805,0.025020316,0.00072451116
S0790,0.0058366563,0.0035759879,0.006928329,0.0074601914,0.00087894476,0.0039109187,0.9977229,0.0029691432,0.0027436896,0.00053729047
S0791,0.002036959,0.0032156007,0.0880769,0.48918375,0.008689645,0.24022894,0.9907767,0.0011709488,0.0017909168,0.00061691663
S0792,0.0057490934,0.008726543,0.5443703,0.0141505515,0.00087894476,0.003529157,0.008472323,0.0033676,0.002832702,0.0005209325
S0793,0.007887121,0.05700023,0.005958018,0.017739963,0.8925316,0.0158649,0.03278128,0.0026762304,0.01000678,0.014562659
S0794,0.004073431,0.005073072,0.0023985454,0.8430645,0.00087894476,0.0014123727,0.009199873,0.31453776,0.0033205966,0.001593652
S0795,0.022859901,0.0010684849,0.0023017742,0.002436262,0.00087894476,0.009457052,0.9066731,0.004852075,0.0022476162,0.0037127836
S0796,0.0009467441,0.001181681,0.17133275,0.0043558506,0.00087894476,0.020263042,0.91315967,0.0014285852,0.012938206,0.0008597313
S0797,0.03678069,0.003076693,0.011276706,0.024490526,0.00087894476,0.002939788,0.011151361,0.0053029587,0.977965,0.0027163285
S0798,0.0704806,0.09540589,0.0023915318,0.011491984,0.9750025,0.005238722,0.012501143,0.009695983,0.003881527,0.0013184355
S0799,0.017543368,0.0035235556,0.03223235,0.18743703,0.0011228053,0.002355734,0.0147771165,0.061800368,0.009437877,0.0016957112
S0800,0.0011965478,0.000788592,0.008400775,0.048871055,0.00087894476,0.9754301,0.31795436,0.0008900075,0.0017814381,0.0005209325
S0801,0.004584184,0.0031691408,0.10375734,0.9413573,0.0010249541,0.5622689,0.98867714,0.0023496277,0.0013189976,0.00083586806
S0802,0.0024757453,0.0030395945,0.0024309233,0.030478323,0.0010751387,0.0014634737,0.010149139,0.78896564,0.0043364405,0.0028173712
S0803,0.0015239139,0.00189317,0.08201117,0.0052254023,0.00087894476,0.008583883,0.97876394,0.0017005306,0.011032441,0.0008597313
S0804,0.015606054,0.002989935,0.028464034,0.050461527,0.00087894476,0.002977114,0.015823945,0.009695758,0.2822113,0.0007333052
S0805,0.015771987,0.0027163117,0.026423065,0.048515964,0.00087894476,0.8365758,0.24165969,0.012829189,0.34633267,0.6502017
S0806,0.00082307117,0.002493941,0.5567238,0.31249386,0.00087894476,0.65540373,0.39100155,0.002385536,0.012604999,0.000580207
S0807,0.003859215,0.0019205716,0.4720078,0.0022805084,0.0011907729,0.0011836687,0.98073214,0.0012822743,0.0034125843,0.0018594541
S0808,0.0055340887,0.014748557,0.021025522,0.003199772,0.0012719841,0.010036011,0.018805206,0.006443128,0.9950577,0.010550036
S0809,0.0020837877,0.004539854,0.02687382,0.03163212,0.0010751387,0.01286353,0.037241243,0.008056937,0.1483702,0.0017821632
S0810,0.0015301957,0.044377197,0.002618336,0.01156809,0.97761565,0.0017919785,0.0028367552,0.0049958187,0.0020420407,0.005573706
S0811,0.011524868,0.0019926983,0.011335691,0.11569809,0.00087894476,0.9981828,0.7312373,0.0026565087,0.0043724757,0.0017134455
S0812,0.0034273246,0.98656625,0.0022198174,0.031790234,0.0027651715,0.0078003476,0.01040829,0.0033119773,0.003080737,0.0011391286
S0813,0.0023827949,0.010429956,0.0021386459,0.0049919426,0.9745384,0.0046683587,0.0038586832,0.0029783086,0.0069324905,0.0019426128
S0814,0.0285726,0.00334267,0.2219742,0.0061690155,0.00087894476,0.003488997,0.010054704,0.019465001,0.2398112,0.000580207
S0815,0.004655355,0.0026848337,0.23870035,0.1529284,0.0031600704,0.26707527,0.9949993,0.0029616824,0.0023111624,0.0011581652
S0816,0.046054754,0.003319276,0.002601966,0.0042403303,0.00087894476,0.0017087741,0.013631763,0.01747539,0.00966949,0.00073520915
S0817,0.014030448,0.0033359951,0.0017710482,0.003150921,0.00087894476,0.004397655,0.016119512,0.013859666,0.0034789776,0.0008770574
S0818,0.005408944,0.00535144,0.0019604305,0.9238353,0.00087894476,0.016262015,0.042800903,0.009211754,0.99529535,0.005120728
