sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.0015729272,0.0019239691,0.0033929662,0.0018584924,0.00065917,0.002998862,0.005369379,0.055824913,0.0015884755,0.0013572423
S0767,0.0055663735,0.004934901,0.0007577759,0.005891496,0.00065917,0.0035403783,0.01870437,0.054133307,0.005784109,0.00055267324
S0768,0.98465216,0.031112732,0.0006944071,0.021925552,0.0008751891,0.005781173,0.946813,0.97587204,0.011057967,0.0009480552
S0769,0.0026362713,0.0016296245,0.0059383945,0.005545116,0.00065917,0.99369335,0.012589222,0.0011758473,0.97128785,0.00072882895
S0770,0.0024430847,0.0027549237,0.019546943,0.9429041,0.0007475306,0.9933067,0.9824562,0.0015739744,0.001557944,0.0010834448
S0771,0.004231917,0.0016799697,0.0041657793,0.0060852813,0.00065917,0.0098993955,0.009017339,0.010767164,0.010708806,0.00055307907
S0772,0.0054069795,0.0018827942,0.007858126,0.007890734,0.00065917,0.0057117506,0.9884878,0.0030249862,0.0016885776,0.00073296455
S0773,0.001511651,0.0130264545,0.005853051,0.041287895,0.00065917,0.051544376,0.0064607435,0.0078100627,0.00339571,0.0016798065
S0774,0.9576643,0.0011943419,0.0016704823,0.003567545,0.00065917,0.0027621093,0.019548088,0.030360708,0.0011941998,0.0008583876
S0775,0.020694565,0.0023331605,0.0018456682,0.025352817,0.00065917,0.0028416002,0.98666245,0.0031072726,0.006552863,0.00093342236
S0776,0.009207147,0.0030528307,0.9710287,0.010488572,0.0007210153,0.00608529,0.01601028,0.003786283,0.0033521133,0.00091767014
S0777,0.005663798,0.0025567608,0.96797657,0.0028051054,0.000778511,0.0027771047,0.006428867,0.007980811,0.0018070173,0.0017978402
S0778,0.9746106,0.98110265,0.001952531,0.9835577,0.00065917,0.98711956,0.9656723,0.97173667,0.9909059,0.0006010907
S0779,0.009059522,0.0031513073,0.016232854,0.028657442,0.0040324414,0.00973484,0.0053624567,0.0009772992,0.9832312,0.015974818
S0780,0.008663474,0.0022291383,0.004102247,0.00485486,0.00085635664,0.99820185,0.97423786,0.001440973,0.010656754,0.0005298407
S0781,0.006630828,0.0019937416,0.0020245654,0.0035792377,0.00065917,0.00085980823,0.002286366,0.0039868685,0.0057425993,0.00061704096
S0782,0.933876,0.0043562376,0.0018662979,0.0036740743,0.0071062725,0.012303104,0.020096201,0.01885895,0.0031187779,0.0050048223
S0783,0.0032490753,0.0010829174,0.0044107456,0.0121757435,0.00065917,0.9660602,0.015706016,0.003129742,0.95627314,0.0012635834
S0784,0.029337954,0.003690012,0.00086294435,0.0019054934,0.00065917,0.0020012828,0.0051915077,0.9612507,0.0028141032,0.0013864455
S0785,0.93745846,0.0014129127,0.001534519,0.9275111,0.00065917,0.002694729,0.9136112,0.9323625,0.9439686,0.96669334
S0786,0.0011292445,0.0011596931,0.004197372,0.9810688,0.00065917,0.9920021,0.9912815,0.0012189472,0.0014696283,0.00046060153
S0787,0.003356433,0.0024487355,0.943773,0.03437335,0.0013608341,0.02351647,0.995742,0.0030061444,0.0011617817,0.0005979221
S0788,0.98693734,0.9912294,0.0017832308,0.9848385,0.00065917,0.97878826,0.9912708,0.9932359,0.98967,0.0036642603
S0789,0.010196491,0.00737372,0.0029335204,0.008085389,0.00065917,0.012355666,0.023603722,0.9760869,0.007417903,0.0021554057
S0790,0.0033064676,0.0029718787,0.002158112,0.003586086,0.00065917,0.0043166447,0.9977915,0.0016630484,0.0027232247,0.00054257136
S0791,0.000839896,0.003278617,0.024076428,0.96237344,0.0030485291,0.9448254,0.99608105,0.0021835826,0.000825272,0.00064693845
S0792,0.0038777129,0.0044909464,0.9554943,0.0063507366,0.00065917,0.0025315976,0.0067431307,0.0030928717,0.0036841827,0.00046034498
S0793,0.0041176965,0.016685806,0.0025640114,0.008682903,0.024810186,0.007749052,0.007870721,0.003879288,0.009553117,0.007490075
S0794,0.0036282022,0.00257283,0.0020479544,0.9799731,0.00092844636,0.0012544631,0.0044686473,0.022289112,0.002025157,0.0025076058
S0795,0.002201117,0.0009954813,0.0013613494,0.0022992329,0.00070927653,0.0022011204,0.99456775,0.0038507478,0.0017594526,0.002131518
S0796,0.0012113675,0.0010445043,0.025935225,0.0028090763,0.00070927653,0.0073804413,0.98944455,0.0018682755,0.0046079685,0.0013364747
S0797,0.0038265171,0.0020100314,0.0077402974,0.005871617,0.00070927653,0.0026450295,0.009463915,0.0032837165,0.99025726,0.0027704465
S0798,0.0051988247,0.015140459,0.0012488151,0.0035525258,0.9873789,0.005778624,0.0046730405,0.004427844,0.0026929446,0.0013868687
S0799,0.0027151778,0.002528944,0.013621636,0.0061869887,0.000778511,0.0012498094,0.007268893,0.009490764,0.0033917509,0.0018042792
S0800,0.0010218068,0.000815502,0.005723065,0.9595721,0.00070927653,0.995865,0.022527065,0.0009908467,0.0025835237,0.00056033174
