sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.002935757,0.002025848,0.012692413,0.0026683523,0.0009842404,0.004395042,0.0037510346,0.7946328,0.0034057347,0.0013600618
S0767,0.014919505,0.024501225,0.0024548138,0.043886665,0.00084642984,0.0026352522,0.006860723,0.27470294,0.0032178985,0.00074292725
S0768,0.5189356,0.23798063,0.0014942795,0.02018455,0.0028049548,0.008998397,0.11321893,0.9538652,0.13321438,0.0014219682
S0769,0.010419892,0.0015620557,0.032104187,0.0424084,0.00084642984,0.99247557,0.012705745,0.004270734,0.358033,0.0017866215
S0770,0.0024657757,0.001496359,0.0032666482,0.7882757,0.0010458117,0.99677235,0.9432604,0.0016776595,0.004693166,0.00067771075
S0771,0.017593687,0.004514089,0.0077537023,0.032543603,0.00084642984,0.15727368,0.018769298,0.18382968,0.005166655,0.0005804476
S0772,0.04151995,0.002192009,0.011155275,0.013693999,0.00084642984,0.2900623,0.95899516,0.0035499814,0.0023103808,0.0010601241
S0773,0.0044228146,0.016513433,0.015791593,0.49843985,0.00084642984,0.68704563,0.01713821,0.0069882623,0.0039413334,0.0013542024
S0774,0.10460718,0.0018255049,0.004800825,0.0032380603,0.00084642984,0.0016656892,0.018305646,0.09302471,0.0028859507,0.0008054199
S0775,0.016008366,0.0020815786,0.015636234,0.015981933,0.00084642984,0.003196159,0.98161983,0.0035753695,0.005220824,0.0004706925
S0776,0.046188332,0.003108964,0.6523441,0.102139845,0.00093589304,0.022545878,0.054948963,0.012467805,0.018861884,0.0005279603
S0777,0.003115725,0.0065946304,0.8272015,0.017655682,0.00084642984,0.0063513564,0.08492309,0.024958936,0.0084119635,0.003910107
S0778,0.86661285,0.9364981,0.004156043,0.8843297,0.00084642984,0.5986781,0.71373284,0.83654064,0.34176925,0.0005279603
S0779,0.1067913,0.00849297,0.09366533,0.013198052,0.002320761,0.12415595,0.008117967,0.014314441,0.19160202,0.053527374
S0780,0.40066022,0.001758874,0.016449187,0.007247611,0.0010671284,0.99760205,0.7320052,0.002194951,0.0042353445,0.0004941054
S0781,0.0054244683,0.0038902855,0.0037521059,0.00338278,0.00084642984,0.0025416152,0.006156618,0.012460022,0.0034183152,0.0010576864
S0782,0.02377974,0.024706915,0.0102740405,0.0025779684,0.18771009,0.07874909,0.423,0.09369391,0.0043932023,0.019566365
S0783,0.013600088,0.001259221,0.0052291863,0.09746862,0.00084642984,0.8369081,0.23363999,0.001006066,0.06750377,0.0012196667
S0784,0.61890566,0.008267855,0.005910553,0.0016145087,0.00084642984,0.009830404,0.005176578,0.1956929,0.0058680247,0.0018106702
S0785,0.01726726,0.0038814666,0.0018887934,0.013781897,0.00084642984,0.0016094162,0.019729191,0.07582882,0.26818013,0.83278614
S0786,0.0009476385,0.00080381625,0.017809369,0.8928952,0.00084642984,0.97427124,0.9873811,0.0013485523,0.0012060198,0.00046614412
S0787,0.007814983,0.0015928055,0.27093515,0.14145464,0.0009842404,0.06568631,0.99025494,0.0033898575,0.0016348618,0.00085550925
S0788,0.97951126,0.98372054,0.00942933,0.99328643,0.00084642984,0.90106434,0.9771238,0.98978615,0.9510449,0.01002117
S0789,0.005788251,0.005092623,0.0046691517,0.016077036,0.00084642984,0.07405145,0.30325177,0.20725605,0.0053885584,0.00058903417
S0790,0.0018681502,0.009448916,0.0058179987,0.014571866,0.00084642984,0.0065189875,0.99788743,0.0017048945,0.0022650568,0.00046614412
S0791,0.003202135,0.0008502727,0.28822708,0.8392747,0.0028049548,0.74790376,0.9892702,0.0021985173,0.0013262199,0.0009023542
S0792,0.019339778,0.0043782215,0.6005331,0.009919288,0.00084642984,0.00605246,0.016754016,0.0029060289,0.0035241332,0.0004706925
S0793,0.0070367428,0.09676495,0.0071396753,0.007984436,0.96559364,0.025079893,0.04691788,0.0035668346,0.04561925,0.013673262
S0794,0.0064511183,0.015383835,0.002938202,0.9030841,0.00084642984,0.0014147237,0.017276108,0.1286796,0.0048113824,0.0013427474
S0795,0.017330984,0.0013953986,0.0016820264,0.0018007803,0.00084642984,0.0046918923,0.98485005,0.009266403,0.0027858908,0.0015075017
S0796,0.0030348501,0.00086761016,0.2076334,0.0050821635,0.000909458,0.044628084,0.5700616,0.0010782995,0.0014273422,0.0010348132
S0797,0.105617486,0.002874866,0.009610451,0.024866333,0.00096513226,0.013726405,0.005392073,0.0029470439,0.986152,0.003241534
S0798,0.018400615,0.10531295,0.0016802666,0.011868768,0.9695979,0.004916864,0.0137713365,0.014292947,0.010529623,0.0022887092
S0799,0.0055015357,0.009167475,0.02376364,0.3658004,0.0009842404,0.0030937423,0.048716623,0.0719408,0.01611836,0.0032690477
S0800,0.001543168,0.00090786885,0.0024350467,0.056330614,0.000909458,0.99438196,0.02680484,0.0010076675,0.010174882,0.00065688253
S0801,0.00922102,0.0019475326,0.044598877,0.9630632,0.000909458,0.8360704,0.99056995,0.0038968578,0.0037781873,0.0007875988
S0802,0.0019177345,0.004856956,0.0032376202,0.110861115,0.00084642984,0.0017370335,0.013894622,0.8149352,0.004927058,0.0016748225
S0803,0.0055998606,0.0024141255,0.040801875,0.023928914,0.00084642984,0.0024405224,0.98146033,0.0015580553,0.0052182614,0.0013011761
S0804,0.0076162494,0.009961091,0.03277215,0.1582635,0.000909458,0.0057376544,0.015422626,0.0079684835,0.056152243,0.00074634544
S0805,0.00632748,0.0029905078,0.007957834,0.26950625,0.00084642984,0.9770209,0.65312123,0.005696846,0.6426114,0.31388497
S0806,0.0031838925,0.00473678,0.29933077,0.6037989,0.00089824916,0.6227935,0.33482864,0.0020845237,0.004065928,0.0005207974
S0807,0.0020976178,0.00076395925,0.5368679,0.004002059,0.0010671284,0.0010832337,0.96396583,0.0012963902,0.018978272,0.0026209138
S0808,0.0053582643,0.009224706,0.028804004,0.0062827235,0.0010671284,0.013730602,0.006619891,0.004769868,0.9754684,0.045639854
S0809,0.0015276065,0.01204552,0.013756197,0.01937386,0.00084642984,0.007784436,0.02797215,0.006838989,0.013896438,0.0007992005
S0810,0.0018618567,0.0050958106,0.0015337741,0.008368499,0.97875345,0.0013262243,0.00280288,0.0037772702,0.0045082835,0.0017162967
S0811,0.0057646804,0.00090869964,0.004268117,0.136574,0.00096513226,0.997482,0.94504213,0.007539955,0.005217613,0.0013522144
S0812,0.0015482068,0.9902036,0.0032833838,0.010677707,0.0015966973,0.0017209862,0.011350969,0.0067754504,0.0038790763,0.0023144016
S0813,0.003924467,0.0040438464,0.00164125,0.002034449,0.97875345,0.0021810525,0.0031675159,0.0018983614,0.0039884876,0.001502071
S0814,0.035452466,0.0019991572,0.2652034,0.009534524,0.000973343,0.016235435,0.008077977,0.017258072,0.4416828,0.0006209038
S0815,0.011209635,0.0016624595,0.26326406,0.13581724,0.0009842404,0.44633245,0.99496067,0.0028217766,0.0031456773,0.0008472456
S0816,0.18525177,0.008230729,0.0013874256,0.00804181,0.00084642984,0.0016030816,0.026641216,0.011412989,0.00911157,0.00084827753
S0817,0.0034525306,0.0018415941,0.0016350362,0.003969164,0.00084642984,0.0015973512,0.008530268,0.016806437,0.003454372,0.00087300903
S0818,0.009865578,0.028734235,0.0024753227,0.68677986,0.00096513226,0.021504574,0.032108292,0.014778907,0.8919561,0.017166296
S0819,0.010434849,0.0016894032,0.42719457,0.976929,0.00096513226,0.49793693,0.9947219,0.0038215,0.0040008994,0.001204809
S0820,0.0023309605,0.001972164,0.0060682283,0.0016852168,0.00084642984,0.017272497,0.98325205,0.0016160914,0.002391499,0.0008955896
S0821,0.0016582198,0.0005930439,0.976497,0.62938905,0.000909458,0.35457405,0.7589952,0.0009930023,0.010239368,0.0008577736
S0822,0.015195619,0.0010412897,0.0032183086,0.0047559356,0.0018356442,0.03022787,0.8200432,0.0038683307,0.0015484905,0.0035164473
S0823,0.0022797415,0.002018254,0.008162979,0.0044316924,0.00089824916,0.0027305163,0.008163098,0.002880088,0.99041474,0.0007272373
S0824,0.0012640638,0.0008764359,0.0023894259,0.66072875,0.000909458,0.9713103,0.090415515,0.0018837157,0.0008858167,0.0008147381
S0825,0.0016547423,0.0009605679,0.8908141,0.006743894,0.00084642984,0.009105003,0.32546282,0.001825764,0.004008728,0.0005982949
S0826,0.006584177,0.030973174,0.0013182277,0.005004758,0.9640814,0.002202214,0.010311822,0.0037692992,0.0073169684,0.0020647538
S0827,0.0027706611,0.0006901586,0.31720594,0.03704028,0.00096513226,0.8901876,0.18922132,0.00071801024,0.004631993,0.0008648047
S0828,0.0014004423,0.0014462314,0.81119806,0.10818045,0.00084642984,0.0026607455,0.012718444,0.0011911165,0.020778812,0.000816458
S0829,0.0011876356,0.0014275109,0.0049466807,0.005941835,0.000973343,0.0024895759,0.0068894713,0.0016034311,0.98968583,0.00049892644
S0830,0.0028392812,0.007094406,0.19975951,0.31486645,0.000909458,0.22973509,0.9711603,0.0015715589,0.0013098352,0.0016414312
S0831,0.10461546,0.003651671,0.0052626817,0.073249355,0.00084642984,0.028195819,0.14381732,0.08797563,0.40865698,0.00062080973
S0832,0.019562552,0.07816065,0.0020598783,0.02237788,0.9682348,0.0049920445,0.032902084,0.007930926,0.0063971374,0.0022887092
S0833,0.003401508,0.009541633,0.07256543,0.0039720037,0.00096513226,0.9331091,0.011104584,0.0021187721,0.0043220073,0.0015081493
S0834,0.006882324,0.008119412,0.015226828,0.04958402,0.0010458117,0.089786865,0.0068234704,0.03316492,0.82990086,0.01318344
S0835,0.019566229,0.0189192,0.004226479,0.006981311,0.0009842404,0.0032371015,0.007946124,0.8665797,0.0018477769,0.0014379245
S0836,0.0036725944,0.0026757864,0.060204957,0.006509788,0.00084642984,0.004481695,0.011807383,0.0020379566,0.9858079,0.00094710774
S0837,0.003245072,0.019001164,0.4320943,0.115429915,0.00084642984,0.003130373,0.0273038,0.0030496276,0.41971254,0.0034030473
S0838,0.031490836,0.0028960633,0.0016763493,0.0023270352,0.00084642984,0.0024463092,0.98569506,0.0141269695,0.0053031724,0.0006101165
S0839,0.0031237036,0.0024090242,0.02347098,0.11044663,0.00084642984,0.0041564233,0.03340394,0.21885099,0.01107781,0.00420908
S0840,0.041534137,0.019992447,0.0028872848,0.010639663,0.000909458,0.004830806,0.9121669,0.00749682,0.009264039,0.0023259316
S0841,0.005418184,0.0011982842,0.00651166,0.005036314,0.00084642984,0.0020283107,0.0065036165,0.013198454,0.023795027,0.00074292725
S0842,0.06367477,0.019868048,0.002160442,0.052205477,0.0015788106,0.0016816701,0.05642958,0.06110404,0.17177916,0.8763462
S0843,0.009471929,0.0022617886,0.0015766999,0.0023981712,0.00084642984,0.0059007276,0.7428756,0.29191408,0.0019806356,0.0009467775
S0844,0.007439741,0.021584703,0.003756734,0.0144998785,0.00084642984,0.014805231,0.050658066,0.6532271,0.005818362,0.0018261872
S0845,0.9716455,0.8765931,0.0033342186,0.9867395,0.00084642984,0.97637206,0.9861812,0.96293277,0.9549104,0.004102019
S0846,0.025969204,0.0028389557,0.0016120932,0.003392131,0.00084642984,0.0029212115,0.00950788,0.011360498,0.00410571,0.0006757575
S0847,0.008852286,0.061880305,0.0042157522,0.87969065,0.0017873292,0.0047688903,0.06269753,0.009019866,0.0019257932,0.0015836473
S0848,0.010705069,0.0011475879,0.0016549928,0.0031698686,0.00084642984,0.0023023689,0.9873138,0.0023237914,0.0028231444,0.0015610987
S0849,0.0042709163,0.0050625103,0.008015986,0.11386249,0.00084642984,0.00095519936,0.16122763,0.017920928,0.088019125,0.0020406642
S0850,0.0028863775,0.005890072,0.00827267,0.004203042,0.00089824916,0.0013139141,0.2556412,0.0061678896,0.64100224,0.0015335171
S0851,0.5890736,0.29542363,0.0076632528,0.02292365,0.0015046456,0.003952789,0.08478766,0.7234912,0.2140612,0.0013011941
S0852,0.0040497654,0.010964509,0.0125673385,0.013259905,0.000973343,0.99134785,0.020919723,0.0113906525,0.012258399,0.0005207974
S0853,0.0067762947,0.011608912,0.054360185,0.034042675,0.00084642984,0.06074415,0.18140277,0.071389586,0.10383402,0.0019725573
S0854,0.007864777,0.0008364107,0.0043990123,0.020203544,0.00084642984,0.012560003,0.04674,0.01123211,0.017074086,0.00061714655
S0855,0.0009243463,0.0006704927,0.5900858,0.72441447,0.000909458,0.07113898,0.9807813,0.0019543718,0.00256683,0.00094014267
S0856,0.0033531296,0.0033222747,0.008442305,0.0063466216,0.00084642984,0.0022690962,0.0087610185,0.0037515177,0.96776575,0.0012455828
S0857,0.010250363,0.011726566,0.0038781217,0.7083857,0.00084642984,0.0014847493,0.031058412,0.049686454,0.0056500332,0.0017786488
S0858,0.01745052,0.019525263,0.0026583844,0.24631657,0.00084642984,0.003653106,0.052386727,0.012402952,0.005769963,0.05131943
S0859,0.07107543,0.009960649,0.0015964252,0.006010486,0.00084642984,0.016415307,0.94547874,0.022190884,0.29437175,0.97590655
S0860,0.040199213,0.0030859725,0.025249014,0.06265439,0.002320761,0.019920828,0.0072946795,0.007410467,0.12027511,0.037003808
S0861,0.002595191,0.0012520911,0.22872683,0.31722143,0.00084642984,0.598827,0.94878495,0.0019343349,0.0035734468,0.0004955641
S0862,0.0024518871,0.00061057316,0.7467343,0.11787419,0.000985488,0.024222376,0.06011894,0.0010964684,0.016231438,0.0012823744
S0863,0.012411096,0.020001484,0.0029628372,0.014548474,0.00084642984,0.0016670099,0.9386258,0.0040100836,0.0027457294,0.0013500217
S0864,0.002641747,0.66550416,0.0011578094,0.0076250164,0.0015987197,0.011647646,0.008665431,0.004082717,0.17290036,0.961503
S0865,0.0017001332,0.0006604323,0.0033819247,0.022872927,0.00096513226,0.9920224,0.06430912,0.0020632197,0.004020049,0.00049892644
S0866,0.0050989185,0.0024357615,0.089614384,0.04486781,0.000973343,0.0018843039,0.039287798,0.014832553,0.31361237,0.00049892644
S0867,0.0029044473,0.0022041248,0.0026271634,0.0044978736,0.00084642984,0.0028102174,0.0038415838,0.011361045,0.0041717496,0.0008104178
S0868,0.0090141995,0.072572894,0.0017379423,0.11718355,0.00084642984,0.24824677,0.11039744,0.043517184,0.09562451,0.0027506824
S0869,0.0024083182,0.002689104,0.005351679,0.0064559584,0.00084642984,0.9769433,0.007213718,0.0053076213,0.010214631,0.9840008
S0870,0.0031841663,0.99151176,0.0034007502,0.00393137,0.0013732499,0.0021442377,0.033848166,0.005972132,0.02834888,0.007017651
S0871,0.0038823015,0.0008003768,0.007228868,0.011619821,0.0011563243,0.99806815,0.7982037,0.0009931064,0.0035219488,0.000537952
S0872,0.0046297708,0.0013836102,0.0024483034,0.004694697,0.00089824916,0.0021786534,0.85546947,0.0013931413,0.00315556,0.00051784667
S0873,0.005148157,0.015948327,0.0017275105,0.005034021,0.000909458,0.0025250847,0.1659463,0.0014657094,0.8707264,0.0010871559
S0874,0.99462354,0.99568105,0.0036786506,0.9940884,0.0016993289,0.99315274,0.99303305,0.9827839,0.99193794,0.0017536157
S0875,0.704264,0.93472016,0.006367953,0.90899545,0.00084642984,0.8865825,0.39749736,0.78006786,0.08425563,0.0005804476
S0876,0.0038801727,0.0136094885,0.0022015718,0.043901704,0.00084642984,0.005623355,0.051368997,0.009484114,0.006665533,0.93185467
S0877,0.028252264,0.0041749147,0.002079285,0.00252734,0.0419889,0.011493822,0.96065694,0.00971126,0.00203033,0.001423763
