sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.0021961953,0.0015264418,0.0060520754,0.0027776342,0.0005661071,0.0020935205,0.006250363,0.06388008,0.0031536391,0.0015129463
S0767,0.013175105,0.0059301895,0.0011592833,0.005993656,0.0005308745,0.0023320809,0.012896285,0.02453493,0.0046704994,0.0006240913
S0768,0.96975535,0.04868736,0.00087275455,0.028486261,0.0013387767,0.0029151996,0.925725,0.9811895,0.017133446,0.0008923472
S0769,0.00259336,0.0013014494,0.007087339,0.010505783,0.0005308745,0.9926645,0.008379178,0.0016551125,0.97486,0.0010730482
S0770,0.0020178412,0.0012035106,0.004863225,0.9439501,0.00067160133,0.9967541,0.98931926,0.0010043178,0.0014477596,0.0008997645
S0771,0.017595403,0.0042085038,0.004657207,0.011490165,0.00066319533,0.014207519,0.023868619,0.029211784,0.009279382,0.00068972394
S0772,0.0046759867,0.0014881783,0.010476251,0.009838826,0.0005308745,0.0044338577,0.9869086,0.0014536344,0.001774773,0.0006809306
S0773,0.0017918472,0.008146002,0.004125361,0.08739841,0.00066319533,0.067241535,0.013070249,0.008277604,0.0046196845,0.0018211276
S0774,0.96076715,0.0016659168,0.0039348765,0.0021075294,0.0005308745,0.0026170313,0.008628509,0.029522154,0.002611055,0.0005666456
S0775,0.011903733,0.001852921,0.0055844462,0.011798889,0.0005308745,0.0019398513,0.9913747,0.0035198007,0.009842157,0.00051199895
S0776,0.0072784685,0.004544966,0.97018373,0.010346856,0.0005308745,0.007336511,0.016536519,0.0044865464,0.009517962,0.0008687145
S0777,0.0028645683,0.0050507477,0.9489946,0.0047187163,0.0008229292,0.0037719642,0.010729963,0.014288898,0.0031911025,0.0033596393
S0778,0.98006666,0.98289424,0.001441367,0.97766006,0.0005308745,0.9859725,0.9768883,0.97330195,0.9870396,0.0005866692
S0779,0.010090792,0.0033713419,0.011918195,0.013890016,0.0013836642,0.008311139,0.0049799867,0.004789584,0.9697543,0.024261774
S0780,0.012640836,0.00097631925,0.009978571,0.005677758,0.0005308745,0.9985184,0.9634455,0.0011097626,0.0050662896,0.00055738207
S0781,0.0037767729,0.0027258056,0.0033600624,0.0023745028,0.0005308745,0.001136163,0.00416551,0.0023348916,0.002829544,0.00075478066
S0782,0.9347232,0.010842228,0.0026316226,0.0065972926,0.007836542,0.015678551,0.03038985,0.030902376,0.0043604295,0.011520376
S0783,0.006899171,0.00080640975,0.004706393,0.03502459,0.0005308745,0.9846334,0.037151024,0.002025798,0.8983652,0.0007778914
S0784,0.03508792,0.0043758377,0.001589947,0.002247568,0.0005308745,0.002616358,0.005062887,0.96106535,0.0021491752,0.0016793254
S0785,0.9349224,0.0030220442,0.0016503793,0.90642756,0.0005308745,0.012657307,0.90815353,0.91550094,0.9518245,0.98661995
S0786,0.0008349845,0.00079875585,0.0058003454,0.9861098,0.0005308745,0.9906997,0.9899951,0.001021439,0.00088081014,0.00058374007
S0787,0.006049443,0.0013904467,0.94181377,0.038981,0.0005308745,0.025531499,0.99520123,0.0011377188,0.0010029648,0.0007505256
S0788,0.9885783,0.98532075,0.0028211046,0.9949012,0.0005735144,0.99093086,0.9941189,0.99294645,0.9872787,0.006282152
S0789,0.0031844783,0.001908692,0.0026425803,0.0063258554,0.0005308745,0.0054477425,0.024977284,0.9503611,0.0065629403,0.0006593515
S0790,0.002785046,0.0015457813,0.0029710622,0.005571988,0.0005308745,0.0024606043,0.9965211,0.0014611469,0.001506726,0.00047189626
S0791,0.0013179923,0.0014804883,0.017662821,0.9694467,0.0013387767,0.9525246,0.9963994,0.0023687175,0.0013506949,0.0008136527
