sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.00261676,0.002092652,0.01084521,0.0026668136,0.0009842404,0.0040046484,0.003970544,0.7606774,0.0021928584,0.0015820136
S0767,0.025665656,0.014542453,0.0016432162,0.04540016,0.00084642984,0.0027900126,0.0043102796,0.29044268,0.0027835788,0.00067613984
S0768,0.38743067,0.16170728,0.0012886267,0.0166881,0.0028049548,0.0076284627,0.14747955,0.95239973,0.14723669,0.0015847123
S0769,0.0074182893,0.0012765919,0.04247518,0.054500733,0.00084642984,0.99521166,0.012109219,0.0034862375,0.29791474,0.0024480054
S0770,0.0026473852,0.001133569,0.003392115,0.84020597,0.0010458117,0.99774796,0.9540854,0.0015288929,0.003053832,0.0007146979
S0771,0.035550527,0.005055715,0.009865209,0.015938114,0.00084642984,0.13677081,0.019110423,0.111490525,0.0073682424,0.00063296524
S0772,0.026623167,0.002397097,0.0107802795,0.018478896,0.00084642984,0.28277415,0.9732098,0.003999165,0.0022489822,0.0008720397
S0773,0.0076762373,0.011421177,0.014126896,0.6021866,0.00084642984,0.63360816,0.020875627,0.007226265,0.003944084,0.001397277
S0774,0.11314379,0.0019164361,0.0050839377,0.0026783985,0.00084642984,0.0017377811,0.0328269,0.103374384,0.0027643535,0.0008270677
S0775,0.020026697,0.0020655184,0.007836768,0.01918961,0.00084642984,0.0026077637,0.97708434,0.005597967,0.0041212765,0.00047441546
S0776,0.026845602,0.0040504658,0.7041531,0.06674157,0.00093589304,0.034184434,0.035956353,0.013389492,0.020162757,0.0005308889
S0777,0.0032134375,0.0040038,0.8386614,0.011086758,0.00084642984,0.004749546,0.061718322,0.0376156,0.0094005745,0.0051171924
S0778,0.868045,0.9523718,0.004484285,0.89547074,0.00084642984,0.614802,0.57927495,0.8019793,0.35824293,0.0005020847
S0779,0.12388858,0.005586321,0.08885256,0.0142100025,0.002320761,0.16169839,0.0076999925,0.013132063,0.25341865,0.07881657
S0780,0.43305868,0.0025920542,0.01951501,0.011201403,0.0010671284,0.9979096,0.75665617,0.0021431595,0.004152821,0.00056841987
S0781,0.0055564,0.005362411,0.0026603267,0.0021873033,0.00084642984,0.0021231864,0.0064409124,0.012733818,0.0059377807,0.0010854112
