sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.0020448032,0.0013131353,0.0054047904,0.0024539288,0.0005661071,0.0022586156,0.012570694,0.04557777,0.0032954484,0.0012424398
S0767,0.008958786,0.00580259,0.0012260199,0.0041679065,0.0005308745,0.0035122293,0.012361392,0.028179066,0.0052103763,0.00059874554
S0768,0.97411174,0.038166344,0.00076855073,0.022675063,0.0013387767,0.004875966,0.9453787,0.9747891,0.019198433,0.0007645798
S0769,0.0023153874,0.0012605506,0.007003238,0.013500848,0.0005308745,0.99221694,0.00787503,0.0015335141,0.9726335,0.0009317323
S0770,0.00205321,0.0016659232,0.009068538,0.9490755,0.00067160133,0.9955617,0.99153334,0.00097518734,0.0016924258,0.0009083897
S0771,0.014379558,0.0026623341,0.0046742605,0.019925771,0.00066319533,0.016897565,0.02850823,0.03244785,0.012643521,0.0006119218
S0772,0.006872159,0.0013557812,0.012147182,0.0084207775,0.0005308745,0.0062148515,0.9840098,0.0014233387,0.0015516632,0.00088415295
S0773,0.0014527009,0.007158053,0.0056470498,0.09068556,0.00066319533,0.07059136,0.0135453,0.009131063,0.005029039,0.0014963761
S0774,0.9664776,0.0014292867,0.0034234636,0.0016902817,0.0005308745,0.0022616584,0.0155114,0.03034125,0.0027084616,0.0008954582
S0775,0.017343942,0.001995379,0.004947838,0.013010671,0.0005308745,0.0016063016,0.98853755,0.0026176388,0.010134706,0.000445684
S0776,0.008180006,0.0043261256,0.9710914,0.013443918,0.0005308745,0.0057881824,0.013857444,0.00401124,0.008276387,0.0009701193
S0777,0.002427079,0.0048862565,0.9472735,0.004287811,0.0008229292,0.0036265375,0.009632789,0.01499853,0.002694255,0.002412282
S0778,0.98300374,0.9796664,0.0022227766,0.9782306,0.0005308745,0.98709065,0.9781601,0.98133886,0.98138845,0.0005514449
S0779,0.010336871,0.0038090495,0.0111610675,0.010153466,0.0013836642,0.008807703,0.0060203937,0.0045403778,0.9701597,0.026590442
S0780,0.015468753,0.0011741304,0.008510112,0.0065233647,0.0005308745,0.9987143,0.9633902,0.0010415686,0.0037108546,0.00046606126
S0781,0.0024920842,0.0022495526,0.0023527427,0.001986247,0.0005308745,0.0010533651,0.0035373142,0.0022204774,0.0026990024,0.00070626824
S0782,0.9458572,0.011777925,0.002520399,0.0074365903,0.007836542,0.015702162,0.027726676,0.0242409,0.0047736657,0.009525836
S0783,0.007887099,0.00094501115,0.0028408247,0.023784092,0.0005308745,0.9794687,0.035615508,0.0017286356,0.90598965,0.0014272131
S0784,0.038547024,0.004380506,0.0014926845,0.0020362972,0.0005308745,0.0020958032,0.005205791,0.9578757,0.0024146184,0.0014794631
S0785,0.9399742,0.004160118,0.0030823555,0.8879659,0.0005308745,0.015864015,0.88736814,0.9194317,0.95664376,0.9830223
