sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.0029120508,0.0026212777,0.024407307,0.0024876844,0.00087631104,0.0026246994,0.0075975778,0.64641935,0.0015742247,0.0011745101
S0767,0.012439544,0.009132241,0.0013909333,0.04261216,0.00087631104,0.004902455,0.045760777,0.16840388,0.0032174538,0.00070511387
S0768,0.62493,0.29614672,0.00077879516,0.008336972,0.0015124968,0.020973336,0.1571215,0.657437,0.012719505,0.0010954442
S0769,0.00992632,0.0016326273,0.03587011,0.029965512,0.00087631104,0.9894518,0.014731008,0.0036333706,0.5929872,0.0021294227
S0770,0.0034018995,0.0032925552,0.010262018,0.7275981,0.00087631104,0.9964849,0.9041387,0.0011569645,0.0020665033,0.00075773004
S0771,0.0245724,0.0020952227,0.0054931627,0.019439315,0.00087631104,0.012462364,0.0056805043,0.067609265,0.016556026,0.00064147206
S0772,0.07181924,0.0033978603,0.020503588,0.08355566,0.00087631104,0.14892608,0.9689367,0.005523523,0.0028156678,0.0011252376
S0773,0.005372645,0.03412422,0.017926216,0.12016141,0.00087631104,0.08593116,0.027598439,0.026797557,0.0058126748,0.0013438393
S0774,0.13904993,0.0010670912,0.0020540827,0.0031195488,0.00087631104,0.0030328599,0.09939508,0.20717245,0.0014683281,0.000683747
S0775,0.028051507,0.00612308,0.0060018236,0.044082373,0.00087631104,0.0038619067,0.9655655,0.0028142838,0.016147418,0.0005664917
S0776,0.009017773,0.002067414,0.81170875,0.14717242,0.00087631104,0.014945126,0.040443707,0.016801968,0.0028932227,0.0005354602
S0777,0.0067484565,0.0032010863,0.899291,0.008741714,0.00087631104,0.0032479265,0.020031916,0.029185196,0.0035426482,0.0031027808
S0778,0.77635026,0.6083486,0.002627186,0.92537934,0.00087631104,0.3579122,0.13003196,0.46370772,0.22607756,0.0005354602
S0779,0.08247913,0.00799103,0.16815118,0.042245783,0.008205688,0.13899653,0.0035374607,0.005405072,0.6157657,0.1017147
S0780,0.44214982,0.003364311,0.006330658,0.007562701,0.00087631104,0.99678695,0.6032611,0.0014155789,0.014062921,0.0005882123
S0781,0.015475551,0.007866235,0.0012759039,0.0032628234,0.00087631104,0.0023655286,0.0063332864,0.01494771,0.012211387,0.00083901366
S0782,0.061894603,0.00833788,0.0013037582,0.008715404,0.08332464,0.057505116,0.15157036,0.10046575,0.008777807,0.009605065
S0783,0.039298464,0.0037562344,0.0057785367,0.0246955,0.00087631104,0.65013635,0.07893141,0.0015316454,0.42006654,0.002092013
S0784,0.38682202,0.00683004,0.0017241957,0.0026231208,0.00087631104,0.004246389,0.014440889,0.263141,0.0034240638,0.0013416051
S0785,0.11420916,0.006241543,0.0014320714,0.013656341,0.00087631104,0.0014092723,0.0049053263,0.019905439,0.22451109,0.7173202
S0786,0.0013264581,0.001226899,0.0155246155,0.80342984,0.00087631104,0.9736388,0.9682769,0.0013028131,0.0012731932,0.0005225447
S0787,0.0058519687,0.0021595694,0.08047221,0.72479296,0.0034820968,0.28442368,0.98686427,0.004418024,0.0019641332,0.0011942465
S0788,0.9815192,0.92229724,0.0022262903,0.8703805,0.00087631104,0.18789464,0.92715424,0.9843286,0.89919645,0.014935309
S0789,0.0069156596,0.07701305,0.003648177,0.024220264,0.00087631104,0.03503469,0.25939444,0.5550524,0.02802755,0.0008150635
S0790,0.0027104614,0.007489685,0.007852493,0.0070107696,0.00087631104,0.002879465,0.99794096,0.0019650562,0.0020850196,0.0005359741
S0791,0.0013008701,0.0018838968,0.18304065,0.6002901,0.0093517285,0.4770316,0.9920169,0.0019068307,0.0016980739,0.0014058395
S0792,0.007620388,0.01082967,0.37596226,0.02156429,0.00087631104,0.003452091,0.013665078,0.0049096225,0.0038958923,0.0005209414
S0793,0.0039916052,0.14359589,0.00966263,0.032246202,0.89009416,0.03372927,0.10080505,0.0023478153,0.026965583,0.016599474
S0794,0.0066668154,0.0031415322,0.003263411,0.7826355,0.00087631104,0.0013015412,0.009052235,0.37505695,0.0044034687,0.0015427199
S0795,0.02377253,0.0013929376,0.002125218,0.0017490892,0.00087631104,0.005269261,0.97619754,0.007999808,0.0017539848,0.0022371812
S0796,0.0027591425,0.0010643044,0.23960526,0.010139793,0.00087631104,0.051730648,0.87744194,0.00140304,0.012987393,0.0008828843
S0797,0.1188698,0.0037573588,0.011573352,0.013717042,0.00087631104,0.005715137,0.0049121464,0.013889493,0.97692263,0.0025666396
S0798,0.009034582,0.27842265,0.0016667687,0.008687304,0.9745147,0.004879046,0.010603869,0.009607116,0.004443656,0.002361674
S0799,0.004810257,0.003010003,0.03976984,0.23471066,0.00092972146,0.003296703,0.012031478,0.045725256,0.033515472,0.0025025548
S0800,0.0015955544,0.0010944615,0.011712826,0.029765623,0.00087631104,0.98299605,0.11509764,0.0011712856,0.001352195,0.00062766706
S0801,0.010707654,0.0013480509,0.04328754,0.737945,0.00087631104,0.7424623,0.991273,0.0018070043,0.0014586471,0.000871756
S0802,0.0022604957,0.0031435234,0.0033211347,0.070588246,0.00097118516,0.0014095951,0.0071750237,0.77522355,0.0046429588,0.0023623977
S0803,0.0064252038,0.0010581389,0.088190466,0.00497288,0.00087631104,0.003515555,0.9691784,0.0019320365,0.0041897614,0.0011064011
S0804,0.011087547,0.0039345515,0.02861631,0.02764415,0.00087631104,0.0041382536,0.013937932,0.009429348,0.14586996,0.0005950999
S0805,0.032907356,0.0019918357,0.024450736,0.05077821,0.00087631104,0.85024905,0.3293684,0.004743617,0.4549276,0.78786755
S0806,0.0011501237,0.0033561413,0.7262769,0.24492304,0.00087631104,0.6248234,0.33837843,0.002137846,0.0052225827,0.0005823547
S0807,0.0020325358,0.001429467,0.7919666,0.0039380398,0.00087631104,0.0013719179,0.95450544,0.0011241678,0.008433644,0.0017803886
S0808,0.00717885,0.00503863,0.01804246,0.004749636,0.0009371235,0.008311148,0.011583083,0.003827955,0.9932075,0.014314387
S0809,0.0016557943,0.0100808125,0.009515284,0.024366535,0.00097118516,0.010986632,0.03735913,0.008502708,0.016278714,0.00152266
S0810,0.0014461777,0.014470037,0.0018736058,0.009106508,0.97951084,0.0015041234,0.0035513125,0.004034506,0.0019641388,0.0016846105
S0811,0.008001015,0.0032582206,0.0059403847,0.19964649,0.00087631104,0.99793905,0.7187109,0.0054270383,0.005674924,0.0016956781
S0812,0.0019134252,0.96533924,0.0020940686,0.009981237,0.0026720262,0.0051853526,0.0059809987,0.007997012,0.0035310406,0.0013948287
S0813,0.0025424373,0.0051620957,0.0023639041,0.0043281494,0.97821224,0.0075383065,0.004858842,0.0023258463,0.007344582,0.0011535959
S0814,0.014270252,0.0034369635,0.23147644,0.007641458,0.00087631104,0.0046149576,0.009613424,0.035506874,0.10000853,0.0006606203
S0815,0.005288508,0.002232916,0.103825584,0.3180091,0.0034820968,0.5016296,0.9938465,0.0036359332,0.0021679644,0.0009194551
S0816,0.0982502,0.002228376,0.0026520162,0.0046311445,0.00087631104,0.002161823,0.015620073,0.02288774,0.013664456,0.00066520507
S0817,0.008725025,0.003179747,0.0017498252,0.0042279423,0.00087631104,0.003735468,0.03354895,0.021928057,0.0056501324,0.0005897316
S0818,0.009966919,0.029785777,0.002000061,0.6188946,0.00087631104,0.013776972,0.015596081,0.015328995,0.98693186,0.009426823
S0819,0.010641842,0.00388211,0.64107585,0.98510355,0.00087631104,0.7312505,0.9915803,0.0031419937,0.0059865243,0.0011328646
S0820,0.0023921155,0.001408303,0.01086711,0.0021724396,0.00087631104,0.004776337,0.9957832,0.00082526694,0.004787257,0.00086649356
S0821,0.0033260346,0.00094282575,0.97510374,0.78133374,0.00087631104,0.41475683,0.8759337,0.00089243357,0.006423463,0.0008376652
S0822,0.04152351,0.0014467122,0.0022220407,0.0026436322,0.0012485826,0.022618793,0.69685566,0.0043058493,0.004466609,0.004306418
S0823,0.0020247232,0.0013569477,0.00665078,0.010088115,0.00087631104,0.0035790387,0.002913958,0.0033628275,0.99617994,0.0005964371
S0824,0.0026524565,0.0010458073,0.0045388774,0.75231546,0.00087631104,0.9823874,0.06477741,0.0013713202,0.0013225644,0.0010384613
S0825,0.0011507472,0.001756646,0.8699475,0.0063907458,0.00087631104,0.0101036215,0.75141555,0.0030496786,0.01527792,0.0005012225
S0826,0.003718812,0.05241973,0.002890173,0.0025621487,0.82947505,0.0025379525,0.013647692,0.0039732717,0.0060209217,0.0023283206
S0827,0.0010936414,0.0011345132,0.089911684,0.025570378,0.00087631104,0.97343636,0.06893323,0.00094600115,0.0057634097,0.00070799206
S0828,0.0011770873,0.00072147686,0.83198833,0.36763567,0.00087631104,0.008187941,0.018482056,0.0012905347,0.020444816,0.000826108
S0829,0.0014071822,0.0014160406,0.0045310226,0.0055748424,0.0015765461,0.0038583425,0.0032019946,0.0022751659,0.97354424,0.0005287618
S0830,0.0017964467,0.0059376205,0.27567747,0.11015827,0.00087631104,0.3390181,0.9787515,0.0012057705,0.0017776543,0.0013710211
S0831,0.13101499,0.009456609,0.0054340437,0.015779229,0.00092972146,0.042618357,0.1982048,0.04139489,0.67651415,0.0005409095
S0832,0.008887512,0.22132905,0.0014180742,0.010997341,0.9745147,0.0034178898,0.038683385,0.00941395,0.006168372,0.002361674
S0833,0.0048924186,0.0043390766,0.01059167,0.0032124203,0.00087631104,0.95523506,0.006990321,0.003939323,0.0049381824,0.0016794075
S0834,0.007672991,0.003913898,0.02247943,0.056585845,0.00087631104,0.038349196,0.046924125,0.02005667,0.92413765,0.013755809
S0835,0.02842482,0.0080804955,0.0020112484,0.012030549,0.00092972146,0.005502971,0.010804186,0.9136459,0.0018592566,0.0012297151
S0836,0.0024542476,0.0012518431,0.039648272,0.017232608,0.00087631104,0.0011310293,0.0026755764,0.0016370004,0.98265797,0.0010551356
S0837,0.0028893433,0.008984384,0.38542956,0.04806167,0.00087631104,0.0058018444,0.015623454,0.005715684,0.4167573,0.003056737
S0838,0.02520188,0.0032204066,0.0013960738,0.0015834816,0.00087631104,0.008310511,0.96200085,0.022449711,0.0014379047,0.00066380017
S0839,0.0034011237,0.0017283487,0.010520768,0.13074589,0.00087631104,0.0030179538,0.018888235,0.10634674,0.0066696987,0.015218879
S0840,0.016612766,0.058977377,0.0018103067,0.006760523,0.0009371235,0.008497451,0.8530823,0.009444936,0.014738823,0.0013036496
S0841,0.0038903465,0.0012859752,0.0018581022,0.003063344,0.00087631104,0.0042062304,0.0028284313,0.025112566,0.023054399,0.0007106362
S0842,0.042262744,0.017874185,0.007019698,0.048950385,0.0012485826,0.001538788,0.08781516,0.10883867,0.24523836,0.9379759
S0843,0.012151525,0.002465437,0.0024078852,0.0013007703,0.00087631104,0.0026132453,0.85980093,0.20151046,0.0035909843,0.0007456221
S0844,0.008524846,0.004433593,0.0026446923,0.02920573,0.00087631104,0.034702856,0.020239947,0.49274644,0.0037308305,0.0018544772
S0845,0.9741353,0.9403535,0.0030650513,0.96633774,0.0009371235,0.9258787,0.9957325,0.9300378,0.74538654,0.002916672
S0846,0.009927787,0.002047976,0.0008243289,0.002079004,0.00087631104,0.0035958244,0.004550505,0.030958528,0.003310128,0.0005897316
S0847,0.008785896,0.0476067,0.010506709,0.9329385,0.001070072,0.003513685,0.059869226,0.010521965,0.010636536,0.001514126
S0848,0.021160427,0.0010501887,0.0023487292,0.002835072,0.00087631104,0.012775121,0.99221873,0.0031429152,0.00621365,0.0021911822
S0849,0.007264514,0.007600721,0.035250343,0.055878058,0.00087631104,0.0035331335,0.066049896,0.007204046,0.7359565,0.007958011
S0850,0.0033368436,0.009211676,0.13319144,0.0039671473,0.006751337,0.0064321575,0.1670411,0.013446675,0.37530833,0.0022248598
S0851,0.44420016,0.352457,0.0018514629,0.013020264,0.0010616209,0.016035654,0.020910133,0.7894405,0.05397025,0.001770566
S0852,0.0034816302,0.005794104,0.0056881555,0.021668175,0.00097118516,0.9938334,0.04553244,0.0073388102,0.03152032,0.0006636262
S0853,0.0049825935,0.003380636,0.02800395,0.029382592,0.00087631104,0.07765754,0.050583296,0.1628848,0.037926547,0.0016538847
S0854,0.008790224,0.0014246628,0.014698503,0.02839421,0.00087631104,0.011748347,0.23252219,0.012276542,0.039272223,0.00056482275
S0855,0.001668663,0.0015174175,0.47623235,0.68450814,0.00087631104,0.18145095,0.9868155,0.0012408114,0.002075732,0.0008991555
S0856,0.002002023,0.0022906947,0.008861667,0.0076080333,0.00087631104,0.0014542761,0.011327667,0.004119173,0.9197211,0.0017295369
S0857,0.006333701,0.004636986,0.0024325578,0.64144886,0.00087631104,0.0013323271,0.31635562,0.041266028,0.0024970176,0.0031947254
S0858,0.009706909,0.006398848,0.0021273172,0.17613438,0.00087631104,0.0014014295,0.056503505,0.0101789925,0.0041897236,0.04969732
S0859,0.115736715,0.025746053,0.0026172018,0.00856816,0.0009371235,0.115830295,0.4628466,0.029449068,0.20292021,0.9652916
S0860,0.05649612,0.0043490706,0.1389204,0.067960486,0.008205688,0.018972445,0.0055562104,0.0022495696,0.2316455,0.2072881
S0861,0.0015113465,0.002299376,0.33901334,0.28456804,0.00087631104,0.503438,0.7542249,0.0012087972,0.0018314648,0.0005475054
S0862,0.001281206,0.0011655987,0.76000386,0.28621042,0.00087631104,0.22753482,0.39016703,0.0009760346,0.010635895,0.0030723875
S0863,0.011757503,0.04844896,0.011372951,0.021499071,0.00087631104,0.0016773487,0.9194473,0.006142169,0.0127872145,0.0017359853
S0864,0.001989755,0.4126271,0.0012900967,0.039884977,0.007376038,0.004957642,0.005024808,0.004414871,0.5841857,0.64814276
S0865,0.0017966408,0.0010750112,0.007898909,0.024451833,0.00087631104,0.9874576,0.051469624,0.0018587905,0.0024991848,0.0005231353
