sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.0027898652,0.0014553485,0.004374461,0.0020688854,0.00066242495,0.002030703,0.004424169,0.048952274,0.0015150013,0.001419954
S0767,0.004997858,0.004483304,0.0009845776,0.004175741,0.00066242495,0.0049451953,0.010777062,0.040059093,0.008232297,0.00058714976
S0768,0.97943234,0.032227322,0.0005494326,0.024374135,0.0007589586,0.008113288,0.9430943,0.97926897,0.016173573,0.0008978055
S0769,0.0021822003,0.002370997,0.0069586174,0.009829935,0.00066242495,0.9925444,0.010088991,0.0011404282,0.9817223,0.0007692032
S0770,0.0037546128,0.0031129422,0.013486794,0.9577433,0.00075174356,0.9958022,0.9881583,0.0014730484,0.0007884529,0.0009974883
S0771,0.009078712,0.0014512637,0.0020711864,0.006197347,0.00066242495,0.0059020673,0.013303605,0.010914434,0.009713269,0.0005631958
S0772,0.006250896,0.0017854781,0.013477699,0.0102590695,0.00066242495,0.0068316017,0.98735344,0.0027552801,0.0032383082,0.0011912006
S0773,0.0019576373,0.009705598,0.009562944,0.039790925,0.00066242495,0.049877945,0.0073964857,0.013488463,0.0051403693,0.0022888363
S0774,0.94751894,0.001509494,0.001966421,0.0042119967,0.00066242495,0.0019650562,0.017073318,0.025164625,0.0011622544,0.00060841104
S0775,0.016143328,0.0028423704,0.0037720164,0.025484432,0.00066242495,0.0031168999,0.9860051,0.0040871575,0.010676141,0.0007420541
S0776,0.009531066,0.002332943,0.9687178,0.009754704,0.00066242495,0.006017789,0.013814645,0.0032009205,0.0036048105,0.0010706808
S0777,0.0037637309,0.0022550067,0.96785694,0.0029516544,0.0008486486,0.0023008578,0.007497157,0.0063545317,0.0019680855,0.0021172725
S0778,0.9746207,0.9808852,0.0022950384,0.98691535,0.00066242495,0.99029946,0.96461004,0.9814432,0.9841053,0.00062650134
S0779,0.010099279,0.0029267096,0.009430167,0.020844623,0.005016871,0.009313435,0.003134179,0.0011456563,0.98353416,0.015695773
S0780,0.008946152,0.0013267101,0.009496894,0.007111069,0.00066242495,0.9974874,0.955945,0.0012793319,0.009440083,0.00058159727
S0781,0.0029091656,0.0024922893,0.0015612423,0.0027628345,0.00066242495,0.0011390527,0.0031845248,0.0050836583,0.0066239997,0.00087498775
S0782,0.9307013,0.0056422804,0.0015634908,0.003775557,0.00708599,0.012824939,0.01765254,0.027240435,0.003893461,0.006113598
S0783,0.010158284,0.0007730467,0.0025742769,0.012944985,0.00066242495,0.97040707,0.03573706,0.0057416437,0.95266753,0.0016770628
S0784,0.038121887,0.0037620845,0.0013008342,0.002009903,0.00066242495,0.0019475968,0.005071611,0.9549625,0.0019168119,0.0016417939
S0785,0.95147264,0.0018128306,0.0016615338,0.9343332,0.00066242495,0.002675589,0.9027207,0.91531926,0.94458956,0.97513527
S0786,0.00085862074,0.0010422519,0.005509778,0.9891924,0.00066242495,0.9893897,0.9892358,0.00094746926,0.001156121,0.000523903
S0787,0.0062297033,0.0021525288,0.93073606,0.0392459,0.0014576355,0.02910166,0.9967057,0.0023890394,0.0013792982,0.0008275341
S0788,0.9924637,0.98831135,0.0008131186,0.9821907,0.00066242495,0.9780936,0.9891468,0.99333936,0.99063885,0.005708965
S0789,0.007266182,0.006256114,0.0022874954,0.010449981,0.00066242495,0.01561352,0.030119093,0.9649355,0.0042856294,0.0034259423
