sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.0022771952,0.0023327388,0.024080426,0.0024139625,0.00087894476,0.0035648711,0.0049078222,0.5231003,0.0015538195,0.0012585651
S0767,0.027013356,0.018708823,0.0017445543,0.012847803,0.00087894476,0.0055957222,0.030488838,0.10866016,0.0030748378,0.0007111724
S0768,0.7672849,0.39011592,0.00094669906,0.006545547,0.001552391,0.009571863,0.069844306,0.6848087,0.0140058575,0.0011951779
S0769,0.09254578,0.0012961365,0.07562738,0.022685565,0.00087894476,0.9848817,0.030646805,0.0022402362,0.63056964,0.0017879937
S0770,0.0021266898,0.0026049018,0.004258914,0.5522204,0.00087894476,0.9960861,0.935012,0.001979895,0.002665983,0.00054787105
S0771,0.010670763,0.003176647,0.0027938506,0.0069455346,0.00087894476,0.0194332,0.0073120375,0.09687729,0.013745371,0.00071779406
S0772,0.00951977,0.0026879983,0.010257806,0.0489181,0.00087894476,0.24807775,0.9781163,0.0036346172,0.001854442,0.0007282971
S0773,0.001960884,0.030008027,0.01734212,0.12216094,0.00087894476,0.05263876,0.010972428,0.060153283,0.004596834,0.0018907837
S0774,0.06202124,0.0016332926,0.0020947102,0.0027450323,0.00087894476,0.0023072513,0.04879201,0.22633347,0.0017437139,0.0006771139
S0775,0.03400186,0.0055851294,0.0049254103,0.018207839,0.00087894476,0.005561759,0.95684135,0.02525159,0.005978091,0.00051325717
S0776,0.026377376,0.0025597347,0.6677032,0.11938651,0.0011907729,0.044223666,0.08855616,0.016961854,0.0035129352,0.0005413536
S0777,0.014251569,0.003922587,0.91811085,0.0071545024,0.00087894476,0.0026149,0.010463526,0.041480366,0.003091646,0.0032800292
S0778,0.7719747,0.60920525,0.004263843,0.700018,0.00087894476,0.31414708,0.090537034,0.5160483,0.49585453,0.00066547876
S0779,0.04477056,0.0029948943,0.42013165,0.05209865,0.0082154805,0.06685366,0.003674495,0.007097362,0.43125674,0.16119361
S0780,0.28432631,0.0024687825,0.009918206,0.010643203,0.0011907729,0.9971463,0.8427132,0.0013224059,0.013908198,0.00058381463
S0781,0.0056017083,0.008179883,0.0020802943,0.0027868433,0.00087894476,0.0023523767,0.010415527,0.012378677,0.010313468,0.00091044034
S0782,0.07274104,0.0103848195,0.0014864214,0.0031232447,0.07480556,0.035134442,0.10077504,0.038096283,0.0073802317,0.015814168
S0783,0.0054733483,0.0027008809,0.0070150103,0.040177904,0.00087894476,0.85749465,0.16703291,0.001176766,0.2683203,0.0015108667
S0784,0.3038078,0.013491877,0.0017192208,0.003869345,0.00087894476,0.0032647033,0.020086223,0.19083646,0.0037027805,0.0012092844
S0785,0.052974645,0.005865566,0.0017856769,0.0154704945,0.00087894476,0.0016090209,0.0035608674,0.015190454,0.22292332,0.56063277
S0786,0.0009234247,0.0011015974,0.008369864,0.6213816,0.00087894476,0.9720053,0.98938495,0.001711784,0.0017104131,0.0005065683
