sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.0027506184,0.002004556,0.005170095,0.0017769075,0.00065917,0.0025492846,0.006747373,0.045934275,0.0019707896,0.0012835193
S0767,0.0068519176,0.0049861954,0.000912959,0.0036434154,0.00065917,0.0034382655,0.013908316,0.049198817,0.007197058,0.0006278157
S0768,0.9815965,0.04410411,0.00061604026,0.025591258,0.0008751891,0.008896122,0.9386415,0.9757983,0.012760985,0.0009987868
S0769,0.004393127,0.001149369,0.0072665913,0.0052788495,0.00065917,0.9942264,0.014336027,0.0013276315,0.97149426,0.0006912256
S0770,0.0028155714,0.0031742668,0.015618982,0.9586745,0.0007475306,0.99336064,0.9800131,0.0012949919,0.0012113273,0.0010296896
S0771,0.0033018398,0.0016694758,0.0039607086,0.008879073,0.00065917,0.0066838064,0.009476117,0.00994088,0.010661385,0.000667379
S0772,0.004838159,0.0012878426,0.0053080693,0.008368815,0.00065917,0.0063137636,0.98698735,0.0031283856,0.0010538528,0.0007125974
S0773,0.0011976326,0.01617789,0.008126765,0.03667853,0.00065917,0.0572206,0.0077057434,0.014054625,0.003808447,0.0023027787
S0774,0.96829826,0.0014841316,0.001609991,0.0034480875,0.00065917,0.0018752543,0.022789873,0.02164559,0.0014589152,0.0007845912
S0775,0.024592513,0.002513782,0.003667648,0.02883122,0.00065917,0.0030244412,0.984272,0.0042206333,0.006461123,0.0007688727
S0776,0.008295967,0.002464255,0.9717794,0.0076888665,0.0007210153,0.0045488356,0.011276813,0.0038351642,0.0032881123,0.0009711985
S0777,0.0052800262,0.0027781243,0.9765181,0.0023919926,0.000778511,0.0029832243,0.008054251,0.01095828,0.003430295,0.0024112563
S0778,0.9771764,0.9786572,0.0018494786,0.9844007,0.00065917,0.98728997,0.976917,0.9732046,0.98738134,0.00070900656
S0779,0.0049872813,0.003438638,0.013536038,0.019877825,0.0040324414,0.008197553,0.0030737328,0.0008944332,0.98630446,0.017207632
S0780,0.010494369,0.001570689,0.0054511745,0.0023176982,0.00085635664,0.9984268,0.9703856,0.0013253588,0.013073744,0.000721918
S0781,0.009047672,0.0020941342,0.0020628308,0.004160663,0.00065917,0.0008550329,0.0038026422,0.004380359,0.006909679,0.000716302
S0782,0.92338514,0.0044390135,0.0025972938,0.0042691543,0.0071062725,0.0111880815,0.024759611,0.01770306,0.0023763764,0.009080119
S0783,0.0043513635,0.0009319271,0.0036201146,0.015657356,0.00065917,0.96415615,0.021167822,0.0033408168,0.96928096,0.0010826086
S0784,0.03568879,0.0048585515,0.00096587825,0.0015950424,0.00065917,0.0017410963,0.005595701,0.9509888,0.003646053,0.0017664235
S0785,0.9415404,0.0018617105,0.0014204307,0.92743194,0.00065917,0.0023706588,0.9093332,0.9280331,0.9497868,0.9695951
S0786,0.0011146086,0.0008923676,0.004796478,0.9818387,0.00065917,0.9901856,0.9910609,0.00134759,0.0012567724,0.00047281003
S0787,0.003171926,0.0025635604,0.94240904,0.034726392,0.0013608341,0.02612122,0.9966884,0.002364508,0.0013346284,0.00060044683
S0788,0.9893134,0.9839623,0.0020236974,0.98872644,0.00065917,0.98203075,0.9929045,0.9890394,0.9935928,0.0039025333
S0789,0.0077257464,0.004935018,0.0034200817,0.0078864945,0.00065917,0.013717577,0.023845116,0.96663326,0.0068410365,0.0023430889
S0790,0.003941592,0.002543463,0.0030925132,0.0025736194,0.00065917,0.006041921,0.9981079,0.0016127465,0.0021224774,0.00052366935
S0791,0.0010014456,0.0024793316,0.026563574,0.9628943,0.0030485291,0.9272252,0.99699867,0.0015948041,0.00085718854,0.00060044683
S0792,0.005719829,0.0037848228,0.9639244,0.01117381,0.00065917,0.0033998,0.009973508,0.0035487737,0.003049899,0.00047447352
S0793,0.005688598,0.013586003,0.0018244045,0.0071829595,0.024810186,0.009857184,0.00754074,0.0045254836,0.0065031387,0.0048666573
S0794,0.0038796715,0.0026630242,0.0017950399,0.9773487,0.00092844636,0.0010828376,0.0047480767,0.026402084,0.0024960379,0.0019743538
S0795,0.0037036124,0.0012234936,0.001259939,0.0016956708,0.00070927653,0.0027519125,0.9903032,0.0033598836,0.0022000994,0.0011091173
S0796,0.0010064911,0.000641813,0.029000524,0.0016569596,0.00070927653,0.009065916,0.9931102,0.0017821996,0.00420406,0.001176576
S0797,0.0050334455,0.0021917026,0.005345243,0.0064188237,0.00070927653,0.002648034,0.0054243677,0.002218563,0.989127,0.0025101176
S0798,0.0028778785,0.01650649,0.0010776207,0.0046140268,0.9873789,0.0039639003,0.0024783786,0.0027571975,0.0027039393,0.0018549389
S0799,0.00366643,0.0033240342,0.01430284,0.0048796553,0.000778511,0.0014885538,0.006781737,0.013567502,0.0032869799,0.0018127814
S0800,0.0011990299,0.0005889185,0.006872934,0.9635322,0.00070927653,0.99572635,0.025826922,0.0011453081,0.002610099,0.00065714115
S0801,0.003218442,0.0017668767,0.97028595,0.9879531,0.0010639441,0.025869412,0.9956489,0.001572612,0.000867175,0.00062573573
S0802,0.0012586544,0.0016690213,0.0019273004,0.028761113,0.00092844636,0.0014153374,0.004200049,0.9392507,0.002251452,0.0016511055
S0803,0.0018977653,0.00094658224,0.94470286,0.0031076947,0.0007475306,0.0025256504,0.9942743,0.0010802787,0.0075244065,0.001067767
S0804,0.0046749883,0.001815015,0.0052516498,0.0165716,0.00065917,0.004256927,0.003769285,0.009141673,0.9585979,0.000661554
S0805,0.009039609,0.0016810113,0.00938914,0.019236494,0.00065917,0.9836843,0.03773984,0.0038946413,0.023673939,0.018225873
S0806,0.0014345584,0.0018082219,0.9743472,0.02149056,0.00065917,0.03438432,0.9548551,0.0018747797,0.0021714298,0.00055409054
S0807,0.0018386628,0.0013499433,0.98237604,0.003985371,0.00080434844,0.0014306137,0.98598063,0.0007513583,0.0055887164,0.0027980662
S0808,0.0030916976,0.0034191438,0.014475084,0.0043988116,0.00087980274,0.0055246963,0.008315782,0.003807557,0.99591017,0.0049045794
S0809,0.0014186422,0.002936934,0.0051498124,0.015970081,0.00092844636,0.002869035,0.016741743,0.006145421,0.0083494475,0.00095415703
S0810,0.0011645522,0.00288659,0.0020837034,0.0036328044,0.98669016,0.0011634412,0.004627082,0.0011098128,0.0014535278,0.00075898354
S0811,0.00346758,0.0017509192,0.0019042098,0.015405149,0.00065917,0.997271,0.9792468,0.0014236458,0.0024352577,0.0008777254
S0812,0.0024147527,0.99121183,0.0024955026,0.0042586955,0.0012421263,0.001764982,0.008929869,0.0014101309,0.0019145465,0.0016389389
S0813,0.0013958805,0.003465842,0.0016896582,0.0020950432,0.98669016,0.0024778636,0.002613479,0.0014601293,0.0017848518,0.0012746055
S0814,0.023683986,0.002042897,0.9812657,0.004302255,0.0008731335,0.0019705617,0.007101386,0.0029234705,0.010813046,0.0007033666
S0815,0.0015221904,0.0029653993,0.02411516,0.034475826,0.0013608341,0.96095914,0.99586785,0.0013440568,0.0015179153,0.0005983753
S0816,0.014372314,0.0024976507,0.003033216,0.011766703,0.00065917,0.001379243,0.011296837,0.01616723,0.0076342253,0.0006515793
S0817,0.0039457534,0.002732605,0.0011709974,0.0023407326,0.00065917,0.0016256217,0.0036534045,0.0067654974,0.0034998097,0.0006055087
S0818,0.0074904826,0.008260364,0.0012508306,0.9726116,0.00070927653,0.0106638195,0.0060084383,0.005000526,0.9945846,0.007884469
S0819,0.0034992292,0.0016119053,0.976909,0.99172336,0.00065917,0.032392185,0.9931845,0.003777112,0.0034941286,0.0028364896
S0820,0.0014257425,0.00238255,0.0058336877,0.0018629762,0.00065917,0.002781905,0.9964814,0.00088888704,0.0011745985,0.0007546207
S0821,0.0010734699,0.00081880426,0.97651917,0.9790069,0.00070927653,0.025510445,0.9815015,0.0010428006,0.003719593,0.0019107987
S0822,0.033535667,0.0012984761,0.0055222656,0.0021863552,0.00065917,0.0041583166,0.98192376,0.005073546,0.0031518196,0.004060805
S0823,0.0023509157,0.0012700647,0.006251853,0.0037915297,0.0007475306,0.0019892268,0.0042172116,0.0019127349,0.9966012,0.00093672005
S0824,0.0010459013,0.0006541375,0.003253464,0.95262617,0.00070927653,0.9965576,0.010636236,0.0027133941,0.0008078773,0.00054962846
S0825,0.0014615427,0.0019768688,0.98039335,0.004394491,0.00065917,0.0052805496,0.9735294,0.0015727446,0.00357407,0.00072138844
S0826,0.003055223,0.010451007,0.0013679562,0.0026779224,0.9379741,0.0015331885,0.0034604524,0.0016669965,0.0022497345,0.0016263896
S0827,0.0007731974,0.0007389625,0.93898433,0.018313622,0.00065917,0.06892519,0.0155955255,0.001062523,0.0020815183,0.0015159762
S0828,0.00079818483,0.0011066493,0.9785427,0.014962195,0.00065917,0.0031992337,0.007166666,0.0007554431,0.004048295,0.000989502
