sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.002699733,0.0033316475,0.0145087065,0.0032259922,0.0008575456,0.00624288,0.0061659026,0.6527481,0.004268512,0.0014120942
S0767,0.02734322,0.046434462,0.0013572915,0.0480627,0.0008575456,0.0027069103,0.0037290778,0.27351165,0.0075098528,0.0006750955
S0768,0.07411424,0.20631266,0.0010809716,0.0043331413,0.0020395692,0.0024545628,0.0594361,0.8730139,0.048433807,0.0012600926
S0769,0.0033818218,0.0011111589,0.050704148,0.007748282,0.0008575456,0.9958865,0.007398012,0.002088327,0.53123206,0.0019894256
S0770,0.0029406352,0.0011139686,0.0077329692,0.61770535,0.0010581465,0.9955214,0.9746727,0.0010697183,0.00613989,0.00071207195
S0771,0.043586005,0.00769245,0.0030590876,0.07494508,0.0008575456,0.10097007,0.006383226,0.13815361,0.0099043045,0.0005648957
S0772,0.022511672,0.0017555826,0.012070059,0.0076958877,0.0008575456,0.10400176,0.95356005,0.0045363144,0.0014979757,0.0008766622
S0773,0.0026016445,0.016533084,0.009261618,0.32697517,0.0008575456,0.2823089,0.019213175,0.004613304,0.0023290142,0.0014120942
S0774,0.20668864,0.002096284,0.0026886284,0.004638932,0.0008575456,0.002088487,0.062996954,0.07456532,0.002946447,0.00064772967
S0775,0.029054765,0.0015428,0.0055789333,0.005893465,0.0008575456,0.0013102501,0.9657823,0.0030088238,0.0022663136,0.00054440054
S0776,0.06898182,0.0039465856,0.69433844,0.017604414,0.0008575456,0.031220464,0.0575821,0.028025284,0.005755491,0.000551039
S0777,0.0047523864,0.008962567,0.59940445,0.016220424,0.0013216006,0.0056432784,0.116364874,0.032161973,0.015350942,0.004480019
S0778,0.6493064,0.84806645,0.0072097196,0.90807253,0.0008575456,0.8188635,0.3079861,0.80227566,0.7874789,0.00051437825
S0779,0.06506758,0.010026616,0.15975012,0.07335065,0.0019331079,0.1292271,0.0050146505,0.012302484,0.27046984,0.11072501
S0780,0.039792735,0.0014645974,0.0077661565,0.0068189213,0.0009762625,0.9981469,0.92554486,0.001713947,0.0056832493,0.0005943525
S0781,0.0019064612,0.0035275912,0.0024409473,0.0034025009,0.0008575456,0.0021291766,0.004299533,0.019917512,0.005470644,0.0008762426
S0782,0.058492124,0.021758065,0.012535857,0.0034065926,0.14705156,0.07020174,0.1047382,0.08341158,0.007847465,0.011530155
S0783,0.008742826,0.0009221661,0.0037664783,0.07760829,0.0008575456,0.980232,0.27450004,0.00094160304,0.073971115,0.000958028
S0784,0.11794016,0.0070480867,0.003026953,0.0026104716,0.0008575456,0.002716844,0.003983206,0.24281164,0.005930487,0.0018926293
S0785,0.06777483,0.004305183,0.0022652077,0.0076856837,0.0008575456,0.0053974106,0.015658466,0.04084872,0.11156658,0.60930175
S0786,0.0010744582,0.00089646556,0.007400383,0.6849693,0.0008575456,0.985338,0.99245363,0.001791356,0.00081414595,0.0005050123
S0787,0.0061583393,0.0016547958,0.23148686,0.11856171,0.0008575456,0.26791605,0.9715351,0.003308892,0.0024287112,0.0009506308
S0788,0.97746676,0.98509896,0.006836256,0.9911061,0.0008575456,0.90714103,0.98691213,0.9826132,0.97802883,0.007412498
S0789,0.005490654,0.0033123833,0.037322756,0.0075036995,0.0008575456,0.013617748,0.5621777,0.2087804,0.0059739924,0.0005783516
S0790,0.0014712029,0.005168643,0.0022789726,0.0077613075,0.0008575456,0.0058805556,0.9957319,0.0016901788,0.0011819054,0.0005050123
S0791,0.0016541068,0.0009165333,0.26998666,0.6854614,0.0020395692,0.44486353,0.99102587,0.0026073684,0.0010193489,0.00098676
S0792,0.019788885,0.00535862,0.7842208,0.052585863,0.0008575456,0.004503431,0.012877149,0.003473492,0.004537075,0.000490139
S0793,0.010571935,0.16437878,0.0042480286,0.00449406,0.9474811,0.027082214,0.016298456,0.003764573,0.022650978,0.011721285
S0794,0.006685178,0.008491797,0.0026730327,0.880666,0.0008575456,0.0021116422,0.022631194,0.3239518,0.0042728474,0.0015566236
S0795,0.0034115175,0.0020342197,0.002222235,0.0011832425,0.0008575456,0.0042762975,0.9766137,0.0035911088,0.0026363414,0.0011725572
S0796,0.0017499845,0.0012713216,0.19257902,0.0022380892,0.0009202707,0.009596142,0.7919946,0.0010999664,0.0022154145,0.0008414235
S0797,0.21981789,0.0020059776,0.013105257,0.06170365,0.0009762625,0.0064804917,0.00673599,0.0037629174,0.899264,0.0066333977
S0798,0.004815154,0.052361485,0.002548384,0.009510009,0.9779258,0.0031385082,0.008932584,0.0060540754,0.004852441,0.0028471032
S0799,0.006684614,0.0066296817,0.2707512,0.19287197,0.0013216006,0.003945345,0.058072817,0.07506928,0.011198901,0.0032107471
S0800,0.0020776126,0.000905711,0.0045591877,0.44564986,0.0009202707,0.99764496,0.029650254,0.00072682026,0.0038331153,0.0007130519
S0801,0.015720198,0.0021780718,0.27300578,0.974664,0.0009202707,0.07465497,0.99304354,0.002088168,0.005094834,0.0006476837
S0802,0.0038426607,0.004458866,0.0023392276,0.070991136,0.0008575456,0.002719476,0.0137437945,0.7786419,0.0024772943,0.0017496211
S0803,0.01988761,0.0020318204,0.024354437,0.004716784,0.0008575456,0.0018502111,0.91034746,0.0010507436,0.0013628821,0.0013239596
S0804,0.003552175,0.008615507,0.07236034,0.16588806,0.0009202707,0.0064680967,0.015171754,0.020329405,0.10678793,0.00064381293
S0805,0.0055635604,0.00321768,0.0045278966,0.091147,0.0008575456,0.97966367,0.6519102,0.0037789159,0.07854314,0.53239584
S0806,0.0008479208,0.002766092,0.11420818,0.2062083,0.0009097245,0.33437866,0.46821132,0.0016153636,0.0058999327,0.00059614755
S0807,0.0031859467,0.0008398683,0.8067614,0.003907547,0.0009762625,0.0013910937,0.9841791,0.00068900257,0.016785175,0.0019710944
S0808,0.005984512,0.005342536,0.031639345,0.003844516,0.0009762625,0.03526903,0.006890157,0.003972753,0.9897877,0.04148046
S0809,0.0018470242,0.009895905,0.014374841,0.013631281,0.0008575456,0.021904394,0.019383097,0.011334778,0.02623944,0.0008232657
S0810,0.0013648402,0.006379797,0.0017489474,0.009244478,0.97976696,0.0011978392,0.0042444943,0.0031838848,0.0015237095,0.0015901385
S0811,0.007215387,0.0020792868,0.0031893845,0.09662685,0.0009762625,0.99849844,0.8068015,0.0038007188,0.003260921,0.0014912211
S0812,0.0015103611,0.99302715,0.0015941763,0.005021941,0.0013709657,0.004270225,0.0053550736,0.003896401,0.004217452,0.0024369366
S0813,0.002577864,0.005212433,0.0016241528,0.0065458072,0.97976696,0.002589879,0.003456561,0.0013920439,0.002196882,0.0012974747
S0814,0.022481676,0.0019636492,0.14363208,0.007783666,0.0009860331,0.0043572593,0.009431366,0.0076622805,0.41668394,0.0006362931
S0815,0.007870613,0.0014818778,0.056844905,0.19137935,0.0008575456,0.13318978,0.9923288,0.0014549535,0.0053172796,0.0008086683
S0816,0.036940776,0.0080086365,0.001886611,0.007934397,0.0008575456,0.0037376143,0.045458443,0.028448762,0.010323718,0.0007407216
S0817,0.0033591844,0.0018356433,0.0021044142,0.0034519876,0.0008575456,0.0018458755,0.007278217,0.016514694,0.0030144749,0.0007478537
S0818,0.006477287,0.061254095,0.0037820283,0.8263497,0.0009762625,0.018481176,0.048375152,0.01709296,0.98441213,0.013891858
