sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.0017681748,0.0020378646,0.004473682,0.002679144,0.00060452096,0.0039309612,0.004392378,0.06641384,0.00253226,0.0016655782
S0767,0.0062670126,0.0036817435,0.0011840691,0.0026200586,0.0005706493,0.0018612596,0.004206402,0.03515636,0.0038814077,0.0006884266
S0768,0.9544385,0.0267802,0.000841776,0.016389076,0.00127089,0.0024838736,0.93260777,0.9795467,0.015847087,0.0011863959
S0769,0.0049556782,0.0015881578,0.010180223,0.00962839,0.0005706493,0.997063,0.004484449,0.0015028749,0.9650805,0.0011811947
S0770,0.0011941446,0.0013524508,0.0064984486,0.9568264,0.00068877835,0.99437296,0.9906867,0.0022562451,0.0013080736,0.0010863288
S0771,0.021858959,0.0041310717,0.0019687074,0.025291156,0.0008433384,0.022386765,0.016491886,0.03505928,0.007359427,0.00077416725
S0772,0.0062570926,0.0018093807,0.008810026,0.0054892534,0.0005706493,0.0036143558,0.9854553,0.0023322362,0.0024758033,0.0007174528
S0773,0.0019521324,0.0046290085,0.0031528897,0.07149157,0.0009104572,0.055097017,0.01351655,0.011345566,0.0068408838,0.0024838087
S0774,0.9618914,0.0017732658,0.0035076293,0.0014603566,0.0005706493,0.0031488324,0.010492556,0.010653029,0.0022326133,0.00057870976
S0775,0.016554488,0.0018912165,0.007598222,0.008581874,0.0005706493,0.0018627457,0.98930454,0.00309848,0.003087045,0.00045846056
S0776,0.0069893077,0.0038182666,0.97271097,0.007246911,0.0005706493,0.0095782075,0.010926387,0.003932194,0.009148431,0.00082384597
S0777,0.0028852497,0.0045277355,0.96747243,0.0059121223,0.0012765445,0.004371309,0.013401073,0.009762183,0.0029734164,0.003918358
S0778,0.9895404,0.97860646,0.002695426,0.9931259,0.0005706493,0.9847333,0.9770497,0.98344064,0.9821976,0.000601955
S0779,0.0067953747,0.0032043594,0.013378296,0.019433115,0.0012203936,0.013368482,0.003129464,0.0044242577,0.983743,0.02741006
S0780,0.006578921,0.0011709237,0.0115107475,0.0047313794,0.0005706493,0.99878067,0.979039,0.0011948785,0.0028613803,0.0004842939
S0781,0.0023359347,0.003595594,0.002524769,0.002381283,0.0005706493,0.0010282628,0.0029336822,0.004534308,0.00457629,0.00082002865
S0782,0.95586944,0.007518426,0.0015421662,0.0050733006,0.0059003667,0.012213695,0.03259427,0.02131357,0.0065106233,0.0092649795
S0783,0.0032378312,0.0011264436,0.0032772988,0.038386624,0.0005706493,0.9925107,0.030890776,0.0025344482,0.902894,0.001009659
S0784,0.038330615,0.006666288,0.0013919875,0.0024003226,0.0005706493,0.0017354541,0.0030092245,0.9376256,0.0024541332,0.0021384535
S0785,0.93076295,0.0035364523,0.0038873337,0.8940356,0.0005706493,0.009900251,0.9161625,0.93383145,0.949112,0.9838268
S0786,0.0008722516,0.00094160886,0.006857734,0.98062116,0.0005706493,0.9938471,0.99176145,0.0009636025,0.0008331648,0.0005359606
S0787,0.0040559,0.0014319809,0.9229883,0.018371852,0.0005706493,0.03181839,0.99471223,0.001672391,0.0018943029,0.0007816114
S0788,0.9862844,0.98869354,0.0032435313,0.99545515,0.00070122245,0.9917482,0.99522567,0.99476165,0.9912786,0.0031163904
S0789,0.0038017142,0.0031894695,0.0028775039,0.0052062552,0.0005706493,0.004264667,0.03975016,0.9576899,0.0031609777,0.000684456
S0790,0.0018677145,0.0018989037,0.0022340755,0.004525956,0.0005706493,0.0037284668,0.9954503,0.0007775816,0.0014533976,0.00043525678
S0791,0.0011782983,0.0009298619,0.02346452,0.96891963,0.0011404146,0.952936,0.9958211,0.001427587,0.0014812166,0.00089712354
S0792,0.01190325,0.0034442032,0.9660574,0.009926976,0.0005706493,0.0044084387,0.008127334,0.005787853,0.006216368,0.0005651305
S0793,0.0061450717,0.039325178,0.002052993,0.005492514,0.07178477,0.0051522246,0.0057427217,0.0029910496,0.0068534394,0.005255881
S0794,0.00496298,0.0063433712,0.001388202,0.97854704,0.00079483003,0.0011485586,0.0061316323,0.028298551,0.0021440142,0.0016983019
